TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-8.79194e-06	-2.52253e-07	0.2
2	0.002	-2.57793e-05	-9.12268e-07	0.2
3	0.003	-5.05745e-05	-2.08417e-06	0.200001
4	0.004	-8.289e-05	-3.84551e-06	0.200001
5	0.005	-0.000122483	-6.26094e-06	0.200002
6	0.006	-0.000169126	-9.38968e-06	0.200003
7	0.007	-0.000222593	-1.32896e-05	0.200005
8	0.008	-0.000282653	-1.80192e-05	0.200007
9	0.009	-0.000349063	-2.3639e-05	0.200009
10	0.01	-0.000421574	-3.02115e-05	0.200012
11	0.011	-0.000499922	-3.78018e-05	0.200015
12	0.012	-0.000583835	-4.64774e-05	0.200018
13	0.013	-0.00067303	-5.63076e-05	0.200022
14	0.014	-0.000767217	-6.73642e-05	0.200026
15	0.015	-0.000866097	-7.97202e-05	0.200031
16	0.016	-0.000969364	-9.34502e-05	0.200036
17	0.017	-0.00107671	-0.00010863	0.200042
18	0.018	-0.00118781	-0.000125336	0.200048
19	0.019	-0.00130236	-0.000143646	0.200055
20	0.02	-0.00142002	-0.000163636	0.200062
21	0.021	-0.00154048	-0.000185384	0.20007
22	0.022	-0.00166341	-0.000208968	0.200078
23	0.023	-0.0017885	-0.000234464	0.200086
24	0.024	-0.0019154	-0.000261947	0.200095
25	0.025	-0.00204382	-0.000291493	0.200104
26	0.026	-0.00217343	-0.000323176	0.200114
27	0.027	-0.00230392	-0.000357066	0.200125
28	0.028	-0.00243498	-0.000393235	0.200135
29	0.029	-0.00256632	-0.000431752	0.200146
30	0.03	-0.00269763	-0.000472682	0.200158
31	0.031	-0.00282863	-0.00051609	0.20017
32	0.032	-0.00295904	-0.000562037	0.200182
33	0.033	-0.0030886	-0.000610584	0.200194
34	0.034	-0.00321703	-0.000661786	0.200207
35	0.035	-0.00334409	-0.000715697	0.20022
36	0.036	-0.00346953	-0.000772368	0.200233
37	0.037	-0.00359313	-0.000831847	0.200246
38	0.038	-0.00371467	-0.000894178	0.200259
39	0.039	-0.00383394	-0.000959403	0.200272
40	0.04	-0.00395074	-0.00102756	0.200285
41	0.041	-0.00406489	-0.00109868	0.200298
42	0.042	-0.00417623	-0.0011728	0.200311
43	0.043	-0.00428458	-0.00124995	0.200324
44	0.044	-0.00438982	-0.00133015	0.200336
45	0.045	-0.0044918	-0.00141342	0.200349
46	0.046	-0.00459041	-0.00149978	0.20036
47	0.047	-0.00468555	-0.00158924	0.200372
48	0.048	-0.00477711	-0.00168182	0.200383
49	0.049	-0.00486503	-0.00177752	0.200393
50	0.05	-0.00494923	-0.00187635	0.200403
51	0.051	-0.00502967	-0.00197831	0.200412
52	0.052	-0.0051063	-0.0020834	0.20042
53	0.053	-0.0051791	-0.00219161	0.200428
54	0.054	-0.00524805	-0.00230294	0.200434
55	0.055	-0.00531315	-0.00241738	0.20044
56	0.056	-0.00537441	-0.00253491	0.200444
57	0.057	-0.00543185	-0.00265552	0.200448
58	0.058	-0.00548549	-0.00277918	0.20045
59	0.059	-0.00553539	-0.00290589	0.200452
60	0.06	-0.00558159	-0.00303562	0.200452
61	0.061	-0.00562416	-0.00316834	0.20045
62	0.062	-0.00566317	-0.00330402	0.200448
63	0.063	-0.00569871	-0.00344265	0.200444
64	0.064	-0.00573085	-0.00358418	0.200438
65	0.065	-0.00575971	-0.00372859	0.200431
66	0.066	-0.00578538	-0.00387585	0.200422
67	0.067	-0.00580799	-0.00402592	0.200412
68	0.068	-0.00582765	-0.00417876	0.2004
69	0.069	-0.00584448	-0.00433434	0.200387
70	0.07	-0.00585863	-0.00449263	0.200372
71	0.071	-0.00587022	-0.00465358	0.200355
72	0.072	-0.0058794	-0.00481716	0.200336
73	0.073	-0.00588631	-0.00498333	0.200316
74	0.074	-0.00589111	-0.00515205	0.200294
75	0.075	-0.00589395	-0.00532329	0.20027
76	0.076	-0.00589498	-0.00549699	0.200244
77	0.077	-0.00589437	-0.00567314	0.200217
78	0.078	-0.00589226	-0.00585168	0.200188
79	0.079	-0.00588883	-0.00603257	0.200156
80	0.08	-0.00588422	-0.00621579	0.200124
81	0.081	-0.00587862	-0.0064013	0.200089
82	0.082	-0.00587217	-0.00658905	0.200053
83	0.083	-0.00586503	-0.00677902	0.200015
84	0.084	-0.00585738	-0.00697117	0.199975
85	0.085	-0.00584936	-0.00716546	0.199933
86	0.086	-0.00584113	-0.00736186	0.19989
87	0.087	-0.00583285	-0.00756034	0.199845
88	0.088	-0.00582467	-0.00776088	0.199799
89	0.089	-0.00581674	-0.00796344	0.199751
90	0.09	-0.0058092	-0.00816798	0.199701
91	0.091	-0.0058022	-0.0083745	0.19965
92	0.092	-0.00579587	-0.00858296	0.199598
93	0.093	-0.00579036	-0.00879334	0.199544
94	0.094	-0.00578579	-0.00900561	0.199489
95	0.095	-0.00578229	-0.00921976	0.199432
96	0.096	-0.00577997	-0.00943577	0.199375
97	0.097	-0.00577896	-0.00965361	0.199316
98	0.098	-0.00577937	-0.00987327	0.199256
99	0.099	-0.00578131	-0.0100947	0.199195
100	0.1	-0.00578487	-0.010318	0.199133
101	0.101	-0.00579015	-0.0105431	0.199071
102	0.102	-0.00579724	-0.0107699	0.199007
103	0.103	-0.00580622	-0.0109985	0.198943
104	0.104	-0.00581718	-0.0112288	0.198878
105	0.105	-0.00583019	-0.0114609	0.198812
106	0.106	-0.00584531	-0.0116947	0.198746
107	0.107	-0.00586261	-0.0119303	0.198679
108	0.108	-0.00588213	-0.0121676	0.198612
109	0.109	-0.00590394	-0.0124067	0.198544
110	0.11	-0.00592807	-0.0126475	0.198477
111	0.111	-0.00595456	-0.01289	0.198409
112	0.112	-0.00598345	-0.0131343	0.198341
113	0.113	-0.00601475	-0.0133804	0.198272
114	0.114	-0.0060485	-0.0136282	0.198204
115	0.115	-0.00608471	-0.0138778	0.198136
116	0.116	-0.00612339	-0.0141291	0.198068
117	0.117	-0.00616454	-0.0143822	0.198
118	0.118	-0.00620817	-0.0146371	0.197932
119	0.119	-0.00625427	-0.0148939	0.197865
120	0.12	-0.00630283	-0.0151524	0.197798
121	0.121	-0.00635383	-0.0154128	0.197731
122	0.122	-0.00640726	-0.015675	0.197665
123	0.123	-0.0064631	-0.015939	0.197599
124	0.124	-0.00652131	-0.016205	0.197534
125	0.125	-0.00658187	-0.0164728	0.197469
126	0.126	-0.00664474	-0.0167425	0.197405
127	0.127	-0.00670988	-0.0170141	0.197342
128	0.128	-0.00677726	-0.0172876	0.197279
129	0.129	-0.00684681	-0.0175631	0.197217
130	0.13	-0.00691851	-0.0178405	0.197155
131	0.131	-0.00699229	-0.01812	0.197095
132	0.132	-0.0070681	-0.0184014	0.197035
133	0.133	-0.00714588	-0.0186848	0.196976
134	0.134	-0.00722559	-0.0189702	0.196918
135	0.135	-0.00730715	-0.0192577	0.19686
136	0.136	-0.0073905	-0.0195473	0.196804
137	0.137	-0.00747559	-0.0198389	0.196748
138	0.138	-0.00756234	-0.0201326	0.196693
139	0.139	-0.00765069	-0.0204284	0.196639
140	0.14	-0.00774058	-0.0207263	0.196586
141	0.141	-0.00783193	-0.0210264	0.196533
142	0.142	-0.00792467	-0.0213286	0.196481
143	0.143	-0.00801874	-0.021633	0.196431
144	0.144	-0.00811407	-0.0219395	0.19638
145	0.145	-0.00821059	-0.0222482	0.196331
