TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-8.58398e-06	1.80142e-07	0.2
2	0.002	-2.49145e-05	6.87218e-07	0.200001
3	0.003	-4.83744e-05	1.64025e-06	0.200003
4	0.004	-7.84765e-05	3.13643e-06	0.200005
5	0.005	-0.000114811	5.2562e-06	0.200009
6	0.006	-0.000157017	8.06757e-06	0.200015
7	0.007	-0.000204762	1.16294e-05	0.200022
8	0.008	-0.000257731	1.59937e-05	0.20003
9	0.009	-0.000315619	2.12081e-05	0.200041
10	0.01	-0.000378125	2.73163e-05	0.200053
11	0.011	-0.00044495	3.43598e-05	0.200067
12	0.012	-0.000515794	4.23779e-05	0.200083
13	0.013	-0.000590359	5.14087e-05	0.2001
14	0.014	-0.000668341	6.14887e-05	0.20012
15	0.015	-0.000749438	7.26532e-05	0.200141
16	0.016	-0.000833348	8.49364e-05	0.200165
17	0.017	-0.000919766	9.83712e-05	0.20019
18	0.018	-0.00100839	0.000112989	0.200217
19	0.019	-0.00109893	0.000128819	0.200246
20	0.02	-0.00119107	0.000145891	0.200277
21	0.021	-0.00128454	0.000164231	0.20031
22	0.022	-0.00137903	0.000183862	0.200344
23	0.023	-0.00147428	0.000204808	0.20038
24	0.024	-0.00157001	0.00022709	0.200417
25	0.025	-0.00166595	0.000250724	0.200456
26	0.026	-0.00176184	0.000275728	0.200497
27	0.027	-0.00185745	0.000302113	0.200539
28	0.028	-0.00195252	0.000329893	0.200582
29	0.029	-0.00204684	0.000359074	0.200626
30	0.03	-0.00214019	0.000389663	0.200671
31	0.031	-0.00223236	0.000421665	0.200717
32	0.032	-0.00232317	0.00045508	0.200764
33	0.033	-0.00241243	0.000489908	0.200811
34	0.034	-0.00249997	0.000526145	0.200859
35	0.035	-0.00258564	0.000563787	0.200908
36	0.036	-0.00266929	0.000602825	0.200956
37	0.037	-0.00275079	0.000643253	0.201005
38	0.038	-0.00283003	0.000685057	0.201054
39	0.039	-0.00290688	0.000728226	0.201102
40	0.04	-0.00298127	0.000772746	0.201151
41	0.041	-0.00305309	0.0008186	0.201198
42	0.042	-0.00312229	0.000865773	0.201245
43	0.043	-0.00318878	0.000914247	0.201291
44	0.044	-0.00325253	0.000964003	0.201336
45	0.045	-0.00331348	0.00101502	0.20138
46	0.046	-0.00337161	0.00106728	0.201423
47	0.047	-0.00342689	0.00112077	0.201465
48	0.048	-0.0034793	0.00117545	0.201505
49	0.049	-0.00352884	0.00123131	0.201543
50	0.05	-0.00357551	0.00128834	0.201579
51	0.051	-0.00361931	0.0013465	0.201614
52	0.052	-0.00366026	0.00140577	0.201646
53	0.053	-0.00369838	0.00146615	0.201677
54	0.054	-0.0037337	0.0015276	0.201705
55	0.055	-0.00376625	0.0015901	0.201731
56	0.056	-0.00379607	0.00165365	0.201754
57	0.057	-0.00382321	0.00171822	0.201775
58	0.058	-0.0038477	0.00178379	0.201794
59	0.059	-0.00386961	0.00185035	0.20181
60	0.06	-0.00388898	0.00191788	0.201823
61	0.061	-0.00390588	0.00198637	0.201833
62	0.062	-0.00392036	0.0020558	0.201841
63	0.063	-0.00393249	0.00212617	0.201846
64	0.064	-0.00394234	0.00219745	0.201848
65	0.065	-0.00394997	0.00226966	0.201847
66	0.066	-0.00395546	0.00234276	0.201843
67	0.067	-0.00395887	0.00241677	0.201837
68	0.068	-0.00396028	0.00249167	0.201828
69	0.069	-0.00395977	0.00256745	0.201816
70	0.07	-0.00395741	0.00264412	0.201801
71	0.071	-0.00395327	0.00272167	0.201784
72	0.072	-0.00394744	0.0028001	0.201764
73	0.073	-0.00393998	0.00287941	0.201741
74	0.074	-0.00393099	0.0029596	0.201716
75	0.075	-0.00392053	0.00304068	0.201689
76	0.076	-0.00390869	0.00312264	0.201659
77	0.077	-0.00389554	0.00320549	0.201627
78	0.078	-0.00388116	0.00328924	0.201592
79	0.079	-0.00386564	0.00337389	0.201555
80	0.08	-0.00384905	0.00345944	0.201517
81	0.081	-0.00383148	0.00354591	0.201476
82	0.082	-0.00381299	0.0036333	0.201434
83	0.083	-0.00379366	0.00372162	0.201389
84	0.084	-0.00377359	0.00381088	0.201343
85	0.085	-0.00375283	0.00390109	0.201296
86	0.086	-0.00373148	0.00399226	0.201247
87	0.087	-0.00370961	0.00408439	0.201197
88	0.088	-0.00368729	0.0041775	0.201145
89	0.089	-0.0036646	0.0042716	0.201093
90	0.09	-0.00364161	0.0043667	0.20104
91	0.091	-0.00361841	0.00446281	0.200985
92	0.092	-0.00359506	0.00455994	0.20093
93	0.093	-0.00357164	0.00465809	0.200875
94	0.094	-0.00354822	0.00475729	0.200818
95	0.095	-0.00352487	0.00485754	0.200762
96	0.096	-0.00350166	0.00495885	0.200705
97	0.097	-0.00347867	0.00506123	0.200648
98	0.098	-0.00345596	0.00516469	0.200591
99	0.099	-0.00343361	0.00526923	0.200534
100	0.1	-0.00341166	0.00537488	0.200477
101	0.101	-0.0033902	0.00548163	0.20042
102	0.102	-0.00336929	0.0055895	0.200363
103	0.103	-0.00334898	0.00569849	0.200307
104	0.104	-0.00332934	0.00580861	0.200252
105	0.105	-0.00331043	0.00591987	0.200197
106	0.106	-0.0032923	0.00603227	0.200142
107	0.107	-0.00327502	0.00614582	0.200089
108	0.108	-0.00325862	0.00626052	0.200036
109	0.109	-0.00324318	0.00637639	0.199984
110	0.11	-0.00322872	0.00649341	0.199933
111	0.111	-0.00321531	0.00661161	0.199882
112	0.112	-0.00320299	0.00673098	0.199833
113	0.113	-0.00319179	0.00685152	0.199785
114	0.114	-0.00318177	0.00697324	0.199738
115	0.115	-0.00317295	0.00709613	0.199692
116	0.116	-0.00316537	0.00722021	0.199648
117	0.117	-0.00315907	0.00734548	0.199604
118	0.118	-0.00315406	0.00747192	0.199562
119	0.119	-0.00315039	0.00759955	0.199521
120	0.12	-0.00314807	0.00772836	0.199482
121	0.121	-0.00314713	0.00785836	0.199444
122	0.122	-0.00314757	0.00798954	0.199407
123	0.123	-0.00314942	0.0081219	0.199371
124	0.124	-0.0031527	0.00825545	0.199336
125	0.125	-0.00315739	0.00839017	0.199303
126	0.126	-0.00316352	0.00852607	0.199272
127	0.127	-0.00317109	0.00866314	0.199241
128	0.128	-0.00318009	0.0088014	0.199212
129	0.129	-0.00319053	0.00894081	0.199184
130	0.13	-0.00320239	0.0090814	0.199157
131	0.131	-0.00321567	0.00922316	0.199132
132	0.132	-0.00323036	0.00936608	0.199107
133	0.133	-0.00324643	0.00951015	0.199084
134	0.134	-0.00326388	0.00965539	0.199062
135	0.135	-0.00328269	0.00980178	0.199041
136	0.136	-0.00330282	0.00994932	0.199021
137	0.137	-0.00332425	0.010098	0.199002
138	0.138	-0.00334697	0.0102478	0.198984
139	0.139	-0.00337092	0.0103988	0.198968
140	0.14	-0.00339609	0.0105509	0.198951
141	0.141	-0.00342244	0.0107041	0.198936
142	0.142	-0.00344993	0.0108585	0.198922
143	0.143	-0.00347853	0.011014	0.198908
144	0.144	-0.00350818	0.0111706	0.198895
145	0.145	-0.00353885	0.0113284	0.198883
146	0.146	-0.0035705	0.0114872	0.198872
147	0.147	-0.00360307	0.0116472	0.198861
148	0.148	-0.00363653	0.0118083	0.19885
149	0.149	-0.00367082	0.0119705	0.19884
150	0.15	-0.0037059	0.0121338	0.19883
151	0.151	-0.00374171	0.0122981	0.198821
152	0.152	-0.00377821	0.0124636	0.198812
153	0.153	-0.00381534	0.0126302	0.198803
154	0.154	-0.00385305	0.0127979	0.198795
155	0.155	-0.00389129	0.0129667	0.198786
156	0.156	-0.00393	0.0131365	0.198778
157	0.157	-0.00396914	0.0133075	0.19877
158	0.158	-0.00400865	0.0134795	0.198762
159	0.159	-0.00404849	0.0136526	0.198753
160	0.16	-0.00408858	0.0138268	0.198745
161	0.161	-0.0041289	0.0140021	0.198736
162	0.162	-0.00416938	0.0141784	0.198728
163	0.163	-0.00420998	0.0143558	0.198719
164	0.164	-0.00425064	0.0145343	0.198709
165	0.165	-0.00429132	0.0147138	0.1987
166	0.166	-0.00433198	0.0148944	0.19869
167	0.167	-0.00437256	0.0150761	0.198679
168	0.168	-0.00441302	0.0152588	0.198668
169	0.169	-0.00445332	0.0154426	0.198657
170	0.17	-0.00449342	0.0156275	0.198645
171	0.171	-0.00453327	0.0158134	0.198632
172	0.172	-0.00457284	0.0160004	0.198619
173	0.173	-0.0046121	0.0161884	0.198606
174	0.174	-0.004651	0.0163775	0.198591
175	0.175	-0.00468951	0.0165677	0.198576
176	0.176	-0.00472761	0.0167589	0.19856
