Time	Hinge	Left	Mll	Mlt	Mrl	Mrt	Right	Sll	Slt	Srl	Srt	
0	0	0	2	8.350704E-07	0	0	0	0	0	0	0	
0.001	2.502768E-15	0.02	2	0.00237212	0	0	0	0	0	0	0	
0.002	2.502768E-15	0.02	2	0.00471732	0	0	0	0	0	0	0	
0.003	8.52599E-09	0.0396	2	0.007531638	0	0	0	0	0	0	0	
0.004	3.40072E-08	0.0396	2	0.010315	0	0	0	0	0	0	0	
0.005	8.655902E-08	0.05880801	2	0.0136456	0	0	0	0	0	0	0	
0.006	1.761855E-07	0.05880801	2	0.01693957	0	0	0	0	0	0	0	
0.007	3.148577E-07	0.07763185	2	0.02086665	0	0	0	0	0	0	0	
0.008	5.14415E-07	0.07763185	2	0.02475053	0	0	0	0	0	0	0	
0.009000001	7.889721E-07	0.09607922	2	0.02936047	0	0	0	0	0	0	0	
0.01	1.152489E-06	0.09607922	2	0.0339197	0	0	0	0	0	0	0	
0.011	1.621534E-06	0.1141576	2	0.03930396	0	0	0	0	0	0	0	
0.012	2.212496E-06	0.1141576	2	0.04462899	0	0	0	0	0	0	0	
0.013	2.944726E-06	0.1318745	2	0.05088241	0	0	0	0	0	0	0	
0.014	3.837363E-06	0.1318745	2	0.05706705	0	0	0	0	0	0	0	
0.015	4.912884E-06	0.149237	2	0.06428578	0	0	0	0	0	0	0	
0.016	6.193519E-06	0.149237	2	0.0714251	0	0	0	0	0	0	0	
0.017	7.705213E-06	0.1662522	1.999989	0.07959177	0	0	0	0	0	0	0	
0.018	9.473626E-06	0.1662522	1.999986	0.08775321	0	0	0	0	0	0	0	
0.019	1.152811E-05	0.1829272	1.999983	0.09715302	0	0	0	0	0	0	0	
0.02	1.3898E-05	0.1829272	1.999979	0.1064446	0	0	0	0	0	0	0	
0.021	1.661709E-05	0.1992686	1.999975	0.1170679	0	0	0	0	0	0	0	
0.022	1.971877E-05	0.1992686	1.999971	0.1275696	0	0	0	0	0	0	0	
0.023	2.324121E-05	0.2152833	1.999965	0.1394876	0	0	0	0	0	0	0	
0.024	2.722217E-05	0.2152833	1.999959	0.1512685	0	0	0	0	0	0	0	
0.025	3.170449E-05	0.2309776	1.999953	0.1645387	0	0	0	0	0	0	0	
0.026	3.67305E-05	0.2309776	1.999945	0.1776533	0	0	0	0	0	0	0	
0.027	4.234791E-05	0.2463581	1.999936	0.192313	0	0	0	0	0	0	0	
0.028	4.860384E-05	0.2463581	1.999927	0.206803	0	0	0	0	0	0	0	
0.029	5.5551E-05	0.2614309	1.999917	0.2228735	0	0	0	0	0	0	0	
0.03	6.324146E-05	0.2614309	1.999905	0.2387563	0	0	0	0	0	0	0	
0.031	7.173298E-05	0.2762023	1.999892	0.2562403	0	0	0	0	0	0	0	
0.032	8.108265E-05	0.2762023	1.999878	0.2735175	0	0	0	0	0	0	0	
0.033	9.135331E-05	0.2906783	1.999863	0.2923929	0	0	0	0	0	0	0	
0.034	0.0001026071	0.2906783	1.999846	0.3110451	0	0	0	0	0	0	0	
0.035	0.0001149118	0.3048647	1.999828	0.3312727	0	0	0	0	0	0	0	
0.036	0.0001283344	0.3048647	1.999807	0.3512609	0	0	0	0	0	0	0	
0.037	0.0001429478	0.3187674	1.999786	0.3727835	0	0	0	0	0	0	0	
0.038	0.0001588236	0.3187674	1.999762	0.3940513	0	0	0	0	0	0	0	
0.039	0.0001760393	0.332392	1.999736	0.4167944	0	0	0	0	0	0	0	
0.04	0.0001946714	0.332392	1.999708	0.4392657	0	0	0	0	0	0	0	
0.041	0.0002148015	0.3457442	1.999678	0.4631429	0	0	0	0	0	0	0	
0.042	0.0002365105	0.3457442	1.999645	0.4867333	0	0	0	0	0	0	0	
0.043	0.0002598841	0.3588293	1.99961	0.5116452	0	0	0	0	0	0	0	
0.044	0.0002850071	0.3588293	1.999573	0.5362565	0	0	0	0	0	0	0	
0.045	0.0003119691	0.3716527	1.999532	0.5620975	0	0	0	0	0	0	0	
0.046	0.0003408586	0.3716527	1.999489	0.5876241	0	0	0	0	0	0	0	
0.047	0.0003717683	0.3842196	1.999442	0.614283	0	0	0	0	0	0	0	
0.048	0.0004047902	0.3842196	1.999393	0.6406171	0	0	0	0	0	0	0	
0.049	0.0004400199	0.3965353	1.99934	0.6679808	0	0	0	0	0	0	0	
0.05	0.0004775523	0.3965353	1.999284	0.6950095	0	0	0	0	0	0	0	
0.051	0.0005174855	0.4086046	1.999224	0.7229678	0	0	0	0	0	0	0	
0.052	0.0005599167	0.4086046	1.99916	0.7505797	0	0	0	0	0	0	0	
0.053	0.0006049465	0.4204325	1.999093	0.7790201	0	0	0	0	0	0	0	
0.054	0.0006526739	0.4204325	1.999021	0.8071063	0	0	0	0	0	0	0	
0.055	0.0007032015	0.4320239	1.998945	0.8359252	0	0	0	0	0	0	0	
0.056	0.0007566299	0.4320239	1.998865	0.8643809	0	0	0	0	0	0	0	
0.057	0.0008130629	0.4433834	1.99878	0.8934751	0	0	0	0	0	0	0	
0.058	0.0008726027	0.4433834	1.998691	0.9222018	0	0	0	0	0	0	0	
0.059	0.0009353538	0.4545157	1.998597	0.9514776	0	0	0	0	0	0	0	
0.06	0.00100142	0.4545157	1.998498	0.9803792	0	0	0	0	0	0	0	
0.061	0.001070905	0.4654254	1.998394	1.009748	0	0	0	0	0	0	0	
0.062	0.001143915	0.4654254	1.998284	1.038738	0	0	0	0	0	0	0	
0.063	0.001220553	0.4761169	1.998169	1.068117	0	0	0	0	0	0	0	
0.064	0.001300925	0.4761169	1.998049	1.097116	0	0	0	0	0	0	0	
0.06500001	0.001385137	0.4865946	1.997922	1.126431	0	0	0	0	0	0	0	
0.066	0.001473291	0.4865946	1.99779	1.155363	0	0	0	0	0	0	0	
0.067	0.001565495	0.4968627	1.997652	1.184546	0	0	0	0	0	0	0	
0.068	0.00166185	0.4968627	1.997507	1.213344	0	0	0	0	0	0	0	
0.06900001	0.001762464	0.5069255	1.997356	1.242334	0	0	0	0	0	0	0	
0.07	0.001867438	0.5069255	1.997199	1.270938	0	0	0	0	0	0	0	
0.071	0.001976878	0.5167869	1.997035	1.299679	0	0	0	0	0	0	0	
0.072	0.002090886	0.5167869	1.996864	1.328035	0	0	0	0	0	0	0	
0.07300001	0.002209564	0.5264512	1.996686	1.356477	0	0	0	0	0	0	0	
0.074	0.002333017	0.5264512	1.9965	1.384534	0	0	0	0	0	0	0	
0.075	0.002461344	0.5359222	1.996308	1.412635	0	0	0	0	0	0	0	
0.07600001	0.002594649	0.5359222	1.996108	1.440351	0	0	0	0	0	0	0	
0.07700001	0.00273303	0.5452037	1.995901	1.468072	0	0	0	0	0	0	0	
0.078	0.002876589	0.5452037	1.995685	1.495407	0	0	0	0	0	0	0	
0.079	0.003025424	0.5542997	1.995462	1.522712	0	0	0	0	0	0	0	
0.08000001	0.003179634	0.5542997	1.995231	1.549635	0	0	0	0	0	0	0	
0.081	0.003339317	0.5632137	1.994991	1.576495	0	0	0	0	0	0	0	
0.082	0.00350457	0.5632137	1.994743	1.602973	0	0	0	0	0	0	0	
0.083	0.003675489	0.5719494	1.994487	1.629364	0	0	0	0	0	0	0	
0.08400001	0.003852169	0.5719494	1.994222	1.655374	0	0	0	0	0	0	0	
0.085	0.004034706	0.5805104	1.993948	1.681269	0	0	0	0	0	0	0	
0.086	0.004223193	0.5805104	1.993665	1.706787	0	0	0	0	0	0	0	
0.087	0.004417723	0.5889002	1.993373	1.73217	0	0	0	0	0	0	0	
0.08800001	0.004618387	0.5889002	1.993072	1.757178	0	0	0	0	0	0	0	
0.089	0.004825277	0.5971223	1.992762	1.782032	0	0	0	0	0	0	0	
0.09	0.005038483	0.5971223	1.992442	1.806513	0	0	0	0	0	0	0	
0.09100001	0.005258094	0.6051798	1.992113	1.830823	0	0	0	0	0	0	0	
0.09200001	0.005484197	0.6051798	1.991774	1.854764	0	0	0	0	0	0	0	
0.093	0.005716881	0.6130762	1.991425	1.878519	0	0	0	0	0	0	0	
0.094	0.005956232	0.6130762	1.991066	1.901909	0	0	0	0	0	0	0	
0.09500001	0.006202334	0.6208146	1.990697	1.925099	0	0	0	0	0	0	0	
0.096	0.006455273	0.6208146	1.990317	1.947926	0	0	0	0	0	0	0	
0.097	0.00671513	0.6283984	1.989927	1.970545	0	0	0	0	0	0	0	
0.098	0.006981989	0.6283984	1.989527	1.992803	0	0	0	0	0	0	0	
0.09900001	0.00725593	0.6358304	1.989116	2.014842	0	0	0	0	0	0	0	
0.1	0.007537035	0.6358304	1.988695	2.036526	0	0	0	0	0	0	0	
0.101	0.00782538	0.6431138	1.988262	2.057982	0	0	0	0	0	0	0	
0.102	0.008121045	0.6431138	1.987819	2.079087	0	0	0	0	0	0	0	
0.103	0.008424105	0.6502515	1.987364	2.099956	0	0	0	0	0	0	0	
0.104	0.008734641	0.6502515	1.986898	2.120478	0	0	0	0	0	0	0	
0.105	0.00905272	0.6572465	1.986421	2.140759	0	0	0	0	0	0	0	
