Time	Hinge	Left	Mll	Mlt	Mrl	Mrt	Right	Sll	Slt	Srl	Srt	
0	0	0	3.605551	0.01605551	2	8.350704E-07	0	0	0	0	0	
0.001	2.502768E-15	0.02	3.605551	0.03193441	2	0.00237212	0.02	0	0	0	0	
0.002	-3.201037E-08	0.02	3.605551	0.04763865	2	0.00471732	0.02	0	0	0	0	
0.003	-1.36216E-07	0.0396	3.605551	0.06317014	2	0.007531638	0.0396	0	0	0	0	
0.004	-3.523562E-07	0.0396	3.605551	0.07853077	2	0.010315	0.0396	0	0	0	0	
0.005	-7.215121E-07	0.05880801	3.605551	0.09372245	2	0.0136456	0.05880801	0	0	0	0	
0.006	-1.284313E-06	0.05880801	3.605551	0.108747	2	0.01693957	0.05880801	0	0	0	0	
0.007	-2.083017E-06	0.07763185	3.605551	0.1236063	2	0.02086665	0.07763185	0	0	0	0	
0.008	-3.159419E-06	0.07763185	3.605551	0.1383021	2	0.02475053	0.07763185	0	0	0	0	
0.009000001	-4.55726E-06	0.09607922	3.605551	0.1528363	2	0.02936047	0.09607922	0	0	0	0	
0.01	-6.319798E-06	0.09607922	3.605551	0.1672107	2	0.0339197	0.09607922	0	0	0	0	
0.011	-8.49258E-06	0.1141576	3.605551	0.1814269	1.999989	0.0391894	0.1141576	0	0	0	0	
0.012	-1.112065E-05	0.1141576	3.605545	0.1954246	1.999984	0.04447381	0.1141576	0	0	0	0	
0.013	-1.42513E-05	0.1318745	3.605543	0.2093065	1.999979	0.05067986	0.1318745	0	0	0	0	
0.014	-1.793142E-05	0.1318745	3.60554	0.223031	1.999974	0.05680924	0.1318745	0	0	0	0	
0.015	-2.2211E-05	0.149237	3.605537	0.236602	1.999967	0.06396491	0.149237	0	0	0	0	
0.016	-2.713944E-05	0.149237	3.605533	0.250019	1.99996	0.07103226	0.149237	0	0	0	0	
0.017	-3.276952E-05	0.1662522	3.605529	0.2632811	1.999951	0.07923029	0.1662522	0	0	0	0	
0.018	-3.915338E-05	0.1662522	3.605524	0.276395	1.999942	0.08732612	0.1662522	0	0	0	0	
0.019	-4.634694E-05	0.1829272	3.605519	0.289355	1.999931	0.09665262	0.1829272	0	0	0	0	
0.02	-5.440546E-05	0.1829272	3.605513	0.3021676	1.999919	0.1058633	0.1829272	0	0	0	0	
0.021	-6.338829E-05	0.1992686	3.605506	0.3148297	1.999905	0.1163993	0.1992686	0	0	0	0	
0.022	-7.335408E-05	0.1992686	3.605499	0.3273476	1.99989	0.1268038	0.1992686	0	0	0	0	
0.023	-8.436596E-05	0.2152833	3.60549	0.3397183	1.999874	0.1386173	0.2152833	0	0	0	0	
0.024	-9.648628E-05	0.2152833	3.605481	0.3519456	1.999855	0.1502851	0.2152833	0	0	0	0	
0.025	-0.0001097822	0.2309776	3.605471	0.3640288	1.999835	0.1634315	0.2309776	0	0	0	0	
0.026	-0.00012432	0.2309776	3.60546	0.375967	1.999814	0.1764151	0.2309776	0	0	0	0	
0.027	-0.0001401711	0.2463581	3.605448	0.3877642	1.99979	0.1909343	0.2463581	0	0	0	0	
0.028	-0.0001574059	0.2463581	3.605435	0.399422	1.999764	0.2052722	0.2463581	0	0	0	0	
0.029	-0.0001761001	0.2614309	3.60542	0.4109395	1.999736	0.2211812	0.2614309	0	0	0	0	
0.03	-0.0001963286	0.2614309	3.605405	0.4223183	1.999706	0.2368935	0.2614309	0	0	0	0	
0.031	-0.0002181716	0.2762023	3.605388	0.4335574	1.999673	0.2541943	0.2762023	0	0	0	0	
0.032	-0.0002417081	0.2762023	3.60537	0.4446608	1.999637	0.2712795	0.2762023	0	0	0	0	
0.033	-0.0002670228	0.2906783	3.60535	0.4556275	1.999599	0.2899503	0.2906783	0	0	0	0	
0.034	-0.0002941993	0.2906783	3.605329	0.4664567	1.999559	0.308388	0.2906783	0	0	0	0	
0.035	-0.0003233265	0.3048647	3.605306	0.4771522	1.999515	0.3283902	0.3048647	0	0	0	0	
0.036	-0.0003544924	0.3048647	3.605282	0.4877156	1.999468	0.3481397	0.3048647	0	0	0	0	
0.037	-0.0003877902	0.3187674	3.605256	0.4981434	1.999418	0.369414	0.3187674	0	0	0	0	
0.038	-0.000423312	0.3187674	3.605229	0.5084395	1.999365	0.3904192	0.3187674	0	0	0	0	
0.039	-0.0004611552	0.332392	3.605199	0.5186006	1.999308	0.412888	0.332392	0	0	0	0	
0.04	-0.0005014158	0.332392	3.605167	0.528633	1.999248	0.4350745	0.332392	0	0	0	0	
0.041	-0.0005441946	0.3457442	3.605134	0.5385356	1.999184	0.4586519	0.3457442	0	0	0	0	
0.042	-0.0005895917	0.3457442	3.605098	0.5483074	1.999116	0.4819311	0.3457442	0	0	0	0	
0.043	-0.0006377114	0.3588293	3.605061	0.5579476	1.999043	0.5065194	0.3588293	0	0	0	0	
0.044	-0.0006886571	0.3588293	3.605021	0.5674622	1.998967	0.5307935	0.3588293	0	0	0	0	
0.045	-0.0007425364	0.3716527	3.604978	0.5768431	1.998886	0.556284	0.3716527	0	0	0	0	
0.046	-0.0007994556	0.3716527	3.604933	0.586099	1.998801	0.5814478	0.3716527	0	0	0	0	
0.047	-0.0008595251	0.3842196	3.604886	0.5952263	1.998711	0.6077297	0.3842196	0	0	0	0	
0.048	-0.0009228537	0.3842196	3.604836	0.6042265	1.998616	0.6336727	0.3842196	0	0	0	0	
0.049	-0.0009895543	0.3965353	3.604783	0.6131033	1.998516	0.6606334	0.3965353	0	0	0	0	
0.05	-0.001059738	0.3965353	3.604728	0.6218509	1.99841	0.6872429	0.3965353	0	0	0	0	
0.051	-0.00113352	0.4086046	3.604669	0.6304684	1.9983	0.7147692	0.4086046	0	0	0	0	
0.052	-0.001211013	0.4086046	3.604608	0.6389666	1.998183	0.7419356	0.4086046	0	0	0	0	
0.053	-0.001292333	0.4204325	3.604543	0.6473396	1.998062	0.7699168	0.4204325	0	0	0	0	
0.054	-0.001377596	0.4204325	3.604475	0.6555818	1.997934	0.7975293	0.4204325	0	0	0	0	
0.055	-0.001466918	0.4320239	3.604404	0.6637063	1.9978	0.8258588	0.4320239	0	0	0	0	
0.056	-0.001560415	0.4320239	3.60433	0.6717049	1.997659	0.8538119	0.4320239	0	0	0	0	
0.057	-0.001658205	0.4433834	3.604252	0.6795791	1.997513	0.8823892	0.4433834	0	0	0	0	
0.058	-0.001760406	0.4433834	3.604171	0.6873324	1.997359	0.9105839	0.4433834	0	0	0	0	
0.059	-0.001867135	0.4545157	3.604085	0.694959	1.997199	0.9393125	0.4545157	0	0	0	0	
0.06	-0.00197851	0.4545157	3.603996	0.7024652	1.997032	0.9676541	0.4545157	0	0	0	0	
0.061	-0.002094648	0.4654254	3.603904	0.7098497	1.996858	0.9964452	0.4654254	0	0	0	0	
