Time	Hinge	Left	Mll	Mlt	Mrl	Mrt	Right	Sll	Slt	Srl	Srt	
0	0	0	0	0	0	0	0	2	20	2	0	
0.001	2.502768E-15	0	0	0	0	0	0	2	20	2	0	
0.002	7.1885E-05	0	0	0	0	0	0	1.999802	19.66339	2.000018	0.02999306	
0.003	0.000215655	0	0	0	0	0	0	1.999604	19.32739	2.000251	0.4271984	
0.004	0.0004299924	0	0	0	0	0	0	1.999297	18.80535	2.000587	0.9982824	
0.005	0.0007122618	0	0	0	0	0	0	1.998885	18.10517	2.001022	1.737571	
0.006	0.001058534	0	0	0	0	0	0	1.998375	17.23801	2.001551	2.636552	
0.007	0.001463636	0	0	0	0	0	0	1.997775	16.53424	2.002166	3.653622	
0.008	0.001921219	0	0	0	0	0	0	1.997095	15.69372	2.002858	4.456806	
0.009000001	0.002425098	0	0	0	0	0	0	1.996343	14.90833	2.003619	5.212259	
0.01	0.002969365	0	0	0	0	0	0	1.995531	14.18581	2.004439	5.91073	
0.011	0.003548482	0	0	0	0	0	0	1.994665	13.53028	2.005311	6.54645	
0.012	0.004157342	0	0	0	0	0	0	1.993754	12.94233	2.006226	7.11944	
0.013	0.004791304	0	0	0	0	0	0	1.992805	12.4179	2.007179	7.631682	
0.014	0.005446193	0	0	0	0	0	0	1.991825	11.95208	2.008163	8.08711	
0.015	0.006118285	0	0	0	0	0	0	1.990818	11.54069	2.009172	8.490944	
0.016	0.00680427	0	0	0	0	0	0	1.98979	11.1783	2.010202	8.847237	
0.017	0.007501215	0	0	0	0	0	0	1.988745	10.85983	2.011249	9.160519	
0.018	0.00820654	0	0	0	0	0	0	1.987688	10.58073	2.012307	9.435368	
0.019	0.008917971	0	0	0	0	0	0	1.986621	10.33673	2.013375	9.676409	
0.02	0.009633519	0	0	0	0	0	0	1.985548	10.12398	2.014448	9.886384	
0.021	0.01035144	0	0	0	0	0	0	1.984472	9.938503	2.015526	10.06963	
0.022	0.01107022	0	0	0	0	0	0	1.983394	9.7777	2.016604	10.22897	
0.023	0.01178852	0	0	0	0	0	0	1.982317	9.63813	2.017682	10.36725	
0.024	0.0125052	0	0	0	0	0	0	1.981242	9.517681	2.018757	10.48658	
0.025	0.01321926	0	0	0	0	0	0	1.980171	9.413647	2.019828	10.58989	
0.026	0.01392984	0	0	0	0	0	0	1.979105	9.324432	2.020894	10.67815	
0.027	0.0146362	0	0	0	0	0	0	1.978046	9.248066	2.021953	10.75397	
0.028	0.01533768	0	0	0	0	0	0	1.976994	9.183109	2.023005	10.81836	
0.029	0.01603376	0	0	0	0	0	0	1.97595	9.127914	2.024049	10.87317	
0.03	0.01672395	0	0	0	0	0	0	1.974915	9.081627	2.025084	10.91909	
0.031	0.01740788	0	0	0	0	0	0	1.973889	9.043144	2.02611	10.95798	
0.032	0.0180852	0	0	0	0	0	0	1.972874	9.011185	2.027126	10.98976	
0.033	0.01875564	0	0	0	0	0	0	1.971868	8.985222	2.028132	11.01553	
0.034	0.01941897	0	0	0	0	0	0	1.970873	8.964516	2.029127	11.03644	
0.035	0.020075	0	0	0	0	0	0	1.969889	8.947945	2.03011	11.05242	
0.036	0.02072359	0	0	0	0	0	0	1.968917	8.935558	2.031083	11.06462	
0.037	0.02136461	0	0	0	0	0	0	1.967955	8.926594	2.032044	11.0734	
0.038	0.02199799	0	0	0	0	0	0	1.967006	8.920491	2.032994	11.0795	
0.039	0.02262365	0	0	0	0	0	0	1.966067	8.917274	2.033932	11.08253	
0.04	0.02324155	0	0	0	0	0	0	1.965141	8.916558	2.034859	11.08403	
0.041	0.02385167	0	0	0	0	0	0	1.964226	8.91738	2.035774	11.08282	
0.042	0.024454	0	0	0	0	0	0	1.963323	8.91974	2.036677	11.08045	
