Time	Hinge	Left	Mll	Mlt	Mrl	Mrt	Right	Sll	Slt	Srl	Srt	
0	0	0	0	0	0	0	0	3.605551	180.5551	2	50	
0.001	2.502768E-15	0	0	0	0	0	0	3.605551	180.5551	2	50	
0.002	-0.0005396909	0	0	0	0	0	0	3.604066	178.0304	1.99845	47.36426	
0.003	-0.001619076	0	0	0	0	0	0	3.603374	176.8546	1.996979	44.86389	
0.004	-0.003223803	0	0	0	0	0	0	3.602202	174.8609	1.99469	40.9731	
0.005	-0.00534292	0	0	0	0	0	0	3.600564	172.0768	1.991606	35.7308	
0.006	-0.007959012	0	0	0	0	0	0	3.598479	168.5324	1.987758	29.18908	
0.007	-0.01104839	0	0	0	0	0	0	3.595969	166.6422	1.983185	23.89508	
0.008	-0.01458129	0	0	0	0	0	0	3.593061	162.8045	1.977935	17.32281	
0.009000001	-0.0185359	0	0	0	0	0	0	3.589772	159.0889	1.972042	10.96785	
0.01	-0.02288198	0	0	0	0	0	0	3.586126	155.5111	1.965556	4.874466	
0.011	-0.0275904	0	0	0	0	0	0	3.582146	152.082	1.95852	-0.9287453	
0.012	-0.03263331	0	0	0	0	0	0	3.577855	148.8018	1.950979	-6.431198	
0.013	-0.03798426	0	0	0	0	0	0	3.573272	145.664	1.942974	-11.6394	
0.014	-0.04361822	0	0	0	0	0	0	3.568415	142.6714	1.934543	-16.54438	
0.015	-0.04951154	0	0	0	0	0	0	3.563304	139.8153	1.925723	-21.15944	
0.016	-0.05564198	0	0	0	0	0	0	3.557953	137.0868	1.916549	-25.49923	
0.017	-0.06198864	0	0	0	0	0	0	3.55238	134.4787	1.907053	-29.57729	
0.018	-0.0685319	0	0	0	0	0	0	3.546598	131.9825	1.897265	-33.40791	
0.019	-0.07525331	0	0	0	0	0	0	3.540622	129.5939	1.887215	-37.00408	
0.02	-0.08213555	0	0	0	0	0	0	3.534464	127.3031	1.876929	-40.37873	
0.021	-0.08916242	0	0	0	0	0	0	3.528137	125.1079	1.866432	-43.54321	
0.022	-0.09631862	0	0	0	0	0	0	3.521653	123.0019	1.85575	-46.50947	
0.023	-0.1035899	0	0	0	0	0	0	3.515022	120.9808	1.844904	-49.28801	
0.024	-0.1109629	0	0	0	0	0	0	3.508256	119.0392	1.833915	-51.88857	
0.025	-0.118425	0	0	0	0	0	0	3.501364	117.1762	1.822803	-54.32016	
0.026	-0.1259646	0	0	0	0	0	0	3.494356	115.3855	1.811588	-56.59219	
0.027	-0.1335706	0	0	0	0	0	0	3.487241	113.6643	1.800286	-58.71345	
0.028	-0.1412329	0	0	0	0	0	0	3.480027	112.0106	1.788914	-60.69118	
0.029	-0.1489418	0	0	0	0	0	0	3.472724	110.4212	1.777488	-62.53342	
0.03	-0.1566885	0	0	0	0	0	0	3.465338	108.8926	1.766022	-64.24786	
0.031	-0.1644648	0	0	0	0	0	0	3.457878	107.4233	1.754529	-65.84137	
0.032	-0.1722629	0	0	0	0	0	0	3.45035	106.0102	1.743022	-67.31993	
0.033	-0.1800757	0	0	0	0	0	0	3.442761	104.6505	1.731513	-68.69075	
0.034	-0.1878967	0	0	0	0	0	0	3.435118	103.3418	1.720013	-69.95963	
0.035	-0.1957197	0	0	0	0	0	0	3.427426	102.0824	1.708531	-71.133	
0.036	-0.2035393	0	0	0	0	0	0	3.419691	100.8691	1.697077	-72.21582	
0.037	-0.2113501	0	0	0	0	0	0	3.411918	99.70081	1.68566	-73.21351	
0.038	-0.2191476	0	0	0	0	0	0	3.404113	98.57432	1.674288	-74.13197	
0.039	-0.2269274	0	0	0	0	0	0	3.39628	97.48815	1.662968	-74.9754	
0.04	-0.2346855	0	0	0	0	0	0	3.388424	96.44048	1.651706	-75.74828	
0.041	-0.2424183	0	0	0	0	0	0	3.380549	95.42907	1.64051	-76.45612	
0.042	-0.2501227	0	0	0	0	0	0	3.372659	94.452	1.629384	-77.10252	
0.043	-0.2577956	0	0	0	0	0	0	3.364758	93.50735	1.618335	-77.69116	
0.044	-0.2654346	0	0	0	0	0	0	3.356848	92.59356	1.607365	-78.22676	
0.045	-0.2730373	0	0	0	0	0	0	3.348934	91.70866	1.596481	-78.71249	
0.046	-0.2806016	0	0	0	0	0	0	3.341017	90.85063	1.585685	-79.15162	
0.047	-0.2881255	0	0	0	0	0	0	3.333102	90.01787	1.574981	-79.54758	
0.048	-0.2956077	0	0	0	0	0	0	3.32519	89.21027	1.564372	-79.90372	
