Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	0	-0.2	0	
0.002	-0.0003568887	-0.199991	7.295375E-08	
0.003	-0.0007775126	-0.1999919	6.346978E-07	
0.004	-0.001178785	-0.1999917	5.512216E-06	
0.005	-0.001577081	-0.1999904	8.464142E-06	
0.006	-0.001974355	-0.199988	1.005995E-05	
0.007	-0.002371482	-0.1999846	1.073101E-05	
0.008	-0.002768822	-0.1999801	1.078444E-05	
0.009000001	-0.003166492	-0.1999748	1.044227E-05	
0.01	-0.003564499	-0.1999685	9.868074E-06	
0.011	-0.00396281	-0.1999614	9.1642E-06	
0.012	-0.00436133	-0.1999534	8.412632E-06	
0.013	-0.004760033	-0.1999445	7.664617E-06	
0.014	-0.005158886	-0.1999348	6.951666E-06	
0.015	-0.005557856	-0.1999242	6.289479E-06	
0.016	-0.005956913	-0.1999128	5.695387E-06	
0.017	-0.006356031	-0.1999006	5.168946E-06	
0.018	-0.006755188	-0.1998876	4.707401E-06	
0.019	-0.007154367	-0.1998737	4.313293E-06	
0.02	-0.007553552	-0.1998591	3.974332E-06	
0.021	-0.007952731	-0.1998436	3.690204E-06	
0.022	-0.008351894	-0.1998274	3.455863E-06	
0.023	-0.008751032	-0.1998103	3.269627E-06	
0.024	-0.009150138	-0.1997924	3.115827E-06	
0.025	-0.009549206	-0.1997738	2.996205E-06	
0.026	-0.00994823	-0.1997543	2.907374E-06	
0.027	-0.01034721	-0.199734	2.846587E-06	
0.028	-0.01074613	-0.199713	2.809244E-06	
0.029	-0.011145	-0.1996911	2.796417E-06	
0.03	-0.01154382	-0.1996685	2.792243E-06	
0.031	-0.01194257	-0.199645	2.800692E-06	
0.032	-0.01234126	-0.1996207	2.822554E-06	
0.033	-0.01273988	-0.1995957	2.860812E-06	
0.034	-0.01313843	-0.1995698	2.908278E-06	
0.035	-0.01353692	-0.1995432	2.963981E-06	
0.036	-0.01393533	-0.1995157	3.024705E-06	
0.037	-0.01433367	-0.1994875	3.092629E-06	
0.038	-0.01473193	-0.1994585	3.171869E-06	
0.039	-0.01513011	-0.1994287	3.253778E-06	
0.04	-0.01552822	-0.1993981	3.333761E-06	
0.041	-0.01592625	-0.1993667	3.417673E-06	
0.042	-0.01632419	-0.1993345	3.503048E-06	
0.043	-0.01672205	-0.1993015	3.595022E-06	
0.044	-0.01711982	-0.1992677	3.676205E-06	
0.045	-0.01751751	-0.1992331	3.754152E-06	
0.046	-0.0179151	-0.1991977	3.832458E-06	
0.047	-0.01831261	-0.1991615	3.909225E-06	
0.048	-0.01871002	-0.1991246	3.994814E-06	
0.049	-0.01910733	-0.1990868	4.073666E-06	
0.05	-0.01950456	-0.1990483	4.159583E-06	
0.051	-0.01990168	-0.199009	4.246809E-06	
0.052	-0.02029871	-0.1989688	4.333109E-06	
0.053	-0.02069563	-0.1989279	4.41428E-06	
0.054	-0.02109246	-0.1988862	4.50366E-06	
0.055	-0.02148918	-0.1988437	4.590414E-06	
0.056	-0.02188579	-0.1988004	4.672992E-06	
0.057	-0.0222823	-0.1987564	4.754863E-06	
0.058	-0.0226787	-0.1987115	4.841208E-06	
0.059	-0.02307499	-0.1986659	4.931371E-06	
0.06	-0.02347116	-0.1986194	5.017634E-06	
0.061	-0.02386723	-0.1985722	5.103317E-06	
0.062	-0.02426318	-0.1985242	5.19107E-06	
0.063	-0.02465901	-0.1984754	5.285321E-06	
0.064	-0.02505473	-0.1984258	5.377711E-06	
0.06500001	-0.02545032	-0.1983754	5.466275E-06	
0.066	-0.0258458	-0.1983243	5.556508E-06	
0.067	-0.02624115	-0.1982723	5.650403E-06	
0.068	-0.02663638	-0.1982196	5.747303E-06	
0.06900001	-0.02703148	-0.1981661	5.839343E-06	
0.07	-0.02742646	-0.1981118	5.929673E-06	
0.071	-0.02782131	-0.1980567	6.018504E-06	
0.072	-0.02821602	-0.1980008	6.098817E-06	
0.07300001	-0.02861061	-0.1979441	6.184047E-06	
0.074	-0.02900506	-0.1978867	6.280086E-06	
0.075	-0.02939938	-0.1978285	6.382162E-06	
0.07600001	-0.02979356	-0.1977695	6.476739E-06	
0.07700001	-0.0301876	-0.1977097	6.569691E-06	
0.078	-0.0305815	-0.1976491	6.660935E-06	
0.079	-0.03097526	-0.1975878	6.745652E-06	
0.08000001	-0.03136888	-0.1975256	6.834199E-06	
0.081	-0.03176235	-0.1974627	6.925345E-06	
0.082	-0.03215567	-0.197399	7.022777E-06	
0.083	-0.03254885	-0.1973345	7.119913E-06	
0.08400001	-0.03294188	-0.1972693	7.21614E-06	
0.085	-0.03333476	-0.1972032	7.310969E-06	
0.086	-0.03372749	-0.1971364	7.40155E-06	
0.087	-0.03412006	-0.1970688	7.492831E-06	
0.08800001	-0.03451247	-0.1970004	7.576754E-06	
0.089	-0.03490473	-0.1969313	7.665911E-06	
0.09	-0.03529683	-0.1968614	7.758341E-06	
0.09100001	-0.03568877	-0.1967907	7.847783E-06	
0.09200001	-0.03608055	-0.1967192	7.941094E-06	
0.093	-0.03647216	-0.1966469	8.036567E-06	
0.094	-0.03686361	-0.1965739	8.130268E-06	
0.09500001	-0.0372549	-0.1965	8.216665E-06	
0.096	-0.03764601	-0.1964255	8.312902E-06	
0.097	-0.03803696	-0.1963501	8.40386E-06	
0.098	-0.03842774	-0.196274	8.50151E-06	
0.09900001	-0.03881834	-0.196197	8.593673E-06	
0.1	-0.03920877	-0.1961194	8.687369E-06	
0.101	-0.03959902	-0.1960409	8.783444E-06	
