Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	-0.0002137331	-0.200005	2.577901E-07	
0.002	-0.0005170202	-0.2000122	1.046062E-06	
0.003	-0.0008693422	-0.20002	2.460182E-06	
0.004	-0.001249662	-0.2000276	4.512072E-06	
0.005	-0.001646106	-0.2000345	7.18981E-06	
0.006	-0.00205172	-0.2000403	1.044273E-05	
0.007	-0.002462379	-0.200045	1.421869E-05	
0.008	-0.002875635	-0.2000486	1.844764E-05	
0.009000001	-0.00329004	-0.2000509	2.306104E-05	
0.01	-0.003704753	-0.2000519	2.799183E-05	
0.011	-0.004119291	-0.2000518	3.316701E-05	
0.012	-0.004533388	-0.2000505	3.852099E-05	
0.013	-0.004946906	-0.2000479	4.397929E-05	
0.014	-0.005359783	-0.2000442	4.948676E-05	
0.015	-0.005771999	-0.2000393	5.497188E-05	
0.016	-0.00618356	-0.2000334	6.038994E-05	
0.017	-0.006594482	-0.2000262	6.568432E-05	
0.018	-0.007004791	-0.200018	7.081032E-05	
0.019	-0.007414516	-0.2000087	7.572473E-05	
0.02	-0.007823683	-0.1999983	8.038879E-05	
0.021	-0.008232321	-0.1999869	8.477718E-05	
0.022	-0.008640456	-0.1999744	8.885712E-05	
0.023	-0.009048113	-0.1999609	9.261072E-05	
0.024	-0.009455314	-0.1999464	9.602011E-05	
0.025	-0.009862082	-0.1999308	9.907037E-05	
0.026	-0.01026844	-0.1999143	0.0001017615	
0.027	-0.0106744	-0.1998967	0.0001040831	
0.028	-0.01107998	-0.1998782	0.0001060396	
0.029	-0.0114852	-0.1998587	0.0001076341	
0.03	-0.01189008	-0.1998382	0.0001088738	
0.031	-0.01229463	-0.1998168	0.0001097769	
0.032	-0.01269886	-0.1997944	0.0001103461	
0.033	-0.01310279	-0.1997711	0.0001106069	
0.034	-0.01350642	-0.1997469	0.0001105681	
0.035	-0.01390977	-0.1997217	0.0001102582	
0.036	-0.01431284	-0.1996956	0.0001096934	
0.037	-0.01471566	-0.1996686	0.0001088992	
0.038	-0.01511822	-0.1996407	0.0001078993	
0.039	-0.01552053	-0.1996118	0.0001067206	
0.04	-0.01592261	-0.1995821	0.000105381	
0.041	-0.01632446	-0.1995515	0.0001039103	
0.042	-0.01672608	-0.19952	0.0001023233	
0.043	-0.01712749	-0.1994876	0.0001006484	
0.044	-0.01752868	-0.1994544	9.891242E-05	
0.045	-0.01792967	-0.1994202	9.713024E-05	
0.046	-0.01833046	-0.1993852	9.532571E-05	
0.047	-0.01873106	-0.1993493	9.35182E-05	
0.048	-0.01913146	-0.1993126	9.172261E-05	
0.049	-0.01953168	-0.199275	8.996129E-05	
0.05	-0.01993172	-0.1992366	8.824766E-05	
0.051	-0.02033158	-0.1991973	8.659363E-05	
0.052	-0.02073126	-0.1991571	8.501112E-05	
0.053	-0.02113077	-0.1991162	8.350909E-05	
0.054	-0.02153012	-0.1990743	8.210093E-05	
0.055	-0.02192929	-0.1990316	8.079112E-05	
0.056	-0.02232831	-0.1989881	7.95871E-05	
0.057	-0.02272716	-0.1989438	7.849336E-05	
0.058	-0.02312585	-0.1988986	7.751137E-05	
0.059	-0.02352438	-0.1988526	7.664115E-05	
0.06	-0.02392276	-0.1988057	7.588715E-05	
0.061	-0.02432098	-0.1987581	7.524789E-05	
0.062	-0.02471905	-0.1987096	7.47189E-05	
0.063	-0.02511697	-0.1986603	7.42957E-05	
0.064	-0.02551474	-0.1986101	7.39798E-05	
0.06500001	-0.02591236	-0.1985592	7.376522E-05	
0.066	-0.02630983	-0.1985074	7.364452E-05	
0.067	-0.02670715	-0.1984548	7.361621E-05	
0.068	-0.02710432	-0.1984014	7.366687E-05	
0.06900001	-0.02750135	-0.1983472	7.379204E-05	
0.07	-0.02789823	-0.1982922	7.399022E-05	
0.071	-0.02829496	-0.1982363	7.424802E-05	
0.072	-0.02869155	-0.1981797	7.456243E-05	
0.07300001	-0.029088	-0.1981222	7.492155E-05	
0.074	-0.02948429	-0.1980639	7.531941E-05	
0.075	-0.02988044	-0.1980049	7.574856E-05	
0.07600001	-0.03027644	-0.197945	7.620603E-05	
0.07700001	-0.0306723	-0.1978843	7.668138E-05	
0.078	-0.03106801	-0.1978228	7.716865E-05	
0.079	-0.03146357	-0.1977605	7.766336E-05	
0.08000001	-0.03185899	-0.1976974	7.815659E-05	
0.081	-0.03225425	-0.1976335	7.864535E-05	
0.082	-0.03264937	-0.1975689	7.91207E-05	
0.083	-0.03304434	-0.1975034	7.958263E-05	
0.08400001	-0.03343916	-0.1974371	8.002519E-05	
0.085	-0.03383383	-0.19737	8.04469E-05	
0.086	-0.03422834	-0.1973021	8.084476E-05	
0.087	-0.03462271	-0.1972334	8.120984E-05	
0.08800001	-0.03501692	-0.1971639	8.15481E-05	
0.089	-0.03541098	-0.1970937	8.185059E-05	
0.09	-0.03580489	-0.1970226	8.212328E-05	
0.09100001	-0.03619864	-0.1969507	8.236021E-05	
0.09200001	-0.03659223	-0.1968781	8.256436E-05	
0.093	-0.03698566	-0.1968046	8.273125E-05	
0.094	-0.03737894	-0.1967304	8.286685E-05	
0.09500001	-0.03777206	-0.1966554	8.296967E-05	
0.096	-0.03816501	-0.1965796	8.30397E-05	
0.097	-0.03855781	-0.1965029	8.308142E-05	
0.098	-0.03895044	-0.1964255	8.308887E-05	
0.09900001	-0.03934291	-0.1963474	8.307248E-05	
0.1	-0.03973521	-0.1962684	8.30248E-05	
0.101	-0.04012735	-0.1961886	8.295775E-05	
0.102	-0.04051931	-0.1961081	8.286834E-05	
0.103	-0.04091112	-0.1960267	8.275509E-05	
0.104	-0.04130274	-0.1959445	8.262545E-05	
0.105	-0.0416942	-0.1958616	8.248091E-05	
0.106	-0.04208548	-0.1957779	8.231997E-05	
0.107	-0.0424766	-0.1956934	8.21501E-05	
0.108	-0.04286753	-0.1956082	8.19698E-05	
0.109	-0.04325829	-0.1955221	8.178353E-05	
0.11	-0.04364888	-0.1954352	8.158833E-05	
0.111	-0.04403928	-0.1953476	8.139462E-05	
0.112	-0.04442951	-0.1952592	8.119643E-05	
0.113	-0.04481955	-0.19517	8.100122E-05	
0.114	-0.04520941	-0.19508	8.0809E-05	
0.115	-0.04559908	-0.1949893	8.061827E-05	
0.116	-0.04598857	-0.1948977	8.0432E-05	
0.117	-0.04637787	-0.1948054	8.025319E-05	
0.118	-0.04676699	-0.1947123	8.007884E-05	
0.119	-0.04715591	-0.1946184	7.991493E-05	
0.12	-0.04754464	-0.1945238	7.975697E-05	
0.121	-0.04793319	-0.1944283	7.961095E-05	
0.122	-0.04832153	-0.1943321	7.947088E-05	
0.123	-0.04870968	-0.1942351	7.934272E-05	
0.124	-0.04909763	-0.1941373	7.92265E-05	
0.125	-0.04948538	-0.1940388	7.911772E-05	
0.126	-0.04987293	-0.1939395	7.902384E-05	
0.127	-0.05026029	-0.1938394	7.893593E-05	
0.128	-0.05064744	-0.1937385	7.885695E-05	
0.129	-0.05103439	-0.1936368	7.878989E-05	
0.13	-0.05142112	-0.1935344	7.873476E-05	
0.131	-0.05180766	-0.1934312	7.868111E-05	
0.132	-0.05219398	-0.1933273	7.864088E-05	
0.133	-0.0525801	-0.1932225	7.860661E-05	
0.134	-0.052966	-0.193117	7.858127E-05	
0.135	-0.05335169	-0.1930107	7.855595E-05	
0.136	-0.05373716	-0.1929036	7.854253E-05	
0.137	-0.05412243	-0.1927958	7.853359E-05	
