Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	-0.000113847	-0.200007	-7.078051E-09	
0.002	-0.000310121	-0.200019	6.705523E-08	
0.003	-0.0005686478	-0.200034	2.339482E-07	
0.004	-0.0008740962	-0.2000509	5.025417E-07	
0.005	-0.001214798	-0.2000686	8.84384E-07	
0.006	-0.001581863	-0.2000865	1.391768E-06	
0.007	-0.001968512	-0.2001039	2.032891E-06	
0.008	-0.002369575	-0.2001205	2.813339E-06	
0.009000001	-0.002781112	-0.200136	3.737956E-06	
0.01	-0.003200119	-0.2001502	4.80488E-06	
0.011	-0.003624315	-0.2001629	6.013736E-06	
0.012	-0.004051972	-0.2001741	7.358939E-06	
0.013	-0.004481782	-0.2001837	8.834526E-06	
0.014	-0.004912767	-0.2001916	1.043417E-05	
0.015	-0.005344195	-0.2001979	1.214743E-05	
0.016	-0.005775528	-0.2002025	1.396611E-05	
0.017	-0.006206374	-0.2002055	1.587942E-05	
0.018	-0.006636452	-0.2002068	1.787767E-05	
0.019	-0.007065567	-0.2002066	1.995042E-05	
0.02	-0.00749359	-0.2002048	2.208613E-05	
0.021	-0.007920439	-0.2002014	2.427548E-05	
0.022	-0.008346072	-0.2001966	2.650656E-05	
0.023	-0.008770469	-0.2001902	2.876855E-05	
0.024	-0.009193636	-0.2001825	3.10529E-05	
0.025	-0.009615588	-0.2001733	3.334731E-05	
0.026	-0.01003635	-0.2001628	3.564283E-05	
0.027	-0.01045597	-0.2001508	3.793053E-05	
0.028	-0.01087447	-0.2001376	4.019924E-05	
0.029	-0.0112919	-0.2001231	4.244112E-05	
0.03	-0.01170831	-0.2001074	4.464686E-05	
0.031	-0.01212374	-0.2000904	4.680939E-05	
0.032	-0.01253823	-0.2000722	4.892051E-05	
0.033	-0.01295183	-0.2000528	5.097278E-05	
0.034	-0.01336457	-0.2000322	5.296059E-05	
0.035	-0.01377651	-0.2000104	5.487613E-05	
0.036	-0.01418767	-0.1999876	5.671345E-05	
0.037	-0.0145981	-0.1999636	5.846843E-05	
0.038	-0.01500783	-0.1999386	6.01355E-05	
0.039	-0.01541689	-0.1999125	6.171055E-05	
0.04	-0.01582531	-0.1998853	6.318912E-05	
0.041	-0.01623314	-0.1998571	6.456897E-05	
0.042	-0.01664039	-0.1998278	6.5846E-05	
0.043	-0.01704708	-0.1997975	6.701909E-05	
0.044	-0.01745326	-0.1997663	6.808639E-05	
0.045	-0.01785894	-0.199734	6.904639E-05	
0.046	-0.01826414	-0.1997007	6.989688E-05	
0.047	-0.01866888	-0.1996665	7.063933E-05	
0.048	-0.01907319	-0.1996313	7.127188E-05	
0.049	-0.01947709	-0.1995952	7.179566E-05	
0.05	-0.01988058	-0.1995581	7.221178E-05	
0.051	-0.02028369	-0.1995201	7.252209E-05	
0.052	-0.02068644	-0.1994811	7.272661E-05	
0.053	-0.02108883	-0.1994413	7.282793E-05	
0.054	-0.02149088	-0.1994005	7.282905E-05	
0.055	-0.02189261	-0.1993588	7.273108E-05	
0.056	-0.02229403	-0.1993162	7.253811E-05	
0.057	-0.02269514	-0.1992728	7.22535E-05	
0.058	-0.02309596	-0.1992284	7.188023E-05	
0.059	-0.02349649	-0.1991832	7.142239E-05	
0.06	-0.02389676	-0.1991371	7.088408E-05	
0.061	-0.02429675	-0.1990901	7.026941E-05	
0.062	-0.0246965	-0.1990422	6.958283E-05	
0.063	-0.02509598	-0.1989935	6.882883E-05	
0.064	-0.02549523	-0.1989439	6.801113E-05	
0.06500001	-0.02589425	-0.1988935	6.713607E-05	
0.066	-0.02629303	-0.1988422	6.620735E-05	
0.067	-0.02669159	-0.1987901	6.523058E-05	
0.068	-0.02708993	-0.1987371	6.421022E-05	
0.06900001	-0.02748806	-0.1986833	6.315112E-05	
0.07	-0.02788597	-0.1986286	6.205887E-05	
0.071	-0.02828367	-0.1985732	6.093793E-05	
0.072	-0.02868118	-0.1985168	5.979426E-05	
0.07300001	-0.02907849	-0.1984597	5.863234E-05	
0.074	-0.02947561	-0.1984017	5.745627E-05	
0.075	-0.02987252	-0.1983429	5.627126E-05	
0.07600001	-0.03026925	-0.1982833	5.508252E-05	
0.07700001	-0.03066579	-0.1982228	5.389377E-05	
0.078	-0.03106215	-0.1981616	5.270988E-05	
0.079	-0.03145832	-0.1980995	5.153529E-05	
0.08000001	-0.03185432	-0.1980366	5.037412E-05	
0.081	-0.03225012	-0.1979728	4.922934E-05	
0.082	-0.03264576	-0.1979083	4.810579E-05	
0.083	-0.03304121	-0.197843	4.700683E-05	
0.08400001	-0.03343649	-0.1977768	4.593581E-05	
0.085	-0.03383159	-0.1977099	4.489608E-05	
0.086	-0.03422651	-0.1976421	4.3891E-05	
0.087	-0.03462127	-0.1975735	4.292242E-05	
0.08800001	-0.03501585	-0.1975041	4.199408E-05	
0.089	-0.03541026	-0.197434	4.110672E-05	
0.09	-0.03580449	-0.197363	4.026294E-05	
0.09100001	-0.03619855	-0.1972912	3.946647E-05	
0.09200001	-0.03659244	-0.1972186	3.87162E-05	
0.093	-0.03698616	-0.1971453	3.80151E-05	
0.094	-0.0373797	-0.1970711	3.736466E-05	
0.09500001	-0.03777307	-0.1969961	3.676452E-05	
0.096	-0.03816627	-0.1969203	3.621616E-05	
0.097	-0.03855929	-0.1968438	3.571995E-05	
0.098	-0.03895214	-0.1967664	3.527664E-05	
0.09900001	-0.03934482	-0.1966883	3.488548E-05	
0.1	-0.03973732	-0.1966093	3.45476E-05	
0.101	-0.04012965	-0.1965296	3.426224E-05	
0.102	-0.0405218	-0.1964491	3.402755E-05	
0.103	-0.04091377	-0.1963677	3.384389E-05	
0.104	-0.04130556	-0.1962856	3.371164E-05	
0.105	-0.04169718	-0.1962027	3.362745E-05	
0.106	-0.04208862	-0.1961191	3.359206E-05	
0.107	-0.04247988	-0.1960346	3.360324E-05	
0.108	-0.04287096	-0.1959493	3.365986E-05	
0.109	-0.04326186	-0.1958633	3.376007E-05	
0.11	-0.04365257	-0.1957765	3.390275E-05	
0.111	-0.04404309	-0.1956888	3.408566E-05	
0.112	-0.04443344	-0.1956005	3.430694E-05	
0.113	-0.04482359	-0.1955113	3.456399E-05	
0.114	-0.04521357	-0.1954213	3.485568E-05	
0.115	-0.04560335	-0.1953305	3.517829E-05	
0.116	-0.04599294	-0.195239	3.553107E-05	
0.117	-0.04638235	-0.1951467	3.591143E-05	
0.118	-0.04677156	-0.1950536	3.631674E-05	
0.119	-0.04716058	-0.1949597	3.674589E-05	
0.12	-0.0475494	-0.1948651	3.719479E-05	
0.121	-0.04793803	-0.1947697	3.766231E-05	
0.122	-0.04832647	-0.1946734	3.814511E-05	
0.123	-0.0487147	-0.1945764	3.864057E-05	
0.124	-0.04910274	-0.1944787	3.914721E-05	
0.125	-0.04949057	-0.1943801	3.966242E-05	
0.126	-0.04987821	-0.1942808	4.018396E-05	
0.127	-0.05026564	-0.1941807	4.070923E-05	
0.128	-0.05065287	-0.1940798	4.123636E-05	
0.129	-0.05103989	-0.1939782	4.176311E-05	
0.13	-0.0514267	-0.1938757	4.228763E-05	
0.131	-0.05181331	-0.1937725	4.280694E-05	
0.132	-0.0521997	-0.1936686	4.332066E-05	
0.133	-0.05258589	-0.1935638	4.382543E-05	
0.134	-0.05297187	-0.1934583	4.431978E-05	
0.135	-0.05335762	-0.193352	4.480295E-05	
0.136	-0.05374316	-0.1932449	4.527197E-05	
0.137	-0.05412849	-0.1931371	4.572645E-05	
0.138	-0.0545136	-0.1930285	4.616454E-05	
0.139	-0.05489848	-0.1929191	4.658476E-05	
0.14	-0.05528315	-0.192809	4.698597E-05	
0.141	-0.05566759	-0.192698	4.736744E-05	
0.142	-0.05605181	-0.1925864	4.772767E-05	
0.143	-0.0564358	-0.1924739	4.806705E-05	
0.144	-0.05681957	-0.1923607	4.838332E-05	
0.145	-0.05720311	-0.1922467	4.867651E-05	
0.146	-0.05758642	-0.1921319	4.894584E-05	
0.147	-0.0579695	-0.1920164	4.91906E-05	
0.148	-0.05835233	-0.1919001	4.94115E-05	
0.149	-0.05873495	-0.191783	4.960708E-05	
0.15	-0.05911732	-0.1916652	4.977733E-05	
0.151	-0.05949945	-0.1915466	4.992262E-05	
0.152	-0.05988136	-0.1914272	5.004369E-05	
0.153	-0.06026301	-0.1913071	5.013906E-05	
0.154	-0.06064443	-0.1911862	5.021058E-05	
0.155	-0.0610256	-0.1910646	5.025789E-05	
0.156	-0.06140653	-0.1909422	5.028211E-05	
0.157	-0.0617872	-0.190819	5.028211E-05	
0.158	-0.06216764	-0.1906951	5.025975E-05	
0.159	-0.06254783	-0.1905704	5.02143E-05	
0.16	-0.06292776	-0.1904449	5.014874E-05	
0.161	-0.06330744	-0.1903187	5.006194E-05	
0.162	-0.06368687	-0.1901918	4.99554E-05	
0.163	-0.06406604	-0.190064	4.982948E-05	
0.164	-0.06444496	-0.1899355	4.968606E-05	
0.165	-0.06482361	-0.1898063	4.952476E-05	
0.166	-0.06520201	-0.1896763	4.934706E-05	
0.167	-0.06558014	-0.1895455	4.915521E-05	
0.168	-0.06595802	-0.189414	4.894883E-05	
0.169	-0.06633563	-0.1892817	4.872941E-05	
0.17	-0.06671298	-0.1891487	4.849807E-05	
0.171	-0.06709005	-0.1890149	4.825629E-05	
0.172	-0.06746686	-0.1888804	4.800484E-05	
0.173	-0.0678434	-0.1887451	4.774407E-05	
0.174	-0.06821966	-0.1886091	4.747659E-05	
0.175	-0.06859566	-0.1884723	4.720204E-05	
0.176	-0.06897137	-0.1883347	4.692264E-05	
0.177	-0.06934681	-0.1881964	4.66384E-05	
0.178	-0.06972197	-0.1880574	4.635155E-05	
0.179	-0.07009687	-0.1879176	4.606247E-05	
0.18	-0.07047146	-0.187777	4.577227E-05	
0.181	-0.07084578	-0.1876357	4.548207E-05	
0.182	-0.07121982	-0.1874937	4.519261E-05	
0.183	-0.07159358	-0.1873509	4.490577E-05	
0.184	-0.07196705	-0.1872073	4.46219E-05	
0.185	-0.07234023	-0.187063	4.434064E-05	
0.186	-0.07271311	-0.186918	4.406497E-05	
0.187	-0.07308572	-0.1867722	4.379414E-05	
0.188	-0.07345802	-0.1866257	4.353002E-05	
0.189	-0.07383004	-0.1864784	4.327223E-05	
0.19	-0.07420176	-0.1863304	4.302226E-05	
0.191	-0.07457318	-0.1861817	4.278049E-05	
0.192	-0.07494429	-0.1860322	4.254729E-05	
0.193	-0.07531512	-0.1858819	4.23234E-05	
0.194	-0.07568564	-0.1857309	4.210882E-05	
0.195	-0.07605585	-0.1855792	4.19043E-05	
0.196	-0.07642578	-0.1854268	4.170984E-05	
0.197	-0.07679538	-0.1852736	4.152619E-05	
0.198	-0.07716469	-0.1851196	4.13537E-05	
0.199	-0.07753368	-0.1849649	4.119128E-05	
0.2	-0.07790237	-0.1848095	4.10419E-05	
0.201	-0.07827073	-0.1846533	4.090294E-05	
0.202	-0.0786388	-0.1844964	4.077628E-05	
0.203	-0.07900655	-0.1843388	4.06608E-05	
0.204	-0.07937398	-0.1841805	4.055724E-05	
0.205	-0.07974108	-0.1840214	4.046522E-05	
0.206	-0.08010787	-0.1838615	4.038476E-05	
0.207	-0.08047434	-0.1837009	4.031435E-05	
0.208	-0.08084049	-0.1835397	4.025623E-05	
0.209	-0.08120631	-0.1833776	4.020855E-05	
0.21	-0.08157181	-0.1832149	4.01713E-05	
0.211	-0.08193699	-0.1830514	4.014447E-05	
