Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0	-0.07	0	-0.05	-0.35	-0.07	0	0.05	-0.35	
0.0004	-0.07	0	-0.05	-0.35	-0.07	0	0.05	-0.35	
0.0008	-0.07	0	-0.05	-0.3500016	-0.07	0	0.05	-0.3500016	
0.0012	-0.07	0	-0.04999953	-0.3500013	-0.07	0	0.05000047	-0.3500012	
0.0016	-0.07	0	-0.04999828	-0.3500012	-0.07	0	0.05000172	-0.3500008	
0.002	-0.07	0	-0.04999604	-0.3500014	-0.07	0	0.05000396	-0.3500002	
0.0024	-0.07	0	-0.04999268	-0.3500017	-0.07	0	0.05000732	-0.3499996	
0.0028	-0.07	0	-0.04998809	-0.3500022	-0.07	0	0.05001191	-0.3499988	
0.0032	-0.07	0	-0.04998223	-0.350003	-0.07	0	0.05001777	-0.3499979	
0.0036	-0.07	0	-0.04997505	-0.3500039	-0.07	0	0.05002495	-0.3499968	
0.004	-0.07	0	-0.04996652	-0.3500051	-0.07	0	0.05003348	-0.3499955	
0.0044	-0.07	0	-0.04995663	-0.3500064	-0.07	0	0.05004337	-0.349994	
0.0048	-0.07	0	-0.04994536	-0.350008	-0.07	0	0.05005464	-0.3499924	
0.0052	-0.07	0	-0.0499327	-0.3500098	-0.07	0	0.05006729	-0.3499905	
0.0056	-0.07	0	-0.04991866	-0.3500117	-0.07	0	0.05008134	-0.3499885	
0.006	-0.07	0	-0.04990323	-0.3500139	-0.07	0	0.05009677	-0.3499863	
0.0064	-0.07	0	-0.0498864	-0.3500163	-0.07	0	0.0501136	-0.3499838	
0.0068	-0.07	0	-0.04986817	-0.3500189	-0.07	0	0.05013182	-0.3499812	
0.0072	-0.07	0	-0.04984855	-0.3500217	-0.07	0	0.05015144	-0.3499784	
0.0076	-0.07	0	-0.04982753	-0.3500246	-0.07	0	0.05017247	-0.3499753	
0.007999999	-0.07	0	-0.0498051	-0.3500278	-0.07	0	0.05019488	-0.3499721	
0.0084	-0.07	0	-0.04978129	-0.3500312	-0.07	0	0.0502187	-0.3499687	
0.0088	-0.07	0	-0.04975607	-0.3500348	-0.07	0	0.05024391	-0.3499651	
0.0092	-0.07	0	-0.04972945	-0.3500386	-0.07	0	0.05027052	-0.3499613	
0.0096	-0.07	0	-0.04970144	-0.3500426	-0.07	0	0.05029853	-0.3499572	
0.01	-0.07	0	-0.04967202	-0.3500467	-0.07	0	0.05032793	-0.349953	
0.0104	-0.07	0	-0.04964121	-0.3500511	-0.07	0	0.05035874	-0.3499486	
0.0108	-0.07	0	-0.049609	-0.3500557	-0.07	0	0.05039094	-0.3499439	
0.0112	-0.07	0	-0.04957539	-0.3500604	-0.07	0	0.05042454	-0.3499391	
0.0116	-0.07	0	-0.04954038	-0.3500654	-0.07	0	0.05045953	-0.3499341	
0.012	-0.07	0	-0.04950397	-0.3500705	-0.07	0	0.05049593	-0.3499288	
0.0124	-0.07	0	-0.04946617	-0.3500758	-0.07	0	0.05053372	-0.3499233	
0.0128	-0.07	0	-0.04942697	-0.3500814	-0.07	0	0.0505729	-0.3499177	
0.0132	-0.07	0	-0.04938636	-0.3500871	-0.07	0	0.05061349	-0.3499118	
0.0136	-0.07	0	-0.04934436	-0.350093	-0.07	0	0.05065547	-0.3499057	
0.014	-0.07	0	-0.04930096	-0.3500991	-0.07	0	0.05069884	-0.3498995	
0.0144	-0.07	0	-0.04925617	-0.3501055	-0.07	0	0.05074361	-0.3498929	
0.0148	-0.07	0	-0.04920998	-0.3501119	-0.07	0	0.05078977	-0.3498863	
0.0152	-0.07	0	-0.04916238	-0.3501186	-0.07	0	0.05083733	-0.3498794	
0.0156	-0.07	0	-0.0491134	-0.3501255	-0.07	0	0.05088628	-0.3498722	
0.016	-0.07	0	-0.04906301	-0.3501326	-0.07	0	0.05093663	-0.3498649	
0.0164	-0.07	0	-0.04901123	-0.3501398	-0.07	0	0.05098837	-0.3498574	
0.0168	-0.07	0	-0.04895805	-0.3501473	-0.07	0	0.05104151	-0.3498496	
0.0172	-0.07	0	-0.04890348	-0.3501549	-0.07	0	0.05109603	-0.3498417	
0.0176	-0.07	0	-0.0488475	-0.3501627	-0.07	0	0.05115196	-0.3498335	
0.018	-0.07	0	-0.04879013	-0.3501707	-0.07	0	0.05120927	-0.3498251	
0.0184	-0.07	0	-0.04873137	-0.3501789	-0.07	0	0.05126798	-0.3498165	
0.0188	-0.07	0	-0.04867121	-0.3501873	-0.07	0	0.05132807	-0.3498077	
0.0192	-0.07	0	-0.04860965	-0.3501958	-0.07	0	0.05138956	-0.3497986	
0.0196	-0.07	0	-0.0485467	-0.3502045	-0.07	0	0.05145244	-0.3497894	
0.02	-0.07	0	-0.04848235	-0.3502134	-0.07	0	0.05151671	-0.34978	
0.0204	-0.07	0	-0.0484166	-0.3502226	-0.07	0	0.05158237	-0.3497703	
0.0208	-0.07	0	-0.04834947	-0.3502318	-0.07	0	0.05164943	-0.3497604	
0.0212	-0.07	0	-0.04828093	-0.3502413	-0.07	0	0.05171787	-0.3497503	
0.0216	-0.07	0	-0.048211	-0.3502509	-0.07	0	0.0517877	-0.3497399	
0.022	-0.07	0	-0.04813967	-0.3502607	-0.07	0	0.05185891	-0.3497294	
0.0224	-0.07	0	-0.04806696	-0.3502707	-0.07	0	0.05193153	-0.3497186	
0.0228	-0.07	0	-0.04799284	-0.3502809	-0.07	0	0.05200552	-0.3497076	
0.0232	-0.07	0	-0.04791733	-0.3502912	-0.07	0	0.0520809	-0.3496964	
0.0236	-0.07	0	-0.04784043	-0.3503017	-0.07	0	0.05215767	-0.349685	
0.024	-0.07	0	-0.04776214	-0.3503124	-0.07	0	0.05223582	-0.3496733	
0.0244	-0.07	0	-0.04768245	-0.3503232	-0.07	0	0.05231536	-0.3496614	
0.0248	-0.07	0	-0.04760136	-0.3503343	-0.07	0	0.05239629	-0.3496493	
0.0252	-0.07	0	-0.04751889	-0.3503455	-0.07	0	0.0524786	-0.3496369	
0.0256	-0.07	0	-0.04743502	-0.3503568	-0.07	0	0.0525623	-0.3496244	
0.026	-0.07	0	-0.04734976	-0.3503684	-0.07	0	0.05264738	-0.3496116	
0.0264	-0.07	0	-0.04726311	-0.3503801	-0.07	0	0.05273384	-0.3495985	
0.0268	-0.07	0	-0.04717506	-0.3503919	-0.07	0	0.05282168	-0.3495853	
