Time	BoxContact	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0	-0.07	-0.07	0	0.05	-0.35	
0.0004	-0.07	-0.07	0	0.05	-0.35	
0.0008	-0.07	-0.07	0	0.05	-0.3500016	
0.0012	-0.07	-0.07	0	0.05000047	-0.3500012	
0.0016	-0.07	-0.07	0	0.05000172	-0.3500008	
0.002	-0.07	-0.07	0	0.05000396	-0.3500002	
0.0024	-0.07	-0.07	0	0.05000732	-0.3499996	
0.0028	-0.07	-0.07	0	0.05001191	-0.3499988	
0.0032	-0.07	-0.07	0	0.05001777	-0.3499979	
0.0036	-0.07	-0.07	0	0.05002495	-0.3499968	
0.004	-0.07	-0.07	0	0.05003348	-0.3499955	
0.0044	-0.07	-0.07	0	0.05004337	-0.349994	
0.0048	-0.07	-0.07	0	0.05005464	-0.3499924	
0.0052	-0.07	-0.07	0	0.05006729	-0.3499905	
0.0056	-0.07	-0.07	0	0.05008134	-0.3499885	
0.006	-0.07	-0.07	0	0.05009677	-0.3499863	
0.0064	-0.07	-0.07	0	0.0501136	-0.3499838	
0.0068	-0.07	-0.07	0	0.05013182	-0.3499812	
0.0072	-0.07	-0.07	0	0.05015144	-0.3499784	
0.0076	-0.07	-0.07	0	0.05017247	-0.3499753	
0.007999999	-0.07	-0.07	0	0.05019488	-0.3499721	
0.0084	-0.07	-0.07	0	0.0502187	-0.3499687	
0.0088	-0.07	-0.07	0	0.05024391	-0.3499651	
0.0092	-0.07	-0.07	0	0.05027052	-0.3499613	
0.0096	-0.07	-0.07	0	0.05029853	-0.3499572	
0.01	-0.07	-0.07	0	0.05032793	-0.349953	
0.0104	-0.07	-0.07	0	0.05035874	-0.3499486	
0.0108	-0.07	-0.07	0	0.05039094	-0.3499439	
0.0112	-0.07	-0.07	0	0.05042454	-0.3499391	
0.0116	-0.07	-0.07	0	0.05045953	-0.3499341	
0.012	-0.07	-0.07	0	0.05049593	-0.3499288	
0.0124	-0.07	-0.07	0	0.05053372	-0.3499233	
0.0128	-0.07	-0.07	0	0.0505729	-0.3499177	
0.0132	-0.07	-0.07	0	0.05061349	-0.3499118	
0.0136	-0.07	-0.07	0	0.05065547	-0.3499057	
0.014	-0.07	-0.07	0	0.05069884	-0.3498995	
0.0144	-0.07	-0.07	0	0.05074361	-0.3498929	
0.0148	-0.07	-0.07	0	0.05078977	-0.3498863	
0.0152	-0.07	-0.07	0	0.05083733	-0.3498794	
0.0156	-0.07	-0.07	0	0.05088628	-0.3498722	
0.016	-0.07	-0.07	0	0.05093663	-0.3498649	
0.0164	-0.07	-0.07	0	0.05098837	-0.3498574	
0.0168	-0.07	-0.07	0	0.05104151	-0.3498496	
0.0172	-0.07	-0.07	0	0.05109603	-0.3498417	
0.0176	-0.07	-0.07	0	0.05115196	-0.3498335	
0.018	-0.07	-0.07	0	0.05120927	-0.3498251	
0.0184	-0.07	-0.07	0	0.05126798	-0.3498165	
0.0188	-0.07	-0.07	0	0.05132807	-0.3498077	
0.0192	-0.07	-0.07	0	0.05138956	-0.3497986	
0.0196	-0.07	-0.07	0	0.05145244	-0.3497894	
0.02	-0.07	-0.07	0	0.05151671	-0.34978	
0.0204	-0.07	-0.07	0	0.05158237	-0.3497703	
0.0208	-0.07	-0.07	0	0.05164943	-0.3497604	
0.0212	-0.07	-0.07	0	0.05171787	-0.3497503	
0.0216	-0.07	-0.07	0	0.0517877	-0.3497399	
0.022	-0.07	-0.07	0	0.05185891	-0.3497294	
0.0224	-0.07	-0.07	0	0.05193153	-0.3497186	
0.0228	-0.07	-0.07	0	0.05200552	-0.3497076	
0.0232	-0.07	-0.07	0	0.0520809	-0.3496964	
0.0236	-0.07	-0.07	0	0.05215767	-0.349685	
0.024	-0.07	-0.07	0	0.05223582	-0.3496733	
0.0244	-0.07	-0.07	0	0.05231536	-0.3496614	
0.0248	-0.07	-0.07	0	0.05239629	-0.3496493	
0.0252	-0.07	-0.07	0	0.0524786	-0.3496369	
0.0256	-0.07	-0.07	0	0.0525623	-0.3496244	
0.026	-0.07	-0.07	0	0.05264738	-0.3496116	
0.0264	-0.07	-0.07	0	0.05273384	-0.3495985	
0.0268	-0.07	-0.07	0	0.05282168	-0.3495853	
0.0272	-0.07	-0.07	0	0.05291091	-0.3495718	
0.0276	-0.07	-0.07	0	0.05300152	-0.3495581	
0.028	-0.07	-0.07	0	0.05309352	-0.3495441	
0.0284	-0.07	-0.07	0	0.05318689	-0.3495299	
0.0288	-0.07	-0.07	0	0.05328164	-0.3495154	
0.0292	-0.07	-0.07	0	0.05337777	-0.3495008	
0.0296	-0.07	-0.07	0	0.05347529	-0.3494859	
0.03	-0.07	-0.07	0	0.05357417	-0.3494707	
0.0304	-0.07	-0.07	0	0.05367444	-0.3494553	
0.0308	-0.07	-0.07	0	0.05377609	-0.3494397	
0.0312	-0.07	-0.07	0	0.05387911	-0.3494239	
0.0316	-0.07	-0.07	0	0.0539835	-0.3494077	
0.032	-0.07	-0.07	0	0.05408927	-0.3493914	
0.0324	-0.07	-0.07	0	0.05419642	-0.3493747	
0.0328	-0.07	-0.07	0	0.05430494	-0.3493579	
0.0332	-0.07	-0.07	0	0.05441483	-0.3493408	
0.0336	-0.07	-0.07	0	0.0545261	-0.3493235	
0.034	-0.07	-0.07	0	0.05463874	-0.3493058	
0.0344	-0.07	-0.07	0	0.05475274	-0.349288	
0.0348	-0.07	-0.07	0	0.05486813	-0.3492699	
0.0352	-0.07	-0.07	0	0.05498488	-0.3492515	
0.0356	-0.07	-0.07	0	0.05510299	-0.3492329	
0.036	-0.07	-0.07	0	0.05522248	-0.349214	
0.0364	-0.07	-0.07	0	0.05534334	-0.3491949	
0.0368	-0.07	-0.07	0	0.05546556	-0.3491755	
0.0372	-0.07	-0.07	0	0.05558915	-0.3491559	
0.0376	-0.07	-0.07	0	0.0557141	-0.3491359	
0.038	-0.07	-0.07	0	0.05584041	-0.3491158	
0.0384	-0.07	-0.07	0	0.05596809	-0.3490953	
0.0388	-0.07	-0.07	0	0.05609714	-0.3490746	
0.0392	-0.07	-0.07	0	0.05622755	-0.3490536	
0.0396	-0.07	-0.07	0	0.05635932	-0.3490324	
0.04	-0.07	-0.07	0	0.05649244	-0.3490108	
0.0404	-0.07	-0.07	0	0.05662693	-0.348989	
0.0408	-0.07	-0.07	0	0.05676278	-0.348967	
0.0412	-0.07	-0.07	0	0.05689998	-0.3489446	
0.0416	-0.07	-0.07	0	0.05703855	-0.348922	
0.042	-0.07	-0.07	0	0.05717847	-0.3488991	
0.0424	-0.07	-0.07	0	0.05731974	-0.3488759	
0.0428	-0.07	-0.07	0	0.05746237	-0.3488525	
0.0432	-0.07	-0.07	0	0.05760635	-0.3488287	
0.0436	-0.07	-0.07	0	0.05775169	-0.3488047	
0.044	-0.07	-0.07	0	0.05789838	-0.3487803	
0.0444	-0.07	-0.07	0	0.05804641	-0.3487557	
0.0448	-0.07	-0.07	0	0.05819581	-0.3487308	
0.0452	-0.07	-0.07	0	0.05834654	-0.3487056	
0.0456	-0.07	-0.07	0	0.05849863	-0.3486801	
