Time	MeshX	MeshY	
0	-0.3	0	
0.001	-0.3	0	
0.002	-0.3	-9.093786E-06	
0.003	-0.3	-2.727827E-05	
0.004	-0.3	-5.455376E-05	
0.005	-0.3	-9.092045E-05	
0.006	-0.3	-0.0001363785	
0.007	-0.3	-0.000190928	
0.008	-0.2999999	-0.0002545691	
0.009000001	-0.2999998	-0.0003273017	
0.01	-0.2999997	-0.000409126	
0.011	-0.2999996	-0.0005000419	
0.012	-0.2999994	-0.0006000494	
0.013	-0.2999992	-0.0007091485	
0.014	-0.2999989	-0.0008273391	
0.015	-0.2999986	-0.0009546213	
0.016	-0.2999981	-0.001090995	
0.017	-0.2999976	-0.00123646	
0.018	-0.2999969	-0.001391016	
0.019	-0.2999961	-0.001554663	
0.02	-0.2999952	-0.001727402	
0.021	-0.2999941	-0.00190923	
0.022	-0.2999929	-0.00210015	
0.023	-0.2999914	-0.00230016	
0.024	-0.2999898	-0.00250926	
0.025	-0.2999879	-0.00272745	
0.026	-0.2999858	-0.002954729	
0.027	-0.2999834	-0.003191097	
0.028	-0.2999807	-0.003436554	
0.029	-0.2999777	-0.003691099	
0.03	-0.2999744	-0.003954732	
0.031	-0.2999707	-0.004227452	
0.032	-0.2999666	-0.004509257	
0.033	-0.2999621	-0.004800148	
0.034	-0.2999572	-0.005100125	
0.035	-0.2999519	-0.005409184	
0.036	-0.299946	-0.005727326	
0.037	-0.2999396	-0.00605455	
0.038	-0.2999327	-0.006390856	
0.039	-0.2999252	-0.00673624	
0.04	-0.299917	-0.007090702	
0.041	-0.2999083	-0.00745424	
0.042	-0.2998988	-0.007826854	
0.043	-0.2998887	-0.00820854	
0.044	-0.2998778	-0.008599298	
0.045	-0.2998661	-0.008999125	
0.046	-0.2998536	-0.009408019	
0.047	-0.2998403	-0.009825978	
0.048	-0.299826	-0.010253	
0.049	-0.2998109	-0.01068908	
0.05	-0.2997947	-0.01113422	
0.051	-0.2997776	-0.01158841	
0.052	-0.2997594	-0.01205166	
0.053	-0.2997401	-0.01252395	
0.054	-0.2997197	-0.01300529	
0.055	-0.2996981	-0.01349566	
0.056	-0.2996752	-0.01399507	
0.057	-0.2996511	-0.01450352	
0.058	-0.2996257	-0.01502099	
0.059	-0.2995989	-0.01554749	
0.06	-0.2995707	-0.016083	
0.061	-0.2995411	-0.01662753	
0.062	-0.2995099	-0.01718107	
0.063	-0.2994772	-0.01774361	
0.064	-0.2994429	-0.01831514	
0.06500001	-0.2994069	-0.01889567	
0.066	-0.2993692	-0.01948518	
0.067	-0.2993297	-0.02008366	
0.068	-0.2992884	-0.02069112	
