Time	MeshX	MeshY	
0	0.08000001	-0.35	
0.001	0.07947036	-0.3500007	
0.002	0.07887603	-0.3500009	
0.003	0.07827356	-0.3499998	
0.004	0.07767019	-0.3499975	
0.005	0.07706686	-0.3499938	
0.006	0.07646369	-0.3499889	
0.007	0.07586068	-0.3499827	
0.008	0.07525784	-0.3499752	
0.009000001	0.07465515	-0.3499665	
0.01	0.07405261	-0.3499564	
0.011	0.07345023	-0.3499452	
0.012	0.07284799	-0.3499326	
0.013	0.0722459	-0.3499188	
0.014	0.07164394	-0.3499038	
0.015	0.07104212	-0.3498874	
0.016	0.07044043	-0.3498698	
0.017	0.06983888	-0.3498511	
0.018	0.06923746	-0.349831	
0.019	0.06863616	-0.3498097	
0.02	0.06803499	-0.3497872	
0.021	0.06743394	-0.3497634	
0.022	0.06683301	-0.3497384	
0.023	0.06623222	-0.3497121	
0.024	0.06563154	-0.3496846	
0.025	0.06503098	-0.349656	
0.026	0.06443053	-0.349626	
0.027	0.06383022	-0.3495948	
0.028	0.06323002	-0.3495624	
0.029	0.06262993	-0.3495288	
0.03	0.06202998	-0.349494	
0.031	0.06143013	-0.3494579	
0.032	0.0608304	-0.3494206	
0.033	0.0602308	-0.3493821	
0.034	0.05963131	-0.3493423	
0.035	0.05903193	-0.3493014	
0.036	0.0584327	-0.3492593	
0.037	0.05783357	-0.3492159	
0.038	0.05723456	-0.3491713	
0.039	0.05663569	-0.3491255	
0.04	0.05603693	-0.3490785	
0.041	0.05543829	-0.3490303	
0.042	0.05483979	-0.3489808	
0.043	0.05424141	-0.3489302	
0.044	0.05364316	-0.3488784	
0.045	0.05304503	-0.3488253	
0.046	0.05244703	-0.348771	
0.047	0.05184918	-0.3487155	
0.048	0.05125144	-0.3486589	
0.049	0.05065384	-0.348601	
0.05	0.05005638	-0.3485419	
0.051	0.04945906	-0.3484816	
0.052	0.04886188	-0.3484201	
0.053	0.04826484	-0.3483574	
0.054	0.04766793	-0.3482935	
0.055	0.04707117	-0.3482284	
0.056	0.04647456	-0.3481621	
0.057	0.04587809	-0.3480947	
0.058	0.04528178	-0.3480259	
0.059	0.04468561	-0.347956	
0.06	0.0440896	-0.347885	
0.061	0.04349374	-0.3478127	
0.062	0.04289804	-0.3477392	
0.063	0.0423025	-0.3476645	
0.064	0.04170711	-0.3475886	
0.06500001	0.04111189	-0.3475116	
0.066	0.04051683	-0.3474333	
0.067	0.03992194	-0.3473538	
0.068	0.03932722	-0.3472732	
0.06900001	0.03873266	-0.3471914	
0.07	0.03813828	-0.3471083	
0.071	0.03754407	-0.3470241	
0.072	0.03695004	-0.3469387	
0.07300001	0.03635618	-0.346852	
0.074	0.03576251	-0.3467643	
0.075	0.03516902	-0.3466752	
0.07600001	0.03457571	-0.3465851	
0.07700001	0.03398259	-0.3464937	
0.078	0.03338965	-0.3464012	
0.079	0.03279691	-0.3463074	
0.08000001	0.03220436	-0.3462125	
0.081	0.03161201	-0.3461163	
0.082	0.03101985	-0.346019	
0.083	0.03042789	-0.3459205	
0.08400001	0.02983614	-0.3458208	
0.085	0.02924458	-0.34572	
0.086	0.02865324	-0.3456179	
0.087	0.0280621	-0.3455147	
0.08800001	0.02747118	-0.3454103	
0.089	0.02688046	-0.3453047	
0.09	0.02628996	-0.3451979	
0.09100001	0.02569968	-0.34509	
0.09200001	0.02510962	-0.3449808	
0.093	0.02451978	-0.3448705	
0.094	0.02393016	-0.344759	
0.09500001	0.02334077	-0.3446463	
0.096	0.02275161	-0.3445325	
0.097	0.02216268	-0.3444175	
0.098	0.02157398	-0.3443012	
0.09900001	0.02098552	-0.3441838	
0.1	0.0203973	-0.3440652	
0.101	0.01980931	-0.3439455	
0.102	0.01922157	-0.3438246	
0.103	0.01863408	-0.3437024	
0.104	0.01804682	-0.3435792	
0.105	0.01745982	-0.3434547	
0.106	0.01687307	-0.3433291	
0.107	0.01628657	-0.3432023	
0.108	0.01570033	-0.3430743	
0.109	0.01511435	-0.3429452	
0.11	0.01452863	-0.3428149	
0.111	0.01394317	-0.3426833	
0.112	0.01335797	-0.3425507	
0.113	0.01277304	-0.3424169	
0.114	0.01218839	-0.3422819	
0.115	0.011604	-0.3421457	
0.116	0.01101989	-0.3420083	
0.117	0.01043605	-0.3418699	
0.118	0.009852498	-0.3417301	
0.119	0.009269223	-0.3415893	
0.12	0.008686231	-0.3414473	
0.121	0.008103526	-0.3413041	
0.122	0.007521108	-0.3411598	
0.123	0.006938981	-0.3410143	
0.124	0.006357148	-0.3408676	
0.125	0.005775606	-0.3407197	
0.126	0.005194364	-0.3405707	
0.127	0.004613421	-0.3404206	
