Time	MeshX	MeshY	
0	0	-0.3	
0.001	0	-0.3	
0.002	-6.769534E-05	-0.3	
0.003	-0.0002117153	-0.3	
0.004	-0.0004208905	-0.2999998	
0.005	-0.0006854604	-0.2999994	
0.006	-0.0009972091	-0.2999987	
0.007	-0.001349211	-0.2999974	
0.008	-0.001735613	-0.2999956	
0.009000001	-0.002151461	-0.2999931	
0.01	-0.002592549	-0.2999898	
0.011	-0.003055302	-0.2999856	
0.012	-0.003536675	-0.2999804	
0.013	-0.004034067	-0.2999743	
0.014	-0.004545255	-0.2999671	
0.015	-0.005068338	-0.2999589	
0.016	-0.005601682	-0.2999496	
0.017	-0.006143888	-0.2999391	
0.018	-0.006693748	-0.2999274	
0.019	-0.007250228	-0.2999146	
0.02	-0.007812433	-0.2999006	
0.021	-0.008379592	-0.2998853	
0.022	-0.008951038	-0.2998689	
0.023	-0.009526197	-0.2998512	
0.024	-0.01010457	-0.2998323	
0.025	-0.01068573	-0.2998122	
0.026	-0.0112693	-0.2997909	
0.027	-0.01185495	-0.2997684	
0.028	-0.01244241	-0.2997446	
0.029	-0.01303143	-0.2997196	
0.03	-0.01362181	-0.2996934	
0.031	-0.01421335	-0.2996659	
0.032	-0.01480589	-0.2996373	
0.033	-0.01539931	-0.2996074	
0.034	-0.01599346	-0.2995763	
0.035	-0.01658826	-0.2995439	
0.036	-0.01718361	-0.2995104	
0.037	-0.01777943	-0.2994756	
0.038	-0.01837564	-0.2994396	
0.039	-0.01897219	-0.2994024	
0.04	-0.01956902	-0.2993641	
0.041	-0.02016609	-0.2993244	
0.042	-0.02076335	-0.2992836	
0.043	-0.02136077	-0.2992415	
0.044	-0.02195831	-0.2991983	
0.045	-0.02255595	-0.2991538	
0.046	-0.02315367	-0.2991082	
0.047	-0.02375144	-0.2990613	
0.048	-0.02434925	-0.2990132	
0.049	-0.02494707	-0.298964	
0.05	-0.02554489	-0.2989134	
0.051	-0.0261427	-0.2988618	
0.052	-0.02674048	-0.2988089	
0.053	-0.02733823	-0.2987548	
0.054	-0.02793593	-0.2986995	
0.055	-0.02853358	-0.298643	
0.056	-0.02913116	-0.2985853	
0.057	-0.02972868	-0.2985264	
0.058	-0.03032612	-0.2984663	
0.059	-0.03092347	-0.298405	
0.06	-0.03152074	-0.2983425	
0.061	-0.03211792	-0.2982788	
0.062	-0.032715	-0.2982139	
0.063	-0.03331197	-0.2981478	
0.064	-0.03390884	-0.2980805	
0.06500001	-0.0345056	-0.298012	
0.066	-0.03510224	-0.2979424	
0.067	-0.03569876	-0.2978715	
0.068	-0.03629515	-0.2977994	
0.06900001	-0.03689142	-0.2977261	
0.07	-0.03748756	-0.2976517	
0.071	-0.03808356	-0.297576	
0.072	-0.03867942	-0.2974992	
0.07300001	-0.03927514	-0.2974211	
0.074	-0.03987072	-0.2973418	
0.075	-0.04046614	-0.2972614	
0.07600001	-0.04106141	-0.2971798	
0.07700001	-0.04165652	-0.2970969	
0.078	-0.04225148	-0.2970129	
0.079	-0.04284627	-0.2969277	
0.08000001	-0.04344089	-0.2968414	
0.081	-0.04403533	-0.2967538	
0.082	-0.0446296	-0.296665	
0.083	-0.04522369	-0.296575	
0.08400001	-0.0458176	-0.2964839	
0.085	-0.04641132	-0.2963916	
0.086	-0.04700484	-0.2962981	
0.087	-0.04759817	-0.2962033	
0.08800001	-0.04819129	-0.2961075	
0.089	-0.04878421	-0.2960104	
0.09	-0.04937692	-0.2959121	
0.09100001	-0.04996941	-0.2958127	
0.09200001	-0.05056169	-0.2957121	
0.093	-0.05115373	-0.2956103	
0.094	-0.05174555	-0.2955073	
0.09500001	-0.05233714	-0.2954032	
0.096	-0.05292848	-0.2952979	
0.097	-0.05351959	-0.2951914	
0.098	-0.05411045	-0.2950837	
0.09900001	-0.05470105	-0.2949749	
0.1	-0.05529139	-0.2948649	
