Time	MeshX	MeshY	
0	0.08	-0.52	
0.001	0.08	-0.52	
0.002	0.07993816	-0.5199999	
0.003	0.07989105	-0.5199999	
0.004	0.07979863	-0.5199996	
0.005	0.07965086	-0.5199991	
0.006	0.07944827	-0.5199984	
0.007	0.07919629	-0.5199975	
0.008	0.07890213	-0.5199966	
0.009000001	0.07857294	-0.5199953	
0.01	0.07821497	-0.5199937	
0.011	0.0778332	-0.5199915	
0.012	0.07743146	-0.5199887	
0.013	0.07701262	-0.5199851	
0.014	0.07657877	-0.5199807	
0.015	0.07613146	-0.5199756	
0.016	0.0756719	-0.5199695	
0.017	0.07520109	-0.5199625	
0.018	0.07471985	-0.5199546	
0.019	0.07422897	-0.5199457	
0.02	0.07372916	-0.5199358	
0.021	0.07322108	-0.5199249	
0.022	0.07270537	-0.5199129	
0.023	0.07218265	-0.5198998	
0.024	0.07165346	-0.5198857	
0.025	0.07111835	-0.5198704	
0.026	0.07057784	-0.519854	
0.027	0.07003235	-0.5198364	
0.028	0.06948234	-0.5198178	
0.029	0.06892817	-0.5197979	
0.03	0.06837023	-0.5197768	
0.031	0.06780883	-0.5197545	
0.032	0.06724427	-0.5197311	
0.033	0.06667683	-0.5197064	
0.034	0.06610677	-0.5196806	
0.035	0.06553432	-0.5196536	
0.036	0.0649597	-0.5196254	
0.037	0.06438309	-0.5195959	
0.038	0.06380468	-0.5195652	
0.039	0.06322464	-0.5195333	
0.04	0.0626431	-0.5195002	
0.041	0.06206023	-0.5194659	
0.042	0.06147614	-0.5194303	
0.043	0.06089094	-0.5193936	
0.044	0.06030476	-0.5193557	
0.045	0.05971767	-0.5193164	
0.046	0.05912979	-0.5192761	
0.047	0.05854119	-0.5192344	
0.048	0.05795195	-0.5191916	
0.049	0.05736214	-0.5191476	
0.05	0.05677182	-0.5191023	
0.051	0.05618106	-0.5190559	
0.052	0.05558991	-0.5190083	
0.053	0.05499842	-0.5189594	
0.054	0.05440663	-0.5189093	
0.055	0.0538146	-0.5188581	
0.056	0.05322237	-0.5188056	
0.057	0.05262996	-0.5187519	
0.058	0.05203741	-0.518697	
0.059	0.05144475	-0.5186409	
0.06	0.05085202	-0.5185837	
0.061	0.05025924	-0.5185253	
0.062	0.04966643	-0.5184656	
0.063	0.04907362	-0.5184048	
0.064	0.04848083	-0.5183429	
0.06500001	0.04788808	-0.5182797	
0.066	0.04729539	-0.5182153	
0.067	0.04670277	-0.5181497	
0.068	0.04611024	-0.518083	
0.06900001	0.04551782	-0.518015	
0.07	0.04492552	-0.5179459	
0.071	0.04433335	-0.5178756	
0.072	0.04374133	-0.5178042	
0.07300001	0.04314947	-0.5177316	
0.074	0.04255777	-0.5176578	
0.075	0.04196625	-0.5175828	
0.07600001	0.04137492	-0.5175067	
0.07700001	0.04078379	-0.5174294	
0.078	0.04019285	-0.5173509	
0.079	0.03960214	-0.5172713	
0.08000001	0.03901165	-0.5171905	
0.081	0.03842138	-0.5171086	
0.082	0.03783135	-0.5170255	
0.083	0.03724156	-0.5169412	
0.08400001	0.03665202	-0.5168558	
0.085	0.03606274	-0.5167692	
0.086	0.03547372	-0.5166815	
0.087	0.03488496	-0.5165926	
0.08800001	0.03429648	-0.5165026	
0.089	0.03370827	-0.5164114	
0.09	0.03312035	-0.5163191	
0.09100001	0.03253271	-0.5162256	
0.09200001	0.03194537	-0.516131	
0.093	0.03135832	-0.5160353	
0.094	0.03077157	-0.5159384	
0.09500001	0.03018514	-0.5158404	
0.096	0.02959901	-0.5157413	
0.097	0.02901319	-0.515641	
0.098	0.0284277	-0.5155396	
0.09900001	0.02784252	-0.515437	
0.1	0.02725768	-0.5153333	
0.101	0.02667316	-0.5152285	
0.102	0.02608898	-0.5151225	
0.103	0.02550513	-0.5150154	
0.104	0.02492163	-0.5149072	
0.105	0.02433848	-0.5147979	
0.106	0.02375567	-0.5146875	
0.107	0.02317322	-0.5145759	
0.108	0.02259112	-0.5144632	
0.109	0.02200939	-0.5143494	
0.11	0.02142801	-0.5142345	
0.111	0.020847	-0.5141184	
0.112	0.02026637	-0.5140013	
0.113	0.0196861	-0.513883	
0.114	0.01910621	-0.5137636	
0.115	0.0185267	-0.5136431	
0.116	0.01794757	-0.5135215	
0.117	0.01736882	-0.5133988	
0.118	0.01679047	-0.513275	
0.119	0.0162125	-0.5131501	
0.12	0.01563493	-0.513024	
0.121	0.01505776	-0.512897	
0.122	0.01448098	-0.5127687	
0.123	0.01390461	-0.5126394	
0.124	0.01332865	-0.512509	
0.125	0.01275309	-0.5123775	
0.126	0.01217795	-0.5122449	
0.127	0.01160321	-0.5121113	
0.128	0.0110289	-0.5119765	
0.129	0.010455	-0.5118407	
0.13	0.009881524	-0.5117037	
0.131	0.009308475	-0.5115657	
0.132	0.008735853	-0.5114266	
0.133	0.008163662	-0.5112864	
0.134	0.007591903	-0.5111451	
0.135	0.007020579	-0.5110028	
0.136	0.006449693	-0.5108594	
0.137	0.005879248	-0.5107148	
0.138	0.005309244	-0.5105693	
0.139	0.004739685	-0.5104226	
0.14	0.004170574	-0.5102749	
0.141	0.003601911	-0.5101261	
0.142	0.003033701	-0.5099763	
0.143	0.002465945	-0.5098253	
0.144	0.001898646	-0.5096734	
0.145	0.001331806	-0.5095203	
0.146	0.0007654266	-0.5093662	
0.147	0.0001995111	-0.509211	
0.148	-0.0003659393	-0.5090548	
0.149	-0.0009309218	-0.5088975	
0.15	-0.001495434	-0.5087392	
0.151	-0.002059473	-0.5085797	
0.152	-0.002623037	-0.5084193	
0.153	-0.003186123	-0.5082578	
0.154	-0.00374873	-0.5080953	
0.155	-0.004310855	-0.5079317	
0.156	-0.004872497	-0.5077671	
0.157	-0.005433654	-0.5076014	
0.158	-0.005994325	-0.5074347	
0.159	-0.006554506	-0.5072669	
0.16	-0.007114195	-0.5070981	
0.161	-0.007673391	-0.5069283	
0.162	-0.008232093	-0.5067574	
0.163	-0.008790295	-0.5065855	
0.164	-0.009347998	-0.5064126	
0.165	-0.0099052	-0.5062386	
0.166	-0.0104619	-0.5060636	
0.167	-0.01101809	-0.5058877	
0.168	-0.01157377	-0.5057106	
0.169	-0.01212895	-0.5055326	
0.17	-0.01268362	-0.5053535	
0.171	-0.01323777	-0.5051734	
0.172	-0.0137914	-0.5049922	
0.173	-0.01434452	-0.50481	
0.174	-0.01489712	-0.5046269	
0.175	-0.0154492	-0.5044427	
0.176	-0.01600076	-0.5042575	
0.177	-0.01655179	-0.5040713	
0.178	-0.0171023	-0.5038841	
0.179	-0.01765228	-0.5036959	
0.18	-0.01820173	-0.5035067	
0.181	-0.01875065	-0.5033165	
0.182	-0.01929903	-0.5031253	
0.183	-0.01984688	-0.502933	
0.184	-0.02039419	-0.5027398	
0.185	-0.02094096	-0.5025455	
0.186	-0.0214872	-0.5023503	
0.187	-0.02203289	-0.5021541	
0.188	-0.02257803	-0.5019569	
0.189	-0.02312263	-0.5017587	
0.19	-0.02366669	-0.5015595	
0.191	-0.02421019	-0.5013593	
0.192	-0.02475314	-0.5011582	
0.193	-0.02529555	-0.500956	
0.194	-0.0258374	-0.5007529	
0.195	-0.02637869	-0.5005488	
0.196	-0.02691942	-0.5003437	
0.197	-0.0274596	-0.5001376	
0.198	-0.02799922	-0.4999305	
0.199	-0.02853828	-0.4997225	
0.2	-0.02907676	-0.4995135	
0.201	-0.02961469	-0.4993036	
0.202	-0.03015204	-0.4990926	
0.203	-0.03068883	-0.4988807	
0.204	-0.03122505	-0.4986679	
0.205	-0.0317607	-0.4984541	
0.206	-0.03229577	-0.4982393	
0.207	-0.03283027	-0.4980235	
0.208	-0.03336419	-0.4978068	
0.209	-0.03389753	-0.4975891	
0.21	-0.03443029	-0.4973705	
0.211	-0.03496247	-0.4971509	
0.212	-0.03549407	-0.4969304	
0.213	-0.03602508	-0.4967089	
0.214	-0.03655551	-0.4964865	
0.215	-0.03708535	-0.4962631	
0.216	-0.0376146	-0.4960388	
0.217	-0.03814326	-0.4958136	
0.218	-0.03867133	-0.4955873	
0.219	-0.03919881	-0.4953602	
0.22	-0.03972569	-0.4951321	
0.221	-0.04025198	-0.4949031	
0.222	-0.04077766	-0.4946731	
0.223	-0.04130276	-0.4944422	
0.224	-0.04182725	-0.4942104	
0.225	-0.04235114	-0.4939776	
0.226	-0.04287442	-0.493744	
0.227	-0.04339711	-0.4935094	
0.228	-0.04391918	-0.4932738	
0.229	-0.04444065	-0.4930374	
0.23	-0.04496151	-0.4928	
0.231	-0.04548177	-0.4925617	
0.232	-0.0460014	-0.4923224	
0.233	-0.04652043	-0.4920823	
0.234	-0.04703885	-0.4918413	
0.235	-0.04755665	-0.4915993	
0.236	-0.04807382	-0.4913564	
0.237	-0.04859039	-0.4911126	
0.238	-0.04910633	-0.4908679	
0.239	-0.04962166	-0.4906223	
0.24	-0.05013636	-0.4903758	
0.241	-0.05065044	-0.4901283	
0.242	-0.05116389	-0.4898801	
0.243	-0.05167672	-0.4896308	
0.244	-0.05218891	-0.4893807	
