Time	MeshX	MeshY	
0	0.08000001	-0.5	
0.001	0.07948337	-0.5000008	
0.002	0.07889644	-0.4999993	
0.003	0.07829871	-0.4999962	
0.004	0.07769874	-0.4999921	
0.005	0.07709786	-0.4999872	
0.006	0.07649628	-0.4999814	
0.007	0.07589415	-0.4999747	
0.008	0.07529154	-0.4999671	
0.009000001	0.07468855	-0.4999585	
0.01	0.07408529	-0.4999489	
0.011	0.07348182	-0.4999383	
0.012	0.07287823	-0.4999267	
0.013	0.07227462	-0.4999139	
0.014	0.07167102	-0.4998999	
0.015	0.07106749	-0.4998847	
0.016	0.07046409	-0.4998682	
0.017	0.06986084	-0.4998504	
0.018	0.0692578	-0.4998314	
0.019	0.06865495	-0.4998111	
0.02	0.06805234	-0.4997895	
0.021	0.06744995	-0.4997666	
0.022	0.0668478	-0.4997423	
0.023	0.06624589	-0.4997168	
0.024	0.0656442	-0.49969	
0.025	0.06504276	-0.4996618	
0.026	0.06444152	-0.4996324	
0.027	0.06384049	-0.4996017	
0.028	0.06323966	-0.4995696	
0.029	0.06263904	-0.4995364	
0.03	0.06203858	-0.4995018	
0.031	0.0614383	-0.499466	
0.032	0.06083819	-0.4994289	
0.033	0.06023824	-0.4993907	
0.034	0.05963842	-0.499351	
0.035	0.05903876	-0.4993103	
0.036	0.05843925	-0.4992683	
0.037	0.05783987	-0.499225	
0.038	0.05724062	-0.4991805	
0.039	0.05664151	-0.4991349	
0.04	0.05604253	-0.499088	
0.041	0.05544367	-0.4990399	
0.042	0.05484496	-0.4989905	
0.043	0.05424637	-0.49894	
0.044	0.05364792	-0.4988883	
0.045	0.0530496	-0.4988353	
0.046	0.05245141	-0.4987812	
0.047	0.05185337	-0.4987259	
0.048	0.05125546	-0.4986692	
0.049	0.05065769	-0.4986115	
0.05	0.05006006	-0.4985525	
0.051	0.04946258	-0.4984923	
0.052	0.04886523	-0.4984309	
0.053	0.04826804	-0.4983683	
0.054	0.04767099	-0.4983045	
0.055	0.04707409	-0.4982395	
0.056	0.04647734	-0.4981732	
0.057	0.04588075	-0.4981058	
0.058	0.04528431	-0.4980372	
0.059	0.04468803	-0.4979675	
0.06	0.04409191	-0.4978963	
0.061	0.04349594	-0.4978241	
0.062	0.04290014	-0.4977508	
0.063	0.0423045	-0.4976761	
0.064	0.04170903	-0.4976003	
0.06500001	0.04111372	-0.4975233	
0.066	0.04051858	-0.4974451	
0.067	0.03992361	-0.4973657	
0.068	0.03932881	-0.497285	
0.06900001	0.03873419	-0.4972033	
0.07	0.03813975	-0.4971203	
0.071	0.03754548	-0.4970361	
0.072	0.03695139	-0.4969507	
0.07300001	0.03635747	-0.4968641	
0.074	0.03576375	-0.4967763	
0.075	0.0351702	-0.4966874	
0.07600001	0.03457684	-0.4965973	
0.07700001	0.03398368	-0.4965059	
0.078	0.0333907	-0.4964134	
0.079	0.03279791	-0.4963196	
0.08000001	0.03220532	-0.4962247	
0.081	0.03161293	-0.4961286	
0.082	0.03102074	-0.4960313	
0.083	0.03042875	-0.4959329	
0.08400001	0.02983696	-0.4958332	
0.085	0.02924537	-0.4957324	
0.086	0.028654	-0.4956304	
0.087	0.02806283	-0.4955272	
0.08800001	0.02747187	-0.4954228	
0.089	0.02688113	-0.4953172	
0.09	0.02629061	-0.4952105	
0.09100001	0.0257003	-0.4951025	
0.09200001	0.02511021	-0.4949934	
0.093	0.02452035	-0.494883	
0.094	0.02393071	-0.4947716	
0.09500001	0.0233413	-0.4946589	
0.096	0.02275212	-0.4945451	
0.097	0.02216317	-0.49443	
0.098	0.02157445	-0.4943138	
0.09900001	0.02098597	-0.4941964	
0.1	0.02039773	-0.4940779	
0.101	0.01980973	-0.4939581	
0.102	0.01922197	-0.4938371	
0.103	0.01863446	-0.493715	
0.104	0.01804719	-0.4935918	
0.105	0.01746017	-0.4934673	
0.106	0.01687341	-0.4933417	
0.107	0.0162869	-0.4932149	
0.108	0.01570064	-0.493087	
0.109	0.01511465	-0.4929578	
0.11	0.01452891	-0.4928275	
0.111	0.01394344	-0.492696	
0.112	0.01335823	-0.4925633	
0.113	0.0127733	-0.4924295	
0.114	0.01218863	-0.4922945	
0.115	0.01160423	-0.4921583	
0.116	0.01102011	-0.4920211	
0.117	0.01043627	-0.4918826	
0.118	0.0098527	-0.4917428	
0.119	0.009269416	-0.491602	
0.12	0.008686416	-0.49146	
0.121	0.008103702	-0.4913169	
0.122	0.007521275	-0.4911725	
0.123	0.006939141	-0.491027	
0.124	0.006357297	-0.4908803	
0.125	0.005775749	-0.4907325	
0.126	0.005194499	-0.4905835	
0.127	0.004613549	-0.4904334	
0.128	0.004032901	-0.4902821	
0.129	0.003452557	-0.4901296	
0.13	0.002872521	-0.489976	
0.131	0.002292793	-0.4898212	
0.132	0.001713376	-0.4896652	
0.133	0.001134273	-0.4895082	
0.134	0.000555486	-0.4893499	
0.135	-2.298197E-05	-0.4891905	
0.136	-0.0006011315	-0.4890299	
0.137	-0.001178958	-0.4888681	
0.138	-0.001756459	-0.4887052	
0.139	-0.002333632	-0.4885411	
0.14	-0.002910475	-0.488376	
0.141	-0.003486987	-0.4882095	
0.142	-0.004063165	-0.488042	
0.143	-0.004639006	-0.4878733	
0.144	-0.005214509	-0.4877035	
0.145	-0.005789671	-0.4875325	
0.146	-0.00636449	-0.4873604	
0.147	-0.006938964	-0.4871871	
0.148	-0.00751309	-0.4870127	
0.149	-0.008086865	-0.4868371	
0.15	-0.008660289	-0.4866604	
0.151	-0.009233356	-0.4864825	
0.152	-0.009806067	-0.4863035	
0.153	-0.01037842	-0.4861234	
0.154	-0.01095041	-0.485942	
0.155	-0.01152204	-0.4857596	
0.156	-0.0120933	-0.485576	
0.157	-0.01266419	-0.4853913	
0.158	-0.01323471	-0.4852054	
0.159	-0.01380485	-0.4850184	
0.16	-0.01437463	-0.4848302	
0.161	-0.01494402	-0.4846409	
0.162	-0.01551304	-0.4844505	
0.163	-0.01608167	-0.4842589	
0.164	-0.01664991	-0.4840662	
0.165	-0.01721778	-0.4838724	
0.166	-0.01778525	-0.4836774	
0.167	-0.01835233	-0.4834813	
0.168	-0.01891902	-0.4832841	
0.169	-0.01948531	-0.4830857	
0.17	-0.0200512	-0.4828862	
0.171	-0.02061669	-0.4826855	
0.172	-0.02118178	-0.4824838	
0.173	-0.02174647	-0.4822808	
0.174	-0.02231075	-0.4820768	
