Time	Bottom_A	Bottom_FF	Bottom_Length	Bottom_Tension	Top_A	Top_Length	Top_MN	Top_Tension	
0	0	0	0	0	0	0.05000001	0	1.501368E-05	
0.0004	0	0	0	0	0	0.05000001	0	8.190652E-05	
0.0008	0	0	0	0	0	0.05000001	0	0.0001486321	
0.0012	0	0	0	0	0	0.05000001	0	0.0002151909	
0.0016	0	0	0	0	0	0.05000001	0.008479999	0.0002815833	
0.002	0	0	0	0	0.008479999	0.05000001	0.008479999	0.0003478097	
0.0024	0	0	0	0	0.008479999	0.05000001	0.008479999	0.0004197505	
0.0028	0	0	0	0	0.008479999	0.05000001	0.008479999	0.0004915115	
0.0032	0	0	0	0	0.008479999	0.05000001	0.008479999	0.0005630931	
0.0036	0	0	0	0	0.008479999	0.05000001	0.0167904	0.0006344957	
0.004	0	0	0	0	0.0167904	0.05000001	0.0167904	0.0007057198	
0.0044	0	0	0	0	0.0167904	0.05000001	0.0167904	0.0007830252	
0.0048	0	0	0	0	0.0167904	0.05000001	0.0167904	0.0008601373	
0.0052	0	0	0	0	0.0167904	0.05000001	0.0167904	0.0009370566	
0.0056	0	0	0	0	0.0167904	0.05000001	0.02493459	0.001013784	
0.006	0	0	0	0	0.02493459	0.05000001	0.02493459	0.001090319	
0.0064	0	0	0	0	0.02493459	0.05000001	0.02493459	0.001173314	
0.0068	0	0	0	0	0.02493459	0.05000001	0.02493459	0.001256102	
0.0072	0	0	0	0	0.02493459	0.05000001	0.02493459	0.001338683	
0.0076	0	0	0	0	0.02493459	0.05000001	0.0329159	0.001421057	
0.007999999	0	0	0	0	0.0329159	0.05000001	0.0329159	0.001503226	
0.0084	0	0	0	0	0.0329159	0.05000001	0.0329159	0.001592245	
0.0088	0	0	0	0	0.0329159	0.05000001	0.0329159	0.001681041	
0.0092	0	0	0	0	0.0329159	0.05000001	0.0329159	0.001769615	
0.0096	0	0	0	0	0.0329159	0.05000001	0.04073758	0.001857968	
0.01	0	0	0	0	0.04073758	0.05000001	0.04073758	0.0019461	
0.0104	0	0	0	0	0.04073758	0.05000001	0.04073758	0.002041484	
0.0108	0	0	0	0	0.04073758	0.05000001	0.04073758	0.00213663	
0.0112	0	0	0	0	0.04073758	0.05000001	0.04073758	0.002231538	
0.0116	0	0	0	0	0.04073758	0.05000001	0.04840282	0.002326208	
0.012	0	0	0	0	0.04840282	0.05000001	0.04840282	0.002420642	
0.0124	0	0	0	0	0.04840282	0.05000001	0.04840282	0.002522739	
0.0128	0	0	0	0	0.04840282	0.05000001	0.04840282	0.002624582	
0.0132	0	0	0	0	0.04840282	0.05000001	0.04840282	0.00272617	
0.0136	0	0	0	0	0.04840282	0.05000001	0.05591476	0.002827503	
0.014	0	0	0	0	0.05591476	0.05000001	0.05591476	0.002928584	
0.0144	0	0	0	0	0.05591476	0.05000001	0.05591476	0.00303775	
0.0148	0	0	0	0	0.05591476	0.05000001	0.05591476	0.003146644	
0.0152	0	0	0	0	0.05591476	0.05000001	0.05591476	0.003255265	
0.0156	0	0	0	0	0.05591476	0.05000001	0.06327647	0.003363614	
0.016	0	0	0	0	0.06327647	0.05000001	0.06327647	0.003471693	
0.0164	0	0	0	0	0.06327647	0.05000001	0.06327647	0.003588289	
0.0168	0	0	0	0	0.06327647	0.05000001	0.06327647	0.003704594	
0.0172	0	0	0	0	0.06327647	0.05000001	0.06327647	0.003820607	
0.0176	0	0	0	0	0.06327647	0.05000001	0.07049094	0.003936331	
0.018	0	0	0	0	0.07049094	0.05000001	0.07049094	0.004051766	
