Time	Rotation	
0	0	
0.0004	1.220203E-15	
0.0008	1.220203E-15	
0.0012	5.266833E-05	
0.0016	0.0001283192	
0.002	0.0001026554	
0.0024	8.212429E-05	
0.0028	6.569944E-05	
0.0032	5.255955E-05	
0.0036	4.204764E-05	
0.004	3.363811E-05	
0.0044	2.691049E-05	
0.0048	2.152839E-05	
0.0052	1.722271E-05	
0.0056	1.377817E-05	
0.006	1.102254E-05	
0.0064	8.81803E-06	
0.0068	7.054423E-06	
0.0072	5.643539E-06	
0.0076	4.514831E-06	
0.007999999	3.611865E-06	
0.0084	2.889492E-06	
0.0088	2.311594E-06	
0.0092	1.849275E-06	
0.0096	1.47942E-06	
0.01	1.183536E-06	
0.0104	9.468289E-07	
0.0108	7.574632E-07	
0.0112	6.059706E-07	
0.0116	4.847765E-07	
0.012	3.878212E-07	
0.0124	3.102569E-07	
0.0128	2.482055E-07	
0.0132	1.985644E-07	
0.0136	1.588515E-07	
0.014	1.270812E-07	
0.0144	1.01665E-07	
0.0148	8.133198E-08	
0.0152	6.506558E-08	
0.0156	5.205247E-08	
0.016	4.164197E-08	
0.0164	3.331358E-08	
0.0168	2.665086E-08	
0.0172	2.132069E-08	
0.0176	1.705656E-08	
0.018	1.364524E-08	
0.0184	1.091619E-08	
0.0188	8.732958E-09	
0.0192	6.986367E-09	
0.0196	5.589091E-09	
0.02	4.471276E-09	
0.0204	3.577019E-09	
0.0208	2.861616E-09	
0.0212	2.289292E-09	
0.0216	1.831436E-09	
0.022	1.465144E-09	
0.0224	1.17212E-09	
0.0228	9.376938E-10	
0.0232	7.501567E-10	
0.0236	6.001227E-10	
0.024	4.801007E-10	
0.0244	3.84078E-10	
0.0248	3.072648E-10	
0.0252	2.45807E-10	
0.0256	1.96651E-10	
0.026	1.573189E-10	
0.0264	1.258561E-10	
0.0268	1.006822E-10	
0.0272	8.054835E-11	
0.0276	6.443679E-11	
0.028	5.15511E-11	
0.0284	4.123815E-11	
0.0288	3.299172E-11	
0.0292	2.639433E-11	
0.0296	2.1115E-11	
0.03	1.68914E-11	
0.0304	1.351574E-11	
0.0308	1.081213E-11	
0.0312	8.648525E-12	
0.0316	6.915385E-12	
0.032	5.536348E-12	
