Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
0	0	0	0	0	1.501182E-05	0	0.05	
0.0004	0	0	0	0	0.0005235705	0	0.05000088	
0.0008	0	0	0	0	0.001269616	0	0.05000224	
0.0012	0	0	0	0	0.002135269	0	0.05000385	
0.0016	0.007799999	0	0	0	0.003066247	0	0.05000558	
0.002	0.007799999	0	0.007799999	0	0.004017695	0	0.05000736	
0.0024	0.007799999	0	0.007799999	0	0.004980053	0	0.05000916	
0.0028	0.007799999	0	0.007799999	0	0.005933001	0	0.05001094	
0.0032	0.007799999	0	0.007799999	0	0.006876556	0	0.0500127	
0.0036	0.015444	0	0.007799999	0	0.007799559	0	0.05001443	
0.004	0.015444	0	0.015444	0	0.008707641	0	0.05001613	
0.0044	0.015444	0	0.015444	0	0.009602806	0	0.0500178	
0.0048	0.015444	0	0.015444	0	0.01047938	0	0.05001944	
0.0052	0.015444	0	0.015444	0	0.0113374	0	0.05002104	
0.0056	0.02293512	0	0.015444	0	0.01217317	0	0.0500226	
0.006	0.02293512	0	0.02293512	0	0.01299606	0	0.05002414	
0.0064	0.02293512	0	0.02293512	0	0.01380467	0	0.05002564	
0.0068	0.02293512	0	0.02293512	0	0.01459485	0	0.05002711	
0.0072	0.02293512	0	0.02293512	0	0.01537038	0	0.05002855	
0.0076	0.03027641	0	0.02293512	0	0.01612756	0	0.05002996	
0.007999999	0.03027641	0	0.03027641	0	0.01686643	0	0.05003133	
0.0084	0.03027641	0	0.03027641	0	0.01759895	0	0.05003269	
0.0088	0.03027641	0	0.03027641	0	0.01831322	0	0.05003401	
0.0092	0.03027641	0	0.03027641	0	0.01901297	0	0.0500353	
0.0096	0.03747088	0	0.03027641	0	0.0196964	0	0.05003656	
0.01	0.03747088	0	0.03747088	0	0.02036725	0	0.0500378	
0.0104	0.03747088	0	0.03747088	0	0.0210285	0	0.05003901	
0.0108	0.03747088	0	0.03747088	0	0.02167536	0	0.0500402	
0.0112	0.03747088	0	0.03747088	0	0.02230971	0	0.05004136	
0.0116	0.04452147	0	0.03747088	0	0.02293159	0	0.0500425	
0.012	0.04452147	0	0.04452147	0	0.02353728	0	0.05004361	
0.0124	0.04452147	0	0.04452147	0	0.02413758	0	0.0500447	
0.0128	0.04452147	0	0.04452147	0	0.02472733	0	0.05004577	
0.0132	0.04452147	0	0.04452147	0	0.02530283	0	0.05004681	
0.0136	0.05143104	0	0.04452147	0	0.0258641	0	0.05004783	
0.014	0.05143104	0	0.05143104	0	0.02641491	0	0.05004882	
0.0144	0.05143104	0	0.05143104	0	0.02696077	0	0.0500498	
0.0148	0.05143104	0	0.05143104	0	0.02749806	0	0.05005076	
0.0152	0.05143104	0	0.05143104	0	0.0280212	0	0.0500517	
0.0156	0.05820242	0	0.05143104	0	0.02853394	0	0.05005261	
0.016	0.05820242	0	0.05820242	0	0.02903445	0	0.05005351	
0.0164	0.05820242	0	0.05820242	0	0.02953606	0	0.05005439	
0.0168	0.05820242	0	0.05820242	0	0.03002359	0	0.05005525	
0.0172	0.05820242	0	0.05820242	0	0.03050266	0	0.05005609	
0.0176	0.06483837	0	0.05820242	0	0.03097142	0	0.05005691	
0.018	0.06483837	0	0.06483837	0	0.03142991	0	0.05005772	
0.0184	0.06483837	0	0.06483837	0	0.03188992	0	0.05005851	
0.0188	0.06483837	0	0.06483837	0	0.03233594	0	0.05005928	
0.0192	0.06483837	0	0.06483837	0	0.03277545	0	0.05006003	
0.0196	0.0713416	0	0.06483837	0	0.03320659	0	0.05006078	
0.02	0.0713416	0	0.0713416	0	0.03362566	0	0.05006149	
0.0204	0.0713416	0	0.0713416	0	0.03404856	0	0.05006221	
0.0208	0.0713416	0	0.0713416	0	0.03445941	0	0.05006289	
0.0212	0.0713416	0	0.0713416	0	0.03486567	0	0.05006358	
0.0216	0.07771476	0	0.0713416	0	0.03525991	0	0.05006424	
0.022	0.07771476	0	0.07771476	0	0.03564959	0	0.05006489	
0.0224	0.07771476	0	0.07771476	0	0.03603981	0	0.05006552	
0.0228	0.07771476	0	0.07771476	0	0.0364199	0	0.05006614	
0.0232	0.07771476	0	0.07771476	0	0.0367936	0	0.05006675	
0.0236	0.08396047	0	0.07771476	0	0.03716092	0	0.05006735	
0.024	0.08396047	0	0.08396047	0	0.03752189	0	0.05006793	
0.0244	0.08396047	0	0.08396047	0	0.03788567	0	0.05006851	
0.0248	0.08396047	0	0.08396047	0	0.03823937	0	0.05006906	
0.0252	0.08396047	0	0.08396047	0	0.03858861	0	0.05006961	
0.0256	0.09008126	0	0.08396047	0	0.03893151	0	0.05007014	
0.026	0.09008126	0	0.09008126	0	0.0392681	0	0.05007067	
0.0264	0.09008126	0	0.09008126	0	0.03960419	0	0.05007118	
0.0268	0.09008126	0	0.09008126	0	0.03993585	0	0.05007168	
0.0272	0.09008126	0	0.09008126	0	0.04026494	0	0.05007217	
0.0276	0.09607963	0	0.09008126	0	0.04058402	0	0.05007265	
0.028	0.09607963	0	0.09607963	0	0.04089868	0	0.05007312	
0.0284	0.09607963	0	0.09607963	0	0.041217	0	0.05007358	
0.0288	0.09607963	0	0.09607963	0	0.04152905	0	0.05007402	
0.0292	0.09607963	0	0.09607963	0	0.04183857	0	0.05007447	
0.0296	0.101958	0	0.09607963	0	0.04213997	0	0.05007489	
0.03	0.101958	0	0.101958	0	0.04243885	0	0.05007532	
0.0304	0.101958	0	0.101958	0	0.04273993	0	0.05007573	
0.0308	0.101958	0	0.101958	0	0.04303849	0	0.05007613	
0.0312	0.101958	0	0.101958	0	0.04332896	0	0.05007653	
0.0316	0.1077189	0	0.101958	0	0.04361693	0	0.05007691	
0.032	0.1077189	0	0.1077189	0	0.04389869	0	0.05007729	
0.0324	0.1077189	0	0.1077189	0	0.04418677	0	0.05007766	
0.0328	0.1077189	0	0.1077189	0	0.04446864	0	0.05007802	
0.0332	0.1077189	0	0.1077189	0	0.04474989	0	0.05007837	
0.0336	0.1133645	0	0.1077189	0	0.04502494	0	0.05007872	
0.034	0.1133645	0	0.1133645	0	0.04529379	0	0.05007906	
