Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0	0	9999.98	0	0	8888.889	
0.0004	0	9999.961	0	0	8888.889	
0.0008	0	9999.941	0	0	8889.075	
0.0012	0	9999.922	0	0	8888.853	
0.0016	0	9999.902	0	0	8888.857	
0.002	0	9999.883	0	0	8888.863	
0.0024	0	9999.863	0	0	8888.869	
0.0028	0	9999.844	0	0	8888.875	
0.0032	0	9999.824	0	0	8888.881	
0.0036	0	9999.805	0.02	0	8888.881	
0.004	0	9999.785	0.02	0	8888.881	
0.0044	0	9999.766	0.02	0	8888.883	
0.0048	0	9999.746	0.02	0	8888.883	
0.0052	0	9999.727	0.02	0	8888.886	
0.0056	0.0004	9999.707	0.0396	0	8888.889	
0.006	0.0004	9999.688	0.0396	2E-06	8888.889	
0.0064	0.0004	9999.67	0.0396	2E-06	8888.889	
0.0068	0.0004	9999.652	0.0396	2E-06	8888.889	
0.0072	0.0004	9999.635	0.0396	2E-06	8888.889	
0.0076	0.001184	9999.617	0.058808	2E-06	8888.889	
0.007999999	0.001184	9999.6	0.058808	5.919999E-06	8888.889	
0.0084	0.001184	9999.586	0.058808	5.919999E-06	8888.889	
0.0088	0.001184	9999.572	0.058808	5.919999E-06	8888.889	
0.0092	0.001184	9999.559	0.058808	5.919999E-06	8888.888	
0.0096	0.00233648	9999.545	0.07763184	5.919999E-06	8888.888	
0.01	0.00233648	9999.531	0.07763184	1.16824E-05	8888.888	
0.0104	0.00233648	9999.523	0.07763184	1.16824E-05	8888.888	
0.0108	0.00233648	9999.516	0.07763184	1.16824E-05	8888.885	
0.0112	0.00233648	9999.508	0.07763184	1.16824E-05	8888.885	
0.0116	0.003842387	9999.5	0.09607919	1.16824E-05	8888.885	
0.012	0.003842387	9999.492	0.09607919	1.921193E-05	8888.885	
0.0124	0.003842387	9999.492	0.09607919	1.921193E-05	8888.885	
0.0128	0.003842387	9999.492	0.09607919	1.921193E-05	8888.883	
0.0132	0.003842387	9999.492	0.09607919	1.921193E-05	8888.883	
0.0136	0.005687122	9999.492	0.1141576	1.921193E-05	8888.883	
0.014	0.005687122	9999.492	0.1141576	2.843561E-05	8888.879	
0.0144	0.005687122	9999.501	0.1141576	2.843561E-05	8888.878	
0.0148	0.005687122	9999.51	0.1141576	2.843561E-05	8888.876	
0.0152	0.005687122	9999.519	0.1141576	2.843561E-05	8888.875	
0.0156	0.007856532	9999.527	0.1318745	2.843561E-05	8888.873	
0.016	0.007856532	9999.536	0.1318745	3.928266E-05	8888.872	
0.0164	0.007856532	9999.556	0.1318745	3.928266E-05	8888.87	
0.0168	0.007856532	9999.575	0.1318745	3.928266E-05	8888.869	
0.0172	0.007856532	9999.595	0.1318745	3.928266E-05	8888.869	
0.0176	0.01033689	9999.614	0.149237	3.928266E-05	8888.866	
0.018	0.01033689	9999.634	0.149237	5.168445E-05	8888.863	
0.0184	0.01033689	9999.666	0.149237	5.168445E-05	8888.86	
0.0188	0.01033689	9999.698	0.149237	5.168445E-05	8888.859	
0.0192	0.01033689	9999.73	0.149237	5.168445E-05	8888.857	
0.0196	0.01311489	9999.763	0.1662522	5.168445E-05	8888.854	
0.02	0.01311489	9999.795	0.1662522	6.557446E-05	8888.853	
0.0204	0.01311489	9999.841	0.1662522	6.557446E-05	8888.848	
0.0208	0.01311489	9999.887	0.1662522	6.557446E-05	8888.847	
0.0212	0.01311489	9999.933	0.1662522	6.557446E-05	8888.842	
0.0216	0.01617764	9999.979	0.1829272	6.557446E-05	8888.84	
0.022	0.01617764	10000.02	0.1829272	8.088819E-05	8888.837	
0.0224	0.01617764	10000.09	0.1829272	8.088819E-05	8888.834	
0.0228	0.01617764	10000.15	0.1829272	8.088819E-05	8888.828	
0.0232	0.01617764	10000.21	0.1829272	8.088819E-05	8888.825	
0.0236	0.01951263	10000.27	0.1992686	8.088819E-05	8888.821	
0.024	0.01951263	10000.33	0.1992686	9.756313E-05	8888.816	
0.0244	0.01951263	10000.41	0.1992686	9.756313E-05	8888.814	
0.0248	0.01951263	10000.49	0.1992686	9.756313E-05	8888.809	
0.0252	0.01951263	10000.57	0.1992686	9.756313E-05	8888.802	
0.0256	0.02310775	10000.64	0.2152833	9.756313E-05	8888.797	
0.026	0.02310775	10000.72	0.2152833	0.0001155387	8888.791	
0.0264	0.02310775	10000.82	0.2152833	0.0001155387	8888.786	
0.0268	0.02310775	10000.91	0.2152833	0.0001155387	8888.778	
0.0272	0.02310775	10001.01	0.2152833	0.0001155387	8888.771	
0.0276	0.02695126	10001.11	0.2309776	0.0001155387	8888.766	
0.028	0.02695126	10001.2	0.2309776	0.0001347563	8888.758	
0.0284	0.02695126	10001.32	0.2309776	0.0001347563	8888.752	
0.0288	0.02695126	10001.43	0.2309776	0.0001347563	8888.743	
