Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0	0	9999.8	0	0	6198.348	
0.0004	0	9999.6	0	0	6198.348	
0.0008	0	9999.399	0	0	6198.525	
0.0012	0	9999.199	0	0	6198.313	
0.0016	0	9998.999	0	0	6198.319	
0.002	0	9998.799	0.02	0	6198.327	
0.0024	0	9998.599	0.02	0	6198.33	
0.0028	0	9998.398	0.02	0	6198.335	
0.0032	0	9998.198	0.02	0	6198.337	
0.0036	0	9997.998	0.02	0	6198.337	
0.004	0.0004	9997.798	0.0396	0	6198.34	
0.0044	0.0004	9997.598	0.0396	2E-06	6198.343	
0.0048	0.0004	9997.399	0.0396	2E-06	6198.343	
0.0052	0.0004	9997.201	0.0396	2E-06	6198.346	
0.0056	0.0004	9997.003	0.0396	2E-06	6198.346	
0.006	0.001184	9996.805	0.058808	2E-06	6198.346	
0.0064	0.001184	9996.606	0.058808	5.919999E-06	6198.346	
0.0068	0.001184	9996.412	0.058808	5.919999E-06	6198.346	
0.0072	0.001184	9996.218	0.058808	5.919999E-06	6198.345	
0.0076	0.001184	9996.023	0.058808	5.919999E-06	6198.345	
0.007999999	0.00233648	9995.829	0.07763184	5.919999E-06	6198.344	
0.0084	0.00233648	9995.635	0.07763184	1.16824E-05	6198.344	
0.0088	0.00233648	9995.446	0.07763184	1.16824E-05	6198.343	
0.0092	0.00233648	9995.258	0.07763184	1.16824E-05	6198.342	
0.0096	0.00233648	9995.069	0.07763184	1.16824E-05	6198.341	
0.01	0.003842387	9994.881	0.09607919	1.16824E-05	6198.339	
0.0104	0.003842387	9994.692	0.09607919	1.921193E-05	6198.338	
0.0108	0.003842387	9994.512	0.09607919	1.921193E-05	6198.334	
0.0112	0.003842387	9994.331	0.09607919	1.921193E-05	6198.333	
0.0116	0.003842387	9994.15	0.09607919	1.921193E-05	6198.332	
0.012	0.005687122	9993.97	0.1141576	1.921193E-05	6198.329	
0.0124	0.005687122	9993.789	0.1141576	2.843561E-05	6198.327	
0.0128	0.005687122	9993.617	0.1141576	2.843561E-05	6198.326	
0.0132	0.005687122	9993.445	0.1141576	2.843561E-05	6198.323	
0.0136	0.005687122	9993.273	0.1141576	2.843561E-05	6198.321	
0.014	0.007856532	9993.102	0.1318745	2.843561E-05	6198.315	
0.0144	0.007856532	9992.93	0.1318745	3.928266E-05	6198.312	
0.0148	0.007856532	9992.769	0.1318745	3.928266E-05	6198.31	
0.0152	0.007856532	9992.607	0.1318745	3.928266E-05	6198.305	
0.0156	0.007856532	9992.446	0.1318745	3.928266E-05	6198.3	
0.016	0.01033689	9992.285	0.149237	3.928266E-05	6198.297	
0.0164	0.01033689	9992.124	0.149237	5.168445E-05	6198.293	
0.0168	0.01033689	9991.976	0.149237	5.168445E-05	6198.289	
0.0172	0.01033689	9991.827	0.149237	5.168445E-05	6198.284	
0.0176	0.01033689	9991.679	0.149237	5.168445E-05	6198.279	
0.018	0.01311489	9991.53	0.1662522	5.168445E-05	6198.273	
0.0184	0.01311489	9991.382	0.1662522	6.557446E-05	6198.266	
0.0188	0.01311489	9991.247	0.1662522	6.557446E-05	6198.261	
0.0192	0.01311489	9991.112	0.1662522	6.557446E-05	6198.254	
0.0196	0.01311489	9990.978	0.1662522	6.557446E-05	6198.248	
0.02	0.01617764	9990.843	0.1829272	6.557446E-05	6198.24	
0.0204	0.01617764	9990.708	0.1829272	8.088819E-05	6198.232	
0.0208	0.01617764	9990.589	0.1829272	8.088819E-05	6198.224	
0.0212	0.01617764	9990.47	0.1829272	8.088819E-05	6198.216	
0.0216	0.01617764	9990.351	0.1829272	8.088819E-05	6198.207	
0.022	0.01951263	9990.231	0.1992686	8.088819E-05	6198.197	
0.0224	0.01951263	9990.112	0.1992686	9.756313E-05	6198.188	
0.0228	0.01951263	9990.01	0.1992686	9.756313E-05	6198.179	
0.0232	0.01951263	9989.907	0.1992686	9.756313E-05	6198.169	
0.0236	0.01951263	9989.805	0.1992686	9.756313E-05	6198.157	
0.024	0.02310775	9989.702	0.2152833	9.756313E-05	6198.147	
0.0244	0.02310775	9989.6	0.2152833	0.0001155387	6198.137	
0.0248	0.02310775	9989.515	0.2152833	0.0001155387	6198.124	
0.0252	0.02310775	9989.43	0.2152833	0.0001155387	6198.11	
0.0256	0.02310775	9989.345	0.2152833	0.0001155387	6198.098	
0.026	0.02695126	9989.26	0.2309776	0.0001155387	6198.083	
0.0264	0.02695126	9989.175	0.2309776	0.0001347563	6198.069	
0.0268	0.02695126	9989.109	0.2309776	0.0001347563	6198.055	
0.0272	0.02695126	9989.044	0.2309776	0.0001347563	6198.039	
0.0276	0.02695126	9988.979	0.2309776	0.0001347563	6198.022	
0.028	0.03103178	9988.913	0.246358	0.0001347563	6198.005	
0.0284	0.03103178	9988.848	0.246358	0.0001551589	6197.989	
0.0288	0.03103178	9988.803	0.246358	0.0001551589	6197.972	
0.0292	0.03103178	9988.758	0.246358	0.0001551589	6197.952	
0.0296	0.03103178	9988.713	0.246358	0.0001551589	6197.932	
0.03	0.03533831	9988.668	0.2614309	0.0001551589	6197.912	
0.0304	0.03533831	9988.623	0.2614309	0.0001766915	6197.892	
0.0308	0.03533831	9988.6	0.2614309	0.0001766915	6197.87	
0.0312	0.03533831	9988.576	0.2614309	0.0001766915	6197.848	
0.0316	0.03533831	9988.553	0.2614309	0.0001766915	6197.825	
0.032	0.03986016	9988.529	0.2762022	0.0001766915	6197.802	
0.0324	0.03986016	9988.506	0.2762022	0.0001993008	6197.777	
0.0328	0.03986016	9988.505	0.2762022	0.0001993008	6197.751	
0.0332	0.03986016	9988.504	0.2762022	0.0001993008	6197.724	
0.0336	0.03986016	9988.503	0.2762022	0.0001993008	6197.697	
0.034	0.044587	9988.502	0.2906782	0.0001993008	6197.67	
0.0344	0.044587	9988.501	0.2906782	0.000222935	6197.641	
0.0348	0.044587	9988.523	0.2906782	0.000222935	6197.613	
0.0352	0.044587	9988.546	0.2906782	0.000222935	6197.582	
0.0356	0.044587	9988.568	0.2906782	0.000222935	6197.549	
0.036	0.04950882	9988.591	0.3048646	0.000222935	6197.517	
0.0364	0.04950882	9988.613	0.3048646	0.0002475441	6197.484	
0.0368	0.04950882	9988.66	0.3048646	0.0002475441	6197.452	
0.0372	0.04950882	9988.707	0.3048646	0.0002475441	6197.417	
0.0376	0.04950882	9988.754	0.3048646	0.0002475441	6197.38	
0.038	0.05461594	9988.801	0.3187673	0.0002475441	6197.342	
0.0384	0.05461594	9988.848	0.3187673	0.0002730797	6197.304	
0.0388	0.05461594	9988.921	0.3187673	0.0002730797	6197.266	
0.0392	0.05461594	9988.994	0.3187673	0.0002730797	6197.225	
0.0396	0.05461594	9989.067	0.3187673	0.0002730797	6197.182	
0.04	0.05989897	9989.141	0.332392	0.0002730797	6197.138	
0.0404	0.05989897	9989.214	0.332392	0.0002994948	6197.096	
0.0408	0.05989897	9989.313	0.332392	0.0002994948	6197.05	
0.0412	0.05989897	9989.413	0.332392	0.0002994948	6197.004	
0.0416	0.05989897	9989.513	0.332392	0.0002994948	6196.956	
0.042	0.06534883	9989.612	0.3457441	0.0002994948	6196.908	
0.0424	0.06534883	9989.712	0.3457441	0.0003267441	6196.858	
0.0428	0.06534883	9989.839	0.3457441	0.0003267441	6196.809	
0.0432	0.06534883	9989.966	0.3457441	0.0003267441	6196.755	
0.0436	0.06534883	9990.093	0.3457441	0.0003267441	6196.701	
0.044	0.07095674	9990.22	0.3588292	0.0003267441	6196.646	
0.0444	0.07095674	9990.347	0.3588292	0.0003547837	6196.591	
0.0448	0.07095674	9990.501	0.3588292	0.0003547837	6196.533	
0.0452	0.07095674	9990.655	0.3588292	0.0003547837	6196.473	
0.0456	0.07095674	9990.81	0.3588292	0.0003547837	6196.412	
0.046	0.07671419	9990.964	0.3716527	0.0003547837	6196.351	
0.0464	0.07671419	9991.118	0.3716527	0.0003835709	6196.288	
0.0468	0.07671419	9991.302	0.3716527	0.0003835709	6196.225	
0.0472	0.07671419	9991.485	0.3716527	0.0003835709	6196.158	
0.0476	0.07671419	9991.669	0.3716527	0.0003835709	6196.088	
0.048	0.08261296	9991.853	0.3842196	0.0003835709	6196.021	
0.0484	0.08261296	9992.036	0.3842196	0.0004130648	6195.95	
0.0488	0.08261296	9992.249	0.3842196	0.0004130648	6195.878	
0.0492	0.08261296	9992.462	0.3842196	0.0004130648	6195.804	
0.0496	0.08261296	9992.675	0.3842196	0.0004130648	6195.729	
0.05	0.08864509	9992.888	0.3965352	0.0004130648	6195.651	
0.0504	0.08864509	9993.101	0.3965352	0.0004432254	6195.572	
0.0508	0.08864509	9993.344	0.3965352	0.0004432254	6195.493	
0.0512	0.08864509	9993.587	0.3965352	0.0004432254	6195.41	
0.0516	0.08864509	9993.83	0.3965352	0.0004432254	6195.325	
0.052	0.09480289	9994.073	0.4086045	0.0004432254	6195.241	
0.0524	0.09480289	9994.316	0.4086045	0.0004740145	6195.153	
0.0528	0.09480289	9994.59	0.4086045	0.0004740145	6195.065	
0.0532	0.09480289	9994.863	0.4086045	0.0004740145	6194.973	
0.0536	0.09480289	9995.137	0.4086045	0.0004740145	6194.879	
0.054	0.1010789	9995.41	0.4204324	0.0004740145	6194.786	
0.0544	0.1010789	9995.684	0.4204324	0.0005053947	6194.689	
0.0548	0.1010789	9995.989	0.4204324	0.0005053947	6194.591	
0.0552	0.1010789	9996.295	0.4204324	0.0005053947	6194.492	
0.0556	0.1010789	9996.601	0.4204324	0.0005053947	6194.388	
0.056	0.107466	9996.906	0.4320238	0.0005053947	6194.284	
0.0564	0.107466	9997.212	0.4320238	0.0005373299	6194.178	
0.0568	0.107466	9997.549	0.4320238	0.0005373299	6194.07	
0.0572	0.107466	9997.886	0.4320238	0.0005373299	6193.959	
0.0576	0.107466	9998.223	0.4320238	0.0005373299	6193.847	
0.058	0.1139571	9998.56	0.4433833	0.0005373299	6193.733	
0.0584	0.1139571	9998.896	0.4433833	0.0005697857	6193.617	
0.0588	0.1139571	9999.266	0.4433833	0.0005697857	6193.498	
0.0592	0.1139571	9999.635	0.4433833	0.0005697857	6193.377	
0.0596	0.1139571	10000	0.4433833	0.0005697857	6193.253	
0.06	0.1205457	10000.37	0.4545156	0.0005697857	6193.127	
0.0604	0.1205457	10000.74	0.4545156	0.0006027283	6193	
0.0608	0.1205457	10001.14	0.4545156	0.0006027283	6192.87	
0.0612	0.1205457	10001.55	0.4545156	0.0006027283	6192.737	
0.0616	0.1205457	10001.95	0.4545156	0.0006027283	6192.604	
