Time	FrameRate	TotalStepTimeSmoothed	
0.5	14.83912	0.0008016359	
0.5008	14.83912	0.0008015797	
0.5016	14.83912	0.000801571	
0.5024	14.83912	0.0008015627	
0.5032	14.83912	0.0008015771	
0.504	14.83912	0.0008015462	
0.5048	14.83912	0.0008015168	
0.5056	14.83912	0.0008015335	
0.5064	14.83912	0.0008015271	
0.5072	14.83912	0.0008015433	
0.508	14.83912	0.0008015364	
0.5088	14.83912	0.0008015521	
0.5096	14.83912	0.0008015448	
0.5104	14.83912	0.0008015601	
0.5112	14.83912	0.0008015523	
0.512	14.83912	0.0008015673	
0.5128	14.83912	0.0008015368	
0.5136	14.83912	0.0008015303	
0.5144	14.83912	0.0008015017	
0.5152	14.83912	0.0008014968	
0.516	14.83912	0.0008015145	
0.5168	14.83912	0.0008015314	
0.5176	14.83912	0.0008015251	
0.5184	14.83912	0.0008014968	
0.5192	14.83912	0.0008014699	
0.52	14.83912	0.000801489	
0.5208	14.83912	0.0008015071	
0.5216	14.83912	0.0008015243	
0.5224	14.83912	0.0008015184	
0.5232	14.83912	0.0008015127	
0.524	14.83912	0.000801485	
0.5248	14.83912	0.0008014587	
0.5256	14.83912	0.0008014338	
0.5264	14.83912	0.0008014323	
0.5272	14.83912	0.0008014086	
0.528	14.83912	0.0008013861	
0.5288	14.83912	0.0008013871	
0.5296	14.83912	0.0008013656	
0.5304	14.83912	0.000801323	
0.5312	14.83912	0.0008013271	
0.532	14.83912	0.000801331	
0.5328	14.83912	0.0008013347	
0.5336	14.83912	0.0008013605	
0.5344	14.83912	0.0008013627	
0.5352	14.84424	0.0008013872	
0.536	14.84424	0.000801455	
0.5368	14.84424	0.0008014748	
0.5376	14.84424	0.000801449	
0.5384	14.84424	0.0008014468	
0.5392	14.84424	0.000801467	
0.54	14.84424	0.0008014862	
0.5408	14.84424	0.0008014375	
0.5416	14.84424	0.0008014359	
0.5424	14.84424	0.000801412	
0.5432	14.84424	0.0008014117	
0.544	14.84424	0.000801389	
0.5448	14.84424	0.0008013675	
0.5456	14.84424	0.0008013917	
0.5464	14.84424	0.0008013701	
0.5472	14.84424	0.0008013941	
0.548	14.84424	0.000801417	
0.5488	14.84424	0.0008017065	
0.5496	14.84424	0.0008016691	
0.5504	14.84424	0.0008016336	
0.5512	14.84424	0.0008015998	
0.552	14.84424	0.0008016124	
0.5528	14.84424	0.000801602	
0.5536	14.84424	0.0008016145	
0.5544	14.84424	0.0008016263	
0.5552	14.84424	0.0008016375	
0.556	14.84424	0.0008016259	
0.5568	14.84424	0.0008018826	
0.5576	14.84424	0.0008018141	
0.5584	14.84424	0.0008018159	
0.5592	14.84424	0.0008017731	
0.56	14.84424	0.000801777	
0.5608	14.84424	0.0008017584	
0.5616	14.84424	0.0008017184	
0.5624	14.84424	0.0008016804	
0.5632	14.84424	0.0008016443	
0.564	14.84424	0.0008016547	
0.5648	14.84424	0.0008016645	
0.5656	14.84424	0.0008016739	
0.5664	14.84424	0.0008016381	
0.5672	14.84424	0.0008016265	
0.568	14.84424	0.0008016154	
0.5688	14.84424	0.0008015826	
0.5696	14.84424	0.0008015737	
0.5704	14.84424	0.0008015876	
0.5712	14.84424	0.0008015562	
0.572	14.84424	0.0008015486	
0.5728	14.84424	0.0008015637	
0.5736	14.84424	0.0008015335	
0.5744	14.84424	0.0008015271	
0.5752	14.84424	0.0008015209	
0.576	14.84424	0.0008014928	
0.5768	14.84424	0.0008014661	
0.5776	14.84424	0.0008706043	
0.5784	14.84424	0.000867122	
0.5792	14.84424	0.0008637916	
0.58	14.84424	0.0008606499	
0.5808	14.84424	0.00085771	
0.5816	14.84424	0.000854917	
0.5824	14.84424	0.0008522191	
0.5832	14.84424	0.0008496784	
0.584	14.84424	0.0008472424	
0.5848	14.84424	0.0008449728	
0.5856	14.84424	0.0008427945	
0.5864	14.84424	0.0008407473	
0.5872	14.84424	0.0008387356	
0.588	14.84424	0.0008368468	
0.5888	14.84424	0.0008350747	
0.5896	14.84424	0.0008333912	
0.5904	14.84424	0.0008317919	
0.5912	14.84424	0.0008302726	
0.592	14.84424	0.0008288069	
0.5928	14.84424	0.0008274368	
0.5936	14.84424	0.0008261129	
0.5944	14.84424	0.0008248552	
0.5952	14.84424	0.0008236381	
0.596	14.84424	0.0008225488	
0.5968	14.84424	0.0008214692	
0.5976	14.84424	0.0008204883	
0.5984	14.84424	0.0008195565	
0.5992	14.84424	0.0008186266	
0.6	14.84424	0.0008177655	
0.6008	14.89307	0.0008169921	
0.6016	14.89307	0.0008162797	
0.6024	14.89307	0.000815536	
0.6032	14.89307	0.0008148518	
0.604	14.89307	0.0008141794	
0.6048	14.89307	0.0008135407	
0.6056	14.89307	0.000812934	
0.6064	14.89307	0.0008124245	
0.6072	14.89307	0.0008118958	
0.608	14.89307	0.0008113936	
0.6088	14.89307	0.0008108719	
0.6096	14.89307	0.0008103763	
0.6104	14.89307	0.0008099054	
0.6112	14.89307	0.0008094803	
0.612	14.89307	0.0008090989	
0.6128	14.89307	0.0008086919	
0.6136	14.89307	0.0008083499	
0.6144	14.89307	0.0008079803	
0.6152	14.89307	0.0008076516	
0.616	14.89307	0.0008073392	
0.6168	14.89307	0.0008070648	
0.6176	14.89307	0.0008067818	
0.6184	14.89307	0.0008064907	
0.6192	14.89307	0.0008062141	
0.62	14.89307	0.0008059736	
0.6208	14.89307	0.0008057452	
0.6216	14.89307	0.0008055282	
0.6224	14.89307	0.000805322	
0.6232	14.89307	0.0008051485	
0.624	14.89307	0.0008049613	
0.6248	14.89307	0.0008048058	
0.6256	14.89307	0.000804658	
0.6264	14.89307	0.0008044954	
0.6272	14.89307	0.0008043186	
0.628	14.89307	0.0008041952	
0.6288	14.89307	0.0008040557	
0.6296	14.89307	0.0008039455	
0.6304	14.89307	0.0008038185	
0.6312	14.89307	0.0008036755	
0.632	14.89307	0.000803562	
0.6328	14.89307	0.0008034318	
0.6336	14.89307	0.0008033528	
0.6344	14.89307	0.0008032331	
0.6352	14.89307	0.0008034318	
0.636	14.89307	0.0008033304	
0.6368	14.89307	0.0008032565	
0.6376	14.89307	0.0008031193	
0.6384	14.89307	0.0008030112	
0.6392	14.89307	0.0008029309	
0.64	14.89307	0.0008028546	
0.6408	14.89307	0.0008027598	
0.6416	14.89307	0.0008026921	
0.6424	14.89307	0.0008026501	
0.6432	14.89307	0.0008026101	
0.644	14.89307	0.0008025276	
0.6448	14.89307	0.0008024491	
0.6456	14.89307	0.0008023746	
0.6464	14.89307	0.0008023484	
0.6472	14.89307	0.0008023013	
0.648	14.89307	0.0008022788	
0.6488	14.89307	0.0008022574	
0.6496	14.89307	0.0008022148	
0.6504	14.89307	0.0008021966	
0.6512	14.89307	0.000802157	
0.652	14.89307	0.0008021194	
0.6528	14.89307	0.0008020614	
0.6536	14.89307	0.0008020286	
0.6544	14.89307	0.0008019751	
0.6552	14.89307	0.0008019466	
0.656	14.89307	0.0008019195	
0.6568	14.89307	0.0008018715	
0.6576	14.89307	0.0008018258	
0.6584	14.89307	0.0008018048	
0.6592	14.89307	0.0008018072	
0.66	14.89307	0.0008018094	
0.6608	14.89307	0.0008017892	
0.6616	14.89307	0.0008017923	
0.6624	14.89307	0.0008017506	
0.6632	14.89307	0.000801711	
0.664	14.89307	0.0008016957	
0.6648	14.89307	0.0008016588	
0.6656	14.89307	0.0008016239	
0.6664	14.89307	0.0008016129	
0.6672	14.89307	0.0008015802	
0.668	14.84355	0.0008015715	
0.6688	14.84355	0.0008015631	
0.6696	14.84355	0.0008015776	
0.6704	14.84355	0.000801569	
0.6712	14.84355	0.0008015831	
0.672	14.84355	0.0008015741	
0.6728	14.84355	0.0008015434	
0.6736	14.84355	0.0008015364	
0.6744	14.84355	0.0008015521	
0.6752	14.84355	0.0008015225	
0.676	14.84355	0.0008014943	
0.6768	14.84355	0.0008014898	
0.6776	14.84355	0.0008014856	
0.6784	14.84355	0.0008014815	
0.6792	14.84355	0.0008014554	
0.68	14.84355	0.0008014529	
0.6808	14.84355	0.0008014505	
0.6816	14.84355	0.0008014705	
0.6824	14.84355	0.0008014673	
0.6832	14.84355	0.0008014418	
0.684	14.84355	0.0008014177	
0.6848	14.84355	0.0008013948	
0.6856	14.84355	0.0008013953	
0.6864	14.84355	0.0008013734	
0.6872	14.84355	0.0008013527	
0.688	14.84355	0.0008013553	
0.6888	14.84355	0.0008013578	
0.6896	14.84355	0.0008013379	
0.6904	14.84355	0.0008013189	
0.6912	14.84355	0.0008013232	
0.692	14.84355	0.000801305	
0.6928	14.84355	0.00080131	
0.6936	14.84355	0.0008013371	
0.6944	14.84355	0.0008013404	
0.6952	14.84355	0.000801366	
0.696	14.84355	0.0008013903	
0.6968	14.84355	0.000801391	
0.6976	14.84355	0.0008013917	
0.6984	14.84355	0.0008013701	
0.6992	14.84355	0.0008013941	
0.7	14.84355	0.0008013946	
0.7008	14.84355	0.0008013952	
0.7016	14.84355	0.0008013733	
0.7024	14.84355	0.0008013526	
0.7032	14.84355	0.0008013552	
0.704	14.84355	0.0008013577	
0.7048	14.84355	0.0008013601	
0.7056	14.84355	0.0008013624	
0.7064	14.84355	0.0008013422	
0.7072	14.84355	0.0008013453	
0.708	14.84355	0.0008013483	
0.7088	14.84355	0.0008013288	
0.7096	14.84355	0.0008013326	
0.7104	14.84355	0.0008013363	
0.7112	14.84355	0.0008013397	
0.712	14.84355	0.0008013429	
0.7128	14.84355	0.0008013237	
0.7136	14.84355	0.0008013055	
0.7144	14.84355	0.0008012882	
0.7152	14.84355	0.0008013163	
0.716	14.84355	0.0008013208	
0.7168	14.84355	0.0008013027	
0.7176	14.84355	0.0008013078	
0.7184	14.84355	0.0008013127	
0.7192	14.84355	0.000801295	
0.72	14.84355	0.0008013005	
0.7208	14.84355	0.0008012611	
0.7216	14.84355	0.0008012683	
0.7224	14.84355	0.0008012751	
0.7232	14.84355	0.0008012593	
0.724	14.84355	0.0008016682	
0.7248	14.84355	0.0008016773	
0.7256	14.84355	0.0008016637	
0.7264	14.84355	0.0008016285	
0.7272	14.84355	0.0008016396	
0.728	14.84355	0.0008016502	
0.7288	14.84355	0.0008016156	
0.7296	14.84355	0.0008016051	
0.7304	14.84355	0.0008016174	
0.7312	14.84355	0.0008016291	
0.732	14.84355	0.0008015956	
0.7328	14.84355	0.000801586	
0.7336	14.84355	0.000801577	
0.7344	14.84355	0.0008015461	
0.7352	14.84512	0.0008015168	
0.736	14.84512	0.0008015781	
0.7368	14.84512	0.0008015918	
0.7376	14.84512	0.0008015825	
0.7384	14.84512	0.0008015736	
0.7392	14.84512	0.0008015875	
0.74	14.84512	0.000801556	
0.7408	14.84512	0.0008015262	
0.7416	14.84512	0.0008015424	
0.7424	14.84512	0.0008015356	
0.7432	14.84512	0.000801529	
0.744	14.84512	0.0008015229	
0.7448	14.84512	0.0008014947	
0.7456	14.84512	0.0008014902	
0.7464	14.84512	0.0008014637	
0.7472	14.84512	0.0008014608	
0.748	14.84512	0.0008014357	
0.7488	14.84512	0.0008014342	
0.7496	14.84512	0.0008014327	
0.7504	14.84512	0.000801409	
0.7512	14.84512	0.0008014311	
0.752	14.84512	0.0008014075	
0.7528	14.84512	0.0008013851	
0.7536	14.84512	0.0008013638	
0.7544	14.84512	0.0008013882	
0.7552	14.84512	0.0008013667	
0.756	14.84512	0.0008013909	
0.7568	14.84512	0.0008013916	
0.7576	14.84512	0.0008014146	
0.7584	14.84512	0.0008014141	
0.7592	14.84512	0.0008014137	
0.76	14.84512	0.0008014133	
0.7608	14.84512	0.0008013906	
0.7616	14.84512	0.0008013913	
0.7624	14.84512	0.000801392	
0.7632	14.84512	0.0008013703	
0.764	14.84512	0.0008013498	
0.7648	14.84512	0.0008013526	
0.7656	14.84512	0.0008013552	
0.7664	14.84512	0.0008013577	
0.7672	14.84512	0.0008013601	
0.768	14.84512	0.0008013846	
0.7688	14.84512	0.0008013857	
0.7696	14.84512	0.0008013643	
0.7704	14.84512	0.0008013441	
0.7712	14.84512	0.0008013694	
0.772	14.84512	0.0008013935	
0.7728	14.84512	0.0008013718	
0.7736	14.84512	0.0008013512	
0.7744	14.84512	0.0008013762	
0.7752	14.84512	0.0008013999	
0.776	14.84512	0.0008014002	
0.7768	14.84512	0.0008014004	
0.7776	14.84512	0.0008014229	
0.7784	14.84512	0.0008014221	
0.7792	14.84512	0.0008014435	
0.78	14.84512	0.0008014639	
0.7808	14.84512	0.0008014609	
0.7816	14.84512	0.0008014581	
0.7824	14.84512	0.0008014555	
0.7832	14.84512	0.0008014306	
0.784	14.84512	0.0008014293	
0.7848	14.84512	0.0008014281	
0.7856	14.84512	0.0008014493	
0.7864	14.84512	0.0008014248	
0.7872	14.84512	0.0008014015	
0.788	14.84512	0.0008014017	
0.7888	14.84512	0.0008013796	
0.7896	14.84512	0.0008013808	
0.7904	14.84512	0.0008013821	
0.7912	14.84512	0.0008013832	
0.792	14.84512	0.0008013843	
0.7928	14.84512	0.000801363	
0.7936	14.84512	0.0008013651	
0.7944	14.84512	0.0008013671	
0.7952	14.84512	0.000801369	
0.796	14.84512	0.0008013485	
0.7968	14.84512	0.0008013737	
0.7976	14.84512	0.0008013753	
0.7984	14.84512	0.0008013991	
0.7992	14.84512	0.0008013771	
0.8	14.84512	0.0008014007	
0.8008	14.84512	0.0008013563	
0.8016	14.84512	0.0008013588	
0.8024	14.8463	0.0008013388	
0.8032	14.8463	0.0008013644	
0.804	14.8463	0.0008013887	
0.8048	14.8463	0.0008013895	
0.8056	14.8463	0.0008014126	
0.8064	14.8463	0.0008014123	
0.8072	14.8463	0.0008013896	
0.808	14.8463	0.0008013903	
0.8088	14.8463	0.0008014134	
0.8096	14.8463	0.000801413	
0.8104	14.8463	0.0008014126	
0.8112	14.8463	0.0008014122	
0.812	14.8463	0.0008013896	
0.8128	14.8463	0.0008014127	
0.8136	14.8463	0.00080139	
0.8144	14.8463	0.0008013907	
0.8152	14.8463	0.0008014138	
0.816	14.8463	0.0008014357	
0.8168	14.8463	0.0008014342	
0.8176	14.8463	0.0008014104	
