Time	FrameRate	TotalStepTimeSmoothed	
0.5004	14.85644	0.001201526	
0.5016	14.85644	0.001201511	
0.5028	14.85644	0.001201518	
0.504	14.85644	0.001201525	
0.5052	14.85644	0.00120151	
0.5064	14.85644	0.001201495	
0.5076	14.85644	0.001201481	
0.5088	14.85644	0.001201468	
0.5100001	14.85644	0.001201455	
0.5112	14.85644	0.001201443	
0.5124	14.85644	0.001201432	
0.5136001	14.85644	0.001201443	
0.5148	14.85644	0.001201454	
0.516	14.85644	0.001201442	
0.5172001	14.85644	0.001201453	
0.5184	14.85644	0.001201441	
0.5196	14.85644	0.001201452	
0.5208001	14.85644	0.001201463	
0.522	14.85644	0.001201874	
0.5232	14.85644	0.001201864	
0.5244	14.85644	0.001201854	
0.5256	14.85644	0.001201866	
0.5268	14.85644	0.001201834	
0.528	14.85644	0.001201803	
0.5292	14.85644	0.001201773	
0.5304	14.85644	0.001201768	
0.5316	14.85644	0.001201785	
0.5328	14.85644	0.001201756	
0.534	14.85644	0.001201751	
0.5352	14.85427	0.001201725	
0.5364	14.85427	0.001201699	
0.5376	14.85427	0.001201675	
0.5388	14.85427	0.001201674	
0.54	14.85427	0.001201674	
0.5412	14.85427	0.001201673	
0.5424	14.85427	0.00120165	
0.5436	14.85427	0.001201651	
0.5448	14.85427	0.001201629	
0.546	14.85427	0.001201608	
0.5472	14.85427	0.001201588	
0.5484	14.85427	0.001201592	
0.5496	14.85427	0.001201573	
0.5508	14.85427	0.001201578	
0.552	14.85427	0.001201582	
0.5532	14.85427	0.001201586	
0.5544	14.85427	0.001201567	
0.5556	14.85427	0.00120155	
0.5568	14.85427	0.001201533	
0.558	14.85427	0.001201539	
0.5592	14.85427	0.001201568	
0.5604	14.85427	0.00120155	
0.5616	14.85427	0.001201533	
0.5628	14.85427	0.00120154	
0.564	14.85427	0.001201524	
0.5652	14.85427	0.00120153	
0.5664001	14.85427	0.001201537	
0.5676	14.85427	0.001201521	
0.5688	14.85427	0.001201506	
0.5700001	14.85427	0.001201513	
0.5712	14.85427	0.001201543	
0.5724	14.85427	0.001201527	
0.5736001	14.85427	0.001201533	
0.5748	14.85427	0.001201518	
0.576	14.85427	0.001201502	
0.5772001	14.85427	0.001201488	
0.5784	14.85427	0.001201474	
0.5796	14.85427	0.001201462	
0.5808001	14.85427	0.001201449	
0.582	14.85427	0.001201437	
0.5832	14.85427	0.001201471	
0.5844	14.85427	0.001201481	
0.5856	14.85427	0.001201467	
0.5868	14.85427	0.001201455	
0.588	14.85427	0.001201465	
0.5892	14.85427	0.001201475	
0.5904	14.85427	0.001201506	
0.5916	14.85427	0.001201514	
0.5928	14.85427	0.001201499	
0.594	14.85427	0.001201485	
0.5952	14.85427	0.001201494	
0.5964	14.85427	0.001201502	
0.5976	14.85427	0.001201488	
0.5988	14.85427	0.001201474	
0.6	14.85427	0.001201461	
0.6012	14.85427	0.001201494	
0.6024	14.85664	0.001201502	
0.6036	14.85664	0.001201555	
0.6048	14.85664	0.001201538	
0.606	14.85664	0.001201521	
0.6072	14.85664	0.001201528	
0.6084	14.85664	0.001201513	
0.6096	14.85664	0.00120152	
0.6108	14.85664	0.00120155	
0.612	14.85664	0.001201533	
0.6132	14.85664	0.001201562	
0.6144	14.85664	0.001201567	
0.6156	14.85664	0.001201549	
0.6168	14.85664	0.001201532	
0.618	14.85664	0.001201539	
0.6192001	14.85664	0.001201523	
0.6204	14.85664	0.001201507	
0.6216	14.85664	0.001201515	
0.6228001	14.85664	0.0012015	
0.624	14.85664	0.001201709	
0.6252	14.85664	0.001201706	
0.6264001	14.85664	0.001201682	
0.6276	14.85664	0.001201659	
0.6288	14.85664	0.001201681	
0.6300001	14.85664	0.001201658	
0.6312	14.85664	0.001201636	
0.6324	14.85664	0.001201637	
0.6336001	14.85664	0.001201616	
0.6348	14.85664	0.001201596	
0.636	14.85664	0.001201577	
0.6372001	14.85664	0.001201581	
0.6384	14.85664	0.001201585	
0.6396	14.85664	0.001201589	
0.6408001	14.85664	0.001201592	
0.642	14.85664	0.001201596	
0.6432	14.85664	0.001201599	
0.6444001	14.85664	0.00120158	
0.6456	14.85664	0.001201606	
0.6468	14.85664	0.001201609	
0.648	14.85664	0.001201589	
0.6492	14.85664	0.001201638	
0.6504	14.85664	0.001201639	
0.6516	14.85664	0.00120164	
0.6528	14.85664	0.001201619	
0.654	14.85664	0.001201621	
0.6552	14.85664	0.001203185	
0.6564	14.85664	0.001203086	
0.6576	14.85664	0.001203015	
0.6588	14.85664	0.001202925	
0.66	14.85664	0.001202862	
0.6612	14.85664	0.001202779	
0.6624	14.85664	0.001202723	
0.6636	14.85664	0.001202648	
0.6648	14.85664	0.001202621	
0.666	14.85664	0.001202551	
0.6672	14.85664	0.001202506	
0.6684	14.85664	0.001202442	
0.6696	14.84837	0.00120238	
0.6708	14.84837	0.001202367	
0.6720001	14.84837	0.001202309	
0.6732	14.84837	0.001202277	
0.6744	14.84837	0.001202224	
0.6756001	14.84837	0.001202173	
0.6768	14.84837	0.001202125	
0.678	14.84837	0.001202102	
0.6792001	14.84837	0.001202058	
0.6804	14.84837	0.001202016	
0.6816	14.84837	0.00120202	
0.6828001	14.84837	0.00120198	
0.684	14.84837	0.001201942	
0.6852	14.84837	0.001201928	
0.6864001	14.84837	0.001201892	
0.6876	14.84837	0.001201858	
0.6888	14.84837	0.001201848	
0.6900001	14.84837	0.001201817	
0.6912	14.84837	0.001201787	
0.6924	14.84837	0.001201758	
0.6936001	14.84837	0.001201731	
0.6948	14.84837	0.001201727	
0.696	14.84837	0.001201702	
0.6972001	14.84837	0.001201677	
0.6984	14.84837	0.001201654	
0.6996	14.84837	0.001201632	
0.7008001	14.84837	0.001201634	
0.702	14.84837	0.001201613	
0.7032	14.84837	0.001201615	
0.7044001	14.84837	0.001201595	
0.7056	14.84837	0.001201576	
0.7068	14.84837	0.001201558	
0.708	14.84837	0.001201586	
0.7092	14.84837	0.001201567	
0.7104	14.84837	0.00120155	
0.7116	14.84837	0.001201533	
0.7128	14.84837	0.001201517	
0.714	14.84837	0.001201502	
0.7152	14.84837	0.001201487	
0.7164	14.84837	0.001201496	
0.7176	14.84837	0.001201504	
0.7188	14.84837	0.00120149	
0.72	14.84837	0.001201476	
0.7212	14.84837	0.001201463	
0.7224	14.84837	0.001201451	
0.7236	14.84837	0.001201439	
0.7248001	14.84837	0.00120145	
0.726	14.84837	0.001201461	
0.7272	14.84837	0.001201448	
0.7284001	14.84837	0.001201459	
0.7296	14.84837	0.001201447	
0.7308	14.84837	0.00120148	
0.7320001	14.84837	0.001201489	
0.7332	14.84837	0.001201498	
0.7344	14.84837	0.001201528	
0.7356001	14.84837	0.001201513	
0.7368	14.85703	0.00120152	
0.738	14.85703	0.001201572	
0.7392001	14.85703	0.001201554	
0.7404	14.85703	0.001201537	
0.7416	14.85703	0.001201521	
0.7428001	14.85703	0.001201506	
0.744	14.85703	0.001201513	
0.7452	14.85703	0.001201543	
0.7464001	14.85703	0.001201527	
0.7476	14.85703	0.001201533	
0.7488	14.85703	0.00120154	
0.7500001	14.85703	0.001201568	
0.7512	14.85703	0.001201573	
0.7524	14.85703	0.001201555	
0.7536001	14.85703	0.00120156	
0.7548	14.85703	0.001201543	
0.756	14.85703	0.001201527	
0.7572001	14.85703	0.001201533	
0.7584	14.85703	0.001201518	
0.7596	14.85703	0.001201525	
0.7608001	14.85703	0.001201532	
0.762	14.85703	0.001201538	
0.7632	14.85703	0.001201567	
0.7644001	14.85703	0.001201549	
0.7656	14.85703	0.001201555	
0.7668	14.85703	0.001201538	
0.768	14.85703	0.001201521	
0.7692	14.85703	0.001201506	
0.7704	14.85703	0.001201492	
0.7716	14.85703	0.001201478	
0.7728	14.85703	0.001201465	
0.774	14.85703	0.001201497	
0.7752	14.85703	0.001201527	
0.7764	14.85703	0.001201556	
0.7776	14.85703	0.001201539	
0.7788	14.85703	0.001201523	
0.78	14.85703	0.001201508	
0.7812001	14.85703	0.001201515	
0.7824	14.85703	0.001201523	
0.7836	14.85703	0.001201507	
0.7848001	14.85703	0.001201493	
0.786	14.85703	0.001201479	
0.7872	14.85703	0.001201488	
0.7884001	14.85703	0.001201496	
0.7896	14.85703	0.001201505	
0.7908	14.85703	0.00120149	
0.7920001	14.85703	0.001201477	
0.7932	14.85703	0.001201464	
0.7944	14.85703	0.001201473	
0.7956001	14.85703	0.001201483	
0.7968	14.85703	0.001201492	
0.798	14.85703	0.001201478	
0.7992001	14.85703	0.001201465	
0.8004	14.85703	0.001201452	
0.8016	14.85703	0.001201463	
0.8028001	14.85703	0.00120145	
0.804	14.85673	0.001201439	
0.8052	14.85673	0.001201494	
0.8064001	14.85673	0.001201503	
0.8076	14.85673	0.001201488	
0.8088	14.85673	0.001201497	
0.8100001	14.85673	0.001201483	
0.8112	14.85673	0.00120147	
0.8124	14.85673	0.001201479	
0.8136001	14.85673	0.001201466	
0.8148	14.85673	0.001201453	
0.816	14.85673	0.001201442	
0.8172001	14.85673	0.00120143	
0.8184	14.85673	0.001201442	
0.8196	14.85673	0.001201453	
0.8208001	14.85673	0.001201463	
0.822	14.85673	0.001201451	
0.8232	14.85673	0.001201461	
0.8244001	14.85673	0.001201449	
0.8256	14.85673	0.001201437	
0.8268	14.85673	0.001201426	
0.8280001	14.85673	0.001201416	
0.8292	14.85673	0.001201406	
0.8304	14.85673	0.001201396	
0.8316	14.85673	0.001201387	
0.8328	14.85673	0.001201423	
0.8340001	14.85673	0.001201435	
