Time	FrameRate	TotalStepTimeSmoothed	
0.5	27.75827	0.003001884	
0.5004	27.75827	0.003001852	
0.5008	27.75827	0.003001867	
0.5012	27.75827	0.003001836	
0.5016	27.75827	0.00300183	
0.502	27.75827	0.003001801	
0.5024	27.75827	0.003001773	
0.5028	27.75827	0.003001747	
0.5032	27.75827	0.003001723	
0.5036	27.75827	0.003001699	
0.504	27.75827	0.003001677	
0.5044	27.75965	0.003001678	
0.5048	27.75965	0.003001701	
0.5052	27.75965	0.003001879	
0.5056	27.75965	0.00300187	
0.506	27.75965	0.003001839	
0.5064	27.75965	0.00300181	
0.5068	27.75965	0.003001782	
0.5072	27.75965	0.003001778	
0.5076	27.75965	0.003001774	
0.508	27.75965	0.003001748	
0.5084	27.75965	0.003001746	
0.5088	27.75965	0.003001721	
0.5092	27.75552	0.00300172	
0.5096	27.75552	0.003001786	
0.51	27.75552	0.003001759	
0.5104	27.75552	0.003001734	
0.5108	27.75552	0.003001732	
0.5112	27.75552	0.003001708	
0.5116	27.75552	0.00300173	
0.512	27.75552	0.003001706	
0.5124	27.75552	0.003001706	
0.5128	27.75552	0.003001683	
0.5132	27.75552	0.003001662	
0.5136	27.75552	0.003001641	
0.514	27.75896	0.003001622	
0.5144	27.75896	0.003001648	
0.5148	27.75896	0.003001651	
0.5152	27.75896	0.003001653	
0.5156	27.75896	0.003001633	
0.516	27.75896	0.003001614	
0.5164	27.75896	0.003001596	
0.5168	27.75896	0.003001601	
0.5172	27.75896	0.003001584	
0.5176	27.75896	0.003001567	
0.518	27.75896	0.003001573	
0.5184	27.75896	0.003001557	
0.5188	27.7593	0.003001564	
0.5192	27.7593	0.003001571	
0.5196	27.7593	0.003001533	
0.52	27.7593	0.003001519	
0.5204	27.7593	0.003001528	
0.5208	27.7593	0.003001537	
0.5212	27.7593	0.003001523	
0.5216	27.7593	0.003001554	
0.522	27.7593	0.00300194	
0.5224	27.7593	0.003001906	
0.5228	27.7593	0.003001918	
0.5232	27.7593	0.003001884	
0.5236	27.75243	0.003001897	
0.524	27.75243	0.003001887	
0.5244	27.75243	0.003001856	
0.5248	27.75243	0.00300187	
0.5252	27.75243	0.003001862	
0.5256	27.75243	0.003001831	
0.526	27.75243	0.003001824	
0.5264	27.75243	0.003001818	
0.5268	27.75243	0.003001812	
0.5272	27.75243	0.003001784	
0.5276	27.75243	0.003001758	
0.528	27.75243	0.003001755	
0.5284	27.75862	0.003001729	
0.5288	27.75862	0.00300175	
0.5292	27.75862	0.003001748	
0.5296	27.75862	0.003001723	
0.53	27.75862	0.003001722	
0.5304	27.75862	0.003001698	
0.5308	27.75862	0.003001698	
0.5312	27.75862	0.003001698	
0.5316	27.75862	0.003001698	
0.532	27.75862	0.003001676	
0.5324	27.75862	0.003001677	
0.5328	27.75862	0.003001656	
0.5332	27.7593	0.003001636	
0.5336	27.7593	0.003001639	
0.534	27.7593	0.00300162	
0.5344	27.7593	0.003001601	
0.5348	27.7593	0.003001606	
0.5352	27.7593	0.003001588	
0.5356	27.7593	0.003001572	
0.536	27.7593	0.003001556	
0.5364	27.7593	0.003001585	
0.5368	27.7593	0.003001569	
0.5372	27.7593	0.003001575	
0.5376	27.7593	0.003001559	
0.538	27.75896	0.003001566	
0.5384	27.75896	0.003001595	
0.5388	27.75896	0.003001578	
0.5392	27.75896	0.003001562	
0.5396	27.75896	0.003001546	
0.54	27.75896	0.003001532	
0.5404	27.75896	0.003001518	
0.5408	27.75896	0.003001505	
0.5412	27.75896	0.003001537	
0.5416	27.75896	0.003001523	
0.542	27.75896	0.003001531	
0.5424	27.75896	0.003001517	
0.5428	27.75999	0.003001504	
0.5432	27.75999	0.003001514	
0.5436	27.75999	0.003001501	
0.544	27.75999	0.003001511	
0.5444	27.75999	0.003001498	
0.5448	27.75999	0.003001508	
0.5452	27.75999	0.003001518	
0.5456	27.75999	0.003001527	
0.546	27.75999	0.003001513	
0.5464	27.75999	0.003001522	
0.5468	27.75999	0.003001933	
0.5472	27.75999	0.003001921	
0.5476	27.75243	0.003001888	
0.548	27.75243	0.003001923	
0.5484	27.75243	0.003001934	
0.5488	27.75243	0.0030019	
0.5492	27.75243	0.00300189	
0.5496	27.75243	0.003001903	
0.55	27.75243	0.003001893	
0.5504	27.75243	0.003001861	
0.5508	27.75243	0.003001853	
0.5512	27.75243	0.003001823	
0.5516	27.75243	0.003001794	
0.552	27.75243	0.00300179	
0.5524	27.75793	0.003001763	
0.5528	27.75793	0.003001804	
0.5532	27.75793	0.003001777	
0.5536	27.75793	0.003001773	
0.554	27.75793	0.003001769	
0.5544	27.75793	0.003001766	
0.5548	27.75793	0.003001762	
0.5552	27.75793	0.003001759	
0.5556	27.75793	0.003001734	
0.556	27.75793	0.003001732	
0.5564	27.75793	0.00300173	
0.5568	27.75793	0.003001706	
0.5572	27.75793	0.003001684	
0.5576	27.75793	0.003001707	
0.558	27.75793	0.003001706	
0.5584	27.75793	0.003001684	
0.5588	27.75793	0.003001685	
0.5592	27.75793	0.003001685	
0.5596	27.75793	0.003001686	
0.56	27.75793	0.003001664	
0.5604	27.75793	0.003001644	
0.5608	27.75793	0.003001647	
0.5612	27.75793	0.003001627	
0.5616	27.75793	0.003001608	
0.562	27.75999	0.003001613	
0.5624	27.75999	0.003001617	
0.5628	27.75999	0.003001599	
0.5632	27.75999	0.003001604	
0.5636	27.75999	0.003001587	
0.564	27.75999	0.003001592	
0.5644	27.75999	0.003001575	
0.5648	27.75999	0.003001559	
0.5652	27.75999	0.003001566	
0.5656	27.75999	0.003001551	
0.566	27.75999	0.003001536	
0.5664	27.75999	0.003001544	
0.5668	27.76033	0.003001529	
0.5672	27.76033	0.003001538	
0.5676	27.76033	0.003001523	
0.568	27.76033	0.00300151	
0.5684	27.76033	0.003001497	
0.5688	27.76033	0.003001507	
0.5692	27.76033	0.003001517	
0.5696	27.76033	0.003001526	
0.57	27.76033	0.003001512	
0.5704	27.76033	0.003001521	
0.5708	27.76033	0.00300153	
0.5712	27.76033	0.003001516	
0.5716	27.75965	0.003001503	
0.572	27.75965	0.003001557	
0.5724	27.75965	0.003001564	
0.5728	27.75965	0.003001571	
0.5732	27.75965	0.003001578	
0.5736	27.75965	0.003001561	
0.574	27.75965	0.003001546	
0.5744	27.75965	0.003001531	
0.5748	27.75965	0.00300154	
0.5752	27.75965	0.003001525	
0.5756	27.75965	0.003001534	
0.576	27.75965	0.003001542	
0.5764	27.75896	0.00300155	
0.5768	27.75896	0.00300158	
0.5772	27.75896	0.003001564	
0.5776	27.75896	0.003001548	
0.578	27.75896	0.003001533	
0.5784	27.75896	0.003001519	
0.5788	27.75896	0.003001529	
0.5792	27.75896	0.003001515	
0.5796	27.75896	0.003001502	
0.58	27.75896	0.003001489	
0.5804	27.75896	0.003001478	
0.5808	27.75896	0.003001466	
0.5812	27.76033	0.003001478	
0.5816	27.76033	0.003001511	
0.582	27.76033	0.003001521	
0.5824	27.76033	0.003001507	
0.5828	27.76033	0.003001495	
0.5832	27.76033	0.003001505	
0.5836	27.76033	0.003001492	
0.584	27.76033	0.003001502	
0.5844	27.76033	0.00300149	
0.5848	27.76033	0.0030015	
0.5852	27.76033	0.003001488	
0.5856	27.76033	0.003001476	
0.586	27.7593	0.003001487	
0.5864	27.7593	0.00300152	
0.5868	27.7593	0.003001507	
0.5872	27.7593	0.003001494	
0.5876	27.7593	0.003001482	
0.588	27.7593	0.003001471	
0.5884	27.7593	0.00300146	
0.5888	27.7593	0.003001472	
0.5892	27.7593	0.003001461	
0.5896	27.7593	0.00300145	
0.59	27.7593	0.003001463	
0.5904	27.7593	0.003001475	
0.5908	27.75999	0.003001463	
0.5912	27.75999	0.00300152	
0.5916	27.75999	0.003001506	
0.592	27.75999	0.003001516	
0.5924	27.75999	0.003001503	
0.5928	27.75999	0.00300149	
0.5932	27.75999	0.003001501	
0.5936	27.75999	0.003001488	
0.594	27.75999	0.003001476	
0.5944	27.75999	0.003001488	
0.5948	27.75999	0.003001476	
0.5952	27.75999	0.003001465	
0.5956	27.75999	0.003001454	
0.596	27.75999	0.003001511	
0.5964	27.75999	0.003001498	
0.5968	27.75999	0.003001486	
