Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	1.411647E-25	-0.07	1.022597E-26	-0.07	3.499122E-28	-0.07	5.655891E-30	-0.07	4.318376E-32	-0.07	1.557461E-34	
0.004	-0.07	1.419228E-25	-0.07	1.028093E-26	-0.07	3.517967E-28	-0.07	5.686286E-30	-0.07	4.341583E-32	-0.07	1.565831E-34	
0.006	-0.07	1.302117E-25	-0.07	9.451865E-27	-0.07	1.52802E-27	-0.07	3.522769E-26	-0.07	4.862221E-25	-0.07	3.17053E-24	
0.008	-0.07	9.602529E-26	-0.07	6.959912E-27	-0.07	4.82031E-28	-0.07	7.134917E-27	-0.07	9.844142E-26	-0.07	6.41916E-25	
0.01	-0.07	9.714269E-26	-0.07	7.040859E-27	-0.07	4.818496E-28	-0.07	7.048665E-27	-0.07	9.725012E-26	-0.07	6.341478E-25	
0.012	-0.07	9.715221E-26	-0.07	7.04155E-27	-0.07	4.818589E-28	-0.07	7.048139E-27	-0.07	9.724211E-26	-0.07	6.341029E-25	
0.014	-0.07	9.715357E-26	-0.07	7.041648E-27	-0.07	4.818626E-28	-0.07	7.04815E-27	-0.07	9.724226E-26	-0.07	6.341038E-25	
0.016	-0.07	9.715483E-26	-0.07	7.041741E-27	-0.07	4.818662E-28	-0.07	7.048164E-27	-0.07	9.724245E-26	-0.07	6.341051E-25	
0.018	-0.07	9.715607E-26	-0.07	7.04183E-27	-0.07	4.818698E-28	-0.07	7.048179E-27	-0.07	9.724265E-26	-0.07	6.341064E-25	
0.02	-0.07	9.715728E-26	-0.07	7.041916E-27	-0.07	4.818733E-28	-0.07	7.048193E-27	-0.07	9.724284E-26	-0.07	6.341076E-25	
0.022	-0.07	9.715846E-26	-0.07	7.042003E-27	-0.07	4.818767E-28	-0.07	7.048206E-27	-0.07	9.724303E-26	-0.07	6.341089E-25	
0.024	-0.07	9.715961E-26	-0.07	7.042086E-27	-0.07	4.8188E-28	-0.07	7.04822E-27	-0.07	9.724322E-26	-0.07	6.341101E-25	
0.026	-0.07	9.716073E-26	-0.07	7.042275E-27	-0.07	4.81886E-28	-0.07	7.048233E-27	-0.07	9.724339E-26	-0.07	6.341112E-25	
0.028	-0.07	9.716183E-26	-0.07	7.042355E-27	-0.07	4.81889E-28	-0.07	7.048245E-27	-0.07	9.724357E-26	-0.07	6.341124E-25	
0.03	-0.07	9.716291E-26	-0.07	7.042432E-27	-0.07	4.818922E-28	-0.07	7.048258E-27	-0.07	9.724373E-26	-0.07	6.341135E-25	
0.032	-0.07	9.716617E-26	-0.07	7.04256E-27	-0.07	4.818952E-28	-0.07	7.04827E-27	-0.07	9.724391E-26	-0.07	6.341146E-25	
0.034	-0.07	9.71672E-26	-0.07	7.042636E-27	-0.07	4.818981E-28	-0.07	7.048281E-27	-0.07	9.724407E-26	-0.07	6.341156E-25	
0.036	-0.07	9.716819E-26	-0.07	7.042708E-27	-0.07	4.81901E-28	-0.07	7.048293E-27	-0.07	9.724423E-26	-0.07	6.341167E-25	
0.038	-0.07	9.716917E-26	-0.07	7.042778E-27	-0.07	4.819038E-28	-0.07	7.048304E-27	-0.07	9.724438E-26	-0.07	6.341177E-25	
0.04	-0.07	9.717012E-26	-0.07	7.042848E-27	-0.07	4.819065E-28	-0.07	7.048315E-27	-0.07	9.724453E-26	-0.07	6.341186E-25	
0.042	-0.07	9.717105E-26	-0.07	7.042915E-27	-0.07	4.819092E-28	-0.07	7.048326E-27	-0.07	9.724468E-26	-0.07	6.341196E-25	
0.044	-0.07	9.717195E-26	-0.07	7.042981E-27	-0.07	4.819118E-28	-0.07	7.048337E-27	-0.07	9.724483E-26	-0.07	6.341206E-25	
0.046	-0.07	9.717284E-26	-0.07	7.043044E-27	-0.07	4.819144E-28	-0.07	7.048347E-27	-0.07	9.724497E-26	-0.07	6.341215E-25	
0.048	-0.07	9.71737E-26	-0.07	7.043107E-27	-0.07	4.819169E-28	-0.07	7.048357E-27	-0.07	9.72451E-26	-0.07	6.341224E-25	
0.05	-0.07	9.717455E-26	-0.07	7.043167E-27	-0.07	4.819193E-28	-0.07	7.048367E-27	-0.07	9.724524E-26	-0.07	6.341233E-25	
0.052	-0.07	9.717537E-26	-0.07	7.043228E-27	-0.07	4.819216E-28	-0.07	7.048375E-27	-0.07	9.724537E-26	-0.07	6.341241E-25	
0.054	-0.07	9.717618E-26	-0.07	7.04334E-27	-0.07	4.819267E-28	-0.07	7.048385E-27	-0.07	9.724549E-26	-0.07	6.34125E-25	
0.056	-0.07	9.717696E-26	-0.07	7.043397E-27	-0.07	4.81929E-28	-0.07	7.048394E-27	-0.07	9.724562E-26	-0.07	6.341257E-25	
0.058	-0.07	9.717773E-26	-0.07	7.043452E-27	-0.07	4.819311E-28	-0.07	7.048403E-27	-0.07	9.724574E-26	-0.07	6.341265E-25	
0.06	-0.07	9.717848E-26	-0.07	7.043507E-27	-0.07	4.819333E-28	-0.07	7.048411E-27	-0.07	9.724586E-26	-0.07	6.341273E-25	
0.062	-0.07	9.717996E-26	-0.07	7.04356E-27	-0.07	4.819354E-28	-0.07	7.04842E-27	-0.07	9.724598E-26	-0.07	6.341281E-25	
0.064	-0.07	9.718067E-26	-0.07	7.043611E-27	-0.07	4.819375E-28	-0.07	7.048429E-27	-0.07	9.724609E-26	-0.07	6.341288E-25	
0.066	-0.07	9.718137E-26	-0.07	7.043662E-27	-0.07	4.819395E-28	-0.07	7.048437E-27	-0.07	9.72462E-26	-0.07	6.341295E-25	
0.068	-0.07	9.718206E-26	-0.07	7.043711E-27	-0.07	4.819414E-28	-0.07	7.048444E-27	-0.07	9.724631E-26	-0.07	6.341302E-25	
0.07	-0.07	9.718271E-26	-0.07	7.04376E-27	-0.07	4.819434E-28	-0.07	7.048452E-27	-0.07	9.724642E-26	-0.07	6.34131E-25	
0.072	-0.07	9.718336E-26	-0.07	7.043807E-27	-0.07	4.819452E-28	-0.07	7.04846E-27	-0.07	9.724652E-26	-0.07	6.341316E-25	
0.074	-0.07	9.7184E-26	-0.07	7.043853E-27	-0.07	4.81947E-28	-0.07	7.048467E-27	-0.07	9.724662E-26	-0.07	6.341322E-25	
0.07600001	-0.07	9.718462E-26	-0.07	7.043898E-27	-0.07	4.819488E-28	-0.07	7.048474E-27	-0.07	9.724672E-26	-0.07	6.341329E-25	
0.078	-0.07	9.718522E-26	-0.07	7.043941E-27	-0.07	4.819505E-28	-0.07	7.048481E-27	-0.07	9.724793E-26	-0.07	6.341335E-25	
0.08000001	-0.07	9.718581E-26	-0.07	7.043984E-27	-0.07	4.819522E-28	-0.07	7.048488E-27	-0.07	9.724802E-26	-0.07	6.341342E-25	
0.082	-0.07	9.718639E-26	-0.07	7.044026E-27	-0.07	4.819539E-28	-0.07	7.048495E-27	-0.07	9.724811E-26	-0.07	6.341347E-25	
0.08400001	-0.07	9.718695E-26	-0.07	7.044067E-27	-0.07	4.819555E-28	-0.07	7.048501E-27	-0.07	9.72482E-26	-0.07	6.341353E-25	
0.086	-0.07	9.71875E-26	-0.07	7.044107E-27	-0.07	4.819571E-28	-0.07	7.048508E-27	-0.07	9.724829E-26	-0.07	6.341359E-25	
0.08800001	-0.07	9.718804E-26	-0.07	7.044146E-27	-0.07	4.819586E-28	-0.07	7.048514E-27	-0.07	9.724837E-26	-0.07	6.341364E-25	
0.09	-0.07	9.718856E-26	-0.07	7.044183E-27	-0.07	4.819601E-28	-0.07	7.048546E-27	-0.07	9.724846E-26	-0.07	6.34137E-25	
0.09200001	-0.07	9.718907E-26	-0.07	7.04422E-27	-0.07	4.819616E-28	-0.07	7.048526E-27	-0.07	9.724854E-26	-0.07	6.341376E-25	
0.094	-0.07	9.719031E-26	-0.07	7.044337E-27	-0.07	4.819648E-28	-0.07	7.048532E-27	-0.07	9.724862E-26	-0.07	6.341381E-25	
0.096	-0.07	9.71908E-26	-0.07	7.044372E-27	-0.07	4.819663E-28	-0.07	7.048565E-27	-0.07	9.72487E-26	-0.07	6.341386E-25	
0.098	-0.07	9.719128E-26	-0.07	7.044406E-27	-0.07	4.819676E-28	-0.07	7.048543E-27	-0.07	9.724878E-26	-0.07	6.341391E-25	
0.1	-0.07	9.719174E-26	-0.07	7.04444E-27	-0.07	4.81969E-28	-0.07	7.048548E-27	-0.07	9.724885E-26	-0.07	6.341395E-25	
0.102	-0.07	9.719219E-26	-0.07	7.044472E-27	-0.07	4.819703E-28	-0.07	7.048553E-27	-0.07	9.724892E-26	-0.07	6.3414E-25	
0.104	-0.07	9.719264E-26	-0.07	7.044506E-27	-0.07	4.819715E-28	-0.07	7.048558E-27	-0.07	9.724899E-26	-0.07	6.341404E-25	
0.106	-0.07	9.719307E-26	-0.07	7.044537E-27	-0.07	4.819728E-28	-0.07	7.048563E-27	-0.07	9.724906E-26	-0.07	6.341409E-25	
0.108	-0.07	9.719349E-26	-0.07	7.04462E-27	-0.07	4.819795E-28	-0.07	7.048568E-27	-0.07	9.724912E-26	-0.07	6.341414E-25	
0.11	-0.07	9.71939E-26	-0.07	7.044651E-27	-0.07	4.819807E-28	-0.07	7.048573E-27	-0.07	9.724919E-26	-0.07	6.341418E-25	
0.112	-0.07	9.719431E-26	-0.07	7.04468E-27	-0.07	4.819819E-28	-0.07	7.048578E-27	-0.07	9.724926E-26	-0.07	6.341422E-25	
0.114	-0.07	9.71947E-26	-0.07	7.04471E-27	-0.07	4.81983E-28	-0.07	7.048582E-27	-0.07	9.724932E-26	-0.07	6.341426E-25	
0.116	-0.07	9.719508E-26	-0.07	7.044737E-27	-0.07	4.819841E-28	-0.07	7.048587E-27	-0.07	9.724938E-26	-0.07	6.34143E-25	
0.118	-0.07	9.719546E-26	-0.07	7.044764E-27	-0.07	4.819852E-28	-0.07	7.048591E-27	-0.07	9.724944E-26	-0.07	6.341434E-25	
0.12	-0.07	9.719582E-26	-0.07	7.04479E-27	-0.07	4.81988E-28	-0.07	7.048703E-27	-0.07	9.725024E-26	-0.07	6.341558E-25	
0.122	-0.07	9.719618E-26	-0.07	7.044816E-27	-0.07	4.819891E-28	-0.07	7.048706E-27	-0.07	9.72503E-26	-0.07	6.341562E-25	
0.124	-0.07	9.719653E-26	-0.07	7.044841E-27	-0.07	4.819901E-28	-0.07	7.04871E-27	-0.07	9.725035E-26	-0.07	6.341566E-25	
0.126	-0.07	9.719687E-26	-0.07	7.044866E-27	-0.07	4.819911E-28	-0.07	7.048715E-27	-0.07	9.72504E-26	-0.07	6.341569E-25	
0.128	-0.07	9.71972E-26	-0.07	7.044891E-27	-0.07	4.81992E-28	-0.07	7.048718E-27	-0.07	9.725046E-26	-0.07	6.341572E-25	
0.13	-0.07	9.719754E-26	-0.07	7.044915E-27	-0.07	4.81993E-28	-0.07	7.048722E-27	-0.07	9.725051E-26	-0.07	6.341576E-25	
0.132	-0.07	9.719785E-26	-0.07	7.044936E-27	-0.07	4.819939E-28	-0.07	7.048726E-27	-0.07	9.725056E-26	-0.07	6.341579E-25	
0.134	-0.07	9.719816E-26	-0.07	7.044959E-27	-0.07	4.819948E-28	-0.07	7.048729E-27	-0.07	9.725061E-26	-0.07	6.341583E-25	
0.136	-0.07	9.719846E-26	-0.07	7.044981E-27	-0.07	4.819957E-28	-0.07	7.048733E-27	-0.07	9.725066E-26	-0.07	6.341586E-25	
0.138	-0.07	9.719876E-26	-0.07	7.045002E-27	-0.07	4.819965E-28	-0.07	7.048736E-27	-0.07	9.72507E-26	-0.07	6.341589E-25	
0.14	-0.07	9.719905E-26	-0.07	7.045024E-27	-0.07	4.819973E-28	-0.07	7.04874E-27	-0.07	9.725075E-26	-0.07	6.341592E-25	
0.142	-0.07	9.719933E-26	-0.07	7.045044E-27	-0.07	4.819982E-28	-0.07	7.048743E-27	-0.07	9.72508E-26	-0.07	6.341595E-25	
0.144	-0.07	9.71996E-26	-0.07	7.045064E-27	-0.07	4.819989E-28	-0.07	7.048746E-27	-0.07	9.725083E-26	-0.07	6.341598E-25	
0.146	-0.07	9.719987E-26	-0.07	7.045084E-27	-0.07	4.819997E-28	-0.07	7.04875E-27	-0.07	9.725088E-26	-0.07	6.341601E-25	
0.148	-0.07	9.720014E-26	-0.07	7.045103E-27	-0.07	4.820005E-28	-0.07	7.048753E-27	-0.07	9.725092E-26	-0.07	6.341603E-25	
0.15	-0.07	9.720039E-26	-0.07	7.045121E-27	-0.07	4.820012E-28	-0.07	7.048755E-27	-0.07	9.725096E-26	-0.07	6.341605E-25	
0.152	-0.07	9.720064E-26	-0.07	7.04514E-27	-0.07	4.820019E-28	-0.07	7.048757E-27	-0.07	9.725101E-26	-0.07	6.341608E-25	
0.154	-0.07	9.720088E-26	-0.07	7.045157E-27	-0.07	4.820026E-28	-0.07	7.048761E-27	-0.07	9.725104E-26	-0.07	6.341611E-25	
0.156	-0.07	9.720112E-26	-0.07	7.045174E-27	-0.07	4.820033E-28	-0.07	7.048764E-27	-0.07	9.725108E-26	-0.07	6.341613E-25	
