Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.004	-0.07	1.133356E-40	-0.07	8.266716E-35	-0.07	3.002042E-30	-0.07	5.427778E-27	-0.07	4.885818E-25	-0.07	2.189638E-24	
0.006	-0.07	7.101155E-24	-0.07	1.58453E-24	-0.07	1.760569E-26	-0.07	4.722794E-27	-0.07	4.242689E-25	-0.07	1.901478E-24	
0.008	-0.07	1.438392E-24	-0.07	3.209511E-25	-0.07	3.56734E-27	-0.07	3.479346E-27	-0.07	3.130232E-25	-0.07	1.402878E-24	
0.01	-0.07	1.420997E-24	-0.07	3.170697E-25	-0.07	3.524245E-27	-0.07	3.519801E-27	-0.07	3.16667E-25	-0.07	1.419209E-24	
0.012	-0.07	1.42088E-24	-0.07	3.170437E-25	-0.07	3.523956E-27	-0.07	3.520159E-27	-0.07	3.166993E-25	-0.07	1.419353E-24	
0.014	-0.07	1.420894E-24	-0.07	3.170442E-25	-0.07	3.524003E-27	-0.07	3.520261E-27	-0.07	3.167085E-25	-0.07	1.419394E-24	
0.016	-0.07	1.420897E-24	-0.07	3.17045E-25	-0.07	3.524011E-27	-0.07	3.52032E-27	-0.07	3.167138E-25	-0.07	1.419418E-24	
0.018	-0.07	1.4209E-24	-0.07	3.170457E-25	-0.07	3.52402E-27	-0.07	3.520377E-27	-0.07	3.167189E-25	-0.07	1.419441E-24	
0.02	-0.07	1.420904E-24	-0.07	3.170465E-25	-0.07	3.524027E-27	-0.07	3.520433E-27	-0.07	3.16724E-25	-0.07	1.419464E-24	
0.022	-0.07	1.420907E-24	-0.07	3.170471E-25	-0.07	3.524035E-27	-0.07	3.520488E-27	-0.07	3.167288E-25	-0.07	1.419486E-24	
0.024	-0.07	1.42091E-24	-0.07	3.170478E-25	-0.07	3.524043E-27	-0.07	3.52054E-27	-0.07	3.167336E-25	-0.07	1.419507E-24	
