Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	8.395429E-26	-0.07	6.083592E-27	-0.07	3.282467E-28	-0.07	3.51449E-27	-0.07	4.846944E-26	-0.07	3.160627E-25	
0.004	-0.07	9.748691E-26	-0.07	7.065727E-27	-0.07	4.751473E-28	-0.07	6.827793E-27	-0.07	9.420053E-26	-0.07	6.142691E-25	
0.006	-0.07	1.00616E-25	-0.07	7.292313E-27	-0.07	4.777095E-28	-0.07	6.676126E-27	-0.07	9.210511E-26	-0.07	6.006051E-25	
0.008	-0.07	9.840579E-26	-0.07	7.132323E-27	-0.07	4.793461E-28	-0.07	6.883972E-27	-0.07	9.497555E-26	-0.07	6.193229E-25	
0.01	-0.07	9.829087E-26	-0.07	7.12401E-27	-0.07	4.798697E-28	-0.07	6.907596E-27	-0.07	9.530171E-26	-0.07	6.214498E-25	
0.012	-0.07	9.947665E-26	-0.07	7.209868E-27	-0.07	4.8034E-28	-0.07	6.835491E-27	-0.07	9.430568E-26	-0.07	6.149547E-25	
0.014	-0.07	9.889899E-26	-0.07	7.168056E-27	-0.07	4.810154E-28	-0.07	6.897048E-27	-0.07	9.515578E-26	-0.07	6.204981E-25	
0.016	-0.07	9.82623E-26	-0.07	7.121966E-27	-0.07	4.813633E-28	-0.07	6.953313E-27	-0.07	9.593284E-26	-0.07	6.255653E-25	
0.018	-0.07	9.771064E-26	-0.07	7.082026E-27	-0.07	4.814218E-28	-0.07	6.994962E-27	-0.07	9.650809E-26	-0.07	6.293164E-25	
0.02	-0.07	9.755102E-26	-0.07	7.070474E-27	-0.07	4.816609E-28	-0.07	7.013507E-27	-0.07	9.676417E-26	-0.07	6.309863E-25	
0.022	-0.07	9.764066E-26	-0.07	7.076964E-27	-0.07	4.816459E-28	-0.07	7.006579E-27	-0.07	9.666849E-26	-0.07	6.303624E-25	
0.024	-0.07	9.725564E-26	-0.07	7.049091E-27	-0.07	4.818364E-28	-0.07	7.040022E-27	-0.07	9.713037E-26	-0.07	6.333743E-25	
0.026	-0.07	9.735568E-26	-0.07	7.056335E-27	-0.07	4.819523E-28	-0.07	7.036165E-27	-0.07	9.707707E-26	-0.07	6.330266E-25	
0.028	-0.07	9.647559E-26	-0.07	6.992614E-27	-0.07	4.817423E-28	-0.07	7.093748E-27	-0.07	9.787247E-26	-0.07	6.382133E-25	
0.03	-0.07	9.756189E-26	-0.07	7.071266E-27	-0.07	4.818929E-28	-0.07	7.0195E-27	-0.07	9.68469E-26	-0.07	6.315257E-25	
0.032	-0.07	9.736411E-26	-0.07	7.056949E-27	-0.07	4.820979E-28	-0.07	7.03981E-27	-0.07	9.71274E-26	-0.07	6.333548E-25	
0.034	-0.07	9.712765E-26	-0.07	7.039827E-27	-0.07	4.819429E-28	-0.07	7.0524E-27	-0.07	9.730131E-26	-0.07	6.344888E-25	
0.036	-0.07	9.746955E-26	-0.07	7.064581E-27	-0.07	4.820061E-28	-0.07	7.029492E-27	-0.07	9.69849E-26	-0.07	6.324255E-25	
0.038	-0.07	9.710367E-26	-0.07	7.038093E-27	-0.07	4.820908E-28	-0.07	7.058459E-27	-0.07	9.738497E-26	-0.07	6.350344E-25	
0.04	-0.07	9.75655E-26	-0.07	7.07153E-27	-0.07	4.821134E-28	-0.07	7.02568E-27	-0.07	9.693223E-26	-0.07	6.320821E-25	
0.042	-0.07	9.734849E-26	-0.07	7.055818E-27	-0.07	4.821018E-28	-0.07	7.041054E-27	-0.07	9.714457E-26	-0.07	6.334668E-25	
0.044	-0.07	9.73571E-26	-0.07	7.056442E-27	-0.07	4.820965E-28	-0.07	7.040275E-27	-0.07	9.713382E-26	-0.07	6.333967E-25	
0.046	-0.07	9.736453E-26	-0.07	7.056979E-27	-0.07	4.820522E-28	-0.07	7.038443E-27	-0.07	9.710851E-26	-0.07	6.332317E-25	
0.048	-0.07	9.723138E-26	-0.07	7.04734E-27	-0.07	4.820793E-28	-0.07	7.048875E-27	-0.07	9.725261E-26	-0.07	6.341713E-25	
0.05	-0.07	9.716438E-26	-0.07	7.042488E-27	-0.07	4.820703E-28	-0.07	7.053463E-27	-0.07	9.731597E-26	-0.07	6.345845E-25	
0.052	-0.07	9.725496E-26	-0.07	7.049045E-27	-0.07	4.820524E-28	-0.07	7.046382E-27	-0.07	9.721817E-26	-0.07	6.339468E-25	
0.054	-0.07	9.725684E-26	-0.07	7.049181E-27	-0.07	4.820501E-28	-0.07	7.04618E-27	-0.07	9.721537E-26	-0.07	6.339285E-25	
0.056	-0.07	9.722896E-26	-0.07	7.047162E-27	-0.07	4.820191E-28	-0.07	7.047289E-27	-0.07	9.723071E-26	-0.07	6.340285E-25	
0.058	-0.07	9.724252E-26	-0.07	7.048145E-27	-0.07	4.82013E-28	-0.07	7.04613E-27	-0.07	9.721471E-26	-0.07	6.339242E-25	
0.06	-0.07	9.727815E-26	-0.07	7.050725E-27	-0.07	4.820144E-28	-0.07	7.043593E-27	-0.07	9.717965E-26	-0.07	6.336955E-25	
0.062	-0.07	9.728553E-26	-0.07	7.051258E-27	-0.07	4.820109E-28	-0.07	7.042955E-27	-0.07	9.717085E-26	-0.07	6.336381E-25	
0.064	-0.07	9.727403E-26	-0.07	7.050426E-27	-0.07	4.820138E-28	-0.07	7.043871E-27	-0.07	9.71835E-26	-0.07	6.337207E-25	
0.066	-0.07	9.726452E-26	-0.07	7.049736E-27	-0.07	4.820084E-28	-0.07	7.044405E-27	-0.07	9.719088E-26	-0.07	6.337688E-25	
0.068	-0.07	9.722264E-26	-0.07	7.046705E-27	-0.07	4.819896E-28	-0.07	7.046888E-27	-0.07	9.722517E-26	-0.07	6.339923E-25	
0.07	-0.07	9.720698E-26	-0.07	7.04557E-27	-0.07	4.819867E-28	-0.07	7.047937E-27	-0.07	9.723965E-26	-0.07	6.340868E-25	
0.072	-0.07	9.720856E-26	-0.07	7.045685E-27	-0.07	4.81984E-28	-0.07	7.047741E-27	-0.07	9.723697E-26	-0.07	6.340692E-25	
0.074	-0.07	9.720857E-26	-0.07	7.045686E-27	-0.07	4.819834E-28	-0.07	7.047726E-27	-0.07	9.723675E-26	-0.07	6.340679E-25	
0.07600001	-0.07	9.721247E-26	-0.07	7.045968E-27	-0.07	4.819851E-28	-0.07	7.047491E-27	-0.07	9.723349E-26	-0.07	6.340467E-25	
0.078	-0.07	9.720498E-26	-0.07	7.045426E-27	-0.07	4.819817E-28	-0.07	7.047935E-27	-0.07	9.723964E-26	-0.07	6.340867E-25	
0.08000001	-0.07	9.720911E-26	-0.07	7.045725E-27	-0.07	4.819819E-28	-0.07	7.047643E-27	-0.07	9.72356E-26	-0.07	6.340604E-25	
0.082	-0.07	9.719856E-26	-0.07	7.044961E-27	-0.07	4.819784E-28	-0.07	7.048302E-27	-0.07	9.724471E-26	-0.07	6.341197E-25	
0.08400001	-0.07	9.720554E-26	-0.07	7.045466E-27	-0.07	4.819786E-28	-0.07	7.047804E-27	-0.07	9.723782E-26	-0.07	6.340749E-25	
0.086	-0.07	9.719412E-26	-0.07	7.044639E-27	-0.07	4.819761E-28	-0.07	7.048557E-27	-0.07	9.724822E-26	-0.07	6.341427E-25	
0.08800001	-0.07	9.720366E-26	-0.07	7.045331E-27	-0.07	4.819766E-28	-0.07	7.047881E-27	-0.07	9.723888E-26	-0.07	6.340818E-25	
0.09	-0.07	9.719166E-26	-0.07	7.04446E-27	-0.07	4.819748E-28	-0.07	7.048699E-27	-0.07	9.725019E-26	-0.07	6.341554E-25	
0.09200001	-0.07	9.720316E-26	-0.07	7.045294E-27	-0.07	4.819754E-28	-0.07	7.047882E-27	-0.07	9.72389E-26	-0.07	6.34082E-25	
0.094	-0.07	9.719035E-26	-0.07	7.044367E-27	-0.07	4.819739E-28	-0.07	7.048767E-27	-0.07	9.725114E-26	-0.07	6.341616E-25	
0.096	-0.07	9.720353E-26	-0.07	7.04532E-27	-0.07	4.819748E-28	-0.07	7.047839E-27	-0.07	9.723831E-26	-0.07	6.340781E-25	
0.098	-0.07	9.718968E-26	-0.07	7.044318E-27	-0.07	4.819734E-28	-0.07	7.048799E-27	-0.07	9.725158E-26	-0.07	6.341646E-25	
0.1	-0.07	9.720446E-26	-0.07	7.045389E-27	-0.07	4.819748E-28	-0.07	7.047768E-27	-0.07	9.723734E-26	-0.07	6.340717E-25	
0.102	-0.07	9.718935E-26	-0.07	7.044294E-27	-0.07	4.819731E-28	-0.07	7.048814E-27	-0.07	9.725179E-26	-0.07	6.34166E-25	
0.104	-0.07	9.72058E-26	-0.07	7.045485E-27	-0.07	4.819751E-28	-0.07	7.047682E-27	-0.07	9.723615E-26	-0.07	6.34064E-25	
0.106	-0.07	9.71894E-26	-0.07	7.044298E-27	-0.07	4.819732E-28	-0.07	7.048814E-27	-0.07	9.725178E-26	-0.07	6.34166E-25	
0.108	-0.07	9.720734E-26	-0.07	7.045596E-27	-0.07	4.819758E-28	-0.07	7.047593E-27	-0.07	9.723491E-26	-0.07	6.340559E-25	
0.11	-0.07	9.719026E-26	-0.07	7.04436E-27	-0.07	4.819743E-28	-0.07	7.048783E-27	-0.07	9.725136E-26	-0.07	6.341631E-25	
0.112	-0.07	9.720845E-26	-0.07	7.045676E-27	-0.07	4.819773E-28	-0.07	7.047555E-27	-0.07	9.723438E-26	-0.07	6.340525E-25	
0.114	-0.07	9.718282E-26	-0.07	7.043821E-27	-0.07	4.819845E-28	-0.07	7.049622E-27	-0.07	9.726294E-26	-0.07	6.342387E-25	
0.116	-0.07	9.719868E-26	-0.07	7.044969E-27	-0.07	4.819745E-28	-0.07	7.048179E-27	-0.07	9.724301E-26	-0.07	6.341087E-25	
0.118	-0.07	9.719237E-26	-0.07	7.044512E-27	-0.07	4.819728E-28	-0.07	7.048589E-27	-0.07	9.724867E-26	-0.07	6.341457E-25	
