Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	4.846532E-26	-0.07	3.512768E-27	-0.07	2.401359E-28	-0.07	3.508913E-27	-0.07	4.841207E-26	-0.07	3.156886E-25	
0.004	-0.07	4.883365E-26	-0.07	3.539486E-27	-0.07	2.43338E-28	-0.07	3.575824E-27	-0.07	4.933555E-26	-0.07	3.217105E-25	
0.006	-0.07	4.852224E-26	-0.07	3.516947E-27	-0.07	2.437537E-28	-0.07	3.61052E-27	-0.07	4.981469E-26	-0.07	3.248349E-25	
0.008	-0.07	4.862178E-26	-0.07	3.524168E-27	-0.07	2.445723E-28	-0.07	3.627236E-27	-0.07	5.004538E-26	-0.07	3.263393E-25	
0.01	-0.07	4.83914E-26	-0.07	3.50748E-27	-0.07	2.441071E-28	-0.07	3.630322E-27	-0.07	5.008811E-26	-0.07	3.266178E-25	
0.012	-0.07	4.821987E-26	-0.07	3.495057E-27	-0.07	2.438004E-28	-0.07	3.633778E-27	-0.07	5.013591E-26	-0.07	3.269296E-25	
0.014	-0.07	4.788984E-26	-0.07	3.471157E-27	-0.07	2.434662E-28	-0.07	3.647904E-27	-0.07	5.03311E-26	-0.07	3.282024E-25	
0.016	-0.07	4.806647E-26	-0.07	3.483948E-27	-0.07	2.436251E-28	-0.07	3.639758E-27	-0.07	5.021855E-26	-0.07	3.274685E-25	
0.018	-0.07	4.79657E-26	-0.07	3.476646E-27	-0.07	2.432951E-28	-0.07	3.637412E-27	-0.07	5.018622E-26	-0.07	3.272576E-25	
0.02	-0.07	4.781045E-26	-0.07	3.465401E-27	-0.07	2.429432E-28	-0.07	3.638367E-27	-0.07	5.019949E-26	-0.07	3.273442E-25	
0.022	-0.07	4.774462E-26	-0.07	3.46063E-27	-0.07	2.426294E-28	-0.07	3.633963E-27	-0.07	5.013873E-26	-0.07	3.26948E-25	
0.024	-0.07	4.771558E-26	-0.07	3.458523E-27	-0.07	2.423595E-28	-0.07	3.628177E-27	-0.07	5.005886E-26	-0.07	3.264272E-25	
0.026	-0.07	4.786744E-26	-0.07	3.46953E-27	-0.07	2.431406E-28	-0.07	3.640008E-27	-0.07	5.022211E-26	-0.07	3.274917E-25	
0.028	-0.07	4.781126E-26	-0.07	3.465456E-27	-0.07	2.427093E-28	-0.07	3.631472E-27	-0.07	5.01043E-26	-0.07	3.267235E-25	
0.03	-0.07	4.782993E-26	-0.07	3.466806E-27	-0.07	2.426334E-28	-0.07	3.627904E-27	-0.07	5.005503E-26	-0.07	3.264022E-25	
0.032	-0.07	4.769361E-26	-0.07	3.456936E-27	-0.07	2.426287E-28	-0.07	3.637635E-27	-0.07	5.018944E-26	-0.07	3.272787E-25	
0.034	-0.07	4.787798E-26	-0.07	3.4703E-27	-0.07	2.435862E-28	-0.07	3.65227E-27	-0.07	5.039138E-26	-0.07	3.285955E-25	
0.036	-0.07	4.775232E-26	-0.07	3.461194E-27	-0.07	2.430698E-28	-0.07	3.646276E-27	-0.07	5.03087E-26	-0.07	3.280563E-25	
0.038	-0.07	4.77116E-26	-0.07	3.458241E-27	-0.07	2.427573E-28	-0.07	3.64009E-27	-0.07	5.022333E-26	-0.07	3.274996E-25	
0.04	-0.07	4.774553E-26	-0.07	3.460697E-27	-0.07	2.426946E-28	-0.07	3.635803E-27	-0.07	5.016412E-26	-0.07	3.271136E-25	
0.042	-0.07	4.764697E-26	-0.07	3.45357E-27	-0.07	2.432678E-28	-0.07	3.659691E-27	-0.07	5.049394E-26	-0.07	3.292642E-25	
0.044	-0.07	4.745351E-26	-0.07	3.439555E-27	-0.07	2.42692E-28	-0.07	3.656868E-27	-0.07	5.045509E-26	-0.07	3.290109E-25	
0.046	-0.07	4.741757E-26	-0.07	3.436948E-27	-0.07	2.423871E-28	-0.07	3.650559E-27	-0.07	5.036802E-26	-0.07	3.284431E-25	
0.048	-0.07	4.745626E-26	-0.07	3.439748E-27	-0.07	2.423477E-28	-0.07	3.646607E-27	-0.07	5.031343E-26	-0.07	3.280872E-25	
0.05	-0.07	4.771951E-26	-0.07	3.45882E-27	-0.07	2.431888E-28	-0.07	3.652128E-27	-0.07	5.038951E-26	-0.07	3.285832E-25	
0.052	-0.07	4.769045E-26	-0.07	3.456717E-27	-0.07	2.432286E-28	-0.07	3.655396E-27	-0.07	5.043463E-26	-0.07	3.288775E-25	
0.054	-0.07	4.758984E-26	-0.07	3.449426E-27	-0.07	2.427625E-28	-0.07	3.649059E-27	-0.07	5.034721E-26	-0.07	3.283074E-25	
0.056	-0.07	4.751E-26	-0.07	3.44364E-27	-0.07	2.424493E-28	-0.07	3.645686E-27	-0.07	5.030069E-26	-0.07	3.280041E-25	
