Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	5.544862E-11	-0.07	3.364979E-11	-0.07	8.119909E-12	-0.07	8.11782E-12	-0.07	3.36396E-11	-0.07	5.543181E-11	
0.004	-0.06998891	5.558277E-11	-0.06999327	3.373123E-11	-0.06999838	8.14044E-12	-0.06999838	8.148262E-12	-0.06999327	3.37694E-11	-0.06998891	5.564574E-11	
0.006	-0.06997801	5.558752E-11	-0.06998666	3.373411E-11	-0.06999678	8.141062E-12	-0.06999678	8.148076E-12	-0.06998666	3.376833E-11	-0.06997801	5.564397E-11	
0.008	-0.06996734	5.559205E-11	-0.06998018	3.373688E-11	-0.06999522	8.14256E-12	-0.06999522	8.158902E-12	-0.06998017	3.381663E-11	-0.06996731	5.57236E-11	
0.01	-0.06995688	5.55859E-11	-0.06997383	3.373312E-11	-0.06999368	8.140836E-12	-0.06999367	8.14797E-12	-0.0699738	3.376794E-11	-0.06995682	5.564332E-11	
0.012	-0.06994662	5.558605E-11	-0.06996761	3.373321E-11	-0.06999218	8.140856E-12	-0.06999218	8.147961E-12	-0.06996757	3.376789E-11	-0.06994656	5.564325E-11	
0.014	-0.06993657	5.559143E-11	-0.0699615	3.373651E-11	-0.06999071	8.142468E-12	-0.0699907	8.158791E-12	-0.06996147	3.381615E-11	-0.0699365	5.572283E-11	
0.016	-0.06992672	5.558531E-11	-0.06995553	3.373276E-11	-0.06998926	8.140755E-12	-0.06998926	8.147939E-12	-0.06995548	3.376783E-11	-0.06992663	5.564315E-11	
0.018	-0.06991707	5.558607E-11	-0.06994967	3.373323E-11	-0.06998786	8.140851E-12	-0.06998784	8.147862E-12	-0.06994961	3.376744E-11	-0.06991696	5.564251E-11	
0.02	-0.06990761	5.559119E-11	-0.06994393	3.373636E-11	-0.06998647	8.142439E-12	-0.06998646	8.158827E-12	-0.06994387	3.381633E-11	-0.0699075	5.572311E-11	
0.022	-0.06989834	5.558548E-11	-0.0699383	3.373286E-11	-0.06998511	8.140772E-12	-0.06998509	8.147878E-12	-0.06993822	3.376755E-11	-0.0698982	5.564268E-11	
0.024	-0.06988925	5.55759E-11	-0.0699328	3.372703E-11	-0.06998378	8.138598E-12	-0.06998377	8.137087E-12	-0.06993271	3.371966E-11	-0.06988911	5.556373E-11	
0.026	-0.06988035	5.56651E-11	-0.06992739	3.378114E-11	-0.06998248	8.151013E-12	-0.06998246	8.142252E-12	-0.0699273	3.37384E-11	-0.06988022	5.559458E-11	
0.028	-0.06987161	5.557933E-11	-0.06992209	3.372913E-11	-0.0699812	8.139955E-12	-0.06998118	8.148001E-12	-0.06992202	3.376839E-11	-0.06987149	5.564409E-11	
0.03	-0.06986307	5.559175E-11	-0.0699169	3.37367E-11	-0.06997994	8.142509E-12	-0.06997993	8.158764E-12	-0.06991682	3.381602E-11	-0.06986293	5.57226E-11	
0.032	-0.06985468	5.558527E-11	-0.06991182	3.373275E-11	-0.06997872	8.140747E-12	-0.0699787	8.147896E-12	-0.06991172	3.376763E-11	-0.06985453	5.564283E-11	
0.034	-0.06984647	5.558583E-11	-0.06990683	3.373309E-11	-0.06997751	8.140821E-12	-0.06997749	8.147885E-12	-0.06990673	3.376756E-11	-0.06984631	5.564271E-11	
0.036	-0.06983843	5.55912E-11	-0.06990195	3.373636E-11	-0.06997634	8.142435E-12	-0.06997631	8.158771E-12	-0.06990185	3.381608E-11	-0.06983826	5.57227E-11	
0.038	-0.06983054	5.565861E-11	-0.06989716	3.377721E-11	-0.06997518	8.150151E-12	-0.06997516	8.142365E-12	-0.06989704	3.373922E-11	-0.06983035	5.559594E-11	
0.04	-0.0698228	5.557989E-11	-0.06989247	3.372948E-11	-0.06997405	8.14003E-12	-0.06997403	8.147991E-12	-0.06989235	3.376833E-11	-0.06982262	5.564398E-11	
0.042	-0.06981523	5.566502E-11	-0.06988787	3.378113E-11	-0.06997294	8.151905E-12	-0.06997292	8.153229E-12	-0.06988776	3.378759E-11	-0.06981504	5.567569E-11	
0.044	-0.06980779	5.557931E-11	-0.06988335	3.372913E-11	-0.06997185	8.139952E-12	-0.06997183	8.148E-12	-0.06988324	3.376839E-11	-0.0698076	5.564408E-11	
0.046	-0.06980052	5.564979E-11	-0.06987894	3.377183E-11	-0.06997079	8.148076E-12	-0.06997076	8.131541E-12	-0.06987882	3.369115E-11	-0.06980032	5.551668E-11	
0.048	-0.06979338	5.565908E-11	-0.06987461	3.37775E-11	-0.06996974	8.150213E-12	-0.06996972	8.142354E-12	-0.06987451	3.373915E-11	-0.06979321	5.559582E-11	
0.05	-0.06978638	5.565314E-11	-0.06987036	3.377389E-11	-0.06996872	8.149422E-12	-0.06996869	8.142458E-12	-0.06987027	3.373991E-11	-0.06978623	5.559708E-11	
0.052	-0.06977952	5.564386E-11	-0.0698662	3.376824E-11	-0.06996771	8.147288E-12	-0.06996769	8.131639E-12	-0.06986612	3.369188E-11	-0.06977939	5.551789E-11	
0.054	-0.0697728	5.565959E-11	-0.06986212	3.377781E-11	-0.06996673	8.150281E-12	-0.06996671	8.142346E-12	-0.06986205	3.373908E-11	-0.0697727	5.559572E-11	
0.056	-0.06976622	5.565311E-11	-0.06985813	3.377387E-11	-0.06996576	8.149419E-12	-0.06996575	8.142458E-12	-0.06985807	3.373991E-11	-0.06976612	5.559708E-11	
0.058	-0.06975976	5.565905E-11	-0.06985421	3.377751E-11	-0.06996482	8.15111E-12	-0.06996481	8.153331E-12	-0.06985416	3.378835E-11	-0.06975968	5.567694E-11	
0.06	-0.06975343	5.565313E-11	-0.06985036	3.377389E-11	-0.06996389	8.149421E-12	-0.06996388	8.142459E-12	-0.06985032	3.373991E-11	-0.06975335	5.559709E-11	
0.062	-0.06974723	5.565367E-11	-0.06984661	3.377421E-11	-0.06996299	8.149492E-12	-0.06996298	8.142449E-12	-0.06984656	3.373984E-11	-0.06974716	5.559696E-11	
0.064	-0.06974116	5.565902E-11	-0.06984292	3.377749E-11	-0.06996209	8.151106E-12	-0.06996208	8.153331E-12	-0.06984288	3.378835E-11	-0.0697411	5.567694E-11	
0.066	-0.0697352	5.565313E-11	-0.06983931	3.377389E-11	-0.06996122	8.149421E-12	-0.06996121	8.142457E-12	-0.06983927	3.37399E-11	-0.06973515	5.559708E-11	
0.068	-0.06972937	5.564378E-11	-0.06983576	3.376819E-11	-0.06996037	8.147277E-12	-0.06996036	8.131644E-12	-0.06983574	3.36919E-11	-0.06972932	5.551794E-11	
0.07	-0.06972365	5.565961E-11	-0.0698323	3.377782E-11	-0.06995953	8.150283E-12	-0.06995953	8.142345E-12	-0.06983228	3.373908E-11	-0.06972363	5.559572E-11	
