Time	A1	A1Ia	A2	A2Ia	A3	A3Ia	A4	A4Ia	A5	A5Ia	A6	A6Ia	
0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	-0.07	0	
0.002	-0.07	7.06922E-26	-0.07	5.120946E-27	-0.07	1.752284E-28	-0.07	2.832347E-30	-0.07	2.162549E-32	-0.07	7.799428E-35	
0.004	-0.07	7.098028E-26	-0.07	5.141833E-27	-0.07	1.759452E-28	-0.07	2.8439E-30	-0.07	2.17137E-32	-0.07	7.831241E-35	
0.006	-0.07	6.511609E-26	-0.07	4.726677E-27	-0.07	7.641183E-28	-0.07	1.761627E-26	-0.07	2.431445E-25	-0.07	1.585483E-24	
0.008	-0.07	4.801883E-26	-0.07	3.480404E-27	-0.07	2.410518E-28	-0.07	3.568072E-27	-0.07	4.922918E-26	-0.07	3.210132E-25	
0.01	-0.07	4.857757E-26	-0.07	3.520881E-27	-0.07	2.409606E-28	-0.07	3.524927E-27	-0.07	4.863327E-26	-0.07	3.171275E-25	
0.012	-0.07	4.858233E-26	-0.07	3.521226E-27	-0.07	2.409651E-28	-0.07	3.524662E-27	-0.07	4.862923E-26	-0.07	3.171047E-25	
0.014	-0.07	4.858302E-26	-0.07	3.521276E-27	-0.07	2.409669E-28	-0.07	3.524665E-27	-0.07	4.862926E-26	-0.07	3.17105E-25	
0.016	-0.07	4.858365E-26	-0.07	3.521322E-27	-0.07	2.409687E-28	-0.07	3.524669E-27	-0.07	4.862933E-26	-0.07	3.171054E-25	
0.018	-0.07	4.858427E-26	-0.07	3.521367E-27	-0.07	2.409704E-28	-0.07	3.524674E-27	-0.07	4.86294E-26	-0.07	3.171058E-25	
0.02	-0.07	4.858488E-26	-0.07	3.52141E-27	-0.07	2.40972E-28	-0.07	3.524679E-27	-0.07	4.862946E-26	-0.07	3.171063E-25	
0.022	-0.07	4.858547E-26	-0.07	3.521454E-27	-0.07	2.409737E-28	-0.07	3.524683E-27	-0.07	4.862952E-26	-0.07	3.171067E-25	
0.024	-0.07	4.858605E-26	-0.07	3.521495E-27	-0.07	2.409752E-28	-0.07	3.524688E-27	-0.07	4.862958E-26	-0.07	3.17107E-25	
0.026	-0.07	4.858661E-26	-0.07	3.52159E-27	-0.07	2.409781E-28	-0.07	3.524692E-27	-0.07	4.862964E-26	-0.07	3.171074E-25	
0.028	-0.07	4.858716E-26	-0.07	3.52163E-27	-0.07	2.409796E-28	-0.07	3.524696E-27	-0.07	4.86297E-26	-0.07	3.171078E-25	
0.03	-0.07	4.85877E-26	-0.07	3.521669E-27	-0.07	2.409811E-28	-0.07	3.5247E-27	-0.07	4.862975E-26	-0.07	3.171082E-25	
0.032	-0.07	4.858933E-26	-0.07	3.521733E-27	-0.07	2.409826E-28	-0.07	3.524704E-27	-0.07	4.862981E-26	-0.07	3.171085E-25	
0.034	-0.07	4.858985E-26	-0.07	3.521771E-27	-0.07	2.40984E-28	-0.07	3.524708E-27	-0.07	4.862986E-26	-0.07	3.171088E-25	
0.036	-0.07	4.859035E-26	-0.07	3.521807E-27	-0.07	2.409853E-28	-0.07	3.524711E-27	-0.07	4.862991E-26	-0.07	3.171092E-25	
0.038	-0.07	4.859084E-26	-0.07	3.521842E-27	-0.07	2.409867E-28	-0.07	3.524715E-27	-0.07	4.862996E-26	-0.07	3.171095E-25	
0.04	-0.07	4.859131E-26	-0.07	3.521877E-27	-0.07	2.409879E-28	-0.07	3.524718E-27	-0.07	4.863E-26	-0.07	3.171098E-25	
0.042	-0.07	4.859178E-26	-0.07	3.52191E-27	-0.07	2.409892E-28	-0.07	3.524722E-27	-0.07	4.863005E-26	-0.07	3.171101E-25	
0.044	-0.07	4.859223E-26	-0.07	3.521943E-27	-0.07	2.409905E-28	-0.07	3.524725E-27	-0.07	4.863009E-26	-0.07	3.171104E-25	
0.046	-0.07	4.859267E-26	-0.07	3.521975E-27	-0.07	2.409917E-28	-0.07	3.524728E-27	-0.07	4.863014E-26	-0.07	3.171107E-25	
0.048	-0.07	4.85931E-26	-0.07	3.522007E-27	-0.07	2.409928E-28	-0.07	3.524731E-27	-0.07	4.863018E-26	-0.07	3.171109E-25	
0.05	-0.07	4.859353E-26	-0.07	3.522037E-27	-0.07	2.40994E-28	-0.07	3.524735E-27	-0.07	4.863022E-26	-0.07	3.171112E-25	
0.052	-0.07	4.859394E-26	-0.07	3.522067E-27	-0.07	2.409951E-28	-0.07	3.524737E-27	-0.07	4.863026E-26	-0.07	3.171115E-25	
0.054	-0.07	4.859434E-26	-0.07	3.522123E-27	-0.07	2.409975E-28	-0.07	3.52474E-27	-0.07	4.86303E-26	-0.07	3.171117E-25	
0.056	-0.07	4.859473E-26	-0.07	3.522151E-27	-0.07	2.409986E-28	-0.07	3.524743E-27	-0.07	4.863034E-26	-0.07	3.17112E-25	
0.058	-0.07	4.859512E-26	-0.07	3.522179E-27	-0.07	2.409997E-28	-0.07	3.524745E-27	-0.07	4.863037E-26	-0.07	3.171122E-25	
0.06	-0.07	4.859549E-26	-0.07	3.522207E-27	-0.07	2.410007E-28	-0.07	3.524748E-27	-0.07	4.863041E-26	-0.07	3.171124E-25	
0.062	-0.07	4.859623E-26	-0.07	3.522233E-27	-0.07	2.410017E-28	-0.07	3.52475E-27	-0.07	4.863044E-26	-0.07	3.171127E-25	
0.064	-0.07	4.859659E-26	-0.07	3.522259E-27	-0.07	2.410026E-28	-0.07	3.524753E-27	-0.07	4.863048E-26	-0.07	3.171129E-25	
0.066	-0.07	4.859693E-26	-0.07	3.522284E-27	-0.07	2.410036E-28	-0.07	3.524755E-27	-0.07	4.86305E-26	-0.07	3.171131E-25	
0.068	-0.07	4.859727E-26	-0.07	3.522309E-27	-0.07	2.410045E-28	-0.07	3.524757E-27	-0.07	4.863054E-26	-0.07	3.171132E-25	
0.07	-0.07	4.85976E-26	-0.07	3.522333E-27	-0.07	2.410054E-28	-0.07	3.524759E-27	-0.07	4.863057E-26	-0.07	3.171135E-25	
0.072	-0.07	4.859792E-26	-0.07	3.522356E-27	-0.07	2.410063E-28	-0.07	3.524761E-27	-0.07	4.863059E-26	-0.07	3.171137E-25	
0.074	-0.07	4.859824E-26	-0.07	3.522379E-27	-0.07	2.410071E-28	-0.07	3.524763E-27	-0.07	4.863062E-26	-0.07	3.171138E-25	
0.07600001	-0.07	4.859855E-26	-0.07	3.522401E-27	-0.07	2.410079E-28	-0.07	3.524765E-27	-0.07	4.863065E-26	-0.07	3.17114E-25	
0.078	-0.07	4.859885E-26	-0.07	3.522423E-27	-0.07	2.410088E-28	-0.07	3.524767E-27	-0.07	4.863123E-26	-0.07	3.171142E-25	
0.08000001	-0.07	4.859914E-26	-0.07	3.522444E-27	-0.07	2.410095E-28	-0.07	3.524769E-27	-0.07	4.863126E-26	-0.07	3.171143E-25	
0.082	-0.07	4.859943E-26	-0.07	3.522465E-27	-0.07	2.410103E-28	-0.07	3.524771E-27	-0.07	4.863128E-26	-0.07	3.171145E-25	
0.08400001	-0.07	4.859971E-26	-0.07	3.522485E-27	-0.07	2.410111E-28	-0.07	3.524773E-27	-0.07	4.863131E-26	-0.07	3.171147E-25	
0.086	-0.07	4.859998E-26	-0.07	3.522505E-27	-0.07	2.410118E-28	-0.07	3.524775E-27	-0.07	4.863133E-26	-0.07	3.171148E-25	
0.08800001	-0.07	4.860025E-26	-0.07	3.522524E-27	-0.07	2.410125E-28	-0.07	3.524776E-27	-0.07	4.863135E-26	-0.07	3.171149E-25	
0.09	-0.07	4.860051E-26	-0.07	3.522543E-27	-0.07	2.410132E-28	-0.07	3.524805E-27	-0.07	4.863137E-26	-0.07	3.171151E-25	
0.09200001	-0.07	4.860076E-26	-0.07	3.522561E-27	-0.07	2.410139E-28	-0.07	3.524779E-27	-0.07	4.86314E-26	-0.07	3.171152E-25	
0.094	-0.07	4.860138E-26	-0.07	3.522619E-27	-0.07	2.410155E-28	-0.07	3.524781E-27	-0.07	4.863141E-26	-0.07	3.171154E-25	
0.096	-0.07	4.860162E-26	-0.07	3.522637E-27	-0.07	2.410161E-28	-0.07	3.524809E-27	-0.07	4.863143E-26	-0.07	3.171155E-25	
0.098	-0.07	4.860186E-26	-0.07	3.522654E-27	-0.07	2.410167E-28	-0.07	3.524783E-27	-0.07	4.863145E-26	-0.07	3.171156E-25	
0.1	-0.07	4.860208E-26	-0.07	3.522671E-27	-0.07	2.410174E-28	-0.07	3.524785E-27	-0.07	4.863147E-26	-0.07	3.171157E-25	
0.102	-0.07	4.860231E-26	-0.07	3.522687E-27	-0.07	2.41018E-28	-0.07	3.524786E-27	-0.07	4.863149E-26	-0.07	3.171158E-25	
0.104	-0.07	4.860253E-26	-0.07	3.522703E-27	-0.07	2.410185E-28	-0.07	3.524787E-27	-0.07	4.86315E-26	-0.07	3.171159E-25	
0.106	-0.07	4.860274E-26	-0.07	3.522718E-27	-0.07	2.410191E-28	-0.07	3.524788E-27	-0.07	4.863152E-26	-0.07	3.171161E-25	
0.108	-0.07	4.860295E-26	-0.07	3.52276E-27	-0.07	2.410224E-28	-0.07	3.524789E-27	-0.07	4.863154E-26	-0.07	3.171162E-25	
0.11	-0.07	4.860316E-26	-0.07	3.522775E-27	-0.07	2.41023E-28	-0.07	3.524791E-27	-0.07	4.863155E-26	-0.07	3.171163E-25	
0.112	-0.07	4.860336E-26	-0.07	3.522789E-27	-0.07	2.410235E-28	-0.07	3.524792E-27	-0.07	4.863157E-26	-0.07	3.171164E-25	
0.114	-0.07	4.860355E-26	-0.07	3.522804E-27	-0.07	2.41024E-28	-0.07	3.524793E-27	-0.07	4.863158E-26	-0.07	3.171164E-25	
0.116	-0.07	4.860374E-26	-0.07	3.522817E-27	-0.07	2.410245E-28	-0.07	3.524794E-27	-0.07	4.86316E-26	-0.07	3.171165E-25	
0.118	-0.07	4.860392E-26	-0.07	3.522831E-27	-0.07	2.41025E-28	-0.07	3.524795E-27	-0.07	4.86316E-26	-0.07	3.171166E-25	
0.12	-0.07	4.860411E-26	-0.07	3.522844E-27	-0.07	2.410264E-28	-0.07	3.524849E-27	-0.07	4.863199E-26	-0.07	3.171227E-25	
0.122	-0.07	4.860428E-26	-0.07	3.522856E-27	-0.07	2.410269E-28	-0.07	3.52485E-27	-0.07	4.863201E-26	-0.07	3.171228E-25	
0.124	-0.07	4.860445E-26	-0.07	3.522869E-27	-0.07	2.410273E-28	-0.07	3.524851E-27	-0.07	4.863202E-26	-0.07	3.171229E-25	
0.126	-0.07	4.860462E-26	-0.07	3.522881E-27	-0.07	2.410278E-28	-0.07	3.524852E-27	-0.07	4.863203E-26	-0.07	3.171229E-25	
0.128	-0.07	4.860478E-26	-0.07	3.522893E-27	-0.07	2.410282E-28	-0.07	3.524852E-27	-0.07	4.863204E-26	-0.07	3.17123E-25	
0.13	-0.07	4.860494E-26	-0.07	3.522905E-27	-0.07	2.410286E-28	-0.07	3.524853E-27	-0.07	4.863205E-26	-0.07	3.171231E-25	
0.132	-0.07	4.86051E-26	-0.07	3.522916E-27	-0.07	2.41029E-28	-0.07	3.524854E-27	-0.07	4.863206E-26	-0.07	3.171232E-25	
