Time	2	Length2	Position	
0	0	5.5	-0.5	
0.001	0	5.5	-0.5	
0.002	0	5.49999	-0.49999	
0.003	0	5.49987	-0.49997	
0.004	0	5.49986	-0.49994	
0.005	0	5.499836	-0.4999001	
0.006	0	5.499799	-0.4998502	
0.007	0	5.499749	-0.4997903	
0.008	0	5.499688	-0.4997204	
0.009000001	0	5.499614	-0.4996405	
0.01	0	5.49953	-0.4995507	
0.011	0	5.499434	-0.4994509	
0.012	0	5.499328	-0.4993412	
0.013	0	5.499211	-0.4992215	
0.014	0	5.499084	-0.4990919	
0.015	0	5.498946	-0.4989523	
0.016	0	5.498797	-0.4988028	
0.017	0	5.498639	-0.4986434	
0.018	0	5.498471	-0.4984741	
0.019	0	5.498292	-0.4982949	
0.02	0	5.498103	-0.4981057	
0.021	0	5.497905	-0.4979067	
0.022	0	5.497696	-0.4976977	
0.023	0	5.497478	-0.4974789	
0.024	0	5.497249	-0.4972502	
0.025	0	5.497011	-0.4970116	
0.026	0	5.496762	-0.4967631	
0.027	0	5.496504	-0.4965048	
0.028	0	5.496236	-0.4962366	
0.029	0	5.495957	-0.4959586	
0.03	0	5.49567	-0.4956707	
0.031	0	5.495372	-0.495373	
0.032	0	5.495064	-0.4950654	
0.033	0	5.494747	-0.4947481	
0.034	0	5.49442	-0.4944209	
0.035	0	5.494083	-0.4940839	
0.036	0	5.493736	-0.493737	
0.037	0	5.49338	-0.4933804	
0.038	0	5.493013	-0.493014	
0.039	0	5.492637	-0.4926378	
0.04	0	5.492251	-0.4922518	
0.041	0	5.491855	-0.4918561	
0.042	0	5.49145	-0.4914506	
0.043	0	5.491035	-0.4910353	
0.044	0	5.490609	-0.4906103	
0.045	0	5.490175	-0.4901755	
0.046	0	5.48973	-0.489731	
0.047	0	5.489276	-0.4892768	
0.048	0	5.488812	-0.4888128	
0.049	0	5.488338	-0.4883392	
0.05	0	5.487855	-0.4878558	
0.051	0	5.487362	-0.4873627	
0.052	0	5.486859	-0.4868599	
0.053	0	5.486346	-0.4863474	
0.054	0	5.485824	-0.4858252	
0.055	0	5.485292	-0.4852934	
0.056	0	5.484751	-0.4847519	
0.057	0	5.4842	-0.4842007	
0.058	0	5.483639	-0.4836399	
0.059	0	5.483068	-0.4830695	
0.06	0	5.482489	-0.4824894	
0.061	0	5.481899	-0.4818997	
0.062	0	5.481299	-0.4813004	
0.063	0	5.48069	-0.4806914	
0.064	0	5.480072	-0.4800729	
0.06500001	0	5.479444	-0.4794447	
0.066	0	5.478806	-0.478807	
0.067	0	5.478159	-0.4781597	
0.068	0	5.477502	-0.4775028	
0.06900001	0	5.476835	-0.4768363	
0.07	0	5.476159	-0.4761603	
0.071	0	5.475474	-0.4754747	
0.072	0	5.474779	-0.4747796	
0.07300001	0	5.474074	-0.474075	
0.074	0	5.47336	-0.4733608	
0.075	0	5.472636	-0.4726371	
0.07600001	0	5.471903	-0.4719039	
0.07700001	0	5.47116	-0.4711612	
0.078	0	5.470408	-0.4704091	
0.079	0	5.469646	-0.4696474	
0.08000001	0	5.468875	-0.4688763	
0.081	0	5.468095	-0.4680957	
0.082	0	5.467305	-0.4673056	
0.083	0	5.466505	-0.4665061	
0.08400001	0	5.465696	-0.4656972	
0.085	0	5.464878	-0.4648788	
0.086	0	5.46405	-0.464051	
0.087	0	5.463213	-0.4632138	
0.08800001	0	5.462366	-0.4623672	
0.089	0	5.46151	-0.4615112	
0.09	0	5.460645	-0.4606458	
0.09100001	0	5.45977	-0.459771	
0.09200001	0	5.458886	-0.4588869	
0.093	0	5.457993	-0.4579934	
0.094	0	5.457089	-0.4570905	
0.09500001	0	5.456177	-0.4561783	
0.096	0	5.455256	-0.4552568	
0.097	0	5.454325	-0.4543259	
0.098	0	5.453385	-0.4533858	
0.09900001	0	5.452435	-0.4524363	
0.1	0	5.451477	-0.4514776	
0.101	0	5.450509	-0.4505095	
0.102	0	5.449531	-0.4495322	
0.103	0	5.448545	-0.4485456	
0.104	0	5.447549	-0.4475498	
0.105	0	5.446544	-0.4465447	
0.106	0	5.445529	-0.4455304	
0.107	0	5.444506	-0.4445068	
0.108	0	5.443473	-0.4434741	
0.109	0	5.442431	-0.4424321	
0.11	0	5.44138	-0.4413809	
0.111	0	5.44032	-0.4403205	
0.112	0	5.43925	-0.439251	
0.113	0	5.438171	-0.4381723	
0.114	0	5.437083	-0.4370844	
0.115	0	5.435987	-0.4359874	
0.116	0	5.43488	-0.4348812	
0.117	0	5.433765	-0.4337659	
0.118	0	5.432641	-0.4326415	
0.119	0	5.431507	-0.4315079	
0.12	0	5.430365	-0.4303653	
0.121	0	5.429213	-0.4292136	
0.122	0	5.428052	-0.4280528	
0.123	0	5.426882	-0.426883	
0.124	0	5.425703	-0.425704	
0.125	0	5.424515	-0.4245161	
0.126	0	5.423318	-0.4233191	
0.127	0	5.422112	-0.422113	
0.128	0	5.420897	-0.420898	
0.129	0	5.419673	-0.4196739	
0.13	0	5.41844	-0.4184409	
0.131	0	5.417198	-0.4171989	
0.132	0	5.415947	-0.4159479	
0.133	0	5.414687	-0.4146879	
0.134	0	5.413418	-0.413419	
0.135	0	5.41214	-0.4121411	
0.136	0	5.410853	-0.4108543	
0.137	0	5.409558	-0.4095586	
0.138	0	5.408253	-0.408254	
0.139	0	5.40694	-0.4069405	
0.14	0	5.405617	-0.4056181	
0.141	0	5.404286	-0.4042868	
0.142	0	5.402946	-0.4029467	
0.143	0	5.401597	-0.4015977	
0.144	0	5.400239	-0.4002398	
0.145	0	5.398872	-0.3988732	
0.146	0	5.397497	-0.3974977	
0.147	0	5.396112	-0.3961134	
0.148	0	5.394719	-0.3947203	
0.149	0	5.393317	-0.3933184	
0.15	0	5.391907	-0.3919077	
0.151	0	5.390487	-0.3904883	
0.152	0	5.389059	-0.3890601	
0.153	0	5.387622	-0.3876232	
0.154	0	5.386177	-0.3861775	
0.155	0	5.384722	-0.3847232	
0.156	0	5.383259	-0.3832601	
0.157	0	5.381787	-0.3817884	
0.158	0	5.380307	-0.3803079	
0.159	0	5.378818	-0.3788188	
0.16	0	5.37732	-0.377321	
0.161	0	5.375813	-0.3758146	
0.162	0	5.374299	-0.3742996	
0.163	0	5.372775	-0.3727759	
0.164	0	5.371243	-0.3712436	
0.165	0	5.369702	-0.3697027	
0.166	0	5.368152	-0.3681532	
0.167	0	5.366594	-0.3665951	
0.168	0	5.365027	-0.3650285	
0.169	0	5.363452	-0.3634534	
0.17	0	5.361869	-0.3618696	
0.171	0	5.360276	-0.3602774	
0.172	0	5.358675	-0.3586766	
0.173	0	5.357066	-0.3570673	
0.174	0	5.355449	-0.3554496	
0.175	0	5.353822	-0.3538234	
0.176	0	5.352188	-0.3521887	
0.177	0	5.350544	-0.3505455	
0.178	0	5.348893	-0.3488939	
0.179	0	5.347233	-0.3472339	
0.18	0	5.345564	-0.3455655	
0.181	0	5.343888	-0.3438886	
0.182	0	5.342202	-0.3422034	
0.183	0	5.340509	-0.3405098	
