Time	Length	Position	Length2	2	
0	5.5	-0.5	5.5	0	
0.001	5.499978	-0.49998	5.499978	0	
0.002	5.499936	-0.4999402	5.499936	0	
0.003	5.499874	-0.4998804	5.499874	0	
0.004	5.499792	-0.4998008	5.499792	0	
0.005	5.49969	-0.4997015	5.49969	0	
0.006	5.499569	-0.4995824	5.499569	0	
0.007	5.499428	-0.4994435	5.499428	0	
0.008	5.499269	-0.499285	5.499269	0	
0.009000001	5.499089	-0.4991068	5.499089	0	
0.01	5.498889	-0.4989091	5.498889	0	
0.011	5.498672	-0.4986918	5.498672	0	
0.012	5.498434	-0.498455	5.498434	0	
0.013	5.498176	-0.4981987	5.498176	0	
0.014	5.4979	-0.497923	5.4979	0	
0.015	5.497604	-0.4976279	5.497604	0	
0.016	5.49729	-0.4973135	5.49729	0	
0.017	5.496955	-0.4969798	5.496955	0	
0.018	5.496602	-0.4966268	5.496602	0	
0.019	5.496229	-0.4962546	5.496229	0	
0.02	5.495838	-0.4958633	5.495838	0	
0.021	5.495427	-0.4954528	5.495427	0	
0.022	5.494997	-0.4950232	5.494997	0	
0.023	5.494548	-0.4945745	5.494548	0	
0.024	5.494081	-0.4941069	5.494081	0	
0.025	5.493594	-0.4936202	5.493594	0	
0.026	5.493089	-0.4931147	5.493089	0	
0.027	5.492564	-0.4925903	5.492564	0	
0.028	5.492021	-0.4920471	5.492021	0	
0.029	5.491459	-0.491485	5.491459	0	
0.03	5.490878	-0.4909042	5.490878	0	
0.031	5.490279	-0.4903048	5.490279	0	
0.032	5.48966	-0.4896866	5.48966	0	
0.033	5.489024	-0.4890499	5.489024	0	
0.034	5.488369	-0.4883946	5.488369	0	
0.035	5.487694	-0.4877207	5.487694	0	
0.036	5.487002	-0.4870284	5.487002	0	
0.037	5.486291	-0.4863176	5.486291	0	
0.038	5.485562	-0.4855884	5.485562	0	
0.039	5.484815	-0.4848409	5.484815	0	
0.04	5.484049	-0.484075	5.484049	0	
0.041	5.483265	-0.4832909	5.483265	0	
0.042	5.482462	-0.4824886	5.482462	0	
0.043	5.481642	-0.4816681	5.481642	0	
0.044	5.480803	-0.4808295	5.480803	0	
0.045	5.479947	-0.4799727	5.479947	0	
0.046	5.479072	-0.479098	5.479072	0	
0.047	5.478179	-0.4782052	5.478179	0	
0.048	5.477268	-0.4772945	5.477268	0	
0.049	5.47634	-0.4763659	5.47634	0	
0.05	5.475393	-0.4754195	5.475393	0	
0.051	5.474429	-0.4744552	5.474429	0	
0.052	5.473447	-0.4734731	5.473447	0	
0.053	5.472447	-0.4724734	5.472447	0	
0.054	5.47143	-0.4714559	5.47143	0	
0.055	5.470395	-0.4704208	5.470395	0	
0.056	5.469342	-0.4693681	5.469342	0	
0.057	5.468272	-0.4682979	5.468272	0	
0.058	5.467184	-0.4672102	5.467184	0	
0.059	5.466079	-0.466105	5.466079	0	
0.06	5.464956	-0.4649825	5.464956	0	
0.061	5.463816	-0.4638425	5.463816	0	
0.062	5.462659	-0.4626853	5.462659	0	
0.063	5.461484	-0.4615107	5.461484	0	
0.064	5.460293	-0.460319	5.460293	0	
0.06500001	5.459084	-0.4591101	5.459084	0	
0.066	5.457858	-0.4578841	5.457858	0	
0.067	5.456614	-0.456641	5.456614	0	
0.068	5.455355	-0.4553808	5.455355	0	
0.06900001	5.454078	-0.4541037	5.454078	0	
0.07	5.452784	-0.4528096	5.452784	0	
0.071	5.451472	-0.4514987	5.451472	0	
0.072	5.450145	-0.4501708	5.450145	0	
0.07300001	5.4488	-0.4488262	5.4488	0	
0.074	5.447439	-0.4474649	5.447439	0	
0.075	5.446061	-0.4460868	5.446061	0	
0.07600001	5.444666	-0.4446921	5.444666	0	
0.07700001	5.443254	-0.4432808	5.443254	0	
0.078	5.441827	-0.4418529	5.441827	0	
0.079	5.440382	-0.4404085	5.440382	0	
0.08000001	5.438921	-0.4389476	5.438921	0	
0.081	5.437444	-0.4374703	5.437444	0	
0.082	5.43595	-0.4359766	5.43595	0	
0.083	5.434441	-0.4344666	5.434441	0	
0.08400001	5.432914	-0.4329404	5.432914	0	
0.085	5.431372	-0.4313979	5.431372	0	
0.086	5.429813	-0.4298392	5.429813	0	
0.087	5.428238	-0.4282643	5.428238	0	
0.08800001	5.426647	-0.4266734	5.426647	0	
0.089	5.42504	-0.4250665	5.42504	0	
0.09	5.423418	-0.4234436	5.423418	0	
0.09100001	5.421779	-0.4218047	5.421779	0	
0.09200001	5.420124	-0.42015	5.420124	0	
0.093	5.418453	-0.4184794	5.418453	0	
0.094	5.416767	-0.416793	5.416767	0	
0.09500001	5.415065	-0.4150909	5.415065	0	
0.096	5.413347	-0.413373	5.413347	0	
0.097	5.411613	-0.4116395	5.411613	0	
0.098	5.409864	-0.4098904	5.409864	0	
0.09900001	5.4081	-0.4081258	5.4081	0	
0.1	5.40632	-0.4063456	5.40632	0	
0.101	5.404524	-0.40455	5.404524	0	
0.102	5.402713	-0.402739	5.402713	0	
0.103	5.400887	-0.4009127	5.400887	0	
0.104	5.399045	-0.399071	5.399045	0	
0.105	5.397188	-0.3972141	5.397188	0	
0.106	5.395316	-0.3953419	5.395316	0	
0.107	5.393428	-0.3934546	5.393428	0	
0.108	5.391526	-0.3915522	5.391526	0	
0.109	5.389608	-0.3896348	5.389608	0	
0.11	5.387676	-0.3877023	5.387676	0	
0.111	5.385729	-0.3857549	5.385729	0	
0.112	5.383766	-0.3837925	5.383766	0	
0.113	5.381789	-0.3818153	5.381789	0	
0.114	5.379797	-0.3798232	5.379797	0	
0.115	5.37779	-0.3778164	5.37779	0	
0.116	5.37577	-0.3757949	5.37577	0	
0.117	5.373734	-0.3737587	5.373734	0	
0.118	5.371683	-0.3717079	5.371683	0	
0.119	5.369617	-0.3696426	5.369617	0	
0.12	5.367537	-0.3675627	5.367537	0	
0.121	5.365443	-0.3654683	5.365443	0	
0.122	5.363334	-0.3633596	5.363334	0	
0.123	5.361212	-0.3612365	5.361212	0	
0.124	5.359075	-0.359099	5.359075	0	
0.125	5.356923	-0.3569473	5.356923	0	
0.126	5.354757	-0.3547814	5.354757	0	
0.127	5.352577	-0.3526013	5.352577	0	
0.128	5.350383	-0.3504071	5.350383	0	
0.129	5.348175	-0.3481988	5.348175	0	
0.13	5.345952	-0.3459765	5.345952	0	
0.131	5.343716	-0.3437403	5.343716	0	
0.132	5.341466	-0.3414901	5.341466	0	
0.133	5.339203	-0.3392261	5.339203	0	
0.134	5.336925	-0.3369482	5.336925	0	
0.135	5.334633	-0.3346566	5.334633	0	
0.136	5.332328	-0.3323513	5.332328	0	
0.137	5.330009	-0.3300323	5.330009	0	
0.138	5.327676	-0.3276997	5.327676	0	
0.139	5.32533	-0.3253536	5.32533	0	
0.14	5.322971	-0.3229939	5.322971	0	
0.141	5.320598	-0.3206208	5.320598	0	
0.142	5.318212	-0.3182342	5.318212	0	
0.143	5.315812	-0.3158343	5.315812	0	
0.144	5.313399	-0.3134211	5.313399	0	
0.145	5.310972	-0.3109947	5.310972	0	
0.146	5.308533	-0.308555	5.308533	0	
0.147	5.30608	-0.3061022	5.30608	0	
0.148	5.303614	-0.3036362	5.303614	0	
0.149	5.301135	-0.3011572	5.301135	0	
0.15	5.298643	-0.2986653	5.298643	0	
0.151	5.296139	-0.2961603	5.296139	0	
0.152	5.293621	-0.2936425	5.293621	0	
0.153	5.29109	-0.2911118	5.29109	0	
0.154	5.288547	-0.2885683	5.288547	0	
0.155	5.285991	-0.2860121	5.285991	0	
0.156	5.283422	-0.2834431	5.283422	0	
0.157	5.28084	-0.2808615	5.28084	0	
0.158	5.278246	-0.2782674	5.278246	0	
0.159	5.27564	-0.2756606	5.27564	0	
0.16	5.273021	-0.2730414	5.273021	0	
0.161	5.270389	-0.2704098	5.270389	0	
0.162	5.267745	-0.2677657	5.267745	0	
0.163	5.26509	-0.2651094	5.26509	0	
0.164	5.262421	-0.2624407	5.262421	0	
0.165	5.25974	-0.2597598	5.25974	0	
0.166	5.257047	-0.2570667	5.257047	0	
0.167	5.254342	-0.2543615	5.254342	0	
0.168	5.251624	-0.2516442	5.251624	0	
0.169	5.248895	-0.2489148	5.248895	0	
0.17	5.246154	-0.2461735	5.246154	0	
0.171	5.243401	-0.2434203	5.243401	0	
0.172	5.240636	-0.2406551	5.240636	0	
0.173	5.237859	-0.2378782	5.237859	0	
0.174	5.23507	-0.2350895	5.23507	0	
0.175	5.23227	-0.232289	5.23227	0	
0.176	5.229458	-0.2294769	5.229458	0	
0.177	5.226634	-0.2266532	5.226634	0	
0.178	5.223799	-0.2238179	5.223799	0	
0.179	5.220953	-0.220971	5.220953	0	
0.18	5.218095	-0.2181128	5.218095	0	
0.181	5.215225	-0.2152431	5.215225	0	
0.182	5.212344	-0.212362	5.212344	0	
0.183	5.209452	-0.2094696	5.209452	0	
0.184	5.206548	-0.206566	5.206548	0	
0.185	5.203633	-0.2036512	5.203633	0	
0.186	5.200707	-0.2007252	5.200707	0	
0.187	5.197771	-0.1977881	5.197771	0	
0.188	5.194823	-0.19484	5.194823	0	
0.189	5.191864	-0.1918808	5.191864	0	
0.19	5.188893	-0.1889107	5.188893	0	
0.191	5.185913	-0.1859297	5.185913	0	
0.192	5.182921	-0.1829379	5.182921	0	
0.193	5.179918	-0.1799352	5.179918	0	
0.194	5.176905	-0.1769219	5.176905	0	
0.195	5.173881	-0.1738978	5.173881	0	
0.196	5.170846	-0.1708631	5.170846	0	
0.197	5.167801	-0.1678178	5.167801	0	
0.198	5.164746	-0.164762	5.164746	0	
0.199	5.161679	-0.1616957	5.161679	0	
0.2	5.158603	-0.1586189	5.158603	0	
0.201	5.155516	-0.1555318	5.155516	0	
0.202	5.152419	-0.1524343	5.152419	0	
0.203	5.149311	-0.1493266	5.149311	0	
0.204	5.146193	-0.1462086	5.146193	0	
0.205	5.143064	-0.1430805	5.143064	0	
0.206	5.139927	-0.1399422	5.139927	0	
0.207	5.136779	-0.1367939	5.136779	0	
0.208	5.13362	-0.1336355	5.13362	0	
0.209	5.130453	-0.1304672	5.130453	0	
0.21	5.127274	-0.127289	5.127274	0	
0.211	5.124086	-0.1241009	5.124086	0	
0.212	5.120888	-0.1209029	5.120888	0	
0.213	5.117681	-0.1176953	5.117681	0	
0.214	5.114463	-0.1144779	5.114463	0	
0.215	5.111237	-0.1112508	5.111237	0	
0.216	5.108	-0.1080142	5.108	0	
0.217	5.104754	-0.104768	5.104754	0	
0.218	5.101499	-0.1015122	5.101499	0	
0.219	5.098233	-0.09824708	5.098233	0	
0.22	5.094959	-0.09497251	5.094959	0	
0.221	5.091675	-0.0916886	5.091675	0	
0.222	5.088382	-0.08839538	5.088382	0	
0.223	5.085079	-0.08509292	5.085079	0	
0.224	5.081768	-0.08178126	5.081768	0	
0.225	5.078448	-0.07846046	5.078448	0	
0.226	5.075118	-0.07513057	5.075118	0	
0.227	5.071779	-0.07179163	5.071779	0	
0.228	5.068431	-0.06844372	5.068431	0	
0.229	5.065074	-0.06508686	5.065074	0	
0.23	5.061708	-0.06172111	5.061708	0	
0.231	5.058334	-0.05834653	5.058334	0	
0.232	5.054951	-0.05496317	5.054951	0	
0.233	5.051558	-0.05157108	5.051558	0	
0.234	5.048158	-0.0481703	5.048158	0	
0.235	5.044749	-0.0447609	5.044749	0	
0.236	5.041331	-0.04134291	5.041331	0	
0.237	5.037904	-0.03791641	5.037904	0	
0.238	5.03447	-0.03448142	5.03447	0	
0.239	5.031026	-0.03103802	5.031026	0	
0.24	5.027575	-0.02758624	5.027575	0	
0.241	5.024115	-0.02412614	5.024115	0	
0.242	5.020646	-0.02065776	5.020646	0	
0.243	5.01717	-0.01718117	5.01717	0	
0.244	5.013685	-0.01369641	5.013685	0	
0.245	5.010192	-0.01020354	5.010192	0	
0.246	5.006691	-0.006702597	5.006691	0	
0.247	5.003183	-0.003193642	5.003183	0	
0.248	4.999666	0.0003232767	4.999666	0	
0.249	4.996141	0.003848108	4.996141	0	
0.25	4.992609	0.007380799	4.992609	0	
0.251	4.989068	0.0109213	4.989068	0	
0.252	4.98552	0.01446956	4.98552	0	
0.253	4.981965	0.01802553	4.981965	0	
0.254	4.978401	0.02158916	4.978401	0	
0.255	4.97483	0.02516039	4.97483	0	
0.256	4.971251	0.02873918	4.971251	0	
0.257	4.967665	0.03232547	4.967665	0	
0.258	4.964071	0.03591922	4.964071	0	
0.259	4.96047	0.03952036	4.96047	0	
0.26	4.956861	0.04312887	4.956861	0	
0.261	4.953246	0.04674467	4.953246	0	
0.262	4.949623	0.05036772	4.949623	0	
0.263	4.945993	0.05399798	4.945993	0	
0.264	4.942356	0.05763538	4.942356	0	
0.265	4.938712	0.06127988	4.938712	0	
0.266	4.93506	0.06493143	4.93506	0	
0.267	4.931401	0.06858998	4.931401	0	
0.268	4.927736	0.07225547	4.927736	0	
0.269	4.924064	0.07592786	4.924064	0	
0.27	4.920384	0.0796071	4.920384	0	
0.271	4.916699	0.08329313	4.916699	0	
0.272	4.913006	0.08698591	4.913006	0	
0.273	4.909307	0.09068538	4.909307	0	
0.274	4.905601	0.09439149	4.905601	0	
0.275	4.901888	0.0981042	4.901888	0	
0.276	4.898169	0.1018235	4.898169	0	
0.277	4.894443	0.1055492	4.894443	0	
0.278	4.890711	0.1092814	4.890711	0	
0.279	4.886973	0.11302	4.886973	0	
0.28	4.883228	0.1167649	4.883228	0	
0.281	4.879477	0.1205161	4.879477	0	
0.282	4.87572	0.1242736	4.87572	0	
0.283	4.871956	0.1280372	4.871956	0	
0.284	4.868186	0.131807	4.868186	0	
0.285	4.86441	0.1355829	4.86441	0	
0.286	4.860629	0.1393649	4.860629	0	
0.287	4.856841	0.1431528	4.856841	0	
0.288	4.853047	0.1469466	4.853047	0	
0.289	4.849247	0.1507464	4.849247	0	
0.29	4.845442	0.154552	4.845442	0	
0.291	4.841631	0.1583634	4.841631	0	
0.292	4.837814	0.1621806	4.837814	0	
0.293	4.833991	0.1660034	4.833991	0	
0.294	4.830163	0.1698319	4.830163	0	
0.295	4.826329	0.173666	4.826329	0	
0.296	4.822489	0.1775056	4.822489	0	
0.297	4.818644	0.1813507	4.818644	0	
0.298	4.814794	0.1852013	4.814794	0	
0.299	4.810937	0.1890572	4.810937	0	
0.3	4.807076	0.1929186	4.807076	0	
0.301	4.80321	0.1967852	4.80321	0	
0.302	4.799339	0.200657	4.799339	0	
0.303	4.795462	0.2045341	4.795462	0	
0.304	4.791579	0.2084163	4.791579	0	
0.305	4.787692	0.2123036	4.787692	0	
0.306	4.7838	0.216196	4.7838	0	
0.307	4.779902	0.2200934	4.779902	0	
0.308	4.776	0.2239957	4.776	0	
0.309	4.772093	0.2279029	4.772093	0	
0.31	4.768181	0.2318151	4.768181	0	
0.311	4.764265	0.235732	4.764265	0	
0.312	4.760343	0.2396536	4.760343	0	
0.313	4.756417	0.24358	4.756417	0	
0.314	4.752486	0.2475111	4.752486	0	
0.315	4.74855	0.2514467	4.74855	0	
0.316	4.74461	0.2553869	4.74461	0	
0.317	4.740665	0.2593317	4.740665	0	
0.318	4.736716	0.2632809	4.736716	0	
0.319	4.732762	0.2672346	4.732762	0	
0.32	4.728805	0.2711926	4.728805	0	
0.321	4.724843	0.2751549	4.724843	0	
0.322	4.720876	0.2791215	4.720876	0	
0.323	4.716905	0.2830923	4.716905	0	
0.324	4.71293	0.2870674	4.71293	0	
0.325	4.708951	0.2910465	4.708951	0	
0.326	4.704968	0.2950297	4.704968	0	
0.327	4.700981	0.299017	4.700981	0	
0.328	4.69699	0.3030082	4.69699	0	
0.329	4.692995	0.3070034	4.692995	0	
0.33	4.688995	0.3110025	4.688995	0	
0.331	4.684993	0.3150054	4.684993	0	
0.332	4.680986	0.3190121	4.680986	0	
0.333	4.676976	0.3230226	4.676976	0	
0.334	4.672962	0.3270368	4.672962	0	
0.335	4.668944	0.3310546	4.668944	0	
0.336	4.664923	0.335076	4.664923	0	
0.337	4.660898	0.339101	4.660898	0	
0.338	4.656869	0.3431295	4.656869	0	
