Time	Position	Length2	2	
0	-0.5	5.59017	0	
0.001	-0.4999794	5.590148	0	
0.002	-0.4999383	5.590105	0	
0.003	-0.4998767	5.59004	0	
0.004	-0.4997946	5.589956	0	
0.005	-0.4996919	5.589852	0	
0.006	-0.4995688	5.589728	0	
0.007	-0.4994251	5.589584	0	
0.008	-0.499261	5.589421	0	
0.009000001	-0.4990764	5.589237	0	
0.01	-0.4988714	5.589034	0	
0.011	-0.4986459	5.58881	0	
0.012	-0.4984	5.588568	0	
0.013	-0.4981337	5.588305	0	
0.014	-0.4978469	5.588022	0	
0.015	-0.4975398	5.587719	0	
0.016	-0.4972123	5.587396	0	
0.017	-0.4968645	5.587053	0	
0.018	-0.4964963	5.586691	0	
0.019	-0.4961077	5.586308	0	
0.02	-0.4956988	5.585906	0	
0.021	-0.4952696	5.585483	0	
0.022	-0.4948201	5.58504	0	
0.023	-0.4943504	5.584577	0	
0.024	-0.4938603	5.584095	0	
0.025	-0.4933501	5.583592	0	
0.026	-0.4928195	5.58307	0	
0.027	-0.4922688	5.582529	0	
0.028	-0.4916978	5.581967	0	
0.029	-0.4911067	5.581385	0	
0.03	-0.4904954	5.580783	0	
0.031	-0.4898639	5.580163	0	
0.032	-0.4892123	5.579522	0	
0.033	-0.4885406	5.578861	0	
0.034	-0.4878487	5.57818	0	
0.035	-0.4871368	5.57748	0	
0.036	-0.4864047	5.57676	0	
0.037	-0.4856526	5.576019	0	
0.038	-0.4848805	5.57526	0	
0.039	-0.4840884	5.574481	0	
0.04	-0.4832762	5.573682	0	
0.041	-0.4824441	5.572864	0	
0.042	-0.481592	5.572025	0	
0.043	-0.4807199	5.571167	0	
0.044	-0.4798279	5.57029	0	
0.045	-0.478916	5.569393	0	
0.046	-0.4779841	5.568476	0	
0.047	-0.4770324	5.567539	0	
0.048	-0.4760609	5.566584	0	
0.049	-0.4750695	5.565609	0	
0.05	-0.4740582	5.564614	0	
0.051	-0.4730272	5.5636	0	
0.052	-0.4719764	5.562566	0	
0.053	-0.4709059	5.561513	0	
0.054	-0.4698156	5.56044	0	
0.055	-0.4687055	5.559348	0	
0.056	-0.4675758	5.558237	0	
0.057	-0.4664264	5.557106	0	
0.058	-0.4652573	5.555956	0	
0.059	-0.4640687	5.554788	0	
0.06	-0.4628603	5.553599	0	
0.061	-0.4616324	5.552391	0	
0.062	-0.4603849	5.551164	0	
0.063	-0.4591179	5.549917	0	
0.064	-0.4578313	5.548652	0	
0.06500001	-0.4565253	5.547368	0	
0.066	-0.4551997	5.546063	0	
0.067	-0.4538547	5.54474	0	
0.068	-0.4524903	5.543398	0	
0.06900001	-0.4511064	5.542037	0	
0.07	-0.4497031	5.540657	0	
