Time	Length	Position	2	
0	5.544366	-0.5	0	
0.001	5.544354	-0.4999899	0	
0.002	5.54433	-0.4999696	0	
0.003	5.544296	-0.4999393	0	
0.004	5.544251	-0.4998989	0	
0.005	5.544197	-0.4998483	0	
0.006	5.544133	-0.4997877	0	
0.007	5.54406	-0.499717	0	
0.008	5.543976	-0.4996363	0	
0.009000001	5.543884	-0.4995455	0	
0.01	5.543782	-0.4994447	0	
0.011	5.54367	-0.4993339	0	
0.012	5.543549	-0.499213	0	
0.013	5.543418	-0.4990821	0	
0.014	5.543278	-0.4989413	0	
0.015	5.543128	-0.4987905	0	
0.016	5.542967	-0.4986297	0	
0.017	5.542798	-0.4984589	0	
0.018	5.542619	-0.4982782	0	
0.019	5.542429	-0.4980875	0	
0.02	5.542231	-0.4978869	0	
0.021	5.542022	-0.4976764	0	
0.022	5.541803	-0.4974559	0	
0.023	5.541574	-0.4972256	0	
0.024	5.541337	-0.4969853	0	
0.025	5.541088	-0.4967352	0	
0.026	5.54083	-0.4964753	0	
0.027	5.540563	-0.4962054	0	
0.028	5.540285	-0.4959258	0	
0.029	5.539999	-0.4956363	0	
0.03	5.539701	-0.4953369	0	
0.031	5.539395	-0.4950278	0	
0.032	5.539078	-0.4947089	0	
0.033	5.538752	-0.4943801	0	
0.034	5.538416	-0.4940417	0	
0.035	5.538071	-0.4936934	0	
0.036	5.537715	-0.4933354	0	
0.037	5.537351	-0.4929676	0	
0.038	5.536976	-0.4925901	0	
0.039	5.536592	-0.4922029	0	
0.04	5.536199	-0.491806	0	
0.041	5.535795	-0.4913993	0	
0.042	5.535382	-0.490983	0	
0.043	5.53496	-0.4905571	0	
0.044	5.534528	-0.4901214	0	
0.045	5.534086	-0.4896761	0	
0.046	5.533635	-0.4892212	0	
0.047	5.533174	-0.4887567	0	
0.048	5.532704	-0.4882825	0	
0.049	5.532224	-0.4877987	0	
0.05	5.531734	-0.4873053	0	
0.051	5.531236	-0.4868024	0	
0.052	5.530727	-0.4862899	0	
0.053	5.53021	-0.4857678	0	
0.054	5.529682	-0.4852362	0	
0.055	5.529145	-0.484695	0	
0.056	5.528599	-0.4841444	0	
0.057	5.528044	-0.4835842	0	
0.058	5.527479	-0.4830145	0	
0.059	5.526904	-0.4824354	0	
0.06	5.52632	-0.4818467	0	
0.061	5.525727	-0.4812487	0	
0.062	5.525125	-0.4806412	0	
0.063	5.524513	-0.4800242	0	
0.064	5.523891	-0.4793978	0	
0.06500001	5.523261	-0.478762	0	
0.066	5.522621	-0.4781168	0	
0.067	5.521971	-0.4774622	0	
0.068	5.521313	-0.4767983	0	
0.06900001	5.520645	-0.476125	0	
0.07	5.519968	-0.4754423	0	
0.071	5.519281	-0.4747504	0	
0.072	5.518586	-0.4740491	0	
0.07300001	5.517881	-0.4733385	0	
0.074	5.517167	-0.4726186	0	
0.075	5.516444	-0.4718893	0	
0.07600001	5.515711	-0.4711509	0	
0.07700001	5.514969	-0.4704032	0	
0.078	5.514219	-0.4696462	0	
0.079	5.513459	-0.46888	0	
0.08000001	5.51269	-0.4681046	0	
0.081	5.511911	-0.4673199	0	
0.082	5.511124	-0.4665261	0	
0.083	5.510328	-0.4657231	0	
0.08400001	5.509522	-0.464911	0	
0.085	5.508708	-0.4640896	0	
0.086	5.507884	-0.4632592	0	
0.087	5.507051	-0.4624196	0	
0.08800001	5.506209	-0.4615709	0	
0.089	5.505358	-0.4607131	0	
0.09	5.504498	-0.4598462	0	
0.09100001	5.50363	-0.4589702	0	
0.09200001	5.502752	-0.4580851	0	
0.093	5.501865	-0.4571911	0	
0.094	5.500969	-0.456288	0	
0.09500001	5.500064	-0.4553759	0	
0.096	5.499151	-0.4544547	0	
0.097	5.498229	-0.4535246	0	
0.098	5.497297	-0.4525855	0	
0.09900001	5.496357	-0.4516374	0	
0.1	5.495408	-0.4506803	0	
0.101	5.494449	-0.4497144	0	
0.102	5.493483	-0.4487394	0	
0.103	5.492507	-0.4477556	0	
0.104	5.491522	-0.4467629	0	
0.105	5.490529	-0.4457613	0	
0.106	5.489527	-0.4447508	0	
0.107	5.488515	-0.4437315	0	
0.108	5.487496	-0.4427033	0	
0.109	5.486467	-0.4416663	0	
0.11	5.48543	-0.4406205	0	
0.111	5.484384	-0.4395658	0	
0.112	5.483329	-0.4385024	0	
0.113	5.482266	-0.4374302	0	
0.114	5.481194	-0.4363492	0	
0.115	5.480113	-0.4352595	0	
0.116	5.479024	-0.4341611	0	
0.117	5.477926	-0.4330539	0	
0.118	5.476819	-0.4319381	0	
0.119	5.475704	-0.4308135	0	
0.12	5.47458	-0.4296803	0	
0.121	5.473447	-0.4285384	0	
0.122	5.472306	-0.4273878	0	
0.123	5.471157	-0.4262286	0	
0.124	5.469999	-0.4250608	0	
0.125	5.468832	-0.4238844	0	
