Time	MV	Muscle2	Len	
0	-0.1	0	-0.05	
0.0002	-0.1	0	-0.04925735	
0.0004	-0.09872524	0	-0.04854382	
0.0006	-0.09755266	0	-0.04785827	
0.0008	-0.09647334	0.0001335144	-0.0471996	
0.0009999999	-0.09547926	0.0001335144	-0.04656676	
0.0012	-0.09456321	0.0001335144	-0.04595872	
0.0014	-0.09371868	0.0001335144	-0.04537454	
0.0016	-0.09293979	0.0001335144	-0.04481325	
0.0018	-0.09222121	0.0004769329	-0.04427398	
0.002	-0.0915581	0.0004769329	-0.04375584	
0.0022	-0.09094607	0.0004769329	-0.04325802	
0.0024	-0.09038112	0.0004769329	-0.04277973	
0.0026	-0.08818138	0.0004769329	-0.04232018	
0.0028	-0.08618664	0.001706261	-0.04187866	
0.003	-0.08437519	0.001706261	-0.04145442	
0.0032	-0.08272804	0.001706261	-0.04104682	
0.0034	-0.08122853	0.001706261	-0.04065521	
0.0036	-0.07986203	0.001706261	-0.04027895	
0.0038	-0.07861561	0.004809124	-0.03991744	
0.004	-0.07747783	0.004809124	-0.03957006	
0.0042	-0.07643855	0.004809124	-0.0392363	
0.0044	-0.07548872	0.004809124	-0.03891563	
0.0046	-0.07462031	0.004809124	-0.03860753	
0.0048	-0.07382612	0.01694313	-0.03831151	
0.005	-0.07309967	0.01694313	-0.03802691	
0.0052	-0.07243518	0.01694313	-0.03775346	
0.0054	-0.07182742	0.01694313	-0.03749074	
0.0056	-0.07127167	0.01694313	-0.03723832	
0.0058	-0.07076367	0.04394245	-0.0369958	
0.006	-0.07029957	0.04394245	-0.03676237	
0.0062	-0.06987585	0.04394245	-0.03653809	
0.0064	-0.06948935	0.04394245	-0.0363226	
0.0066	-0.06913715	0.04394245	-0.03611556	
0.0068	-0.0688166	0.0885729	-0.03591664	
0.007	-0.06852531	0.0885729	-0.03572481	
0.0072	-0.06826106	0.0885729	-0.03554052	
0.0074	-0.06802183	0.0885729	-0.03536344	
0.0076	-0.06780575	0.0885729	-0.03519331	
0.0078	-0.06761113	0.1499033	-0.03502985	
0.007999999	-0.0674364	0.1499033	-0.03487184	
0.0082	-0.06728012	0.1499033	-0.03472003	
0.0084	-0.06714095	0.1499033	-0.03457416	
0.008599999	-0.06701767	0.1499033	-0.03443402	
0.0088	-0.06690916	0.2245002	-0.03429937	
0.009	-0.06681436	0.2245002	-0.03416883	
0.0092	-0.06673231	0.2245002	-0.03404341	
0.0094	-0.06666211	0.2245002	-0.03392291	
0.0096	-0.06660294	0.2245002	-0.03380713	
0.0098	-0.06655402	0.3079775	-0.03369589	
0.01	-0.06651465	0.3079775	-0.03358771	
0.0102	-0.06648416	0.3079775	-0.03348377	
0.0104	-0.06646194	0.3079775	-0.03338389	
0.0106	-0.06644743	0.3079775	-0.03328794	
0.0108	-0.06644008	0.3963148	-0.03319575	
0.011	-0.06643941	0.3963148	-0.03310579	
0.0112	-0.06644495	0.3963148	-0.03301936	
0.0114	-0.06645628	0.3963148	-0.03293631	
0.0116	-0.06647301	0.3963148	-0.03285653	
0.0118	-0.06649475	0.4862027	-0.03277987	
0.012	-0.06652118	0.4862027	-0.0327048	
0.0122	-0.06655194	0.4862027	-0.03263268	
0.0124	-0.06658676	0.4862027	-0.03256339	
0.0126	-0.06662536	0.4862027	-0.03249682	
0.0128	-0.06666747	0.5751796	-0.03243285	
0.013	-0.06671284	0.5751796	-0.03237	
0.0132	-0.06676126	0.5751796	-0.03230962	
0.0134	-0.0668125	0.5751796	-0.03225159	
0.0136	-0.06686636	0.5751796	-0.03219585	
0.0138	-0.06692267	0.661488	-0.03214229	
0.014	-0.06698125	0.661488	-0.03208948	
0.0142	-0.06704193	0.661488	-0.03203873	
0.0144	-0.06710457	0.661488	-0.03198998	
0.0146	-0.06716902	0.661488	-0.03194314	
0.0148	-0.06723516	0.7441304	-0.03189814	
0.015	-0.06730284	0.7441304	-0.0318536	
0.0152	-0.06737198	0.7441304	-0.03181081	
0.0154	-0.06744245	0.7441304	-0.0317697	
0.0156	-0.06751414	0.7441304	-0.0317302	
0.0158	-0.06758697	0.8224453	-0.03169225	
0.016	-0.06766086	0.8224453	-0.03165456	
0.0162	-0.0677357	0.8224453	-0.03161835	
0.0164	-0.06781144	0.8224453	-0.03158356	
0.0166	-0.06788799	0.8224453	-0.03155012	
0.0168	-0.0679653	0.896154	-0.031518	
0.017	-0.06804329	0.896154	-0.03148599	
0.0172	-0.0681219	0.896154	-0.03145523	
0.0174	-0.06820108	0.896154	-0.03142568	
0.0176	-0.06828078	0.896154	-0.03139728	
0.0178	-0.06836095	0.9650792	-0.03137	
0.018	-0.06844154	0.9650792	-0.03134271	
0.0182	-0.06852252	0.9650792	-0.03131649	
0.0184	-0.06860384	0.9650792	-0.0312913	
0.0186	-0.06868546	0.9650792	-0.03126709	
0.0188	-0.06876735	1.029338	-0.03124383	
0.019	-0.06884947	1.029338	-0.03122048	
0.0192	-0.06893181	1.029338	-0.03119804	
0.0194	-0.06901432	1.029338	-0.03117649	
0.0196	-0.06909698	1.029338	-0.03115577	
0.0198	-0.06917978	1.089136	-0.03113588	
0.02	-0.06926268	1.089136	-0.03111582	
0.0202	-0.06934565	1.089136	-0.03109655	
0.0204	-0.06942869	1.089136	-0.03107803	
0.0206	-0.06951176	1.089136	-0.03106024	
0.0208	-0.06959487	1.144615	-0.03104315	
0.021	-0.06967799	1.144615	-0.03102585	
0.0212	-0.06976109	1.144615	-0.03100924	
0.0214	-0.06984418	1.144615	-0.03099328	
0.0216	-0.06992722	1.144615	-0.03097794	
0.0218	-0.07001022	1.195943	-0.0309632	
