Time	PendulumX	PendulumY	PendulumZ	Rotation	
0	0	-7	0	0	
0.001	0	-7	0	2.502768E-15	
0.002	1E-05	-7.00001	0	2.502768E-15	
0.003	2.992543E-05	-7.000008	0	-3.132204E-06	
0.004	5.981828E-05	-7.000007	-2.375269E-10	-7.631184E-06	
0.005	9.967825E-05	-7.000005	-8.114198E-10	-1.350832E-05	
0.006	0.0001495051	-7.000004	-1.828532E-09	-2.077272E-05	
0.007	0.0002092985	-7.000003	-3.402746E-09	-2.943167E-05	
0.008	0.0002790583	-7.000003	-5.65398E-09	-3.949098E-05	
0.009000001	0.0003587842	-7.000002	-8.707177E-09	-5.09553E-05	
0.01	0.0004484761	-7.000002	-1.269131E-08	-6.382835E-05	
0.011	0.0005481338	-7.000001	-3.305524E-08	-7.811309E-05	
0.012	0.000657757	-7.000001	-5.856705E-08	-9.38119E-05	
0.013	0.0007773457	-7.000001	-8.453679E-08	-0.0001109267	
0.014	0.0009068995	-7.000001	-1.110061E-07	-0.0001294589	
0.015	0.001046418	-7.000001	-1.380254E-07	-0.0001494098	
0.016	0.001195902	-7.000001	-1.710563E-07	-0.0001707803	
0.017	0.00135535	-7.000001	-2.045457E-07	-0.0001935711	
0.018	0.001524762	-7.000001	-2.38539E-07	-0.0002177829	
0.019	0.001704138	-7.000001	-2.779855E-07	-0.0002434162	
0.02	0.001893478	-7.000001	-3.178564E-07	-0.0002704712	
0.021	0.002092782	-7	-3.621483E-07	-0.0002989482	
0.022	0.002302049	-7	-4.096983E-07	-0.0003288476	
0.023	0.002521278	-7	-4.598665E-07	-0.0003601694	
0.024	0.002750471	-7	-5.102686E-07	-0.0003929138	
0.025	0.002989625	-7	-5.609397E-07	-0.0004270809	
0.026	0.003238742	-7	-6.153068E-07	-0.0004626708	
0.027	0.00349782	-7	-6.721654E-07	-0.0004996833	
0.028	0.003766859	-7	-7.292155E-07	-0.0005381186	
0.029	0.004045859	-6.999999	-7.865034E-07	-0.0005779766	
0.03	0.00433482	-6.999999	-8.480576E-07	-0.0006192574	
0.031	0.00463374	-6.999999	-9.120555E-07	-0.0006619609	
0.032	0.00494262	-6.999998	-9.762201E-07	-0.000706087	
0.033	0.00526146	-6.999998	-1.040605E-06	-0.000751636	
0.034	0.005590258	-6.999998	-1.109654E-06	-0.0007986074	
0.035	0.005929015	-6.999998	-1.178885E-06	-0.0008470014	
0.036	0.006277729	-6.999997	-1.251893E-06	-0.0008968179	
0.037	0.0066364	-6.999997	-1.327276E-06	-0.0009480569	
0.038	0.007005028	-6.999996	-1.404814E-06	-0.001000718	
0.039	0.007383613	-6.999996	-1.482475E-06	-0.001054802	
0.04	0.007772153	-6.999995	-1.563562E-06	-0.001110308	
0.041	0.008170648	-6.999995	-1.644771E-06	-0.001167236	
0.042	0.008579099	-6.999994	-1.726166E-06	-0.001225586	
0.043	0.008997503	-6.999994	-1.812671E-06	-0.001285358	
0.044	0.009425861	-6.999993	-1.901524E-06	-0.001346552	
0.045	0.009864172	-6.999993	-1.992546E-06	-0.001409168	
0.046	0.01031244	-6.999992	-2.085614E-06	-0.001473206	
0.047	0.01077065	-6.999992	-2.178779E-06	-0.001538665	
0.048	0.01123882	-6.999991	-2.275498E-06	-0.001605546	
0.049	0.01171693	-6.99999	-2.372318E-06	-0.001673848	
0.05	0.012205	-6.999989	-2.472845E-06	-0.001743572	
0.051	0.01270301	-6.999988	-2.575501E-06	-0.001814717	
0.052	0.01321097	-6.999987	-2.678249E-06	-0.001887284	
0.053	0.01372888	-6.999986	-2.784723E-06	-0.001961271	
0.054	0.01425674	-6.999985	-2.893311E-06	-0.002036679	
0.055	0.01479454	-6.999984	-3.001987E-06	-0.002113508	
0.056	0.01534229	-6.999983	-3.110822E-06	-0.002191758	
0.057	0.01589999	-6.999982	-3.225102E-06	-0.002271429	
0.058	0.01646762	-6.99998	-3.341674E-06	-0.00235252	
0.059	0.0170452	-6.999979	-3.460401E-06	-0.002435032	
0.06	0.01763272	-6.999978	-3.581193E-06	-0.002518964	
0.061	0.01823019	-6.999976	-3.702068E-06	-0.002604316	
0.062	0.01883759	-6.999975	-3.826664E-06	-0.002691088	
0.063	0.01945493	-6.999973	-3.953349E-06	-0.002779281	
0.064	0.02008221	-6.999971	-4.080115E-06	-0.002868892	
0.06500001	0.02071944	-6.999969	-4.210658E-06	-0.002959924	
0.066	0.02136659	-6.999968	-4.341289E-06	-0.003052375	
0.067	0.02202368	-6.999966	-4.475788E-06	-0.003146246	
0.068	0.02269071	-6.999963	-4.612442E-06	-0.003241536	
0.06900001	0.02336767	-6.999961	-4.74918E-06	-0.003338245	
0.07	0.02405457	-6.999959	-4.889759E-06	-0.003436373	
0.071	0.02475139	-6.999956	-5.032473E-06	-0.003535921	
0.072	0.02545815	-6.999954	-5.177249E-06	-0.003636887	
0.07300001	0.02617484	-6.999951	-5.32404E-06	-0.003739272	
0.074	0.02690146	-6.999949	-5.472814E-06	-0.003843075	
0.075	0.027638	-6.999946	-5.621654E-06	-0.003948296	
0.07600001	0.02838448	-6.999943	-5.774267E-06	-0.004054936	
0.07700001	0.02914087	-6.999939	-5.928941E-06	-0.004162995	
0.078	0.0299072	-6.999936	-6.083686E-06	-0.00427247	
0.079	0.03068344	-6.999933	-6.242276E-06	-0.004383363	
0.08000001	0.03146961	-6.999929	-6.402965E-06	-0.004495674	
0.081	0.0322657	-6.999926	-6.565702E-06	-0.004609403	
0.082	0.03307172	-6.999922	-6.728505E-06	-0.004724549	
