Time	PendulumX	PendulumY	PendulumZ	Rotation	
0	0	-0.7	0	0	
0.001	-0.0001757553	-0.6999999	3.579311E-08	0.0002846333	
0.002	-0.0007186108	-0.6999994	1.463473E-07	0.00103019	
0.003	-0.001510274	-0.699998	3.07572E-07	0.002157923	
0.004	-0.002477284	-0.699995	5.045067E-07	0.003539027	
0.005	-0.003568946	-0.6999903	7.26827E-07	0.005098522	
0.006	-0.004749331	-0.6999833	9.672161E-07	0.006784812	
0.007	-0.005992869	-0.6999738	1.220467E-06	0.008561348	
0.008	-0.007281353	-0.6999617	1.48287E-06	0.01040212	
0.009000001	-0.008601815	-0.6999468	1.751787E-06	0.01228862	
0.01	-0.009945022	-0.6999291	2.025334E-06	0.01420765	
0.011	-0.01130439	-0.6999085	2.302175E-06	0.01614983	
0.012	-0.01267524	-0.6998851	2.581352E-06	0.01810847	
0.013	-0.01405422	-0.6998588	2.862187E-06	0.02007882	
0.014	-0.01543897	-0.6998296	3.144195E-06	0.02205746	
0.015	-0.01682778	-0.6997976	3.427029E-06	0.024042	
0.016	-0.01821944	-0.6997628	3.710446E-06	0.02603071	
0.017	-0.01961309	-0.6997252	3.994267E-06	0.02802237	
0.018	-0.02100812	-0.6996847	4.278368E-06	0.0300161	
0.019	-0.02240404	-0.6996415	4.562654E-06	0.03201148	
0.02	-0.02380061	-0.6995953	4.84707E-06	0.03400746	
0.021	-0.02519759	-0.6995464	5.131568E-06	0.03600433	
0.022	-0.0265948	-0.6994947	5.416114E-06	0.03800171	
0.023	-0.02799212	-0.6994402	5.700683E-06	0.03999939	
0.024	-0.02938946	-0.6993828	5.985256E-06	0.04199727	
0.025	-0.03078677	-0.6993226	6.26982E-06	0.04399526	
0.026	-0.03218398	-0.6992598	6.554367E-06	0.04599335	
0.027	-0.03358109	-0.6991941	6.838895E-06	0.04799142	
0.028	-0.03497806	-0.6991256	7.123392E-06	0.04998948	
0.029	-0.03637488	-0.6990543	7.407857E-06	0.05198751	
0.03	-0.03777151	-0.6989803	7.692285E-06	0.05398552	
0.031	-0.03916796	-0.6989033	7.976676E-06	0.05598346	
0.032	-0.0405642	-0.6988237	8.261025E-06	0.05798133	
0.033	-0.04196021	-0.6987413	8.545328E-06	0.05997917	
0.034	-0.04335603	-0.698656	8.829592E-06	0.06197686	
0.035	-0.04475163	-0.698568	9.11381E-06	0.06397453	
0.036	-0.046147	-0.6984773	9.39798E-06	0.0659721	
0.037	-0.04754212	-0.6983837	9.682103E-06	0.06796961	
0.038	-0.04893699	-0.6982874	9.966173E-06	0.06996705	
0.039	-0.0503316	-0.6981882	1.025019E-05	0.07196437	
0.04	-0.05172595	-0.6980863	1.053415E-05	0.07396176	
