Time	FF	Vm	Ie	
0	0	-0.07	0	
0.002	0.06444242	-0.06570384	0	
0.004	0.1186695	-0.0620887	0	
0.006	0.08321449	-0.06445237	0	
0.008	0.02227296	-0.06851514	0	
0.01	0	-0.07177494	0	
0.012	0	-0.07625902	0	
0.014	0	-0.07879614	0	
0.016	0	-0.07494538	0	
0.018	0	-0.07393843	0	
0.02	0	-0.07335509	0	
0.022	0	-0.07217597	0	
0.024	0.03798291	-0.06746781	0	
0.026	0.1051279	-0.06299148	0	
0.028	0.09240831	-0.06383944	0	
0.03	0.1092243	-0.06271838	0	
0.032	0.1655034	-0.05896644	0	
0.034	0.1918059	-0.05721294	0	
0.036	0.160107	-0.0593262	0	
0.038	0.1724687	-0.05850209	0	
0.04	0.1092168	-0.06271888	0	
0.042	0.1390929	-0.06072714	0	
0.044	0.1886716	-0.0574219	0	
0.046	0.2452895	-0.05364737	0	
0.048	0.1579553	-0.05946965	0	
0.05	0.07368319	-0.06508779	0	
0.052	0.03749634	-0.06750024	0	
0.054	0	-0.07160245	0	
0.056	0	-0.07250818	0	
0.058	0	-0.07435393	0	
0.06	0	-0.07099079	0	
0.062	0.009590726	-0.06936062	0	
0.064	0.02801549	-0.0681323	0	
0.066	0.07261968	-0.06515869	0	
0.068	0.1289671	-0.06140219	0	
0.07	0.1761957	-0.05825362	0	
0.072	0.1729089	-0.05847274	0	
0.074	0.2310788	-0.05459475	0	
0.07600001	0.2666614	-0.05222257	0	
0.078	0.2824368	-0.05117089	0	
0.08000001	0.1961808	-0.05692128	0	
0.082	0.2044734	-0.05636844	0	
0.08400001	0.2367771	-0.05421486	0	
0.086	0.25361	-0.05309267	0	
0.08800001	0.301325	-0.04991167	0	
0.09	0.2763765	-0.0515749	0	
0.09200001	0.2375558	-0.05416294	0	
0.094	0.1955565	-0.0569629	0	
0.096	0.2111616	-0.05592256	0	
0.098	0.1880308	-0.05746461	0	
0.1	0.1198926	-0.06200716	-4E-09	
0.102	0.1063532	-0.06290979	-4E-09	
0.104	0.1091659	-0.06272227	-4E-09	
0.106	0.1359904	-0.06093398	-4E-09	
0.108	0.05967739	-0.06602151	-4E-09	
0.11	0.04222994	-0.06718467	-4E-09	
0.112	0.03499495	-0.06766701	-4E-09	
0.114	0.03628533	-0.06758098	-4E-09	
0.116	0.008381746	-0.06944121	-4E-09	
0.118	0	-0.075436	-4E-09	
0.12	0	-0.07910319	-4E-09	
0.122	0	-0.08589449	-4E-09	
0.124	0	-0.08455182	-4E-09	
0.126	0	-0.08324466	-4E-09	
0.128	0	-0.08304354	-4E-09	
0.13	0	-0.08080341	-4E-09	
0.132	0	-0.07953106	-4E-09	
0.134	0	-0.08631556	-4E-09	
0.136	0	-0.08389986	-4E-09	
0.138	0	-0.0857224	-4E-09	
0.14	0	-0.08402191	-4E-09	
0.142	0	-0.08549123	-4E-09	
0.144	0	-0.08302557	-4E-09	
0.146	0	-0.08386021	-4E-09	
0.148	0	-0.08085373	-4E-09	
0.15	0	-0.08727723	-4E-09	
0.152	0	-0.08723089	-4E-09	
0.154	0	-0.08479794	-4E-09	
0.156	0	-0.08335818	-4E-09	
0.158	0	-0.08285164	-4E-09	
0.16	0	-0.08863409	-4E-09	
0.162	0	-0.08687498	-4E-09	
0.164	0	-0.09104137	-4E-09	
0.166	0	-0.09230305	-4E-09	
0.168	0	-0.0946894	-4E-09	
0.17	0	-0.09260821	-4E-09	
0.172	0	-0.0917753	-4E-09	
0.174	0	-0.09703059	-4E-09	
0.176	0	-0.09804577	-4E-09	
0.178	0	-0.1016532	-4E-09	
0.18	0	-0.1030574	-4E-09	
0.182	0	-0.1059331	-4E-09	
0.184	0	-0.1048176	-4E-09	
0.186	0	-0.105482	-4E-09	
0.188	0	-0.1031903	-4E-09	
0.19	0	-0.1040506	-4E-09	
0.192	0	-0.103872	-4E-09	
0.194	0	-0.1021854	-4E-09	
0.196	0	-0.1007718	-4E-09	
0.198	0	-0.1046065	-4E-09	
0.2	0	-0.1008335	0	
0.202	0	-0.09846343	0	
0.204	0	-0.1013197	0	
0.206	0	-0.1025543	0	
0.208	0	-0.09701026	0	
0.21	0	-0.09252144	0	
0.212	0	-0.09218796	0	
0.214	0	-0.08642705	0	
0.216	0	-0.08734421	0	
0.218	0	-0.08509298	0	
0.22	0	-0.08902381	0	
0.222	0	-0.09125373	0	
0.224	0	-0.09046124	0	
0.226	0	-0.08920088	0	
0.228	0	-0.08554146	0	
0.23	0	-0.08573191	0	
0.232	0	-0.08592551	0	
0.234	0	-0.0813778	0	
0.236	0	-0.08068678	0	
0.238	0	-0.07586335	0	
0.24	0	-0.08033207	0	
0.242	0	-0.08080478	0	
0.244	0	-0.08259009	0	
0.246	0	-0.0835958	0	
0.248	0	-0.08421806	0	
0.25	0	-0.08258624	0	
0.252	0	-0.07878029	0	
0.254	0	-0.08131676	0	
0.256	0	-0.07617831	0	
0.258	0	-0.07950801	0	
0.26	0	-0.08286893	0	
0.262	0	-0.08013504	0	
0.264	0	-0.07710534	0	
0.266	0	-0.07363559	0	
0.268	0.02056737	-0.06862884	0	
0.27	0.0302267	-0.06798489	0	
0.272	0.05909445	-0.06606037	0	
0.274	0.1261393	-0.06159071	0	
0.276	0.1854947	-0.05763368	0	
0.278	0.1932366	-0.05711756	0	
0.28	0.2445312	-0.05369792	0	
0.282	0.2864924	-0.0509005	0	
0.284	0.2538975	-0.0530735	0	
0.286	0.2362833	-0.05424778	0	
0.288	0.1962453	-0.05691698	0	
0.29	0.1609047	-0.05927302	0	
0.292	0.190544	-0.05729707	0	
0.294	0.2099756	-0.05600163	0	
0.296	0.1711745	-0.05858837	0	
0.298	0.1603522	-0.05930985	0	
0.3	0.08706507	-0.06419566	2E-09	
0.302	0.06010637	-0.06599291	2E-09	
0.304	0.135883	-0.06094113	2E-09	
0.306	0.1085703	-0.06276198	2E-09	
0.308	0.1644325	-0.05903783	2E-09	
0.31	0.2173905	-0.0555073	2E-09	
0.312	0.2555176	-0.0529655	2E-09	
0.314	0.2577589	-0.05281607	2E-09	
0.316	0.2521735	-0.05318843	2E-09	
0.318	0.317626	-0.04882494	2E-09	
0.32	0.3540847	-0.04639435	2E-09	
0.322	0.4172849	-0.04218101	2E-09	
0.324	0.4331506	-0.04112329	2E-09	
0.326	0.4292587	-0.04138275	2E-09	
0.328	0.3997461	-0.04335026	2E-09	
0.33	0.3559702	-0.04626865	2E-09	
0.332	0.3339873	-0.04773418	2E-09	
0.334	0.3648508	-0.04567661	2E-09	
0.336	0.3829722	-0.04446852	2E-09	
0.338	0.3575566	-0.0461629	2E-09	
0.34	0.287065	-0.05086233	2E-09	
0.342	0.2877246	-0.05081836	2E-09	
0.344	0.2252818	-0.05498121	2E-09	
0.346	0.1892493	-0.05738338	2E-09	
0.348	0.1354181	-0.06097212	2E-09	
0.35	0.1244251	-0.06170499	2E-09	
0.352	0.1818958	-0.05787361	2E-09	
0.354	0.2123972	-0.05584019	2E-09	
0.356	0.1530335	-0.05979776	2E-09	
0.358	0.1347712	-0.06101525	2E-09	
0.36	0.1044344	-0.06303771	2E-09	
0.362	0.1577824	-0.05948117	2E-09	
0.364	0.1150835	-0.06232776	2E-09	
0.366	0.1696869	-0.05868755	2E-09	
0.368	0.205463	-0.05630247	2E-09	
0.37	0.2646269	-0.05235821	2E-09	
0.372	0.210879	-0.0559414	2E-09	
0.374	0.2843062	-0.05104625	2E-09	
0.376	0.2489562	-0.05340292	2E-09	
0.378	0.1934575	-0.05710283	2E-09	
0.38	0.1912555	-0.05724964	2E-09	
0.382	0.260114	-0.05265907	2E-09	
0.384	0.2042232	-0.05638512	2E-09	
0.386	0.1860166	-0.0575989	2E-09	
0.388	0.1658004	-0.05894664	2E-09	
0.39	0.2237041	-0.0550864	2E-09	
0.392	0.2064003	-0.05623998	2E-09	
0.394	0.2723553	-0.05184298	2E-09	
0.396	0.3133698	-0.04910868	2E-09	
0.398	0.2438857	-0.05374095	2E-09	
0.4	0.1874544	-0.05750304	0	
0.402	0.1293267	-0.06137822	0	
0.404	0.1854239	-0.05763841	0	
0.406	0.1422375	-0.0605175	0	
0.408	0.1066669	-0.06288888	0	
0.41	0.1186057	-0.06209295	0	
0.412	0.09969405	-0.06335373	0	
0.414	0.03098125	-0.06793459	0	
0.416	0	-0.07036547	0	
0.418	0	-0.07391165	0	
0.42	0	-0.07076978	0	
0.422	0	-0.07056019	0	
0.424	0	-0.07098961	0	
0.426	0.01454667	-0.06903023	0	
0.428	0	-0.07326251	0	
0.43	0.007818647	-0.06947876	0	
0.432	0	-0.07380974	0	
0.434	0	-0.07208214	0	
0.436	0	-0.07364584	0	
0.438	0	-0.0725866	0	
0.44	0	-0.0754931	0	
0.442	0	-0.07301573	0	
0.444	0.008459473	-0.06943604	0	
0.446	0	-0.07194947	0	
0.448	0	-0.07620265	0	
0.45	0	-0.07178754	0	
0.452	0	-0.07112602	0	
0.454	0	-0.07162802	0	
0.456	0	-0.07081337	0	
0.458	0	-0.07555394	0	
0.46	0	-0.07556257	0	
0.462	0	-0.07059512	0	
0.464	0.05899258	-0.06606716	0	
0.466	0.07789355	-0.06480709	0	
0.468	0.04941674	-0.06670555	0	
0.47	0.04810322	-0.06679312	0	
0.472	0.1025637	-0.06316242	0	
0.474	0.1230796	-0.06179469	0	
0.476	0.1045303	-0.06303132	0	
0.478	0.09599266	-0.06360049	0	
0.48	0.1637651	-0.05908233	0	
0.482	0.216821	-0.05554527	0	
0.484	0.2474417	-0.05350389	0	
0.486	0.2333276	-0.05444483	0	
0.488	0.2840175	-0.0510655	0	
0.49	0.200907	-0.0566062	0	
0.492	0.1694351	-0.05870432	0	
0.494	0.1682657	-0.05878229	0	
0.496	0.1428617	-0.06047589	0	
0.498	0.1506241	-0.05995839	0	
0.5	0.1086156	-0.06275896	4E-09	
0.502	0.2076065	-0.05615957	4E-09	
0.504	0.2263462	-0.05491025	4E-09	
0.506	0.2385609	-0.05409594	4E-09	
0.508	0.3024235	-0.04983843	4E-09	
0.5100001	0.286928	-0.05087147	4E-09	
0.512	0.3197843	-0.04868105	4E-09	
0.514	0.2780743	-0.05146171	4E-09	
0.516	0.2812545	-0.0512497	4E-09	
0.518	0.3003808	-0.04997461	4E-09	
0.52	0.3387145	-0.04741904	4E-09	
0.522	0.3508329	-0.04661114	4E-09	
0.524	0.40332	-0.043112	4E-09	
0.526	0.3458959	-0.04694027	4E-09	
0.528	0.4248436	-0.04167709	4E-09	
0.53	0.4656623	-0.03895585	4E-09	
0.532	0.4794336	-0.03803776	4E-09	
0.534	0.5200135	-0.03533244	4E-09	
0.536	0.5280191	-0.03479873	4E-09	
0.538	0.5672895	-0.0321807	4E-09	
0.54	0.5098583	-0.03600945	4E-09	
0.5420001	0.5030204	-0.03646531	4E-09	
0.544	0.4527362	-0.03981759	4E-09	
0.546	0.3898186	-0.04401209	4E-09	
0.548	0.4253852	-0.04164099	4E-09	
0.55	0.4983724	-0.03677517	4E-09	
0.552	0.4970423	-0.03686385	4E-09	
0.554	0.5473129	-0.03351247	4E-09	
0.5560001	0.4872741	-0.03751506	4E-09	
0.558	0.4445691	-0.04036206	4E-09	
0.56	0.4028165	-0.04314557	4E-09	
0.562	0.3878799	-0.04414134	4E-09	
0.564	0.3389475	-0.0474035	4E-09	
0.566	0.3729928	-0.04513381	4E-09	
0.568	0.4450323	-0.04033118	4E-09	
0.5700001	0.435037	-0.04099753	4E-09	
0.572	0.3952556	-0.04364963	4E-09	
0.574	0.357311	-0.04617926	4E-09	
0.576	0.4369329	-0.04087114	4E-09	
0.578	0.3993995	-0.04337336	4E-09	
0.58	0.3383098	-0.04744601	4E-09	
0.582	0.4109392	-0.04260405	4E-09	
0.5840001	0.4689336	-0.03873776	4E-09	
0.586	0.4461855	-0.0402543	4E-09	
0.588	0.4269698	-0.04153535	4E-09	
0.59	0.4512821	-0.03991453	4E-09	
0.592	0.4229098	-0.04180601	4E-09	
0.594	0.427815	-0.041479	4E-09	
0.596	0.4795257	-0.03803162	4E-09	
0.598	0.474234	-0.0383844	4E-09	
0.6	0.5131407	-0.03579062	0	
0.6020001	0.5363264	-0.03424491	0	
0.604	0.5584978	-0.03276682	0	
0.606	0.5501708	-0.03332195	0	
0.608	0.575464	-0.03163574	0	
0.61	0.5039907	-0.03640062	0	
0.612	0.4291879	-0.04138747	0	
0.614	0.3352414	-0.04765057	0	
0.6160001	0.3011145	-0.0499257	0	
0.618	0.2358338	-0.05427775	0	
0.62	0.1699909	-0.05866728	0	
0.622	0.2234105	-0.05510596	0	
0.624	0.1651417	-0.05899055	0	
0.626	0.2072943	-0.05618038	0	
0.628	0.2444594	-0.0537027	0	
0.6300001	0.2963723	-0.05024184	0	
0.632	0.3389317	-0.04740455	0	
0.634	0.2491743	-0.05338838	0	
0.636	0.2598014	-0.05267991	0	
0.638	0.254402	-0.05303986	0	
0.64	0.2238304	-0.05507797	0	
0.642	0.2059828	-0.05626781	0	
0.6440001	0.1505699	-0.05996201	0	
0.646	0.06878825	-0.06541412	0	
0.648	0.1144974	-0.06236684	0	
0.65	0.08790728	-0.06413952	0	
0.652	0.1235573	-0.06176285	0	
0.654	0.1024339	-0.06317107	0	
0.656	0.1312068	-0.06125288	0	
0.6580001	0.1380458	-0.06079695	0	
0.66	0.1826481	-0.05782346	0	
0.6620001	0.1962338	-0.05691775	0	
0.664	0.2540283	-0.05306478	0	
0.666	0.2879229	-0.05080514	0	
0.668	0.255222	-0.0529852	0	
0.67	0.2801361	-0.05132426	0	
0.6720001	0.2760125	-0.05159917	0	
0.674	0.2427168	-0.05381888	0	
0.6760001	0.262302	-0.0525132	0	
0.678	0.2889946	-0.0507337	0	
0.68	0.2347347	-0.05435102	0	
0.682	0.2780543	-0.05146305	0	
0.684	0.2989873	-0.05006751	0	
0.686	0.2434283	-0.05377145	0	
0.688	0.2917751	-0.05054833	0	
0.6900001	0.345703	-0.04695313	0	
0.692	0.3788594	-0.04474271	0	
0.694	0.4065982	-0.04289345	0	
0.696	0.3219161	-0.04853892	0	
0.698	0.3351766	-0.04765489	0	
0.7	0.3829249	-0.04447167	6E-09	
0.702	0.3957314	-0.04361791	6E-09	
0.7040001	0.3997974	-0.04334684	6E-09	
0.706	0.4906377	-0.03729082	6E-09	
0.708	0.5342809	-0.03438127	6E-09	
0.71	0.6138561	-0.02907626	6E-09	
0.712	0.5830958	-0.03112694	6E-09	
0.714	0.6725878	-0.02516082	6E-09	
0.716	0.7415125	-0.02056583	6E-09	
0.7180001	0.6770945	-0.02486037	6E-09	
0.72	0.7259136	-0.02160576	6E-09	
0.7220001	0.6650006	-0.02566663	6E-09	
0.724	0.6154348	-0.02897101	6E-09	
0.726	0.6065164	-0.02956558	6E-09	
0.728	0.6287968	-0.02808022	6E-09	
0.73	0.7211744	-0.02192171	6E-09	
0.7320001	0.7474189	-0.02017207	6E-09	
0.734	0.7049176	-0.0230055	6E-09	
0.7360001	0.7116113	-0.02255924	6E-09	
0.738	0.6742771	-0.02504819	6E-09	
0.74	0.7031616	-0.02312256	6E-09	
0.742	0.75507	-0.019662	6E-09	
0.744	0.7376502	-0.02082332	6E-09	
0.7460001	0.683903	-0.02440647	6E-09	
0.748	0.7462842	-0.02024772	6E-09	
0.7500001	0.787353	-0.0175098	6E-09	
0.752	0.7337736	-0.02108176	6E-09	
0.754	0.7402302	-0.02065132	6E-09	
0.756	0.702412	-0.02317253	6E-09	
0.758	0.6421128	-0.02719248	6E-09	
0.7600001	0.6174121	-0.02883919	6E-09	
0.762	0.6774749	-0.02483501	6E-09	
0.7640001	0.6884239	-0.02410507	6E-09	
0.766	0.7466592	-0.02022272	6E-09	
0.768	0.8194997	-0.01536669	6E-09	
0.77	0.7723018	-0.01851321	6E-09	
0.772	0.8545454	-0.01303031	6E-09	
0.774	0.7861313	-0.01759125	6E-09	
0.776	0.8093547	-0.01604302	6E-09	
0.7780001	0.8547072	-0.01301952	6E-09	
0.78	0.9208104	-0.00861264	6E-09	
0.7820001	0.8779736	-0.01146843	6E-09	
0.784	0.8594375	-0.01270417	6E-09	
0.786	0.8264678	-0.01490215	6E-09	
0.788	0.7575402	-0.01949732	6E-09	
0.79	0.7605679	-0.01929547	6E-09	
0.7920001	0.7931159	-0.01712561	6E-09	
0.794	0.7627305	-0.0191513	6E-09	
0.7960001	0.7220898	-0.02186068	6E-09	
0.798	0.744193	-0.02038714	6E-09	
0.8	0.7540488	-0.01973008	0	
0.802	0.7558203	-0.01961198	0	
0.804	0.7490529	-0.02006314	0	
0.8060001	0.680831	-0.02461127	0	
0.808	0.6831364	-0.02445757	0	
0.8100001	0.6274637	-0.02816909	0	
0.812	0.5656473	-0.03229018	0	
0.814	0.5778304	-0.03147798	0	
0.816	0.4836197	-0.03775869	0	
0.818	0.4320482	-0.04119679	0	
0.8200001	0.3578125	-0.04614583	0	
0.822	0.2650413	-0.05233058	0	
0.8240001	0.1755062	-0.05829959	0	
0.826	0.1720065	-0.0585329	0	
0.8280001	0.180571	-0.05796193	0	
0.83	0.1612199	-0.05925201	0	
0.832	0.1472646	-0.06018236	0	
0.8340001	0.1712421	-0.05858386	0	
0.836	0.1166924	-0.06222051	0	
0.8380001	0.09068046	-0.06395464	0	
0.84	0.04945685	-0.06670288	0	
0.8420001	0.09725908	-0.06351606	0	
0.844	0.04410402	-0.06705973	0	
0.846	0.03656096	-0.0675626	0	
0.848	0.09259511	-0.06382699	0	
