Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0	0	0	0	0	0	0	
0.001	0	0.05	0.005	0	0	5E-09	
0.002	0	0.09500001	0.009500001	0	0	5E-09	
0.003	0	0.1355	0.01355	0	0	5E-09	
0.004	0	0.17195	0.017195	0	0	5E-09	
0.005	0	0.204755	0.0204755	0	0	5E-09	
0.006	0	0.2342795	0.02342795	0	0	5E-09	
0.007	0	0.2608516	0.02608516	0	0	5E-09	
0.008	0	0.2847664	0.02847664	0	0	5E-09	
0.009000001	0	0.3062898	0.03062898	0	0	5E-09	
0.01	0	0.3256608	0.03256608	0	0	5E-09	
0.011	0	0.3430947	0.03430947	0	0	5E-09	
0.012	0	0.3587852	0.03587852	0	0	5E-09	
0.013	0	0.3729067	0.03729067	0	0	5E-09	
0.014	0	0.3856161	0.0385616	0	0	5E-09	
0.015	0	0.3970544	0.03970544	0	0	5E-09	
0.016	0	0.407349	0.0407349	0	0	5E-09	
0.017	0	0.4166141	0.04166141	0	0	5E-09	
0.018	0	0.4249527	0.04249527	0	0	5E-09	
0.019	0	0.4324574	0.04324574	0	0	5E-09	
0.02	0	0.4392117	0.04392117	0	0	5E-09	
0.021	0	0.4452905	0.04452905	0	0	5E-09	
0.022	0	0.4507615	0.04507615	0	0	5E-09	
0.023	0	0.4556853	0.04556853	0	0	5E-09	
0.024	0	0.4601168	0.04601168	0	0	5E-09	
0.025	0	0.4641051	0.04641051	0	0	5E-09	
0.026	0	0.4676946	0.04676946	0	0	5E-09	
0.027	0	0.4709252	0.04709252	0	0	5E-09	
0.028	0	0.4738326	0.04738326	0	0	5E-09	
0.029	0	0.4764494	0.04764494	0	0	5E-09	
0.03	0	0.4788044	0.04788044	0	0	5E-09	
0.031	0	0.480924	0.0480924	0	0	5E-09	
0.032	0	0.4828316	0.04828316	0	0	5E-09	
0.033	0	0.4845484	0.04845484	0	0	5E-09	
0.034	0	0.4860936	0.04860936	0	0	5E-09	
0.035	0	0.4874842	0.04874842	0	0	5E-09	
0.036	0	0.4887358	0.04887358	0	0	5E-09	
0.037	0	0.4898622	0.04898622	0	0	5E-09	
0.038	0	0.490876	0.0490876	0	0	5E-09	
0.039	0	0.4917884	0.04917884	0	0	5E-09	
0.04	0	0.4926096	0.04926096	0	0	5E-09	
0.041	0	0.4933486	0.04933486	0	0	5E-09	
0.042	0	0.4940138	0.04940138	0	0	5E-09	
0.043	0	0.4946124	0.04946124	0	0	5E-09	
0.044	0	0.4951511	0.04951511	0	0	5E-09	
0.045	0	0.495636	0.0495636	0	0	5E-09	
0.046	0	0.4960724	0.04960724	0	0	5E-09	
0.047	0	0.4964651	0.04964652	0	0	5E-09	
0.048	0	0.4968187	0.04968186	0	0	5E-09	
0.049	0	0.4971368	0.04971368	0	0	5E-09	
0.05	0	0.4974231	0.04974231	0	0	5E-09	
0.051	0	0.4976808	0.04976808	0	0	5E-09	
0.052	0	0.4979127	0.04979127	0	0	5E-09	
0.053	0	0.4981214	0.04981215	0	0	5E-09	
0.054	0	0.4983093	0.04983093	0	0	5E-09	
0.055	0	0.4984784	0.04984784	0	0	5E-09	
0.056	0	0.4986306	0.04986306	0	0	5E-09	
0.057	0	0.4987675	0.04987675	0	0	5E-09	
0.058	0	0.4988907	0.04988907	0	0	5E-09	
0.059	0	0.4990017	0.04990017	0	0	5E-09	
0.06	0	0.4991015	0.04991015	0	0	5E-09	
0.061	0	0.4991913	0.04991914	0	0	5E-09	
0.062	0	0.4992722	0.04992722	0	0	5E-09	
0.063	0	0.499345	0.0499345	0	0	5E-09	
0.064	0	0.4994105	0.04994105	0	0	5E-09	
0.06500001	0	0.4994695	0.04994695	0	0	5E-09	
0.066	0	0.4995225	0.04995225	0	0	5E-09	
0.067	0	0.4995703	0.04995703	0	0	5E-09	
0.068	0	0.4996133	0.04996132	0	0	5E-09	
0.06900001	0	0.4996519	0.04996519	0	0	5E-09	
0.07	0	0.4996867	0.04996867	0	0	5E-09	
0.071	0	0.499718	0.0499718	0	0	5E-09	
0.072	0	0.4997462	0.04997462	0	0	5E-09	
0.07300001	0	0.4997716	0.04997716	0	0	5E-09	
0.074	0	0.4997945	0.04997944	0	0	5E-09	
0.075	0	0.499815	0.0499815	0	0	5E-09	
0.07600001	0	0.4998335	0.04998335	0	0	5E-09	
0.07700001	0	0.4998502	0.04998502	0	0	5E-09	
0.078	0	0.4998651	0.04998652	0	0	5E-09	
0.079	0	0.4998786	0.04998786	0	0	5E-09	
0.08000001	0	0.4998908	0.04998908	0	0	5E-09	
0.081	0	0.4999017	0.04999017	0	0	5E-09	
0.082	0	0.4999115	0.04999115	0	0	5E-09	
0.083	0	0.4999204	0.04999204	0	0	5E-09	
0.08400001	0	0.4999283	0.04999283	0	0	5E-09	
0.085	0	0.4999355	0.04999355	0	0	5E-09	
0.086	0	0.4999419	0.04999419	0	0	5E-09	
0.087	0	0.4999477	0.04999477	0	0	5E-09	
0.08800001	0	0.499953	0.0499953	0	0	5E-09	
0.089	0	0.4999577	0.04999577	0	0	5E-09	
0.09	0	0.4999619	0.04999619	0	0	5E-09	
0.09100001	0	0.4999657	0.04999657	0	0	5E-09	
0.09200001	0	0.4999691	0.04999691	0	0	5E-09	
0.093	0	0.4999722	0.04999722	0	0	5E-09	
0.094	0	0.499975	0.0499975	0	0	5E-09	
0.09500001	0	0.4999775	0.04999775	0	0	5E-09	
0.096	0	0.4999797	0.04999797	0	0	5E-09	
0.097	0	0.4999818	0.04999818	0	0	5E-09	
0.098	0	0.4999836	0.04999836	0	0	5E-09	
0.09900001	0	0.4999852	0.04999852	0	0	5E-09	
0.1	0	0.4999867	0.04999867	0	-4E-09	5E-09	
0.101	0	0.499988	0.0499988	-0.004	-4E-09	5E-09	
0.102	0	0.4999892	0.04999892	-0.0076	-4E-09	5E-09	
0.103	0	0.4999903	0.04999903	-0.01084	-4E-09	5E-09	
0.104	0	0.4999913	0.04999913	-0.013756	-4E-09	5E-09	
0.105	0	0.4999921	0.04999921	-0.0163804	-4E-09	5E-09	
0.106	0	0.4999929	0.04999929	-0.01874236	-4E-09	5E-09	
0.107	0	0.4999936	0.04999936	-0.02086812	-4E-09	5E-09	
0.108	0	0.4999943	0.04999943	-0.02278131	-4E-09	5E-09	
0.109	0	0.4999948	0.04999948	-0.02450318	-4E-09	5E-09	
0.11	0	0.4999954	0.04999954	-0.02605286	-4E-09	5E-09	
0.111	0	0.4999958	0.04999958	-0.02744758	-4E-09	5E-09	
0.112	0	0.4999962	0.04999962	-0.02870282	-4E-09	5E-09	
0.113	0	0.4999966	0.04999966	-0.02983254	-4E-09	5E-09	
0.114	0	0.4999969	0.04999969	-0.03084928	-4E-09	5E-09	
0.115	0	0.4999972	0.04999972	-0.03176435	-4E-09	5E-09	
0.116	0	0.4999975	0.04999975	-0.03258792	-4E-09	5E-09	
0.117	0	0.4999978	0.04999978	-0.03332913	-4E-09	5E-09	
0.118	0	0.499998	0.0499998	-0.03399622	-4E-09	5E-09	
0.119	0	0.4999982	0.04999982	-0.0345966	-4E-09	5E-09	
0.12	0	0.4999984	0.04999984	-0.03513693	-4E-09	5E-09	
0.121	0	0.4999985	0.04999985	-0.03562324	-4E-09	5E-09	
0.122	0	0.4999987	0.04999987	-0.03606092	-4E-09	5E-09	
0.123	0	0.4999988	0.04999988	-0.03645483	-4E-09	5E-09	
0.124	0	0.4999989	0.04999989	-0.03680934	-4E-09	5E-09	
0.125	0	0.499999	0.0499999	-0.03712841	-4E-09	5E-09	
0.126	0	0.4999992	0.04999992	-0.03741557	-4E-09	5E-09	
0.127	0	0.4999992	0.04999992	-0.03767401	-4E-09	5E-09	
0.128	0	0.4999993	0.04999993	-0.03790661	-4E-09	5E-09	
0.129	0	0.4999994	0.04999994	-0.03811595	-4E-09	5E-09	
0.13	0	0.4999995	0.04999994	-0.03830435	-4E-09	5E-09	
0.131	0	0.4999995	0.04999995	-0.03847392	-4E-09	5E-09	
0.132	0	0.4999995	0.04999995	-0.03862653	-4E-09	5E-09	
0.133	0	0.4999996	0.04999996	-0.03876387	-4E-09	5E-09	
0.134	0	0.4999996	0.04999996	-0.03888749	-4E-09	5E-09	
0.135	0	0.4999996	0.04999996	-0.03899874	-4E-09	5E-09	
0.136	0	0.4999997	0.04999997	-0.03909886	-4E-09	5E-09	
0.137	0	0.4999997	0.04999997	-0.03918898	-4E-09	5E-09	
0.138	0	0.4999998	0.04999997	-0.03927008	-4E-09	5E-09	
0.139	0	0.4999998	0.04999998	-0.03934307	-4E-09	5E-09	
0.14	0	0.4999998	0.04999998	-0.03940877	-4E-09	5E-09	
0.141	0	0.4999998	0.04999998	-0.03946789	-4E-09	5E-09	
0.142	0	0.4999998	0.04999998	-0.0395211	-4E-09	5E-09	
0.143	0	0.4999998	0.04999998	-0.03956899	-4E-09	5E-09	
0.144	0	0.4999998	0.04999998	-0.03961209	-4E-09	5E-09	
0.145	0	0.4999998	0.04999998	-0.03965088	-4E-09	5E-09	
0.146	0	0.4999998	0.04999998	-0.0396858	-4E-09	5E-09	
0.147	0	0.4999998	0.04999998	-0.03971722	-4E-09	5E-09	
0.148	0	0.4999998	0.04999998	-0.03974549	-4E-09	5E-09	
0.149	0	0.4999998	0.04999998	-0.03977095	-4E-09	5E-09	
0.15	0	0.4999998	0.04999998	-0.03979385	-4E-09	5E-09	
0.151	0	0.4999998	0.04999998	-0.03981447	-4E-09	5E-09	
0.152	0	0.4999998	0.04999998	-0.03983302	-4E-09	5E-09	
0.153	0	0.4999998	0.04999998	-0.03984972	-4E-09	5E-09	
0.154	0	0.4999998	0.04999998	-0.03986474	-4E-09	5E-09	
0.155	0	0.4999998	0.04999998	-0.03987827	-4E-09	5E-09	
0.156	0	0.4999998	0.04999998	-0.03989045	-4E-09	5E-09	
0.157	0	0.4999998	0.04999998	-0.0399014	-4E-09	5E-09	
0.158	0	0.4999998	0.04999998	-0.03991126	-4E-09	5E-09	
0.159	0	0.4999998	0.04999998	-0.03992014	-4E-09	5E-09	
0.16	0	0.4999998	0.04999998	-0.03992812	-4E-09	5E-09	
0.161	0	0.4999998	0.04999998	-0.03993531	-4E-09	5E-09	
0.162	0	0.4999998	0.04999998	-0.03994178	-4E-09	5E-09	
0.163	0	0.4999998	0.04999998	-0.0399476	-4E-09	5E-09	
0.164	0	0.4999998	0.04999998	-0.03995284	-4E-09	5E-09	
0.165	0	0.4999998	0.04999998	-0.03995756	-4E-09	5E-09	
0.166	0	0.4999998	0.04999998	-0.0399618	-4E-09	5E-09	
0.167	0	0.4999998	0.04999998	-0.03996562	-4E-09	5E-09	
0.168	0	0.4999998	0.04999998	-0.03996906	-4E-09	5E-09	
0.169	0	0.4999998	0.04999998	-0.03997215	-4E-09	5E-09	
0.17	0	0.4999998	0.04999998	-0.03997494	-4E-09	5E-09	
0.171	0	0.4999998	0.04999998	-0.03997744	-4E-09	5E-09	
0.172	0	0.4999998	0.04999998	-0.0399797	-4E-09	5E-09	
0.173	0	0.4999998	0.04999998	-0.03998173	-4E-09	5E-09	
0.174	0	0.4999998	0.04999998	-0.03998355	-4E-09	5E-09	
0.175	0	0.4999998	0.04999998	-0.03998519	-4E-09	5E-09	
0.176	0	0.4999998	0.04999998	-0.03998667	-4E-09	5E-09	
