Time	FF	Vm	Intrinsic	External	
0	0	0	0	5E-10	
0.002	0	-0.0004	-2.5E-09	5E-10	
0.004	0	-0.000792	-2.5E-09	5E-10	
0.006	0	-0.00117616	-2.5E-09	5E-10	
0.008	0	-0.001552637	-2.5E-09	5E-10	
0.01	0	-0.001921584	-2.5E-09	5E-10	
0.012	0	-0.002283153	-2.5E-09	5E-10	
0.014	0	-0.00263749	-2.5E-09	5E-10	
0.016	0	-0.00298474	-2.5E-09	5E-10	
0.018	0	-0.003325045	-2.5E-09	5E-10	
0.02	0	-0.003658544	-2.5E-09	5E-10	
0.022	0	-0.003985373	-2.5E-09	5E-10	
0.024	0	-0.004305666	-2.5E-09	5E-10	
0.026	0	-0.004619553	-2.5E-09	5E-10	
0.028	0	-0.004927162	-2.5E-09	5E-10	
0.03	0	-0.005228619	-2.5E-09	5E-10	
0.032	0	-0.005524046	-2.5E-09	5E-10	
0.034	0	-0.005813565	-2.5E-09	5E-10	
0.036	0	-0.006097294	-2.5E-09	5E-10	
0.038	0	-0.006375348	-2.5E-09	5E-10	
0.04	0	-0.006647841	-2.5E-09	5E-10	
0.042	0	-0.006914884	-2.5E-09	5E-10	
0.044	0	-0.007176586	-2.5E-09	5E-10	
0.046	0	-0.007433055	-2.5E-09	5E-10	
0.048	0	-0.007684393	-2.5E-09	5E-10	
0.05	0	-0.007930705	-2.5E-09	5E-10	
0.052	0	-0.008172091	-2.5E-09	5E-10	
0.054	0	-0.008408649	-2.5E-09	5E-10	
0.056	0	-0.008640476	-2.5E-09	5E-10	
0.058	0	-0.008867666	-2.5E-09	5E-10	
0.06	0	-0.009090313	-2.5E-09	5E-10	
0.062	0	-0.009308507	-2.5E-09	5E-10	
0.064	0	-0.009522337	-2.5E-09	5E-10	
0.066	0	-0.00973189	-2.5E-09	5E-10	
0.068	0	-0.009937252	-2.5E-09	5E-10	
0.07	0	-0.01013851	-2.5E-09	5E-10	
0.072	0	-0.01033574	-2.5E-09	5E-10	
0.074	0	-0.01052902	-2.5E-09	5E-10	
0.07600001	0	-0.01071844	-2.5E-09	5E-10	
0.078	0	-0.01090407	-2.5E-09	5E-10	
0.08000001	0	-0.01108599	-2.5E-09	5E-10	
0.082	0	-0.01126427	-2.5E-09	5E-10	
0.08400001	0	-0.01143899	-2.5E-09	5E-10	
0.086	0	-0.01161021	-2.5E-09	5E-10	
0.08800001	0	-0.011778	-2.5E-09	5E-10	
0.09	0	-0.01194244	-2.5E-09	5E-10	
0.09200001	0	-0.01210359	-2.5E-09	5E-10	
0.094	0	-0.01226152	-2.5E-09	5E-10	
0.096	0	-0.01241629	-2.5E-09	5E-10	
0.098	0	-0.01256797	-2.5E-09	5E-10	
0.1	0	-0.01271661	-2.5E-09	5E-10	
0.102	0	-0.01286227	-2.5E-09	5E-10	
0.104	0	-0.01300503	-2.5E-09	5E-10	
0.106	0	-0.01314493	-2.5E-09	5E-10	
0.108	0	-0.01328203	-2.5E-09	5E-10	
0.11	0	-0.01341639	-2.5E-09	5E-10	
0.112	0	-0.01354806	-2.5E-09	5E-10	
0.114	0	-0.0136771	-2.5E-09	5E-10	
0.116	0	-0.01380356	-2.5E-09	5E-10	
0.118	0	-0.01392749	-2.5E-09	5E-10	
0.12	0	-0.01404894	-2.5E-09	5E-10	
0.122	0	-0.01416796	-2.5E-09	5E-10	
0.124	0	-0.0142846	-2.5E-09	5E-10	
0.126	0	-0.01439891	-2.5E-09	5E-10	
0.128	0	-0.01451093	-2.5E-09	5E-10	
0.13	0	-0.01462071	-2.5E-09	5E-10	
0.132	0	-0.0147283	-2.5E-09	5E-10	
0.134	0	-0.01483373	-2.5E-09	5E-10	
0.136	0	-0.01493706	-2.5E-09	5E-10	
0.138	0	-0.01503831	-2.5E-09	5E-10	
0.14	0	-0.01513755	-2.5E-09	5E-10	
0.142	0	-0.0152348	-2.5E-09	5E-10	
0.144	0	-0.0153301	-2.5E-09	5E-10	
0.146	0	-0.0154235	-2.5E-09	5E-10	
0.148	0	-0.01551503	-2.5E-09	5E-10	
0.15	0	-0.01560473	-2.5E-09	5E-10	
0.152	0	-0.01569263	-2.5E-09	5E-10	
0.154	0	-0.01577878	-2.5E-09	5E-10	
0.156	0	-0.0158632	-2.5E-09	5E-10	
0.158	0	-0.01594594	-2.5E-09	5E-10	
0.16	0	-0.01602702	-2.5E-09	5E-10	
0.162	0	-0.01610648	-2.5E-09	5E-10	
0.164	0	-0.01618435	-2.5E-09	5E-10	
0.166	0	-0.01626066	-2.5E-09	5E-10	
0.168	0	-0.01633545	-2.5E-09	5E-10	
0.17	0	-0.01640874	-2.5E-09	5E-10	
0.172	0	-0.01648057	-2.5E-09	5E-10	
0.174	0	-0.01655096	-2.5E-09	5E-10	
0.176	0	-0.01661994	-2.5E-09	5E-10	
0.178	0	-0.01668754	-2.5E-09	5E-10	
0.18	0	-0.01675379	-2.5E-09	5E-10	
0.182	0	-0.01681871	-2.5E-09	5E-10	
0.184	0	-0.01688234	-2.5E-09	5E-10	
0.186	0	-0.01694469	-2.5E-09	5E-10	
0.188	0	-0.0170058	-2.5E-09	5E-10	
0.19	0	-0.01706568	-2.5E-09	5E-10	
0.192	0	-0.01712437	-2.5E-09	5E-10	
0.194	0	-0.01718188	-2.5E-09	5E-10	
0.196	0	-0.01723824	-2.5E-09	5E-10	
0.198	0	-0.01729348	-2.5E-09	5E-10	
0.2	0	-0.01734761	-2.5E-09	5E-10	
0.202	0	-0.01740066	-2.5E-09	5E-10	
0.204	0	-0.01745264	-2.5E-09	5E-10	
0.206	0	-0.01750359	-2.5E-09	5E-10	
0.208	0	-0.01755352	-2.5E-09	5E-10	
0.21	0	-0.01760245	-2.5E-09	5E-10	
0.212	0	-0.0176504	-2.5E-09	5E-10	
0.214	0	-0.01769739	-2.5E-09	5E-10	
0.216	0	-0.01774344	-2.5E-09	5E-10	
0.218	0	-0.01778858	-2.5E-09	5E-10	
