Time	1Vm	Delayed_Rect_K	Fast_Na	1It	
0	-0.07037324	-4.501241E-11	7.687902E-12	-3.73245E-11	
1E-06	-0.07035626	-4.332499E-11	7.698544E-12	-3.562645E-11	
2E-06	-0.0703571	-4.339417E-11	7.683782E-12	-3.571039E-11	
3E-06	-0.07035712	-4.338311E-11	7.670385E-12	-3.571272E-11	
4E-06	-0.07035719	-4.337575E-11	7.657124E-12	-3.571863E-11	
5E-06	-0.07035724	-4.336823E-11	7.644056E-12	-3.572417E-11	
6E-06	-0.07035729	-4.336074E-11	7.631173E-12	-3.572957E-11	
7E-06	-0.07035735	-4.335325E-11	7.618474E-12	-3.573478E-11	
8E-06	-0.0703574	-4.334575E-11	7.605954E-12	-3.573979E-11	
9E-06	-0.07035744	-4.333828E-11	7.593612E-12	-3.574466E-11	
1E-05	-0.07035749	-4.333084E-11	7.581443E-12	-3.57494E-11	
1.1E-05	-0.07035754	-4.33234E-11	7.569449E-12	-3.575396E-11	
1.2E-05	-0.07035758	-4.331599E-11	7.557622E-12	-3.575837E-11	
1.3E-05	-0.07035763	-4.330857E-11	7.545964E-12	-3.57626E-11	
1.4E-05	-0.07035767	-4.330115E-11	7.53447E-12	-3.576668E-11	
1.5E-05	-0.0703577	-4.329373E-11	7.523137E-12	-3.577059E-11	
1.6E-05	-0.07035774	-4.328637E-11	7.511963E-12	-3.577441E-11	
1.7E-05	-0.07035778	-4.3279E-11	7.50095E-12	-3.577805E-11	
1.8E-05	-0.07035782	-4.327163E-11	7.490088E-12	-3.578154E-11	
1.9E-05	-0.07035785	-4.326427E-11	7.47938E-12	-3.578489E-11	
2E-05	-0.07035788	-4.325696E-11	7.468821E-12	-3.578814E-11	
2.1E-05	-0.07035791	-4.324964E-11	7.458412E-12	-3.579122E-11	
2.2E-05	-0.07035794	-4.324233E-11	7.448148E-12	-3.579418E-11	
2.3E-05	-0.07035797	-4.323503E-11	7.438027E-12	-3.5797E-11	
2.4E-05	-0.07035799	-4.322773E-11	7.428049E-12	-3.579969E-11	
2.5E-05	-0.07035802	-4.322043E-11	7.418211E-12	-3.580222E-11	
2.6E-05	-0.07035805	-4.321314E-11	7.40851E-12	-3.580463E-11	
2.7E-05	-0.07035807	-4.32059E-11	7.398943E-12	-3.580695E-11	
2.8E-05	-0.07035809	-4.319865E-11	7.389513E-12	-3.580914E-11	
