Time	1	2	3	
0	-0.06	-0.06	-0.06	
0.0005	-0.06	-0.06	-0.06	
0.0009999999	-0.06	-0.06	-0.06	
0.0015	-0.06	-0.06	-0.06	
0.002	-0.06	-0.06	-0.06	
0.0025	-0.06	-0.06	-0.06	
0.003	-0.06	-0.06	-0.06	
0.0035	-0.06	-0.06	-0.06	
0.004	-0.06	-0.06	-0.06	
0.0045	-0.06	-0.06	-0.06	
0.005	-0.06	-0.06	-0.06	
0.0055	-0.06	-0.06	-0.06	
0.006	-0.06	-0.06	-0.06	
0.0065	-0.06	-0.06	-0.06	
0.007	-0.06	-0.06	-0.06	
0.0075	-0.06	-0.06	-0.06	
0.007999999	-0.06	-0.06	-0.06	
0.0085	-0.06	-0.06	-0.06	
0.009	-0.06	-0.06	-0.06	
0.0095	-0.06	-0.06	-0.06	
0.01	-0.06	-0.06	-0.06	
0.0105	-0.06	-0.06	-0.06	
0.011	-0.06	-0.06	-0.06	
0.0115	-0.06	-0.06	-0.06	
0.012	-0.06	-0.06	-0.06	
0.0125	-0.06	-0.06	-0.06	
0.013	-0.06	-0.06	-0.06	
0.0135	-0.06	-0.06	-0.06	
0.014	-0.06	-0.06	-0.06	
0.0145	-0.06	-0.06	-0.06	
0.015	-0.06	-0.06	-0.06	
0.0155	-0.06	-0.06	-0.06	
0.016	-0.06	-0.06	-0.06	
0.0165	-0.06	-0.06	-0.06	
0.017	-0.06	-0.06	-0.06	
0.0175	-0.06	-0.06	-0.06	
0.018	-0.06	-0.06	-0.06	
0.0185	-0.06	-0.06	-0.06	
0.019	-0.06	-0.06	-0.06	
0.0195	-0.06	-0.06	-0.06	
0.02	-0.06	-0.06	-0.06	
0.0205	-0.06	-0.06	-0.06	
0.021	-0.06	-0.06	-0.06	
0.0215	-0.06	-0.06	-0.06	
0.022	-0.06	-0.06	-0.06	
0.0225	-0.06	-0.06	-0.06	
0.023	-0.06	-0.06	-0.06	
0.0235	-0.06	-0.06	-0.06	
0.024	-0.06	-0.06	-0.06	
0.0245	-0.06	-0.06	-0.06	
0.025	-0.06	-0.06	-0.06	
0.0255	-0.06	-0.06	-0.06	
0.026	-0.06	-0.06	-0.06	
0.0265	-0.06	-0.06	-0.06	
0.027	-0.06	-0.06	-0.06	
0.0275	-0.06	-0.06	-0.06	
0.028	-0.06	-0.06	-0.06	
0.0285	-0.06	-0.06	-0.06	
0.029	-0.06	-0.06	-0.06	
0.0295	-0.06	-0.06	-0.06	
0.03	-0.06	-0.06	-0.06	
0.0305	-0.06	-0.06	-0.06	
0.031	-0.06	-0.06	-0.06	
0.0315	-0.06	-0.06	-0.06	
0.032	-0.06	-0.06	-0.06	
0.0325	-0.06	-0.06	-0.06	
0.033	-0.06	-0.06	-0.06	
0.0335	-0.06	-0.06	-0.06	
0.034	-0.06	-0.06	-0.06	
0.0345	-0.06	-0.06	-0.06	
0.035	-0.06	-0.06	-0.06	
0.0355	-0.06	-0.06	-0.06	
0.036	-0.06	-0.06	-0.06	
0.0365	-0.06	-0.06	-0.06	
0.037	-0.06	-0.06	-0.06	
0.0375	-0.06	-0.06	-0.06	
0.038	-0.06	-0.06	-0.06	
0.0385	-0.06	-0.06	-0.06	
0.039	-0.06	-0.06	-0.06	
0.0395	-0.06	-0.06	-0.06	
0.04	-0.06	-0.06	-0.06	
0.0405	-0.05714512	-0.06	-0.06	
0.041	-0.05456192	-0.06	-0.06	
0.0415	-0.05222455	-0.06	-0.06	
0.042	-0.0501096	-0.06	-0.06	
0.0425	-0.04819592	-0.06	-0.06	
0.043	-0.04646435	-0.06	-0.06	
0.0435	-0.04489756	-0.06	-0.06	
0.044	-0.04347987	-0.06	-0.06	
0.0445	-0.04219709	-0.06	-0.06	
0.045	-0.04103639	-0.06	-0.06	
0.0455	-0.03998613	-0.06	-0.06	
0.046	-0.03903583	-0.06	-0.06	
0.0465	-0.03817596	-0.06	-0.06	
0.047	0	-0.06	-0.06	
0.0475	-0.03968228	-0.06	-0.05336402	
0.048	-0.04114152	-0.06	-0.04837285	
0.0485	-0.04201781	-0.06	-0.04461987	
0.049	-0.04247549	-0.06	-0.04180399	
0.0495	-0.04262917	-0.06	-0.03970104	
