Time	B	A	C	D	E	F	
0	-0.05	-0.06	-0.05	-0.04973946	-0.05	-0.05	
0.0002	-0.05	-0.06	-0.05	-0.0494908	-0.05	-0.05	
0.0004	-0.05	-0.06	-0.05	-0.04925347	-0.05	-0.05	
0.0006	-0.05	-0.06	-0.05	-0.04902697	-0.05	-0.05	
0.0008	-0.05	-0.06	-0.05	-0.0488108	-0.05	-0.05	
0.0009999999	-0.05	-0.06	-0.05	-0.04860448	-0.05	-0.05	
0.0012	-0.05	-0.06	-0.05	-0.04840757	-0.05	-0.05	
0.0014	-0.05	-0.06	-0.05	-0.04821964	-0.05	-0.05	
0.0016	-0.05	-0.06	-0.05	-0.04804027	-0.05	-0.05	
0.0018	-0.05	-0.06	-0.05	-0.04786908	-0.05	-0.05	
0.002	-0.05	-0.06	-0.05	-0.0477057	-0.05	-0.05	
0.0022	-0.05	-0.06	-0.05	-0.04754976	-0.05	-0.05	
0.0024	-0.05	-0.06	-0.05	-0.04740094	-0.05	-0.05	
0.0026	-0.05	-0.06	-0.05	-0.0472589	-0.05	-0.05	
0.0028	-0.05	-0.06	-0.05	-0.04712334	-0.05	-0.05	
0.003	-0.05	-0.06	-0.05	-0.04699396	-0.05	-0.05	
0.0032	-0.05	-0.06	-0.05	-0.04687048	-0.05	-0.05	
0.0034	-0.05	-0.06	-0.05	-0.04675263	-0.05	-0.05	
0.0036	-0.05	-0.06	-0.05	-0.04664015	-0.05	-0.05	
0.0038	-0.05	-0.06	-0.05	-0.04653281	-0.05	-0.05	
0.004	-0.05	-0.06	-0.05	-0.04643035	-0.05	-0.05	
0.0042	-0.05	-0.06	-0.05	-0.04633257	-0.05	-0.05	
0.0044	-0.05	-0.06	-0.05	-0.04623924	-0.05	-0.05	
0.0046	-0.05	-0.06	-0.05	-0.04615017	-0.05	-0.05	
0.0048	-0.05	-0.06	-0.05	-0.04606516	-0.05	-0.05	
0.005	-0.05	-0.06	-0.05	-0.04598403	-0.05	-0.05	
0.0052	-0.05	-0.06	-0.05	-0.04590659	-0.05	-0.05	
0.0054	-0.05	-0.06	-0.05	-0.04583269	-0.05	-0.05	
0.0056	-0.05	-0.06	-0.05	-0.04576216	-0.05	-0.05	
0.0058	-0.05	-0.06	-0.05	-0.04569484	-0.05	-0.05	
0.006	-0.05	-0.06	-0.05	-0.04563059	-0.05	-0.05	
0.0062	-0.05	-0.06	-0.05	-0.04556927	-0.05	-0.05	
0.0064	-0.05	-0.06	-0.05	-0.04551075	-0.05	-0.05	
0.0066	-0.05	-0.06	-0.05	-0.04545489	-0.05	-0.05	
0.0068	-0.05	-0.06	-0.05	-0.04540159	-0.05	-0.05	
0.007	-0.05	-0.06	-0.05	-0.04535071	-0.05	-0.05	
0.0072	-0.05	-0.06	-0.05	-0.04530216	-0.05	-0.05	
0.0074	-0.05	-0.06	-0.05	-0.04525581	-0.05	-0.05	
0.0076	-0.05	-0.06	-0.05	-0.04521158	-0.05	-0.05	
0.0078	-0.05	-0.06	-0.05	-0.04516936	-0.05	-0.05	
0.007999999	-0.05	-0.06	-0.05	-0.04512908	-0.05	-0.05	
0.0082	-0.05	-0.06	-0.05	-0.04509062	-0.05	-0.05	
0.0084	-0.05	-0.06	-0.05	-0.04505393	-0.05	-0.05	
0.008599999	-0.05	-0.06	-0.05	-0.0450189	-0.05	-0.05	
0.0088	-0.05	-0.06	-0.05	-0.04498547	-0.05	-0.05	
