Time	S1F1FF	S1F1Ia	S1F1Vm	S1F2FF	S1F2Vm	S1I1Vm	S1I2Ia	S1I2Vm	S2F1	S3F1	
0	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0002	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0004	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0006	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0008	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0009999999	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0012	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0014	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0016	0	0	-0.07	0	-0.07	-0.1	0	-0.1	0	0	
0.0018	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.002	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0022	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0024	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0026	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0028	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.003	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0032	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0034	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0036	0	0	-0.07	3.6E-05	-0.0699928	-0.1	0	-0.1	0	0	
0.0038	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.1	2.16E-14	-0.1	0.0005999999	0	
0.004	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999976	2.16E-14	-0.1	0.0005999999	0	
0.0042	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999954	2.16E-14	-0.1	0.0005999999	0	
0.0044	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999932	2.16E-14	-0.09999999	0.0005999999	0	
0.0046	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999911	2.16E-14	-0.09999999	0.0005999999	0	
0.0048	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999891	2.16E-14	-0.09999999	0.0005999999	0	
0.005	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999872	2.16E-14	-0.09999999	0.0005999999	0	
0.0052	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999853	2.16E-14	-0.09999999	0.0005999999	0	
0.0054	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999835	2.16E-14	-0.09999999	0.0005999999	0	
0.0056	2.16E-06	0	-0.06999928	0.00011128	-0.06997775	-0.09999818	2.16E-14	-0.09999999	0.0005999999	0	
0.0058	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999802	8.793599E-14	-0.09999999	0.001776	0	
0.006	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.0999974	8.793599E-14	-0.09999999	0.001776	0	
0.0062	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999681	8.793599E-14	-0.09999999	0.001776	0	
0.0064	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999624	8.793599E-14	-0.09999999	0.001776	0	
0.0066	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999569	8.793599E-14	-0.09999998	0.001776	0	
0.0068	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999516	8.793599E-14	-0.09999998	0.001776	0	
0.007	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999465	8.793599E-14	-0.09999998	0.001776	0	
0.0072	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999417	8.793599E-14	-0.09999997	0.001776	0	
0.0074	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.0999937	8.793599E-14	-0.09999997	0.001776	0	
0.0076	8.793599E-06	0	-0.06999707	0.0002250544	-0.06995499	-0.09999325	8.793599E-14	-0.09999997	0.001776	0	
0.0078	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09999282	2.212099E-13	-0.09999996	0.00350472	0	
0.007999999	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09999172	2.212099E-13	-0.09999996	0.00350472	0	
0.0082	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09999067	2.212099E-13	-0.09999995	0.00350472	0	
0.0084	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09998967	2.212099E-13	-0.09999994	0.00350472	0	
0.008599999	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.0999887	2.212099E-13	-0.09999994	0.00350472	0	
0.0088	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09998777	2.212099E-13	-0.09999993	0.00350472	0	
0.009	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09998687	2.212099E-13	-0.09999993	0.00350472	0	
0.0092	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09998602	2.212099E-13	-0.09999992	0.00350472	0	
0.0094	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09998519	2.212099E-13	-0.09999991	0.00350472	0	
0.0096	2.212099E-05	0	-0.06999262	0.0003765533	-0.06992469	-0.09998439	2.212099E-13	-0.09999991	0.00350472	0	
0.0098	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09998363	4.427176E-13	-0.0999999	0.00576358	0	
0.01	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09998202	4.427176E-13	-0.09999989	0.00576358	0	
0.0102	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09998046	4.427176E-13	-0.09999987	0.00576358	0	
0.0104	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997897	4.427176E-13	-0.09999987	0.00576358	0	
0.0106	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997753	4.427176E-13	-0.09999985	0.00576358	0	
0.0108	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997615	4.427176E-13	-0.09999985	0.00576358	0	
0.011	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997483	4.427176E-13	-0.09999983	0.00576358	0	
0.0112	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997355	4.427176E-13	-0.09999982	0.00576358	0	
0.0114	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997233	4.427176E-13	-0.09999981	0.00576358	0	
0.0116	4.427176E-05	0	-0.06998524	0.0005650222	-0.069887	-0.09997115	4.427176E-13	-0.0999998	0.00576358	0	
0.0118	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09997003	7.728766E-13	-0.09999979	0.008530685	0	
0.012	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09996786	7.728766E-13	-0.09999977	0.008530685	0	
0.0122	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09996577	7.728766E-13	-0.09999975	0.008530685	0	
0.0124	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09996377	7.728766E-13	-0.09999973	0.008530685	0	
0.0126	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09996185	7.728766E-13	-0.0999997	0.008530685	0	
0.0128	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09996	7.728766E-13	-0.09999969	0.008530685	0	
0.013	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09995822	7.728766E-13	-0.09999967	0.008530685	0	
0.0132	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09995651	7.728766E-13	-0.09999965	0.008530685	0	
0.0134	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.09995487	7.728766E-13	-0.09999964	0.008530685	0	
0.0136	7.728766E-05	0	-0.06997424	0.0007897217	-0.06984206	-0.0999533	7.728766E-13	-0.09999962	0.008530685	0	
0.0138	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09995178	1.231252E-12	-0.09999961	0.0117848	0	
0.014	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09994905	1.231252E-12	-0.09999957	0.0117848	0	
0.0142	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09994643	1.231252E-12	-0.09999954	0.0117848	0	
0.0144	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09994391	1.231252E-12	-0.09999951	0.0117848	0	
0.0146	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09994149	1.231252E-12	-0.09999948	0.0117848	0	
0.0148	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09993916	1.231252E-12	-0.09999945	0.0117848	0	
0.015	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09993692	1.231252E-12	-0.09999943	0.0117848	0	
0.0152	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09993478	1.231252E-12	-0.0999994	0.0117848	0	
0.0154	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09993272	1.231252E-12	-0.09999938	0.0117848	0	
0.0156	0.0001231252	0	-0.06995896	0.001049927	-0.06979001	-0.09993073	1.231252E-12	-0.09999935	0.0117848	0	
0.0158	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09992883	1.836583E-12	-0.09999933	0.01550534	0	
0.016	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09992554	1.836583E-12	-0.09999929	0.01550534	0	
0.0162	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09992238	1.836583E-12	-0.09999924	0.01550534	0	
0.0164	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09991934	1.836583E-12	-0.0999992	0.01550534	0	
0.0166	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09991643	1.836583E-12	-0.09999916	0.01550534	0	
0.0168	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09991362	1.836583E-12	-0.09999911	0.01550534	0	
0.017	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09991093	1.836583E-12	-0.09999908	0.01550534	0	
0.0172	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09990834	1.836583E-12	-0.09999905	0.01550534	0	
0.0174	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09990586	1.836583E-12	-0.09999901	0.01550534	0	
0.0176	0.0001836583	0	-0.06993878	0.001344929	-0.06973101	-0.09990347	1.836583E-12	-0.09999897	0.01550534	0	
0.0178	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09990118	2.606809E-12	-0.09999894	0.01967234	0	
0.018	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09989733	2.606809E-12	-0.09999888	0.01967234	0	
0.0182	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09989364	2.606809E-12	-0.09999882	0.01967234	0	
0.0184	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09989011	2.606809E-12	-0.09999877	0.01967234	0	
0.0186	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.0998867	2.606809E-12	-0.09999871	0.01967234	0	
0.0188	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09988343	2.606809E-12	-0.09999866	0.01967234	0	
0.019	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09988029	2.606809E-12	-0.09999862	0.01967234	0	
0.0192	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09987727	2.606809E-12	-0.09999856	0.01967234	0	
0.0194	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09987436	2.606809E-12	-0.09999852	0.01967234	0	
0.0196	0.0002606809	0	-0.0699131	0.00167403	-0.06966519	-0.09987158	2.606809E-12	-0.09999847	0.01967234	0	
0.0198	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.0998689	3.559091E-12	-0.09999844	0.02426646	0	
0.02	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09986453	3.559091E-12	-0.09999835	0.02426646	0	
0.0202	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09986033	3.559091E-12	-0.09999828	0.02426646	0	
0.0204	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09985629	3.559091E-12	-0.09999821	0.02426646	0	
0.0206	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09985241	3.559091E-12	-0.09999814	0.02426646	0	
0.0208	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09984867	3.559091E-12	-0.09999807	0.02426646	0	
0.021	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.0998451	3.559091E-12	-0.099998	0.02426646	0	
0.0212	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09984165	3.559091E-12	-0.09999795	0.02426646	0	
0.0214	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09983835	3.559091E-12	-0.09999789	0.02426646	0	
0.0216	0.0003559091	0	-0.06988136	0.00203655	-0.06959269	-0.09983517	3.559091E-12	-0.09999783	0.02426646	0	
0.0218	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09983212	4.709838E-12	-0.09999777	0.02926894	0	
0.022	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09982722	4.709838E-12	-0.09999768	0.02926894	0	
0.0222	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09982252	4.709838E-12	-0.09999759	0.02926894	0	
0.0224	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09981801	4.709838E-12	-0.0999975	0.02926894	0	
0.0226	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09981366	4.709838E-12	-0.09999741	0.02926894	0	
0.0228	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.0998095	4.709838E-12	-0.09999733	0.02926894	0	
0.023	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09980549	4.709838E-12	-0.09999724	0.02926894	0	
0.0232	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09980164	4.709838E-12	-0.09999717	0.02926894	0	
0.0234	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09979794	4.709838E-12	-0.0999971	0.02926894	0	
0.0236	0.0004709839	0	-0.06984301	0.002431819	-0.06951363	-0.09979439	4.709838E-12	-0.09999702	0.02926894	0	
0.0238	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09979098	6.074733E-12	-0.09999695	0.03466162	0	
0.024	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09978557	6.074733E-12	-0.09999683	0.03466162	0	
0.0242	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.0997804	6.074733E-12	-0.09999672	0.03466162	0	
0.0244	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09977541	6.074733E-12	-0.09999661	0.03466162	0	
0.0246	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09977063	6.074733E-12	-0.09999651	0.03466162	0	
0.0248	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09976603	6.074733E-12	-0.09999641	0.03466162	0	
0.025	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09976161	6.074733E-12	-0.09999631	0.03466162	0	
0.0252	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09975737	6.074733E-12	-0.09999622	0.03466162	0	
0.0254	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09975329	6.074733E-12	-0.09999613	0.03466162	0	
0.0256	0.0006074733	0	-0.06979751	0.002859182	-0.06942816	-0.09974938	6.074733E-12	-0.09999604	0.03466162	0	
0.0258	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09974561	7.668748E-12	-0.09999596	0.04042689	0	
0.026	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09973974	7.668748E-12	-0.09999581	0.04042689	0	
0.0262	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09973409	7.668748E-12	-0.09999568	0.04042689	0	
0.0264	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09972867	7.668748E-12	-0.09999555	0.04042689	0	
0.0266	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09972345	7.668748E-12	-0.09999542	0.04042689	0	
0.0268	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09971844	7.668748E-12	-0.0999953	0.04042689	0	
0.027	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09971363	7.668748E-12	-0.09999518	0.04042689	0	
0.0272	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09970901	7.668748E-12	-0.09999507	0.04042689	0	
0.0274	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.09970456	7.668748E-12	-0.09999496	0.04042689	0	
0.0276	0.0007668748	0	-0.06974438	0.003317998	-0.0693364	-0.0997003	7.668748E-12	-0.09999486	0.04042689	0	
0.0278	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.0996962	9.506171E-12	-0.09999476	0.04654768	0	
0.028	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09968986	9.506171E-12	-0.09999459	0.04654768	0	
0.0282	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09968377	9.506171E-12	-0.09999444	0.04654768	0	
0.0284	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09967792	9.506171E-12	-0.09999428	0.04654768	0	
0.0286	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.0996723	9.506171E-12	-0.09999413	0.04654768	0	
0.0288	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09966689	9.506171E-12	-0.09999399	0.04654768	0	
0.029	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.0996617	9.506171E-12	-0.09999385	0.04654768	0	
0.0292	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09965672	9.506171E-12	-0.09999372	0.04654768	0	
0.0294	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09965193	9.506171E-12	-0.09999359	0.04654768	0	
0.0296	0.0009506171	0	-0.06968313	0.003807638	-0.06923847	-0.09964732	9.506171E-12	-0.09999347	0.04654768	0	
0.0298	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.0996429	1.160063E-11	-0.09999336	0.05300746	0	
0.03	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09963612	1.160063E-11	-0.09999316	0.05300746	0	
0.0302	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.0996296	1.160063E-11	-0.09999298	0.05300746	0	
0.0304	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09962334	1.160063E-11	-0.0999928	0.05300746	0	
0.0306	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09961732	1.160063E-11	-0.09999263	0.05300746	0	
0.0308	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09961154	1.160063E-11	-0.09999245	0.05300746	0	
0.031	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09960599	1.160063E-11	-0.0999923	0.05300746	0	
0.0312	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09960066	1.160063E-11	-0.09999214	0.05300746	0	
0.0314	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09959553	1.160063E-11	-0.099992	0.05300746	0	
0.0316	0.001160063	0	-0.06961332	0.004327485	-0.0691345	-0.09959061	1.160063E-11	-0.09999186	0.05300746	0	
0.0318	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09958588	1.396511E-11	-0.09999172	0.05979024	0	
0.032	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09957866	1.396511E-11	-0.0999915	0.05979024	0	
0.0322	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09957174	1.396511E-11	-0.09999128	0.05979024	0	
0.0324	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09956509	1.396511E-11	-0.09999108	0.05979024	0	
0.0326	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.0995587	1.396511E-11	-0.09999088	0.05979024	0	
0.0328	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09955256	1.396511E-11	-0.09999069	0.05979024	0	
0.033	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09954666	1.396511E-11	-0.09999051	0.05979024	0	
0.0332	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09954099	1.396511E-11	-0.09999033	0.05979024	0	
0.0334	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09953555	1.396511E-11	-0.09999017	0.05979024	0	
0.0336	0.001396511	0	-0.0695345	0.004876936	-0.06902461	-0.09953031	1.396511E-11	-0.09999	0.05979024	0	
0.0338	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09952529	1.661197E-11	-0.09998985	0.0668805	0	
0.034	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09951767	1.661197E-11	-0.09998959	0.0668805	0	
0.0342	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09951036	1.661197E-11	-0.09998935	0.0668805	0	
0.0344	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09950334	1.661197E-11	-0.09998912	0.0668805	0	
0.0346	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09949659	1.661197E-11	-0.09998889	0.0668805	0	
0.0348	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09949011	1.661197E-11	-0.09998868	0.0668805	0	
0.035	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09948387	1.661197E-11	-0.09998847	0.0668805	0	
0.0352	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09947789	1.661197E-11	-0.09998827	0.0668805	0	
0.0354	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09947214	1.661197E-11	-0.09998808	0.0668805	0	
0.0356	0.001661197	0	-0.06944627	0.005455397	-0.06890892	-0.09946661	1.661197E-11	-0.09998789	0.0668805	0	
0.0358	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09946129	1.955297E-11	-0.09998772	0.07426324	0	
0.036	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.0994533	1.955297E-11	-0.09998743	0.07426324	0	
0.0362	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09944562	1.955297E-11	-0.09998716	0.07426324	0	
0.0364	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09943824	1.955297E-11	-0.0999869	0.07426324	0	
0.0366	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09943114	1.955297E-11	-0.09998664	0.07426324	0	
0.0368	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09942433	1.955297E-11	-0.0999864	0.07426324	0	
0.037	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09941778	1.955297E-11	-0.09998617	0.07426324	0	
0.0372	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.0994115	1.955297E-11	-0.09998594	0.07426324	0	
0.0374	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09940545	1.955297E-11	-0.09998573	0.07426324	0	
0.0376	0.001955297	0	-0.06934824	0.00606229	-0.06878754	-0.09939964	1.955297E-11	-0.09998552	0.07426324	0	
0.0378	0.002279928	0	-0.06924003	0.006697043	-0.06866059	-0.09939407	2.279928E-11	-0.09998532	0.08192391	0	
0.038	0.002279928	0	-0.06924003	0.006697043	-0.06866059	-0.0993857	2.279928E-11	-0.099985	0.08192391	0	
0.0382	0.002279928	0	-0.06924003	0.006697043	-0.06866059	-0.09937767	2.279928E-11	-0.0999847	0.08192391	0	
