Time	Angle	
1	0.9952946	
1.001	0.9962946	
1.002	0.9972929	
1.003	0.9982896	
1.004	0.9992847	
1.005	1.000278	
1.006	1.00127	
1.007	1.00226	
1.008	1.003248	
1.009	1.004235	
1.01	1.00522	
1.011	1.006204	
1.012	1.007186	
1.013	1.008166	
1.014	1.009145	
1.015	1.010121	
1.016	1.011097	
1.017	1.01207	
1.018	1.013042	
1.019	1.014012	
1.02	1.014981	
1.021	1.015948	
1.022	1.016913	
1.023	1.017876	
1.024	1.018838	
1.025	1.019799	
1.026	1.020757	
1.027	1.021714	
1.028	1.022669	
1.029	1.023623	
1.03	1.024575	
1.031	1.025525	
1.032	1.026473	
1.033	1.02742	
1.034	1.028365	
1.035	1.029309	
1.036	1.03025	
1.037	1.031191	
1.038	1.032129	
1.039	1.033066	
1.04	1.034001	
1.041	1.034934	
1.042	1.035866	
1.043	1.036796	
1.044	1.037724	
1.045	1.038651	
1.046	1.039576	
1.047	1.040499	
1.048	1.04142	
1.049	1.04234	
1.05	1.043259	
1.051	1.044175	
1.052	1.04509	
1.053	1.046003	
1.054	1.046914	
1.055	1.047824	
1.056	1.048732	
1.057	1.049638	
1.058	1.050543	
1.059	1.051446	
1.06	1.052347	
1.061	1.053246	
1.062	1.054144	
1.063	1.05504	
1.064	1.055934	
1.065	1.056827	
1.066	1.057718	
1.067	1.058607	
1.068	1.059495	
1.069	1.060381	
1.07	1.061265	
1.071	1.062147	
1.072	1.063028	
1.073	1.063907	
1.074	1.064784	
1.075	1.06566	
1.076	1.066533	
1.077	1.067406	
1.078	1.068276	
1.079	1.069145	
1.08	1.070012	
1.081	1.070877	
1.082	1.071741	
1.083	1.072602	
1.084	1.073462	
1.085	1.074321	
1.086	1.075177	
1.087	1.076032	
1.088	1.076886	
1.089	1.077737	
1.09	1.078587	
1.091	1.079435	
1.092	1.080281	
1.093	1.081126	
1.094	1.081968	
1.095	1.082809	
1.096	1.083649	
1.097	1.084486	
1.098	1.085322	
1.099	1.086156	
1.1	1.086988	
1.101	1.087819	
1.102	1.088648	
1.103	1.089475	
1.104	1.0903	
1.105	1.091124	
1.106	1.091946	
1.107	1.092766	
1.108	1.093585	
1.109	1.094402	
1.11	1.095217	
1.111	1.09603	
1.112	1.096842	
1.113	1.097651	
1.114	1.098459	
1.115	1.099266	
1.116	1.10007	
1.117	1.100873	
1.118	1.101674	
1.119	1.102473	
1.12	1.103271	
1.121	1.104067	
1.122	1.104861	
1.123	1.105653	
1.124	1.106444	
1.125	1.107232	
1.126	1.108019	
1.127	1.108805	
1.128	1.109588	
1.129	1.11037	
1.13	1.11115	
1.131	1.111928	
1.132	1.112705	
1.133	1.11348	
1.134	1.114253	
1.135	1.115024	
1.136	1.115793	
1.137	1.116561	
1.138	1.117327	
1.139	1.118091	
1.14	1.118854	
1.141	1.119614	
1.142	1.120373	
1.143	1.12113	
1.144	1.121886	
1.145	1.122639	
1.146	1.123391	
1.147	1.124141	
1.148	1.124889	
1.149	1.125636	
1.15	1.126381	
1.151	1.127124	
1.152	1.127865	
1.153	1.128604	
1.154	1.129342	
1.155	1.130078	
1.156	1.130812	
1.157	1.131545	
1.158	1.132275	
1.159	1.133004	
1.16	1.133731	
1.161	1.134456	
1.162	1.13518	
1.163	1.135901	
1.164	1.136621	
1.165	1.137339	
1.166	1.138056	
1.167	1.13877	
1.168	1.139483	
