Time	Angle	
1	0.7702615	
1.001	0.7710779	
1.002	0.7718943	
1.003	0.7727104	
1.004	0.7735263	
1.005	0.7743418	
1.006	0.7751571	
1.007	0.7759719	
1.008	0.7767863	
1.009	0.7776002	
1.01	0.7784135	
1.011	0.7792262	
1.012	0.7800382	
1.013	0.7808495	
1.014	0.7816601	
1.015	0.7824697	
1.016	0.7832785	
1.017	0.784086	
1.018	0.7848925	
1.019	0.785698	
1.02	0.7865021	
1.021	0.787305	
1.022	0.7881065	
1.023	0.7889065	
1.024	0.789705	
1.025	0.7905018	
1.026	0.7912971	
1.027	0.7920907	
1.028	0.7928826	
1.029	0.7936726	
1.03	0.7944608	
1.031	0.7952468	
1.032	0.7960309	
1.033	0.7968131	
1.034	0.7975933	
1.035	0.7983715	
1.036	0.7991475	
1.037	0.7999216	
1.038	0.8006935	
1.039	0.8014632	
1.04	0.8022308	
1.041	0.8029963	
1.042	0.8037595	
1.043	0.8045206	
1.044	0.8052794	
1.045	0.8060362	
1.046	0.8067907	
1.047	0.8075432	
1.048	0.8082935	
1.049	0.8090418	
1.05	0.8097879	
1.051	0.810532	
1.052	0.8112741	
1.053	0.8120142	
1.054	0.8127524	
1.055	0.8134886	
1.056	0.814223	
1.057	0.8149555	
1.058	0.8156863	
1.059	0.8164154	
1.06	0.8171427	
1.061	0.8178682	
1.062	0.8185922	
1.063	0.8193146	
1.064	0.8200354	
1.065	0.8207547	
1.066	0.8214727	
1.067	0.8221892	
1.068	0.8229043	
1.069	0.8236182	
1.07	0.8243306	
1.071	0.8250417	
1.072	0.8257517	
1.073	0.8264604	
1.074	0.8271679	
1.075	0.8278743	
1.076	0.8285797	
1.077	0.8292839	
1.078	0.829987	
1.079	0.8306891	
1.08	0.8313901	
1.081	0.83209	
1.082	0.8327889	
1.083	0.833487	
1.084	0.8341839	
1.085	0.8348798	
1.086	0.8355747	
1.087	0.8362687	
1.088	0.8369617	
1.089	0.8376536	
1.09	0.8383445	
1.091	0.8390344	
1.092	0.8397233	
1.093	0.8404111	
1.094	0.841098	
1.095	0.8417836	
1.096	0.8424681	
1.097	0.8431516	
1.098	0.8438339	
1.099	0.8445151	
1.1	0.8451951	
1.101	0.8458738	
1.102	0.8465514	
1.103	0.8472277	
1.104	0.8479028	
1.105	0.8485764	
1.106	0.8492488	
1.107	0.8499197	
1.108	0.8505893	
1.109	0.8512574	
1.11	0.8519239	
1.111	0.8525891	
1.112	0.8532528	
1.113	0.853915	
1.114	0.8545757	
1.115	0.8552347	
1.116	0.8558921	
1.117	0.8565478	
1.118	0.8572021	
1.119	0.8578546	
1.12	0.8585055	
1.121	0.8591546	
1.122	0.859802	
1.123	0.8604478	
1.124	0.8610917	
1.125	0.861734	
1.126	0.8623744	
1.127	0.8630132	
1.128	0.8636503	
1.129	0.8642855	
1.13	0.864919	
1.131	0.8655507	
1.132	0.8661807	
1.133	0.8668088	
1.134	0.8674352	
1.135	0.8680598	
1.136	0.8686826	
1.137	0.8693038	
1.138	0.8699232	
1.139	0.8705408	
1.14	0.8711566	
1.141	0.8717709	
1.142	0.8723833	
1.143	0.8729941	
1.144	0.8736033	
1.145	0.8742108	
1.146	0.8748166	
1.147	0.8754208	
1.148	0.8760234	
1.149	0.8766244	
1.15	0.8772238	
1.151	0.8778217	
1.152	0.878418	
1.153	0.8790128	
1.154	0.8796059	
1.155	0.8801977	
1.156	0.8807879	
1.157	0.8813767	
1.158	0.881964	
1.159	0.8825499	
1.16	0.8831344	
1.161	0.8837174	
1.162	0.8842988	
1.163	0.884879	
1.164	0.8854578	
1.165	0.8860351	
1.166	0.8866111	
1.167	0.8871857	
1.168	0.8877588	
1.169	0.8883306	
1.17	0.8889011	
1.171	0.8894702	
1.172	0.890038	
1.173	0.8906044	
1.174	0.8911695	
1.175	0.8917332	
1.176	0.8922956	
1.177	0.8928565	
1.178	0.8934161	
1.179	0.8939743	
1.18	0.8945312	
1.181	0.8950866	
1.182	0.8956406	
1.183	0.8961933	
1.184	0.8967446	
1.185	0.8972945	
1.186	0.8978429	
1.187	0.8983898	
1.188	0.8989354	
1.189	0.8994795	
1.19	0.9000223	
1.191	0.9005636	
1.192	0.9011034	
1.193	0.9016417	
1.194	0.9021785	
1.195	0.9027137	
1.196	0.9032474	
1.197	0.9037796	
1.198	0.9043102	
1.199	0.9048393	
1.2	0.9053669	
1.201	0.9058929	
1.202	0.9064174	
1.203	0.9069402	
1.204	0.9074615	
1.205	0.9079812	
1.206	0.9084992	
1.207	0.9090155	
1.208	0.9095303	
1.209	0.9100435	
1.21	0.910555	
1.211	0.9110649	
1.212	0.9115734	
1.213	0.9120802	
1.214	0.9125852	
1.215	0.9130886	
1.216	0.9135903	
1.217	0.9140903	
1.218	0.9145887	
1.219	0.9150857	
1.22	0.9155807	
1.221	0.9160743	
1.222	0.9165661	
1.223	0.9170562	
1.224	0.9175447	
1.225	0.9180315	
1.226	0.9185169	
1.227	0.9190004	
1.228	0.9194824	
1.229	0.9199627	
1.23	0.9204416	
1.231	0.9209188	
1.232	0.9213942	
1.233	0.9218681	
1.234	0.9223403	
1.235	0.9228109	
1.236	0.9232801	
1.237	0.9237476	
1.238	0.9242135	
1.239	0.924678	
1.24	0.9251409	
1.241	0.9256021	
1.242	0.9260618	
1.243	0.92652	
1.244	0.9269765	
1.245	0.9274315	
1.246	0.9278849	
1.247	0.9283367	
1.248	0.928787	
1.249	0.9292358	
1.25	0.929683	
1.251	0.9301288	
1.252	0.9305732	
1.253	0.9310158	
1.254	0.931457	
1.255	0.9318966	
