Time	II	Ia	Length	
0	162	55.00001	0.5	
0.0009999999	162	55.00001	0.5	
0.002	161.9995	55.00143	0.5	
0.003	161.9991	55.0029	0.5	
0.004	161.9986	55.00444	0.5	
0.005	161.998	55.00605	0.5	
0.006	161.9975	55.00772	0.5	
0.007	161.9969	55.00947	0.5	
0.007999999	161.9963	55.0113	0.5	
0.009	161.9957	55.0132	0.5	
0.01	161.995	55.01517	0.5	
0.011	161.9944	55.01723	0.5	
0.012	161.9937	55.01938	0.5	
0.013	161.9929	55.02162	0.5	
0.014	161.9922	55.02394	0.5	
0.015	161.9914	55.02636	0.5	
0.016	161.9906	55.02888	0.5	
0.017	161.9897	55.03149	0.5	
0.018	161.9888	55.03421	0.5	
0.019	161.9879	55.03703	0.5	
0.02	161.9869	55.03996	0.5	
0.021	161.9859	55.043	0.5	
0.022	161.9849	55.04615	0.5	
0.023	161.9838	55.04943	0.5	
0.024	161.9827	55.05282	0.5	
0.025	161.9816	55.05634	0.5	
0.026	161.9804	55.05999	0.5	
0.027	161.9791	55.06377	0.5	
0.028	161.9778	55.06768	0.5	
0.029	161.9765	55.07172	0.5	
0.03	161.9752	55.07592	0.5	
0.031	161.9737	55.08025	0.5	
0.032	161.9723	55.08473	0.5	
0.033	161.9707	55.08937	0.5	
0.034	161.9692	55.09416	0.5	
0.035	161.9676	55.0991	0.5	
0.036	161.9659	55.10421	0.5	
0.037	161.9642	55.10949	0.5	
0.038	161.9624	55.11493	0.5	
0.039	161.9605	55.12055	0.5	
0.04	161.9586	55.12635	0.5	
0.041	161.9567	55.13232	0.5	
0.042	161.9547	55.13848	0.5	
0.043	161.9526	55.14483	0.5	
0.044	161.9505	55.15137	0.5	
0.045	161.9483	55.1581	0.5	
0.046	161.946	55.16503	0.5	
0.047	161.9436	55.17217	0.5	
0.048	161.9413	55.17951	0.5	
0.049	161.9388	55.18706	0.5	
0.05	161.9362	55.19483	0.5	
0.051	161.9336	55.20281	0.5	
0.052	161.9309	55.21101	0.5	
0.053	161.9282	55.21944	0.5	
0.054	161.9253	55.2281	0.5	
0.055	161.9224	55.23698	0.5	
0.056	161.9194	55.24611	0.5	
0.057	161.9164	55.25547	0.5	
0.058	161.9132	55.26508	0.5	
0.059	161.91	55.27494	0.5	
0.06	161.9067	55.28504	0.5	
0.061	161.9033	55.29539	0.5	
0.062	161.8999	55.30601	0.5	
0.063	161.8963	55.31688	0.5	
0.064	161.8926	55.32802	0.5	
0.065	161.8889	55.33942	0.5	
0.066	161.8851	55.3511	0.5	
0.067	161.8812	55.36305	0.5	
0.068	161.8772	55.37527	0.5	
0.069	161.8731	55.38778	0.5	
0.07	161.8689	55.40057	0.5	
0.07099999	161.8646	55.41365	0.5	
0.072	161.8603	55.42701	0.5	
0.073	161.8558	55.44068	0.5	
0.074	161.8512	55.45463	0.5	
0.075	161.8466	55.46889	0.5	
0.076	161.8418	55.48344	0.5	
0.077	161.8369	55.4983	0.5	
0.078	161.832	55.51347	0.5	
0.079	161.8269	55.52895	0.5	
0.08	161.8217	55.54474	0.5	
0.081	161.8165	55.56085	0.5	
0.08199999	161.8111	55.57728	0.5	
0.083	161.8056	55.59403	0.5	
0.084	161.8	55.6111	0.5	
0.085	161.7943	55.62849	0.5	
0.086	161.7885	55.64622	0.5	
0.087	161.7826	55.66427	0.5	
0.088	161.7766	55.68266	0.5	
0.08899999	161.7704	55.70138	0.5	
0.09	161.7642	55.72044	0.5	
0.091	161.7579	55.73984	0.5	
0.092	161.7514	55.75957	0.5	
0.09299999	161.7448	55.77966	0.5	
0.094	161.7382	55.80008	0.5	
0.095	161.7314	55.82085	0.5	
0.096	161.7244	55.84197	0.5	
0.097	161.7174	55.86344	0.5	
0.098	161.7103	55.88526	0.5	
0.099	161.703	55.90743	0.5	
0.09999999	161.6956	55.92995	0.5	
0.101	161.6882	55.95284	0.5	
0.102	161.6806	55.97607	0.5	
0.103	161.6728	55.99966	0.5	
0.104	161.665	56.02362	0.5	
0.105	161.657	56.04792	0.5	
0.106	161.649	56.0726	0.5	
0.107	161.6408	56.09763	0.5	
0.108	161.6325	56.12302	0.5	
0.109	161.624	56.14878	0.5	
0.11	161.6155	56.1749	0.5	
0.111	161.6068	56.20139	0.5	
0.112	161.598	56.22824	0.5	
0.113	161.5891	56.25545	0.5	
0.114	161.5801	56.28303	0.5	
0.115	161.571	56.31097	0.5	
0.116	161.5617	56.33928	0.5	
0.117	161.5523	56.36796	0.5	
0.118	161.5428	56.397	0.5	
0.119	161.5332	56.42641	0.5	
0.12	161.5234	56.45618	0.5	
0.121	161.5136	56.48632	0.5	
0.122	161.5036	56.51682	0.5	
0.123	161.4935	56.54769	0.5	
0.124	161.4833	56.57892	0.5	
0.125	161.4729	56.61052	0.5	
0.126	161.4625	56.64249	0.5	
0.127	161.4519	56.67481	0.5	
0.128	161.4412	56.7075	0.5	
0.129	161.4304	56.74055	0.5	
0.13	161.4194	56.77396	0.5	
0.131	161.4084	56.80772	0.5	
0.132	161.3972	56.84185	0.5	
0.133	161.3859	56.87634	0.5	
0.134	161.3745	56.91119	0.5	
0.135	161.363	56.94639	0.5	
0.136	161.3514	56.98195	0.5	
0.137	161.3396	57.01786	0.5	
0.138	161.3277	57.05413	0.5	
0.139	161.3158	57.09074	0.5	
0.14	161.3037	57.12771	0.5	
0.141	161.2914	57.16502	0.5	
0.142	161.2791	57.20269	0.5	
0.143	161.2667	57.24069	0.5	
0.144	161.2541	57.27905	0.5	
0.145	161.2415	57.31774	0.5	
0.146	161.2287	57.35678	0.5	
0.147	161.2158	57.39615	0.5	
0.148	161.2028	57.43586	0.5	
0.149	161.1897	57.47591	0.5	
0.15	161.1765	57.51629	0.5	
0.151	161.1632	57.557	0.5	
0.152	161.1497	57.59804	0.5	
0.153	161.1362	57.63942	0.5	
0.154	161.1225	57.68111	0.5	
0.155	161.1088	57.72313	0.5	
0.156	161.0949	57.76547	0.5	
0.157	161.081	57.80813	0.5	
0.158	161.0669	57.85111	0.5	
0.159	161.0527	57.8944	0.5	
0.16	161.0385	57.93801	0.5	
0.161	161.0241	57.98192	0.5	
0.162	161.0096	58.02615	0.5	
0.163	160.995	58.07068	0.5	
0.164	160.9804	58.11551	0.5	
0.165	160.9656	58.16064	0.5	
0.166	160.9507	58.20607	0.5	
0.167	160.9358	58.2518	0.5	
0.168	160.9207	58.29782	0.5	
0.169	160.9056	58.34413	0.5	
0.17	160.8903	58.39073	0.5	
0.171	160.875	58.43762	0.5	
0.172	160.8595	58.48479	0.5	
0.173	160.844	58.53223	0.5	
0.174	160.8284	58.57996	0.5	
0.175	160.8127	58.62796	0.5	
0.176	160.7969	58.67623	0.5	
0.177	160.781	58.72477	0.5	
0.178	160.765	58.77358	0.5	
0.179	160.7489	58.82265	0.5	
0.18	160.7328	58.87199	0.5	
0.181	160.7166	58.92158	0.5	
0.182	160.7003	58.97143	0.5	
0.183	160.6839	59.02153	0.5	
0.184	160.6674	59.07188	0.5	
0.185	160.6508	59.12247	0.5	
0.186	160.6342	59.17331	0.5	
0.187	160.6175	59.22439	0.5	
0.188	160.6007	59.27571	0.5	
0.189	160.5838	59.32727	0.5	
0.19	160.5669	59.37906	0.5	
0.191	160.5498	59.43107	0.5	
0.192	160.5327	59.48331	0.5	
0.193	160.5156	59.53578	0.5	
0.194	160.4983	59.58847	0.5	
0.195	160.481	59.64137	0.5	
0.196	160.4636	59.69449	0.5	
0.197	160.4462	59.74782	0.5	
0.198	160.4286	59.80136	0.5	
0.199	160.4111	59.85511	0.5	
0.2	160.3934	59.90905	0.5	
0.201	160.3757	59.9632	0.5	
0.202	160.3579	60.01754	0.5	
0.203	160.3401	60.07208	0.5	
0.204	160.3221	60.12681	0.5	
0.205	160.3042	60.18172	0.5	
0.206	160.2861	60.23682	0.5	
0.207	160.268	60.29211	0.5	
0.208	160.2499	60.34757	0.5	
0.209	160.2317	60.40321	0.5	
0.21	160.2134	60.45902	0.5	
0.211	160.1951	60.515	0.5	
0.212	160.1767	60.57115	0.5	
0.213	160.1583	60.62746	0.5	
0.214	160.1398	60.68393	0.5	
0.215	160.1213	60.74057	0.5	
0.216	160.1027	60.79736	0.5	
0.217	160.084	60.85429	0.5	
0.218	160.0654	60.91138	0.5	
0.219	160.0466	60.96862	0.5	
0.22	160.0278	61.026	0.5	
0.221	160.009	61.08352	0.5	
0.222	159.9902	61.14118	0.5	
0.223	159.9713	61.19897	0.5	
0.224	159.9523	61.2569	0.5	
0.225	159.9333	61.31495	0.5	
0.226	159.9142	61.37313	0.5	
0.227	159.8952	61.43144	0.5	
0.228	159.876	61.48986	0.5	
0.229	159.8569	61.54841	0.5	
0.23	159.8377	61.60707	0.5	
0.231	159.8185	61.66584	0.5	
0.232	159.7992	61.72472	0.5	
0.233	159.7799	61.78371	0.5	
0.234	159.7605	61.84281	0.5	
0.235	159.7412	61.902	0.5	
0.236	159.7218	61.9613	0.5	
0.237	159.7023	62.02068	0.5	
0.238	159.6829	62.08017	0.5	
0.239	159.6634	62.13974	0.5	
0.24	159.6438	62.19941	0.5	
0.241	159.6243	62.25915	0.5	
0.242	159.6047	62.31898	0.5	
0.243	159.5851	62.37889	0.5	
0.244	159.5654	62.43889	0.5	
0.245	159.5458	62.49895	0.5	
0.246	159.5261	62.55909	0.5	
0.247	159.5064	62.61929	0.5	
0.248	159.4867	62.67957	0.5	
0.249	159.4669	62.73991	0.5	
0.25	159.4472	62.80031	0.5	
