Time	BodyX	BodyY	BodyZ	
0	0	0.015	0	
0.001	5.4247E-09	0.01499997	4.278131E-09	
0.002	1.227922E-08	0.01499998	1.869662E-08	
0.003	1.233783E-08	0.01499997	3.482747E-08	
0.004	1.108872E-08	0.01499997	4.343448E-08	
0.005	7.831395E-09	0.01499998	4.806332E-08	
0.006	5.148787E-09	0.01499998	5.53451E-08	
0.007	3.757042E-09	0.01499998	7.363921E-08	
0.008	2.329728E-09	0.01499998	9.44388E-08	
0.009000001	2.30324E-09	0.01499998	1.093527E-07	
0.01	1.652805E-09	0.01499998	1.176837E-07	
0.011	2.432669E-10	0.01499998	1.248233E-07	
0.012	-1.970256E-09	0.01499998	1.268434E-07	
0.013	-4.105782E-09	0.01499998	1.235937E-07	
0.014	-5.169935E-09	0.01499998	1.161677E-07	
0.015	-5.652208E-09	0.01499998	1.055771E-07	
0.016	-5.937943E-09	0.01499998	9.277279E-08	
0.017	-6.277152E-09	0.01499998	7.858211E-08	
0.018	-6.689886E-09	0.01499998	6.368764E-08	
0.019	-7.0702E-09	0.01499998	4.861817E-08	
0.02	-7.342394E-09	0.01499998	3.375871E-08	
0.021	-7.532837E-09	0.01499998	1.937987E-08	
0.022	-7.732073E-09	0.01499998	5.668696E-09	
0.023	-8.015324E-09	0.01499998	-7.247263E-09	
0.024	-8.398481E-09	0.01499998	-1.928827E-08	
0.025	-8.852291E-09	0.01499998	-3.04163E-08	
0.026	-9.344474E-09	0.01499998	-4.062716E-08	
0.027	-9.867889E-09	0.01499998	-4.994109E-08	
0.028	-1.043808E-08	0.01499998	-5.839284E-08	
0.029	-1.107306E-08	0.01499998	-6.602487E-08	
0.03	-1.17775E-08	0.01499998	-7.288435E-08	
0.031	-1.254237E-08	0.01499998	-7.902107E-08	
0.032	-1.335535E-08	0.01499998	-8.448728E-08	
0.033	-1.421018E-08	0.01499998	-8.933561E-08	
0.034	-1.510843E-08	0.01499998	-9.361807E-08	
0.035	-1.551901E-08	0.01499998	-9.750128E-08	
0.036	-1.700385E-08	0.01499998	-1.008657E-07	
0.037	-1.862356E-08	0.01499998	-1.036341E-07	
0.038	-2.080054E-08	0.01499999	-1.056719E-07	
0.039	-2.157308E-08	0.01499999	-1.073843E-07	
0.04	-2.088973E-08	0.01499999	-1.087929E-07	
0.041	-2.009694E-08	0.01499998	-1.102744E-07	
0.042	-2.069933E-08	0.01499998	-1.117618E-07	
0.043	-2.272652E-08	0.01499998	-1.131254E-07	
0.044	-2.527314E-08	0.01499998	-1.141993E-07	
0.045	-2.702036E-08	0.01499998	-1.146798E-07	
0.046	-2.802874E-08	0.01499998	-1.152823E-07	
0.047	-3.016514E-08	0.01499998	-1.158896E-07	
0.048	-3.234676E-08	0.01499998	-1.162882E-07	
0.049	-3.512689E-08	0.01499999	-1.163392E-07	
0.05	-3.610885E-08	0.01499999	-1.162463E-07	
0.051	-3.525223E-08	0.01499999	-1.159292E-07	
0.052	-3.4029E-08	0.01499998	-1.154969E-07	
0.053	-3.437722E-08	0.01499998	-1.149352E-07	
0.054	-3.623962E-08	0.01499998	-1.142016E-07	
0.055	-3.853362E-08	0.01499998	-1.133931E-07	
0.056	-3.941733E-08	0.01499998	-1.126904E-07	
0.057	-4.095333E-08	0.01499998	-1.11924E-07	
0.058	-4.21184E-08	0.01499998	-1.112172E-07	
0.059	-4.445666E-08	0.01499999	-1.103449E-07	
0.06	-4.55348E-08	0.015	-1.0911E-07	
0.061	-4.466539E-08	0.01499999	-1.079739E-07	
0.062	-4.331133E-08	0.01499998	-1.070487E-07	
0.063	-4.326077E-08	0.01499998	-1.061988E-07	
0.064	-4.480756E-08	0.01499998	-1.052411E-07	
0.06500001	-4.563781E-08	0.01499998	-1.043408E-07	
0.066	-4.833677E-08	0.01499998	-1.033773E-07	
0.067	-5.007347E-08	0.01499997	-1.005413E-07	
0.068	-2.039762E-07	0.01500314	-4.664083E-08	
0.06900001	1.001962E-07	0.01501743	9.986674E-07	
0.07	-4.554348E-07	0.01505562	3.535724E-06	
0.071	-7.441197E-07	0.01512381	7.209244E-06	
0.072	-9.573296E-07	0.01522777	1.348906E-05	
0.07300001	-1.654135E-06	0.01536509	2.293393E-05	
0.074	-3.229537E-06	0.01552651	3.511159E-05	
0.075	-4.911253E-06	0.01569919	4.868173E-05	
0.07600001	-6.467185E-06	0.01587017	6.21642E-05	
0.07700001	-7.62453E-06	0.01602834	7.473074E-05	
0.078	-9.054927E-06	0.01617065	8.648278E-05	
0.079	-1.087856E-05	0.01630234	9.770787E-05	
0.08000001	-1.327112E-05	0.01642794	0.0001085832	
0.081	-1.636749E-05	0.01654688	0.0001192056	
0.082	-1.810258E-05	0.01665669	0.000129926	
0.083	-1.745152E-05	0.01676178	0.0001410739	
0.08400001	-1.653374E-05	0.01686857	0.0001530529	
0.085	-1.599201E-05	0.01698521	0.000165811	
0.086	-1.504865E-05	0.01711786	0.0001796423	
0.087	-1.40255E-05	0.01726948	0.0001948378	
0.08800001	-1.355847E-05	0.01743998	0.0002114109	
0.089	-1.369171E-05	0.017626	0.0002290903	
0.09	-1.428121E-05	0.0178217	0.0002473522	
0.09100001	-1.510931E-05	0.01802	0.0002655079	
0.09200001	-1.55662E-05	0.01821361	0.0002830582	
0.093	-1.54508E-05	0.01839951	0.0002999339	
0.094	-1.515334E-05	0.01858023	0.0003161759	
0.09500001	-1.521168E-05	0.01875815	0.0003319445	
0.096	-1.574023E-05	0.01893404	0.0003473894	
0.097	-1.638907E-05	0.01910822	0.0003625837	
0.098	-1.656242E-05	0.01928146	0.0003775356	
0.09900001	-1.572979E-05	0.01945532	0.0003922406	
0.1	-1.413462E-05	0.01963284	0.0004068486	
0.101	-1.237248E-05	0.01981599	0.0004214774	
0.102	-1.08224E-05	0.02000569	0.0004362519	
0.103	-9.715389E-06	0.02020317	0.0004513295	
0.104	-9.193053E-06	0.02040933	0.000466904	
0.105	-9.266944E-06	0.02062493	0.0004831108	
0.106	-9.807488E-06	0.02084967	0.0004999537	
0.107	-1.050589E-05	0.02108131	0.0005172886	
0.108	-1.078347E-05	0.02131655	0.0005348795	
0.109	-1.027426E-05	0.02155316	0.0005525275	
0.11	-9.083941E-06	0.02178999	0.0005701109	
0.111	-7.60474E-06	0.02202613	0.0005875811	
0.112	-6.274232E-06	0.02226072	0.0006049272	
0.113	-5.491711E-06	0.02249245	0.0006221458	
0.114	-5.213143E-06	0.02272096	0.0006392368	
0.115	-4.823235E-06	0.02294717	0.0006562166	
0.116	-3.63487E-06	0.02317213	0.0006730444	
0.117	-1.473952E-06	0.02339678	0.0006896745	
0.118	1.308071E-06	0.02362203	0.0007060941	
0.119	4.522273E-06	0.02384854	0.0007222922	
0.12	7.99313E-06	0.02407828	0.0007384936	
0.121	1.151225E-05	0.02431299	0.0007549663	
0.122	1.50001E-05	0.02455356	0.0007720162	
0.123	1.832159E-05	0.0248004	0.0007899345	
0.124	2.12019E-05	0.02505382	0.0008089513	
0.125	2.331184E-05	0.02531273	0.0008290917	
0.126	2.437706E-05	0.02557484	0.0008502034	
0.127	2.44003E-05	0.02583742	0.0008719911	
0.128	2.407238E-05	0.02609819	0.0008941308	
0.129	2.413579E-05	0.02635679	0.0009164016	
0.13	2.487816E-05	0.02661417	0.0009386506	
0.131	2.574538E-05	0.02687135	0.0009608216	
0.132	2.619543E-05	0.02712842	0.0009829536	
0.133	2.618593E-05	0.02738573	0.001005068	
0.134	2.62007E-05	0.02764362	0.001027176	
0.135	2.690002E-05	0.02790277	0.001049223	
0.136	2.8563E-05	0.02816406	0.001071162	
0.137	3.09037E-05	0.02842814	0.001092977	
0.138	3.346958E-05	0.02869521	0.001114666	
0.139	3.584433E-05	0.02896509	0.001136258	
0.14	3.772771E-05	0.02923794	0.001157781	
0.141	3.895143E-05	0.0295142	0.001179279	
0.142	3.979184E-05	0.0297938	0.001200804	
0.143	4.081167E-05	0.03007584	0.001222385	
0.144	4.244676E-05	0.03035908	0.001243941	
0.145	4.498392E-05	0.03064261	0.001265398	
0.146	4.835943E-05	0.03092591	0.001286708	
0.147	5.226351E-05	0.03120849	0.001307848	
0.148	5.636097E-05	0.03148963	0.001328803	
0.149	6.033523E-05	0.03176863	0.00134956	
0.15	6.401064E-05	0.03204546	0.001370089	
0.151	6.830812E-05	0.03232121	0.001390417	
0.152	7.341978E-05	0.03259873	0.00141083	
0.153	7.911455E-05	0.0328794	0.001431606	
0.154	8.49404E-05	0.03316326	0.001453009	
0.155	9.043696E-05	0.03344971	0.001475223	
0.156	9.543288E-05	0.03373792	0.001498337	
0.157	0.0001000534	0.03402696	0.00152235	
0.158	0.0001045338	0.03431558	0.001547159	
0.159	0.0001090714	0.0346023	0.001572558	
0.16	0.0001138097	0.03488674	0.001598325	
0.161	0.0001189051	0.03517048	0.001624293	
0.162	0.0001242338	0.03545529	0.001650373	
0.163	0.0001294927	0.03574149	0.001676497	
0.164	0.0001345471	0.03602855	0.001702639	
0.165	0.0001393964	0.03631632	0.001728797	
0.166	0.0001441137	0.03660519	0.001754968	
0.167	0.0001487756	0.03689561	0.001781119	
0.168	0.0001534184	0.03718744	0.001807184	
0.169	0.0001578839	0.03748014	0.001833088	
0.17	0.0001618957	0.0377733	0.00185876	
0.171	0.0001655092	0.03806715	0.001884189	
0.172	0.000169068	0.03836291	0.001909426	
0.173	0.0001728839	0.03866057	0.001934491	
0.174	0.0001770993	0.03895915	0.001959351	
0.175	0.0001816337	0.03925772	0.001983933	
0.176	0.0001862951	0.03955587	0.002008157	
0.177	0.0001909654	0.03985339	0.002031866	
0.178	0.0001958689	0.04014991	0.002054654	
0.179	0.0002009756	0.04044538	0.002076405	
0.18	0.0002062106	0.04073958	0.00209726	
0.181	0.0002117486	0.04103285	0.002117349	
0.182	0.0002180531	0.04132665	0.002136655	
0.183	0.0002252484	0.04162191	0.002155355	
0.184	0.0002330797	0.04191842	0.002173724	
0.185	0.0002411346	0.04221522	0.002191976	
0.186	0.0002491593	0.04251119	0.002210206	
0.187	0.000257358	0.04280544	0.00222833	
0.188	0.0002660437	0.04309791	0.002246275	
0.189	0.0002751981	0.04338907	0.002263991	
0.19	0.0002844889	0.04367952	0.002281419	
0.191	0.0002936972	0.04396961	0.002298651	
0.192	0.0003026114	0.04426018	0.002315875	
0.193	0.0003114375	0.04455215	0.002333288	
0.194	0.0003205128	0.04484561	0.002351043	
0.195	0.0003299345	0.04514024	0.002369168	
0.196	0.0003395456	0.04543585	0.00238758	
0.197	0.0003490869	0.04573241	0.002406148	
0.198	0.0003583673	0.04602972	0.002424762	
0.199	0.0003673652	0.04632721	0.002443349	
0.2	0.0003791245	0.04662055	0.002461452	
0.201	0.0003940939	0.04689626	0.002479485	
0.202	0.0004074923	0.04715005	0.002497261	
0.203	0.0004157854	0.04737199	0.00251477	
0.204	0.0004242704	0.04756586	0.002532246	
0.205	0.0004355976	0.04773987	0.002549613	
0.206	0.0004470344	0.04790258	0.002567266	
0.207	0.0004584487	0.04806004	0.002585377	
0.208	0.0004699003	0.04821023	0.002603781	
0.209	0.0004813258	0.04835	0.002622242	
0.21	0.0004927821	0.0484787	0.002640671	
0.211	0.0005042464	0.04859694	0.002659107	
0.212	0.0005156921	0.04870559	0.002677575	
0.213	0.0005271439	0.04880495	0.002696066	
0.214	0.0005386113	0.04889464	0.002714564	
0.215	0.0005500751	0.04897426	0.002733065	
0.216	0.0005615373	0.04904396	0.002751573	
0.217	0.0005730042	0.04910391	0.00277009	
0.218	0.0005844707	0.04915407	0.002788612	
0.219	0.0005959394	0.04919444	0.002807137	
0.22	0.0006074093	0.04922501	0.002825665	
0.221	0.0006188809	0.04924573	0.002844199	
0.222	0.0006303538	0.04925663	0.002862739	
0.223	0.0006418279	0.04925775	0.002881284	
0.224	0.0006533031	0.04924906	0.002899833	
0.225	0.0006647796	0.04923055	0.002918386	
0.226	0.0006762574	0.04920223	0.002936943	
0.227	0.0006877366	0.0491641	0.002955505	
0.228	0.0006992173	0.04911616	0.002974072	
0.229	0.0007106994	0.04905841	0.002992644	
0.23	0.0007221828	0.04899085	0.003011219	
0.231	0.0007336675	0.04891348	0.003029799	
0.232	0.0007451537	0.0488263	0.003048383	
0.233	0.0007566413	0.04872931	0.003066972	
0.234	0.0007681303	0.04862251	0.003085564	
0.235	0.0007796207	0.0485059	0.003104161	
0.236	0.0007911125	0.04837948	0.003122762	
0.237	0.0008026059	0.04824325	0.003141368	
0.238	0.0008141007	0.0480972	0.003159977	
0.239	0.0008255968	0.04794135	0.00317859	
0.24	0.0008370946	0.04777569	0.003197208	
0.241	0.0008488678	0.04760021	0.0032161	
0.242	0.000882819	0.04742933	0.003241247	
0.243	0.0009337244	0.04727062	0.003265439	
0.244	0.0009988636	0.04711962	0.003288446	
0.245	0.001067118	0.04696497	0.003309231	
0.246	0.001124457	0.04680347	0.00332723	
0.247	0.001158553	0.04669385	0.003349288	
0.248	0.001174972	0.04666757	0.003366144	
0.249	0.001176098	0.04669234	0.00338253	
0.25	0.001177432	0.04673807	0.00339932	
0.251	0.001178462	0.04679224	0.003413339	
0.252	0.00117936	0.0468447	0.003424043	
0.253	0.001180023	0.04688605	0.003432672	
0.254	0.00118042	0.04691302	0.00344049	
0.255	0.001180802	0.04692823	0.003448228	
0.256	0.001181189	0.04693387	0.003455932	
0.257	0.00118179	0.04693113	0.003463814	
0.258	0.001182325	0.04692256	0.003472512	
0.259	0.001182964	0.04690927	0.003481946	
0.26	0.00118371	0.04689172	0.003492003	
0.261	0.001184612	0.04686954	0.003502444	
0.262	0.001184562	0.04684393	0.003513414	
0.263	0.001184404	0.04682607	0.00352547	
0.264	0.001185997	0.0468202	0.003536772	
0.265	0.001187609	0.04682051	0.003547134	
0.266	0.001188236	0.046822	0.003556578	
0.267	0.001188539	0.04682361	0.003564974	
0.268	0.001188832	0.04682504	0.003572308	
0.269	0.001189122	0.04682609	0.003578628	
0.27	0.001189422	0.04682694	0.003584152	
0.271	0.001189673	0.04682767	0.003589015	
0.272	0.001189988	0.04682835	0.003593274	
0.273	0.00119013	0.04682891	0.003597094	
0.274	0.001190246	0.04682938	0.003600539	
0.275	0.001190375	0.04682961	0.003603614	
0.276	0.001190572	0.04682973	0.003606485	
0.277	0.001190743	0.04683006	0.003609196	
0.278	0.001190933	0.04683042	0.003611798	
0.279	0.001191283	0.04683065	0.003614252	
0.28	0.001191426	0.04683072	0.003616655	
0.281	0.001191501	0.04683086	0.003619014	
0.282	0.001191733	0.04683093	0.003621296	
0.283	0.001192022	0.04683093	0.003623517	
0.284	0.001192179	0.04683092	0.003625714	
0.285	0.001192256	0.04683106	0.0036279	
0.286	0.001192422	0.04683119	0.003630036	
0.287	0.001192696	0.04683122	0.003632161	
0.288	0.001192821	0.04683122	0.003634307	
0.289	0.001192839	0.04683122	0.003636497	
0.29	0.001193006	0.0468312	0.003638704	
0.291	0.001193264	0.04683119	0.003640922	
0.292	0.00119337	0.04683111	0.003643126	
0.293	0.001193402	0.04683114	0.003645352	
0.294	0.001193499	0.04683108	0.003647559	
0.295	0.001193692	0.046831	0.003649766	
0.296	0.001193873	0.046831	0.003651967	
0.297	0.001193879	0.04683095	0.003654172	
0.298	0.001193911	0.04683091	0.003656346	
0.299	0.001194099	0.04683087	0.003658488	
0.3	0.001194269	0.04683086	0.003660633	
0.301	0.001194306	0.04683086	0.003662773	
0.302	0.001194303	0.04683088	0.003664909	
0.303	0.001194463	0.04683084	0.003667038	
0.304	0.001194668	0.04683089	0.003669136	
0.305	0.001194752	0.04683087	0.003671206	
0.306	0.001194728	0.0468309	0.003673286	
0.307	0.001194824	0.04683087	0.003675379	
0.308	0.001195025	0.04683087	0.003677455	
0.309	0.001195172	0.04683091	0.003679528	
0.31	0.001195179	0.04683092	0.003681621	
0.311	0.001195208	0.04683091	0.003683729	
0.312	0.001195406	0.0468309	0.003685851	
0.313	0.0011956	0.04683092	0.003687973	
0.314	0.001195638	0.0468309	0.003690107	
0.315	0.001195623	0.04683091	0.00369224	
0.316	0.001195782	0.04683086	0.003694366	
0.317	0.001196004	0.04683091	0.003696495	
0.318	0.001196101	0.0468309	0.003698637	
0.319	0.001196071	0.0468309	0.003700787	
0.32	0.001196178	0.04683086	0.003702943	
0.321	0.001196395	0.04683087	0.003705111	
0.322	0.001196549	0.04683089	0.00370731	
0.323	0.00119655	0.04683087	0.003709518	
0.324	0.001196596	0.04683084	0.003711718	
0.325	0.001196784	0.04683081	0.003713904	
0.326	0.001196975	0.04683083	0.003716079	
0.327	0.001197012	0.04683081	0.003718262	
0.328	0.00119701	0.04683084	0.003720439	
0.329	0.001197169	0.0468308	0.003722608	
0.33	0.00119737	0.04683083	0.003724759	
0.331	0.001197472	0.04683083	0.003726931	
0.332	0.001197461	0.04683086	0.003729118	
0.333	0.001197559	0.04683081	0.003731321	
0.334	0.001197776	0.04683083	0.003733497	
0.335	0.001197913	0.04683083	0.003735677	
0.336	0.001197894	0.0468308	0.003737877	
0.337	0.001197928	0.04683077	0.00374008	
0.338	0.001198127	0.04683074	0.003742295	
0.339	0.001198323	0.04683077	0.003744507	
0.34	0.001198362	0.04683077	0.003746736	
0.341	0.001198343	0.04683077	0.003748952	
0.342	0.0011985	0.04683072	0.00375117	
0.343	0.001198707	0.04683077	0.003753366	
0.344	0.001198786	0.04683073	0.003755584	
0.345	0.00119876	0.04683075	0.003757787	
0.346	0.001198844	0.0468307	0.003759999	
0.347	0.001199041	0.0468307	0.003762199	
0.348	0.001199192	0.04683074	0.003764396	
0.349	0.001199192	0.04683074	0.003766616	
0.35	0.001199226	0.04683074	0.003768825	
0.351	0.001199415	0.04683071	0.003771045	
0.352	0.001199596	0.04683072	0.003773266	
0.353	0.001199625	0.04683071	0.003775498	
0.354	0.001199598	0.04683071	0.003777725	
0.355	0.001199761	0.04683069	0.003779928	
0.356	0.00119998	0.04683075	0.003782138	
0.357	0.001200086	0.04683075	0.003784352	
0.358	0.001200073	0.04683079	0.003786574	
0.359	0.001200173	0.04683075	0.003788808	
0.36	0.001200385	0.04683076	0.003791039	
0.361	0.001200536	0.04683078	0.003793272	
0.362	0.001200539	0.04683077	0.00379552	
0.363	0.001200561	0.04683074	0.003797767	
0.364	0.001200734	0.04683068	0.003800034	
0.365	0.001200932	0.04683071	0.003802299	
0.366	0.001200971	0.0468307	0.003804576	
0.367	0.001200969	0.04683072	0.003806857	
0.368	0.001201136	0.04683068	0.003809137	
0.369	0.00120135	0.04683071	0.003811413	
0.37	0.001201458	0.04683071	0.003813693	
0.371	0.00120144	0.04683074	0.003815978	
