Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.002	0.004030636	0.003936784	0.004078031	0.004019109	0.003940912	0.004092903	0.003905358	0.004085924	0.003907952	0.003992385	0.004013545	0.003963275	0.003926142	0.004084748	0.003901678	0.003974784	0.003930995	0.004091262	0.004049781	0.004078469	0.004030714	0.004065287	0.004006416	0.004049543	0.004092261	
0.004	0.007642642	0.007701953	0.007699654	0.007731748	0.007669141	0.007860084	0.007596346	0.00774306	0.007641764	0.007737624	0.007796612	0.007644062	0.00758772	0.00781168	0.007530214	0.007719673	0.007627314	0.007884458	0.007812633	0.007744869	0.007819385	0.007829042	0.007783877	0.007724283	0.007831244	
0.006	0.01115053	0.01116275	0.01119134	0.0110613	0.01115265	0.01134107	0.01111779	0.01121195	0.01111411	0.01119988	0.01115489	0.01116735	0.01097714	0.0112971	0.01086829	0.01122373	0.01112068	0.01136636	0.01114262	0.01125373	0.01124303	0.0112733	0.01118215	0.0111559	0.01127401	
0.008	0.01430268	0.01425185	0.01443809	0.01427164	0.01426857	0.01450226	0.01422237	0.01440983	0.01434624	0.01430986	0.0142994	0.01439631	0.01419331	0.0144123	0.01412406	0.01438312	0.01428123	0.01445022	0.01434049	0.01446366	0.01446327	0.01444099	0.01441362	0.01433709	0.01447942	
0.01	0.01721143	0.01723958	0.01727255	0.01713467	0.01728715	0.01742792	0.0171256	0.01734567	0.01725363	0.01728874	0.01725397	0.01725897	0.01719415	0.01731592	0.01707266	0.01731134	0.01711641	0.01736784	0.01734343	0.01734458	0.01747683	0.0173326	0.01724712	0.01724738	0.01737242	
0.012	0.02001249	0.01987422	0.01992373	0.01989244	0.0200475	0.02022851	0.01984331	0.02011703	0.02000504	0.02002843	0.02006392	0.02005991	0.01983376	0.02010524	0.01970625	0.02002254	0.0198037	0.02017542	0.02003956	0.02010196	0.0201562	0.02010728	0.01997808	0.02001693	0.02005178	
0.014	0.02247308	0.02244558	0.02251508	0.02249397	0.02255585	0.02274075	0.02227591	0.02257033	0.02255894	0.02251006	0.0226564	0.02251721	0.02240406	0.02258749	0.02219236	0.02256128	0.02222913	0.02271489	0.02259535	0.02252829	0.02263926	0.02260647	0.02254096	0.02252785	0.02250686	
0.016	0.02478547	0.02471566	0.0248689	0.02474334	0.02480915	0.02501103	0.02451338	0.02495356	0.02493479	0.02475427	0.02501335	0.02475241	0.02469091	0.0249897	0.02444102	0.02484973	0.02462372	0.0251253	0.02484102	0.0249335	0.02492535	0.02498647	0.02493608	0.0248224	0.02488348	
0.018	0.02700913	0.02689437	0.02710475	0.02689862	0.02687696	0.02719497	0.02658267	0.02703984	0.02706742	0.02682187	0.02709026	0.026862	0.026808	0.02704916	0.02667895	0.02696538	0.02671788	0.02726288	0.02702445	0.0271534	0.02709419	0.02709144	0.02714502	0.02701767	0.02698487	
0.02	0.02910047	0.02888101	0.02908211	0.02896832	0.02895947	0.02916642	0.02860395	0.02903842	0.02914604	0.02881151	0.02904939	0.02886672	0.02870385	0.02912115	0.0286318	0.02895873	0.02862924	0.02928709	0.02907864	0.02915885	0.02917602	0.02911529	0.02913941	0.02898742	0.02895974	
0.022	0.0309809	0.03067963	0.03091292	0.03080391	0.03072125	0.03090956	0.03048166	0.0309655	0.03099777	0.03073666	0.03088774	0.03069053	0.0306009	0.03096249	0.0305598	0.03080235	0.0303985	0.03117254	0.03096562	0.03092594	0.03106475	0.03093489	0.03100684	0.03081588	0.03070817	
0.024	0.03258424	0.03231864	0.03267357	0.03244092	0.03234336	0.03269599	0.03217494	0.03265486	0.03265947	0.03237661	0.03266798	0.03231087	0.03224066	0.03273479	0.03230844	0.03246381	0.03212913	0.03280341	0.03273163	0.03262392	0.03272985	0.03266407	0.03268449	0.0324729	0.03247131	
0.026	0.03425343	0.03385779	0.0343257	0.03410685	0.03383768	0.03434031	0.03382666	0.03430519	0.03417787	0.03402378	0.03418513	0.03392977	0.03390511	0.03438908	0.03386441	0.03407903	0.03369867	0.03432152	0.03422078	0.03415008	0.0343252	0.03422882	0.03419681	0.03405175	0.03395735	
0.028	0.03566506	0.03539611	0.03576455	0.03558696	0.03539874	0.03584341	0.03533955	0.03581639	0.03567057	0.03554405	0.0356269	0.03544029	0.03538921	0.03592028	0.03542218	0.03549167	0.03526589	0.03575958	0.03573451	0.035684	0.03587087	0.03575801	0.03571425	0.0355907	0.03534597	
0.03	0.03711208	0.03682318	0.03707039	0.03683949	0.0368434	0.03715007	0.03675848	0.03713185	0.03695142	0.03689737	0.03687631	0.03686853	0.03676337	0.03727987	0.03681482	0.03683371	0.03664057	0.03702027	0.03701356	0.03699898	0.03715149	0.03717894	0.03710897	0.03699361	0.03661555	
0.032	0.03844231	0.03801933	0.03831055	0.03818914	0.03808952	0.03841554	0.03802539	0.03829537	0.03825513	0.03819944	0.03820992	0.03805384	0.03791729	0.03846479	0.03806433	0.038036	0.03788647	0.038173	0.03823613	0.03819945	0.03830073	0.03848492	0.03828718	0.03827477	0.03780687	
