Time	Contact	Eat	Energy	Hungry	LeftOdor	OS	RightOdor	
0	0	0	599.95	0	308.4606	0	308.4606	
0.001	0	0	599.9	0	308.4637	0	308.4637	
0.002	0	0	599.85	0	308.4021	0	308.5315	
0.003	0	0	599.8	0.4	308.2756	0	308.6638	
0.004	0	0	599.7501	0.4	308.0837	0	308.8604	
0.005	0	0	599.7001	0.7920001	307.826	0	309.1203	
0.006	0	0	599.6501	0.7920001	307.5016	0	309.4431	
0.007	0	0	599.6001	1	307.1096	0	309.8274	
0.008	0	0	599.5501	1	306.6918	0	310.2316	
0.009000001	0	0	599.5001	1	306.2797	0	310.6251	
0.01	0	0	599.4501	1	305.8652	0	311.0158	
0.011	0	0	599.4001	1	305.4566	0	311.3963	
0.012	0	0	599.3502	1	305.0457	0	311.774	
0.013	0	0	599.3002	1	304.6408	0	312.1417	
0.014	0	0	599.2502	1	304.2337	0	312.5068	
0.015	0	0	599.2002	1	303.8325	0	312.8623	
0.016	0	0	599.1502	1	303.4295	0	313.2151	
0.017	0	0	599.1002	1	303.0324	0	313.5585	
0.018	0	0	599.0502	1	302.6335	0	313.8995	
0.019	0	0	599.0002	1	302.2407	0	314.2313	
0.02	0	0	598.9503	1	301.846	0	314.5607	
0.021	0	0	598.9003	1	301.4575	0	314.8813	
0.022	0	0	598.8503	1	301.0674	0	315.1994	
0.023	0	0	598.8003	1	300.6833	0	315.509	
0.024	0	0	598.7503	1	300.2978	0	315.8162	
0.025	0	0	598.7003	1	299.9184	0	316.1152	
0.026	0	0	598.6503	1	299.5376	0	316.4118	
0.027	0	0	598.6003	1	299.1629	0	316.7004	
0.028	0	0	598.5504	1	298.7868	0	316.9866	
0.029	0	0	598.5004	1	298.417	0	317.2652	
0.03	0	0	598.4504	1	298.046	0	317.5414	
0.031	0	0	598.4004	1	297.681	0	317.8102	
0.032	0	0	598.3504	1	297.3151	0	318.0766	
0.033	0	0	598.3004	1	296.9551	0	318.3358	
0.034	0	0	598.2504	1	296.5943	0	318.5928	
0.035	0	0	598.2004	1	296.2395	0	318.8428	
0.036	0	0	598.1505	1	295.8839	0	319.0904	
0.037	0	0	598.1005	1	295.5342	0	319.3313	
0.038	0	0	598.0505	1	295.1839	0	319.5699	
0.039	0	0	598.0005	1	294.8395	0	319.8022	
0.04	0	0	597.9505	1	294.4946	0	320.0319	
0.041	0	0	597.9005	1	294.1555	0	320.2554	
0.042	0	0	597.8505	1	293.8161	0	320.4767	
0.043	0	0	597.8005	1	293.4824	0	320.6919	
0.044	0	0	597.7505	1	293.1484	0	320.9047	
0.045	0	0	597.7006	1	292.8201	0	321.1116	
0.046	0	0	597.6506	1	292.4916	0	321.3163	
0.047	0	0	597.6006	1	292.1689	0	321.5153	
0.048	0	0	597.5506	1	291.846	0	321.7119	
0.049	0	0	597.5006	1	291.5287	0	321.9032	
0.05	0	0	597.4506	1	291.2115	0	322.092	
0.051	0	0	597.4006	1	290.8998	0	322.2756	
0.052	0	0	597.3506	1	290.5883	0	322.4568	
0.053	0	0	597.3007	1	290.2822	0	322.6329	
0.054	0	0	597.2507	1	289.9763	0	322.8067	
0.055	0	0	597.2007	1	289.6759	0	322.9755	
0.056	0	0	597.1507	1	289.3758	0	323.1418	
0.057	0	0	597.1007	1	289.081	0	323.3036	
0.058	0	0	597.0507	1	288.7867	0	323.4628	
0.059	0	0	597.0007	1	288.4974	0	323.6175	
0.06	0	0	596.9507	1	288.2089	0	323.7697	
0.061	0	0	596.9008	1	287.9255	0	323.9175	
0.062	0	0	596.8508	1	287.6427	0	324.0628	
0.063	0	0	596.8008	1	287.3651	0	324.2039	
0.064	0	0	596.7508	1	287.0881	0	324.3424	
0.06500001	0	0	596.7008	1	286.8162	0	324.477	
0.066	0	0	596.6508	1	286.545	0	324.6088	
0.067	0	0	596.6008	1	286.2788	0	324.7368	
0.068	0	0	596.5508	1	286.0136	0	324.8622	
0.06900001	0	0	596.5009	1	285.7531	0	324.9838	
0.07	0	0	596.4509	1	285.4937	0	325.1027	
0.071	0	0	596.4009	1	285.2391	0	325.218	
0.072	0	0	596.3509	1	284.9856	0	325.3307	
0.07300001	0	0	596.3009	1	284.7366	0	325.4399	
0.074	0	0	596.2509	1	284.4889	0	325.5463	
0.075	0	0	596.2009	1	284.2458	0	325.6495	
0.07600001	0	0	596.1509	1	284.004	0	325.7498	
0.07700001	0	0	596.101	1	283.7667	0	325.8469	
0.078	0	0	596.051	1	283.5307	0	325.9413	
0.079	0	0	596.001	1	283.2992	0	326.0326	
0.08000001	0	0	595.951	1	283.0691	0	326.1209	
0.081	0	0	595.901	1	282.8433	0	326.2063	
0.082	0	0	595.851	1	282.619	0	326.2889	
0.083	0	0	595.801	1	282.399	0	326.3687	
0.08400001	0	0	595.751	1	282.1806	0	326.4454	
0.085	0	0	595.701	1	281.9664	0	326.5195	
0.086	0	0	595.6511	1	281.7538	0	326.5906	
0.087	0	0	595.6011	1	281.5454	0	326.6591	
0.08800001	0	0	595.5511	1	281.3386	0	326.7247	
0.089	0	0	595.5011	1	281.136	0	326.7877	
0.09	0	0	595.4511	1	280.935	0	326.8476	
0.09100001	0	0	595.4011	1	280.7381	0	326.9052	
0.09200001	0	0	595.3511	1	280.543	0	326.9597	
0.093	0	0	595.3011	1	280.3518	0	327.0119	
0.094	0	0	595.2512	1	280.1625	0	327.0611	
0.09500001	0	0	595.2012	1	279.977	0	327.1079	
0.096	0	0	595.1512	1	279.7935	0	327.1517	
0.097	0	0	595.1012	1	279.6136	0	327.1933	
0.098	0	0	595.0512	1	279.4359	0	327.2318	
0.09900001	0	0	595.0012	1	279.2618	0	327.2681	
0.1	0	0	594.9512	1	279.0898	0	327.3014	
0.101	0	0	594.9012	1	278.9214	0	327.3326	
0.102	0	0	594.8513	1	278.7551	0	327.3607	
0.103	0	0	594.8013	1	278.5924	0	327.3869	
0.104	0	0	594.7513	1	278.4319	0	327.4099	
0.105	0	0	594.7013	1	278.2747	0	327.431	
0.106	0	0	594.6513	1	278.1198	0	327.4489	
0.107	0	0	594.6013	1	277.9684	0	327.465	
0.108	0	0	594.5513	1	277.8192	0	327.4779	
0.109	0	0	594.5013	1	277.6733	0	327.489	
0.11	0	0	594.4514	1	277.5297	0	327.4969	
0.111	0	0	594.4014	1	277.3895	0	327.5032	
0.112	0	0	594.3514	1	277.2515	0	327.5061	
0.113	0	0	594.3014	1	277.1168	0	327.5075	
0.114	0	0	594.2514	1	276.9845	0	327.5056	
0.115	0	0	594.2014	1	276.8553	0	327.5022	
0.116	0	0	594.1514	1	276.7285	0	327.4954	
0.117	0	0	594.1014	1	276.6049	0	327.4872	
0.118	0	0	594.0515	1	276.4837	0	327.4756	
0.119	0	0	594.0015	1	276.3655	0	327.4626	
0.12	0	0	593.9515	1	276.2498	0	327.4463	
0.121	0	0	593.9015	1	276.1372	0	327.4286	
0.122	0	0	593.8515	1	276.027	0	327.4077	
0.123	0	0	593.8015	1	275.9198	0	327.3853	
0.124	0	0	593.7515	1	275.8151	0	327.3595	
0.125	0	0	593.7015	1	275.7132	0	327.3325	
0.126	0	0	593.6516	1	275.614	0	327.3022	
0.127	0	0	593.6016	1	275.5175	0	327.2706	
0.128	0	0	593.5516	1	275.4237	0	327.2356	
0.129	0	0	593.5016	1	275.3326	0	327.1995	
0.13	0	0	593.4516	1	275.2442	0	327.1599	
0.131	0	0	593.4016	1	275.1584	0	327.1191	
0.132	0	0	593.3516	1	275.0753	0	327.0751	
0.133	0	0	593.3016	1	274.9949	0	327.0299	
0.134	0	0	593.2516	1	274.9171	0	326.9814	
0.135	0	0	593.2017	1	274.8419	0	326.9318	
0.136	0	0	593.1517	1	274.7695	0	326.8787	
0.137	0	0	593.1017	1	274.6996	0	326.8246	
0.138	0	0	593.0517	1	274.6323	0	326.7672	
0.139	0	0	593.0017	1	274.5675	0	326.7087	
0.14	0	0	592.9517	1	274.5056	0	326.6468	
0.141	0	0	592.9017	1	274.446	0	326.584	
0.142	0	0	592.8517	1	274.3893	0	326.5177	
0.143	0	0	592.8018	1	274.3348	0	326.4507	
0.144	0	0	592.7518	1	274.2833	0	326.3801	
0.145	0	0	592.7018	1	274.2339	0	326.3087	
0.146	0	0	592.6518	1	274.1874	0	326.2338	
0.147	0	0	592.6018	1	274.1432	0	326.1581	
0.148	0	0	592.5518	1	274.1018	0	326.079	
0.149	0	0	592.5018	1	274.0625	0	325.9991	
0.15	0	0	592.4518	1	274.0262	0	325.9158	
0.151	0	0	592.4019	1	273.9921	0	325.8317	
0.152	0	0	592.3519	1	273.9607	0	325.7441	
0.153	0	0	592.3019	1	273.9315	0	325.6559	
0.154	0	0	592.2519	1	273.9051	0	325.5641	
0.155	0	0	592.2019	1	273.8809	0	325.4719	
0.156	0	0	592.1519	1	273.8594	0	325.376	
0.157	0	0	592.1019	1	273.84	0	325.2795	
0.158	0	0	592.0519	1	273.8235	0	325.1797	
0.159	0	0	592.002	1	273.809	0	325.0791	
0.16	0	0	591.952	1	273.7973	0	324.9753	
0.161	0	0	591.902	1	273.7876	0	324.8707	
0.162	0	0	591.852	1	273.7807	0	324.7627	
0.163	0	0	591.802	1	273.7758	0	324.6542	
0.164	0	0	591.752	1	273.7737	0	324.5423	
0.165	0	0	591.702	1	273.7735	0	324.4298	
0.166	0	0	591.652	1	273.7762	0	324.314	
0.167	0	0	591.6021	1	273.7806	0	324.1976	
0.168	0	0	591.5521	1	273.7881	0	324.0778	
0.169	0	0	591.5021	1	273.7972	0	323.9576	
0.17	0	0	591.4521	1	273.8091	0	323.8339	
0.171	0	0	591.4021	1	273.8229	0	323.7099	
0.172	0	0	591.3521	1	273.8395	0	323.5824	
0.173	0	0	591.3021	1	273.8578	0	323.4545	
0.174	0	0	591.2521	1	273.879	0	323.3233	
0.175	0	0	591.2021	1	273.9019	0	323.1917	
0.176	0	0	591.1522	1	273.9275	0	323.0568	
0.177	0	0	591.1022	1	273.9548	0	322.9214	
0.178	0	0	591.0522	1	273.985	0	322.7826	
0.179	0	0	591.0022	1	274.0168	0	322.6437	
0.18	0	0	590.9522	1	274.0513	0	322.5013	
0.181	0	0	590.9022	1	274.0875	0	322.3586	
0.182	0	0	590.8522	1	274.1265	0	322.2127	
0.183	0	0	590.8022	1	274.1669	0	322.0664	
0.184	0	0	590.7523	1	274.2102	0	321.9169	
0.185	0	0	590.7023	1	274.255	0	321.7671	
0.186	0	0	590.6523	1	274.3025	0	321.6141	
0.187	0	0	590.6023	1	274.3516	0	321.4607	
0.188	0	0	590.5523	1	274.4033	0	321.3042	
0.189	0	0	590.5023	1	274.4566	0	321.1475	
0.19	0	0	590.4523	1	274.5125	0	320.9875	
0.191	0	0	590.4023	1	274.5699	0	320.8273	
0.192	0	0	590.3524	1	274.6299	0	320.6639	
0.193	0	0	590.3024	1	274.6914	0	320.5003	
0.194	0	0	590.2524	1	274.7555	0	320.3337	
0.195	0	0	590.2024	1	274.821	0	320.1668	
0.196	0	0	590.1524	1	274.8892	0	319.9968	
0.197	0	0	590.1024	1	274.9587	0	319.8266	
0.198	0	0	590.0524	1	275.0308	0	319.6534	
0.199	0	0	590.0024	1	275.1043	0	319.48	
0.2	0	0	589.9525	1	275.1803	0	319.3036	
0.201	0	0	589.9025	1	275.2576	0	319.127	
0.202	0	0	589.8525	1	275.3376	0	318.9475	
0.203	0	0	589.8025	1	275.4187	0	318.7677	
0.204	0	0	589.7525	1	275.5024	0	318.5851	
0.205	0	0	589.7025	1	275.5873	0	318.4024	
0.206	0	0	589.6525	1	275.6748	0	318.2166	
0.207	0	0	589.6025	1	275.7635	0	318.0308	
0.208	0	0	589.5526	1	275.8546	0	317.8422	
0.209	0	0	589.5026	1	275.9469	0	317.6534	
0.21	0	0	589.4526	1	276.0416	0	317.4618	
0.211	0	0	589.4026	1	276.1375	0	317.2701	
0.212	0	0	589.3526	1	276.2359	0	317.0757	
0.213	0	0	589.3026	1	276.3354	0	316.8811	
0.214	0	0	589.2526	1	276.4372	0	316.6838	
0.215	0	0	589.2026	1	276.5401	0	316.4864	
0.216	0	0	589.1526	1	276.6454	0	316.2864	
0.217	0	0	589.1027	1	276.7518	0	316.0864	
0.218	0	0	589.0527	1	276.8605	0	315.8837	
0.219	0	0	589.0027	1	276.9702	0	315.6808	
0.22	0	0	588.9527	1	277.0822	0	315.4755	
0.221	0	0	588.9027	1	277.1953	0	315.2701	
0.222	0	0	588.8527	1	277.3105	0	315.0622	
0.223	0	0	588.8027	1	277.4268	0	314.8541	
0.224	0	0	588.7527	1	277.5453	0	314.6438	
0.225	0	0	588.7028	1	277.6647	0	314.4332	
0.226	0	0	588.6528	1	277.7864	0	314.2203	
0.227	0	0	588.6028	1	277.9089	0	314.0073	
0.228	0	0	588.5528	1	278.0334	0	313.7921	
0.229	0	0	588.5028	1	278.1587	0	313.5768	
0.23	0	0	588.4528	1	278.286	0	313.3593	
0.231	0	0	588.4028	1	278.4139	0	313.1417	
0.232	0	0	588.3528	1	278.5438	0	312.9219	
0.233	0	0	588.3029	1	278.674	0	312.7022	
0.234	0	0	588.2529	1	278.8063	0	312.4803	
0.235	0	0	588.2029	1	278.9388	0	312.2585	
0.236	0	0	588.1529	1	279.0732	0	312.0345	
0.237	0	0	588.1029	1	279.2077	0	311.8107	
0.238	0	0	588.0529	1	279.344	0	311.5848	
0.239	0	0	588.0029	1	279.4803	0	311.3589	
0.24	0	0	587.9529	1	279.6184	0	311.1312	
0.241	0	0	587.903	1	279.7563	0	310.9034	
0.242	0	0	587.853	1	279.8961	0	310.674	
0.243	0	0	587.803	1	280.0355	0	310.4444	
0.244	0	0	587.753	1	280.1765	0	310.2132	
0.245	0	0	587.703	1	280.3173	0	309.982	
0.246	0	0	587.653	1	280.4596	0	309.7491	
0.247	0	0	587.603	1	280.6014	0	309.5163	
0.248	0	0	587.553	1	280.7447	0	309.2818	
0.249	0	0	587.5031	1	280.8874	0	309.0475	
0.25	0	0	587.4531	1	281.0316	0	308.8116	
0.251	0	0	587.4031	1	281.1751	0	308.5758	
0.252	0	0	587.3531	1	281.3199	0	308.3385	
0.253	0	0	587.3031	1	281.464	0	308.1013	
0.254	0	0	587.2531	1	281.6093	0	307.8626	
0.255	0	0	587.2031	1	281.7537	0	307.6241	
0.256	0	0	587.1531	1	281.8994	0	307.3842	
0.257	0	0	587.1031	1	282.0441	0	307.1445	
0.258	0	0	587.0532	1	282.19	0	306.9034	
0.259	0	0	587.0032	1	282.3346	0	306.6627	
0.26	0	0	586.9532	1	282.4805	0	306.4205	
0.261	0	0	586.9032	1	282.6251	0	306.1787	
0.262	0	0	586.8532	1	282.7708	0	305.9356	
0.263	0	0	586.8032	1	282.9151	0	305.6926	
0.264	0	0	586.7532	1	283.0604	0	305.4486	
0.265	0	0	586.7032	1	283.2044	0	305.2048	
0.266	0	0	586.6533	1	283.3493	0	304.9599	
0.267	0	0	586.6033	1	283.4929	0	304.7152	
0.268	0	0	586.5533	1	283.6375	0	304.4695	
0.269	0	0	586.5033	1	283.7806	0	304.2241	
0.27	0	0	586.4533	1	283.9247	0	303.9777	
0.271	0	0	586.4033	1	284.0674	0	303.7315	
0.272	0	0	586.3533	1	284.2109	0	303.4844	
0.273	0	0	586.3033	1	284.3532	0	303.2376	
0.274	0	0	586.2534	1	284.4961	0	302.9899	
0.275	0	0	586.2034	1	284.6378	0	302.7425	
0.276	0	0	586.1534	1	284.7801	0	302.4943	
0.277	0	0	586.1034	1	284.9211	0	302.2463	
0.278	0	0	586.0534	1	285.0628	0	301.9977	
0.279	0	0	586.0034	1	285.2032	0	301.7492	
0.28	0	0	585.9534	1	285.3441	0	301.5003	
0.281	0	0	585.9034	1	285.4839	0	301.2514	
0.282	0	0	585.8535	1	285.624	0	301.0021	
0.283	0	0	585.8035	1	285.763	0	300.7529	
0.284	0	0	585.7535	1	285.9023	0	300.5033	
0.285	0	0	585.7035	1	286.0406	0	300.2538	
0.286	0	0	585.6535	1	286.1791	0	300.0041	
0.287	0	0	585.6035	1	286.3164	0	299.7545	
0.288	0	0	585.5535	1	286.4539	0	299.5045	
0.289	0	0	585.5035	1	286.5904	0	299.2548	
0.29	0	0	585.4536	1	286.7269	0	299.0047	
0.291	0	0	585.4036	1	286.8625	0	298.755	
0.292	0	0	585.3536	1	286.998	0	298.505	
0.293	0	0	585.3036	1	287.1324	0	298.2552	
0.294	0	0	585.2536	1	287.2669	0	298.0053	
0.295	0	0	585.2036	1	287.4004	0	297.7556	
0.296	0	0	585.1536	1	287.5338	0	297.5058	
0.297	0	0	585.1036	1	287.666	0	297.2562	
0.298	0	0	585.0536	1	287.7982	0	297.0066	
0.299	0	0	585.0037	1	287.9293	0	296.7572	
0.3	0	0	584.9537	1	288.0602	0	296.5079	
0.301	0	0	584.9037	1	288.1901	0	296.2588	
0.302	0	0	584.8537	1	288.3198	0	296.0099	
0.303	0	0	584.8037	1	288.4484	0	295.7611	
0.304	0	0	584.7537	1	288.5767	0	295.5125	
0.305	0	0	584.7037	1	288.704	0	295.264	
0.306	0	0	584.6537	1	288.8309	0	295.016	
0.307	0	0	584.6038	1	288.9568	0	294.7681	
0.308	0	0	584.5538	1	289.0822	0	294.5206	
0.309	0	0	584.5038	1	289.2067	0	294.2732	
0.31	0	0	584.4538	1	289.3306	0	294.0262	
0.311	0	0	584.4038	1	289.4536	0	293.7794	
0.312	0	0	584.3538	1	289.5759	0	293.5331	
0.313	0	0	584.3038	1	289.6973	0	293.2869	
