Time	X1	X2
0	-1	0
0.01	-0.9703	0.049979
0.02	-0.94119	0.099833
0.03	-0.91267	0.14944
0.04	-0.88474	0.19867
0.05	-0.85737	0.2474
0.06	-0.83058	0.29552
0.07	-0.80436	0.3429
0.08	-0.77869	0.38942
0.09	-0.75357	0.43497
0.1	-0.729	0.47943
0.11	-0.70497	0.52269
0.12	-0.68147	0.56464
0.13	-0.6585	0.60519
0.14	-0.63606	0.64422
0.15	-0.61412	0.68164
0.16	-0.5927	0.71736
0.17	-0.57179	0.75128
0.18	-0.55137	0.78333
0.19	-0.53144	0.81342
0.2	-0.512	0.84147
0.21	-0.49304	0.86742
0.22	-0.47455	0.89121
0.23	-0.45653	0.91276
0.24	-0.43898	0.93204
0.25	-0.42188	0.94898
0.26	-0.40522	0.96356
0.27	-0.38902	0.97572
0.28	-0.37325	0.98545
0.29	-0.35791	0.99271
0.3	-0.343	0.99749
0.31	-0.32851	0.99978
0.32	-0.31443	0.99957
0.33	-0.30076	0.99687
0.34	-0.2875	0.99166
0.35	-0.27462	0.98399
0.36	-0.26214	0.97385
0.37	-0.25005	0.96128
0.38	-0.23833	0.9463
0.39	-0.22698	0.92896
0.4	-0.216	0.9093
0.41	-0.20538	0.88736
0.42	-0.19511	0.86321
0.43	-0.18519	0.8369
0.44	-0.17562	0.8085
0.45	-0.16638	0.77807
0.46	-0.15746	0.74571
0.47	-0.14888	0.71147
0.48	-0.14061	0.67546
0.49	-0.13265	0.63776
0.5	-0.125	0.59847
0.51	-0.11765	0.55768
0.52	-0.11059	0.5155
0.53	-0.10382	0.47203
0.54	-0.097336	0.42738
0.55	-0.091125	0.38166
0.56	-0.085184	0.33499
0.57	-0.079507	0.28748
0.58	-0.074088	0.23925
0.59	-0.068921	0.19042
0.6	-0.064	0.14112
0.61	-0.059319	0.091465
0.62	-0.054872	0.041581
0.63	-0.050653	-0.0084072
0.64	-0.046656	-0.058374
0.65	-0.042875	-0.1082
0.66	-0.039304	-0.15775
0.67	-0.035937	-0.2069
0.68	-0.032768	-0.25554
0.69	-0.029791	-0.30354
0.7	-0.027	-0.35078
0.71	-0.024389	-0.39715
0.72	-0.021952	-0.44252
0.73	-0.019683	-0.48679
0.74	-0.017576	-0.52984
0.75	-0.015625	-0.57156
0.76	-0.013824	-0.61186
0.77	-0.012167	-0.65063
0.78	-0.010648	-0.68777
0.79	-0.009261	-0.72319
0.8	-0.008	-0.7568
0.81	-0.006859	-0.78853
0.82	-0.005832	-0.81828
0.83	-0.004913	-0.84598
0.84	-0.004096	-0.87158
0.85	-0.003375	-0.89499
0.86	-0.002744	-0.91617
0.87	-0.002197	-0.93505
0.88	-0.001728	-0.9516
0.89	-0.001331	-0.96577
0.9	-0.001	-0.97753
0.91	-0.000729	-0.98684
0.92	-0.000512	-0.99369
0.93	-0.000343	-0.99805
0.94	-0.000216	-0.99992
0.95	-0.000125	-0.99929
0.96	-6.40E-05	-0.99616
0.97	-2.70E-05	-0.99055
0.98	-8.00E-06	-0.98245
0.99	-1.00E-06	-0.9719
1	0	-0.95892
1.01	1.00E-06	-0.94355
1.02	8.00E-06	-0.92581
1.03	2.70E-05	-0.90577
1.04	6.40E-05	-0.88345
1.05	0.000125	-0.85893
1.06	0.000216	-0.83227
1.07	0.000343	-0.80352
1.08	0.000512	-0.77276
1.09	0.000729	-0.74008
1.1	0.001	-0.70554
1.11	0.001331	-0.66924
1.12	0.001728	-0.63127
1.13	0.002197	-0.59172
1.14	0.002744	-0.55069
1.15	0.003375	-0.50828
1.16	0.004096	-0.4646
1.17	0.004913	-0.41976
1.18	0.005832	-0.37388
1.19	0.006859	-0.32705
1.2	0.008	-0.27942
1.21	0.009261	-0.23108
1.22	0.010648	-0.18216
1.23	0.012167	-0.13279
1.24	0.013824	-0.083089
