Time	BodyX	BodyY	BodyZ	
0	0	-0.25	0	
0.0001	1.301973E-08	-0.2500001	1.301973E-08	
0.0002	3.878259E-08	-0.2500003	3.878259E-08	
0.0003	7.704465E-08	-0.2500006	7.704465E-08	
0.0004	1.275908E-07	-0.2500009	1.275908E-07	
0.0005	1.902312E-07	-0.2500014	1.902312E-07	
0.0006	2.647986E-07	-0.2500019	2.647986E-07	
0.0007	3.511454E-07	-0.2500026	3.511455E-07	
0.0008	4.491416E-07	-0.2500032	4.491417E-07	
0.0009	5.586724E-07	-0.250004	5.586726E-07	
0.0009999999	6.796367E-07	-0.2500049	6.796369E-07	
0.0011	8.119452E-07	-0.2500058	8.119456E-07	
0.0012	9.555195E-07	-0.2500068	9.5552E-07	
0.0013	1.11029E-06	-0.2500079	1.110291E-06	
0.0014	1.276196E-06	-0.250009	1.276197E-06	
0.0015	1.453183E-06	-0.2500102	1.453185E-06	
0.0016	1.641204E-06	-0.2500114	1.641207E-06	
0.0017	1.840218E-06	-0.2500128	1.840222E-06	
0.0018	2.050186E-06	-0.2500142	2.050192E-06	
0.0019	2.271078E-06	-0.2500156	2.271086E-06	
0.002	2.502864E-06	-0.2500171	2.502874E-06	
0.0021	2.745519E-06	-0.2500186	2.745532E-06	
0.0022	2.999021E-06	-0.2500202	2.999037E-06	
0.0023	3.26335E-06	-0.2500219	3.26337E-06	
0.0024	3.53849E-06	-0.2500236	3.538515E-06	
0.0025	3.824425E-06	-0.2500253	3.824456E-06	
0.0026	4.121142E-06	-0.2500271	4.121179E-06	
0.0027	4.428628E-06	-0.2500289	4.428673E-06	
0.0028	4.746875E-06	-0.2500308	4.746929E-06	
0.0029	5.075873E-06	-0.2500328	5.075937E-06	
0.003	5.415613E-06	-0.2500347	5.415689E-06	
0.0031	5.76609E-06	-0.2500367	5.76618E-06	
0.0032	6.127296E-06	-0.2500387	6.1274E-06	
0.0033	6.499227E-06	-0.2500408	6.499348E-06	
0.0034	6.881878E-06	-0.2500429	6.882018E-06	
0.0035	7.275244E-06	-0.2500451	7.275406E-06	
0.0036	7.679322E-06	-0.2500473	7.679507E-06	
0.0037	8.094109E-06	-0.2500495	8.09432E-06	
0.0038	8.519602E-06	-0.2500517	8.519843E-06	
0.0039	8.955799E-06	-0.250054	8.956071E-06	
0.004	9.402696E-06	-0.2500564	9.403004E-06	
0.0041	9.860293E-06	-0.2500587	9.860641E-06	
0.0042	1.032859E-05	-0.250061	1.032898E-05	
0.0043	1.080758E-05	-0.2500634	1.080802E-05	
0.0044	1.129727E-05	-0.2500658	1.129776E-05	
0.0045	1.179765E-05	-0.2500683	1.179819E-05	
0.0046	1.230872E-05	-0.2500707	1.230933E-05	
0.0047	1.283049E-05	-0.2500732	1.283116E-05	
0.0048	1.336295E-05	-0.2500757	1.336369E-05	
0.0049	1.390609E-05	-0.2500782	1.390691E-05	
0.005	1.445993E-05	-0.2500808	1.446083E-05	
0.0051	1.502446E-05	-0.2500833	1.502545E-05	
0.0052	1.559968E-05	-0.2500859	1.560076E-05	
0.0053	1.618559E-05	-0.2500885	1.618677E-05	
0.0054	1.678218E-05	-0.2500911	1.678348E-05	
0.0055	1.738947E-05	-0.2500938	1.739088E-05	
0.0056	1.800744E-05	-0.2500964	1.800897E-05	
0.0057	1.86361E-05	-0.250099	1.863777E-05	
0.0058	1.927545E-05	-0.2501017	1.927725E-05	
0.0059	1.992548E-05	-0.2501044	1.992744E-05	
0.006	2.05862E-05	-0.2501071	2.058832E-05	
0.0061	2.125761E-05	-0.2501098	2.12599E-05	
0.0062	2.19397E-05	-0.2501125	2.194217E-05	
0.0063	2.263249E-05	-0.2501152	2.263515E-05	
0.0064	2.333596E-05	-0.250118	2.333882E-05	
0.0065	2.405011E-05	-0.2501207	2.405318E-05	
0.0066	2.477495E-05	-0.2501235	2.477825E-05	
0.0067	2.551048E-05	-0.2501263	2.551401E-05	
0.0068	2.625669E-05	-0.250129	2.626047E-05	
0.0069	2.701358E-05	-0.2501318	2.701763E-05	
0.007	2.778117E-05	-0.2501346	2.778549E-05	
0.0071	2.855943E-05	-0.2501374	2.856405E-05	
0.0072	2.934838E-05	-0.2501402	2.93533E-05	
0.0073	3.014802E-05	-0.250143	3.015326E-05	
0.0074	3.095834E-05	-0.2501458	3.096391E-05	
0.0075	3.177935E-05	-0.2501486	3.178526E-05	
0.0076	3.261103E-05	-0.2501514	3.261732E-05	
0.0077	3.345341E-05	-0.2501542	3.346008E-05	
0.0078	3.430646E-05	-0.250157	3.431353E-05	
0.0079	3.51702E-05	-0.2501598	3.517769E-05	
0.007999999	3.604461E-05	-0.2501626	3.605255E-05	
0.0081	3.692972E-05	-0.2501654	3.693811E-05	
0.0082	3.78255E-05	-0.2501683	3.783437E-05	
0.0083	3.873197E-05	-0.2501711	3.874133E-05	
0.0084	3.964911E-05	-0.2501739	3.9659E-05	
0.0085	4.057694E-05	-0.2501767	4.058737E-05	
0.008599999	4.151545E-05	-0.2501795	4.152644E-05	
0.0087	4.246464E-05	-0.2501823	4.247621E-05	
0.0088	4.34245E-05	-0.2501851	4.343669E-05	
0.0089	4.439505E-05	-0.250188	4.440787E-05	
0.009	4.537628E-05	-0.2501908	4.538976E-05	
0.009099999	4.636819E-05	-0.2501936	4.638235E-05	
0.0092	4.737077E-05	-0.2501964	4.738564E-05	
0.0093	4.838403E-05	-0.2501992	4.839964E-05	
0.0094	4.940797E-05	-0.250202	4.942434E-05	
0.0095	5.044258E-05	-0.2502048	5.045974E-05	
0.0096	5.148788E-05	-0.2502075	5.150585E-05	
0.009699999	5.254385E-05	-0.2502103	5.256266E-05	
0.0098	5.361049E-05	-0.2502131	5.363019E-05	
0.0099	5.468781E-05	-0.2502159	5.470842E-05	
0.01	5.57758E-05	-0.2502187	5.579735E-05	
0.0101	5.687447E-05	-0.2502214	5.689698E-05	
0.0102	5.798381E-05	-0.2502242	5.800732E-05	
0.0103	5.910382E-05	-0.2502269	5.912837E-05	
0.0104	6.02345E-05	-0.2502297	6.026013E-05	
0.0105	6.137585E-05	-0.2502324	6.140258E-05	
0.0106	6.252788E-05	-0.2502352	6.255576E-05	
0.0107	6.369058E-05	-0.2502379	6.371963E-05	
0.0108	6.486394E-05	-0.2502406	6.489422E-05	
0.0109	6.604798E-05	-0.2502433	6.60795E-05	
0.011	6.724268E-05	-0.250246	6.72755E-05	
0.0111	6.844805E-05	-0.2502488	6.848221E-05	
0.0112	6.966409E-05	-0.2502514	6.969962E-05	
0.0113	7.089079E-05	-0.2502541	7.092774E-05	
0.0114	7.212816E-05	-0.2502568	7.216656E-05	
0.0115	7.33762E-05	-0.2502595	7.341609E-05	
0.0116	7.46349E-05	-0.2502621	7.467634E-05	
0.0117	7.590427E-05	-0.2502648	7.594729E-05	
0.0118	7.718429E-05	-0.2502674	7.722895E-05	
0.0119	7.847498E-05	-0.2502701	7.852131E-05	
0.012	7.977633E-05	-0.2502727	7.982439E-05	
0.0121	8.108834E-05	-0.2502753	8.113818E-05	
0.0122	8.241101E-05	-0.250278	8.246267E-05	
0.0123	8.374434E-05	-0.2502806	8.379787E-05	
0.0124	8.508832E-05	-0.2502832	8.514378E-05	
0.0125	8.644297E-05	-0.2502857	8.65004E-05	
0.0126	8.780826E-05	-0.2502883	8.786772E-05	
0.0127	8.918423E-05	-0.2502909	8.924576E-05	
0.0128	9.057084E-05	-0.2502935	9.063451E-05	
0.0129	9.19681E-05	-0.250296	9.203397E-05	
0.013	9.337602E-05	-0.2502986	9.344413E-05	
0.0131	9.47946E-05	-0.2503011	9.4865E-05	
0.0132	9.622382E-05	-0.2503036	9.629659E-05	
0.0133	9.766369E-05	-0.2503061	9.773888E-05	
0.0134	9.911422E-05	-0.2503086	9.919189E-05	
0.0135	0.0001005754	-0.2503111	0.0001006556	
0.0136	0.0001020472	-0.2503136	0.00010213	
0.0137	0.0001035297	-0.2503161	0.0001036152	
0.0138	0.0001050228	-0.2503185	0.000105111	
0.0139	0.0001065265	-0.250321	0.0001066176	
0.014	0.0001080409	-0.2503234	0.0001081348	
0.0141	0.000109566	-0.2503259	0.0001096628	
0.0142	0.0001111017	-0.2503283	0.0001112015	
0.0143	0.000112648	-0.2503307	0.0001127509	
0.0144	0.000114205	-0.2503331	0.000114311	
0.0145	0.0001157726	-0.2503355	0.0001158818	
0.0146	0.0001173508	-0.2503379	0.0001174633	
0.0147	0.0001189397	-0.2503402	0.0001190556	
0.0148	0.0001205392	-0.2503426	0.0001206585	
0.0149	0.0001221494	-0.250345	0.0001222722	
0.015	0.0001237702	-0.2503473	0.0001238965	
0.0151	0.0001254016	-0.2503496	0.0001255316	
0.0152	0.0001270436	-0.2503519	0.0001271774	
0.0153	0.0001286963	-0.2503543	0.0001288339	
0.0154	0.0001303596	-0.2503565	0.0001305011	
0.0155	0.0001320336	-0.2503588	0.000132179	
0.0156	0.0001337181	-0.2503611	0.0001338676	
0.0157	0.0001354133	-0.2503633	0.000135567	
0.0158	0.0001371191	-0.2503656	0.000137277	
0.0159	0.0001388356	-0.2503679	0.0001389978	
0.016	0.0001405627	-0.2503701	0.0001407292	
0.0161	0.0001423003	-0.2503723	0.0001424714	
0.0162	0.0001440486	-0.2503745	0.0001442243	
0.0163	0.0001458076	-0.2503767	0.0001459879	
0.0164	0.0001475771	-0.2503789	0.0001477622	
0.0165	0.0001493573	-0.2503811	0.0001495472	
0.0166	0.0001511481	-0.2503832	0.000151343	
0.0167	0.0001529494	-0.2503854	0.0001531494	
0.0168	0.0001547614	-0.2503875	0.0001549666	
0.0169	0.0001565841	-0.2503897	0.0001567944	
0.017	0.0001584173	-0.2503918	0.000158633	
0.0171	0.0001602611	-0.2503939	0.0001604823	
0.0172	0.0001621155	-0.250396	0.0001623423	
0.0173	0.0001639806	-0.2503981	0.000164213	
0.0174	0.0001658562	-0.2504002	0.0001660945	
0.0175	0.0001677425	-0.2504022	0.0001679866	
0.0176	0.0001696393	-0.2504043	0.0001698894	
0.0177	0.0001715468	-0.2504064	0.000171803	
0.0178	0.0001734649	-0.2504084	0.0001737273	
0.0179	0.0001753935	-0.2504104	0.0001756622	
0.018	0.0001773328	-0.2504124	0.0001776079	
0.0181	0.0001792827	-0.2504144	0.0001795643	
0.0182	0.0001812431	-0.2504164	0.0001815314	
0.0183	0.0001832141	-0.2504184	0.0001835092	
0.0184	0.0001851958	-0.2504204	0.0001854977	
0.0185	0.000187188	-0.2504223	0.000187497	
0.0186	0.0001891908	-0.2504243	0.0001895069	
0.0187	0.0001912042	-0.2504262	0.0001915276	
0.0188	0.0001932282	-0.2504282	0.000193559	
0.0189	0.0001952628	-0.2504301	0.000195601	
0.019	0.0001973079	-0.250432	0.0001976538	
0.0191	0.0001993636	-0.2504339	0.0001997173	
0.0192	0.0002014299	-0.2504358	0.0002017915	
0.0193	0.0002035068	-0.2504377	0.0002038764	
0.0194	0.0002055943	-0.2504395	0.000205972	
0.0195	0.0002076923	-0.2504414	0.0002080783	
0.0196	0.000209801	-0.2504432	0.0002101954	
0.0197	0.0002119202	-0.2504451	0.0002123231	
0.0198	0.0002140499	-0.2504469	0.0002144616	
0.0199	0.0002161903	-0.2504487	0.0002166107	
0.02	0.0002183412	-0.2504505	0.0002187706	
0.0201	0.0002205026	-0.2504523	0.0002209412	
0.0202	0.0002226747	-0.2504541	0.0002231225	
0.0203	0.0002248573	-0.2504559	0.0002253145	
0.0204	0.0002270504	-0.2504576	0.0002275172	
0.0205	0.0002292541	-0.2504594	0.0002297306	
0.0206	0.0002314684	-0.2504611	0.0002319548	
0.0207	0.0002336932	-0.2504629	0.0002341896	
0.0208	0.0002359286	-0.2504646	0.0002364352	
0.0209	0.0002381746	-0.2504663	0.0002386915	
0.021	0.0002404311	-0.250468	0.0002409584	
0.0211	0.0002426981	-0.2504697	0.0002432361	
0.0212	0.0002449757	-0.2504714	0.0002455245	
0.0213	0.0002472639	-0.2504731	0.0002478236	
0.0214	0.0002495626	-0.2504748	0.0002501335	
0.0215	0.0002518718	-0.2504764	0.000252454	
0.0216	0.0002541915	-0.250478	0.0002547852	
0.0217	0.0002565219	-0.2504797	0.0002571271	
0.0218	0.0002588627	-0.2504813	0.0002594798	
0.0219	0.0002612141	-0.2504829	0.0002618431	
0.022	0.000263576	-0.2504845	0.0002642172	
0.0221	0.0002659485	-0.2504861	0.0002666019	
0.0222	0.0002683315	-0.2504877	0.0002689974	
0.0223	0.000270725	-0.2504893	0.0002714036	
0.0224	0.0002731291	-0.2504909	0.0002738205	
0.0225	0.0002755436	-0.2504924	0.0002762481	
0.0226	0.0002779687	-0.250494	0.0002786864	
0.0227	0.0002804043	-0.2504955	0.0002811354	
0.0228	0.0002828505	-0.250497	0.0002835951	
0.0229	0.0002853071	-0.2504986	0.0002860656	
0.023	0.0002877743	-0.2505001	0.0002885467	
0.0231	0.000290252	-0.2505016	0.0002910385	
0.0232	0.0002927402	-0.2505031	0.0002935411	
0.0233	0.0002952389	-0.2505046	0.0002960544	
0.0234	0.0002977482	-0.250506	0.0002985783	
0.0235	0.0003002679	-0.2505075	0.000301113	
0.0236	0.0003027982	-0.250509	0.0003036584	
0.0237	0.0003053389	-0.2505104	0.0003062144	
0.0238	0.0003078902	-0.2505119	0.0003087813	
0.0239	0.000310452	-0.2505133	0.0003113587	
0.024	0.0003130242	-0.2505147	0.0003139469	
0.0241	0.000315607	-0.2505161	0.0003165458	
0.0242	0.0003182002	-0.2505175	0.0003191555	
0.0243	0.000320804	-0.2505189	0.0003217758	
0.0244	0.0003234182	-0.2505203	0.0003244068	
0.0245	0.0003260429	-0.2505217	0.0003270485	
0.0246	0.0003286781	-0.2505231	0.000329701	
0.0247	0.0003313238	-0.2505245	0.0003323641	
0.0248	0.00033398	-0.2505258	0.0003350379	
0.0249	0.0003366467	-0.2505272	0.0003377225	
0.025	0.0003393238	-0.2505285	0.0003404178	
0.0251	0.0003420114	-0.2505299	0.0003431237	
0.0252	0.0003447095	-0.2505312	0.0003458404	
0.0253	0.0003474181	-0.2505325	0.0003485678	
0.0254	0.0003501371	-0.2505338	0.0003513058	
0.0255	0.0003528666	-0.2505351	0.0003540546	
0.0256	0.0003556066	-0.2505364	0.0003568141	
0.0257	0.0003583571	-0.2505376	0.0003595843	
0.0258	0.000361118	-0.2505389	0.0003623652	
0.0259	0.0003638893	-0.2505402	0.0003651568	
0.026	0.0003666712	-0.2505414	0.0003679591	
0.0261	0.0003694634	-0.2505427	0.0003707721	
0.0262	0.0003722662	-0.2505439	0.0003735957	
0.0263	0.0003750794	-0.2505451	0.0003764302	
0.0264	0.0003779031	-0.2505464	0.0003792753	
0.0265	0.0003807371	-0.2505476	0.0003821311	
0.0266	0.0003835817	-0.2505488	0.0003849976	
0.0267	0.0003864367	-0.25055	0.0003878748	
0.0268	0.0003893021	-0.2505512	0.0003907627	
0.0269	0.0003921779	-0.2505524	0.0003936613	
0.027	0.0003950642	-0.2505535	0.0003965706	
0.0271	0.000397961	-0.2505547	0.0003994906	
0.0272	0.0004008682	-0.2505559	0.0004024214	
0.0273	0.0004037858	-0.250557	0.0004053628	
0.0274	0.0004067138	-0.2505582	0.0004083149	
0.0275	0.0004096522	-0.2505593	0.0004112777	
0.0276	0.0004126011	-0.2505605	0.0004142513	
0.0277	0.0004155605	-0.2505616	0.0004172355	
0.0278	0.0004185302	-0.2505627	0.0004202304	
0.0279	0.0004215104	-0.2505638	0.0004232361	
0.028	0.0004245009	-0.2505649	0.0004262524	
0.0281	0.0004275019	-0.250566	0.0004292794	
0.0282	0.0004305133	-0.2505671	0.0004323171	
0.0283	0.0004335351	-0.2505682	0.0004353656	
0.0284	0.0004365673	-0.2505693	0.0004384247	
0.0285	0.00043961	-0.2505704	0.0004414945	
0.0286	0.000442663	-0.2505715	0.0004445751	
0.0287	0.0004457264	-0.2505725	0.0004476663	
0.0288	0.0004488002	-0.2505735	0.0004507682	
0.0289	0.0004518844	-0.2505746	0.0004538808	
0.029	0.000454979	-0.2505756	0.0004570042	
0.0291	0.000458084	-0.2505766	0.0004601382	
0.0292	0.0004611994	-0.2505777	0.0004632829	
0.0293	0.0004643252	-0.2505787	0.0004664383	
0.0294	0.0004674614	-0.2505797	0.0004696045	
0.0295	0.0004706079	-0.2505807	0.0004727813	
0.0296	0.0004737648	-0.2505817	0.0004759688	
0.0297	0.0004769321	-0.2505827	0.000479167	
0.0298	0.0004801097	-0.2505837	0.0004823759	
0.0299	0.0004832978	-0.2505847	0.0004855955	
0.03	0.0004864962	-0.2505856	0.0004888258	
0.0301	0.000489705	-0.2505866	0.0004920668	
0.0302	0.0004929241	-0.2505876	0.0004953186	
0.0303	0.0004961537	-0.2505885	0.0004985809	
0.0304	0.0004993935	-0.2505895	0.0005018541	
0.0305	0.0005026438	-0.2505904	0.0005051378	
0.0306	0.0005059044	-0.2505913	0.0005084323	
0.0307	0.0005091753	-0.2505922	0.0005117375	
0.0308	0.0005124566	-0.2505932	0.0005150533	
0.0309	0.0005157482	-0.2505941	0.0005183799	
0.031	0.0005190502	-0.250595	0.0005217172	
0.0311	0.0005223625	-0.2505959	0.0005250652	
