Time	Body_2 X	Body_2 Z	Body_2 Y	
0	0	-0.2	0	
0.001	0	-0.2	-9.793807E-06	
0.002	3.290347E-11	-0.2	-2.938129E-05	
0.003	2.087794E-10	-0.2	-5.876245E-05	
0.004	7.514451E-10	-0.2	-9.793728E-05	
0.005	2.028697E-09	-0.2	-0.0001469058	
0.006	4.577289E-09	-0.2	-0.000205668	
0.007	9.123579E-09	-0.2	-0.0002742238	
0.008	1.660059E-08	-0.2	-0.0003525733	
0.009000001	2.895024E-08	-0.2	-0.0004407165	
0.01	4.742195E-08	-0.2	-0.0005386534	
0.011	7.353084E-08	-0.2	-0.0006463839	
0.012	1.082735E-07	-0.2	-0.0007639081	
0.013	1.538443E-07	-0.2	-0.000891226	
0.014	2.126892E-07	-0.2	-0.001028338	
0.015	2.890882E-07	-0.2	-0.001175243	
0.016	3.865231E-07	-0.2	-0.001331942	
0.017	5.086534E-07	-0.2	-0.001498434	
0.018	6.60124E-07	-0.2	-0.00167472	
0.019	8.448678E-07	-0.2	-0.0018608	
0.02	1.067067E-06	-0.2	-0.002056673	
0.021	1.331949E-06	-0.2	-0.00226234	
0.022	1.644865E-06	-0.2	-0.0024778	
0.023	2.01132E-06	-0.2	-0.002703055	
0.024	2.436996E-06	-0.2	-0.002938102	
0.025	2.92777E-06	-0.2	-0.003182943	
0.026	3.48973E-06	-0.2	-0.003437578	
0.027	4.12998E-06	-0.2	-0.003702005	
0.028	4.85572E-06	-0.2	-0.003976227	
0.029	5.674283E-06	-0.2	-0.004260242	
0.03	6.59395E-06	-0.2	-0.004554049	
0.031	7.623045E-06	-0.2	-0.00485765	
0.032	8.769979E-06	-0.2	-0.005171044	
0.033	1.00425E-05	-0.2	-0.005494231	
0.034	1.14502E-05	-0.2	-0.005827211	
0.035	1.300273E-05	-0.2	-0.006169984	
0.036	1.470974E-05	-0.2	-0.00652255	
0.037	1.658104E-05	-0.2	-0.006884908	
0.038	1.862653E-05	-0.2	-0.007257059	
0.039	2.085787E-05	-0.2	-0.007639002	
0.04	2.328583E-05	-0.2	-0.008030737	
0.041	2.59213E-05	-0.2	-0.008432264	
0.042	2.877687E-05	-0.2	-0.008843583	
0.043	3.186426E-05	-0.2	-0.009264694	
0.044	3.519604E-05	-0.2	-0.009695596	
0.045	3.878483E-05	-0.2	-0.01013629	
0.046	4.264245E-05	-0.2	-0.01058677	
0.047	4.678176E-05	-0.2	-0.01104705	
0.048	5.121494E-05	-0.2	-0.01151711	
0.049	5.595678E-05	-0.2	-0.01199697	
0.05	6.102037E-05	-0.2	-0.01248661	
0.051	6.642137E-05	-0.2	-0.01298605	
0.052	7.217524E-05	-0.2	-0.01349527	
0.053	7.829734E-05	-0.2	-0.01401428	
0.054	8.480302E-05	-0.2	-0.01454308	
0.055	9.170759E-05	-0.2	-0.01508167	
0.056	9.902727E-05	-0.2	-0.01563005	
0.057	0.0001067782	-0.2	-0.01618821	
0.058	0.0001149774	-0.2	-0.01675616	
0.059	0.000123641	-0.2	-0.0173339	
0.06	0.0001327876	-0.2	-0.01792142	
0.061	0.0001424338	-0.2	-0.01851872	
0.062	0.0001525968	-0.2	-0.01912581	
0.063	0.0001632943	-0.2	-0.01974268	
0.064	0.0001745433	-0.2	-0.02036934	
0.06500001	0.000186362	-0.2	-0.02100578	
0.066	0.0001987684	-0.2	-0.021652	
0.067	0.0002117818	-0.2	-0.022308	
0.068	0.0002254203	-0.2	-0.02297377	
0.06900001	0.0002397041	-0.2	-0.02364933	
0.07	0.0002546523	-0.2	-0.02433467	
0.071	0.0002702853	-0.2	-0.02502978	
0.072	0.000286623	-0.2	-0.02573467	
0.07300001	0.0003036858	-0.2	-0.02644933	
0.074	0.0003214948	-0.2	-0.02717377	
0.075	0.0003400703	-0.2	-0.02790798	
0.07600001	0.0003594338	-0.2	-0.02865196	
0.07700001	0.0003796066	-0.2	-0.02940571	
0.078	0.0004006118	-0.2	-0.03016923	
0.079	0.0004224708	-0.2	-0.03094252	
0.08000001	0.0004452067	-0.2	-0.03172558	
0.081	0.0004688427	-0.2	-0.0325184	
0.082	0.0004934025	-0.2	-0.03332099	
0.083	0.0005189094	-0.2	-0.03413333	
0.08400001	0.0005453872	-0.2	-0.03495544	
0.085	0.0005728599	-0.2	-0.03578731	
0.086	0.0006013514	-0.2	-0.03662893	
0.087	0.0006308852	-0.2	-0.03748031	
0.08800001	0.0006614879	-0.2	-0.03834144	
0.089	0.0006931845	-0.2	-0.03921233	
0.09	0.0007260006	-0.2	-0.04009296	
0.09100001	0.0007599629	-0.2	-0.04098335	
0.09200001	0.0007950977	-0.2	-0.04188348	
0.093	0.0008314325	-0.2	-0.04279334	
0.094	0.000868994	-0.2	-0.04371296	
0.09500001	0.0009078087	-0.2	-0.04464231	
0.096	0.0009479037	-0.2	-0.0455814	
0.097	0.0009893078	-0.2	-0.04653022	
0.098	0.001032048	-0.2	-0.04748877	
0.09900001	0.001076152	-0.2	-0.04845705	
0.1	0.001121648	-0.2	-0.04943506	
0.101	0.001168564	-0.2	-0.05042279	
0.102	0.001216929	-0.2	-0.05142024	
0.103	0.001266771	-0.2	-0.05242741	
0.104	0.001318122	-0.2	-0.0534443	
0.105	0.001371009	-0.2	-0.05447089	
0.106	0.001425462	-0.2	-0.05550719	
0.107	0.001481512	-0.2	-0.0565532	
0.108	0.001539188	-0.2	-0.05760891	
0.109	0.001598521	-0.2	-0.05867432	
0.11	0.001659542	-0.2	-0.05974942	
0.111	0.001722284	-0.2	-0.06083422	
0.112	0.001786776	-0.2	-0.0619287	
0.113	0.001853053	-0.2	-0.06303286	
0.114	0.001921145	-0.2	-0.0641467	
0.115	0.001991088	-0.2	-0.06527022	
0.116	0.002062913	-0.2	-0.06640341	
0.117	0.002136654	-0.2	-0.06754626	
0.118	0.002212346	-0.2	-0.06869878	
0.119	0.002290021	-0.2	-0.06986095	
0.12	0.002369714	-0.2	-0.07103278	
0.121	0.002451457	-0.2	-0.07221425	
0.122	0.002535286	-0.2	-0.07340536	
0.123	0.002621236	-0.2	-0.07460611	
0.124	0.002709341	-0.2	-0.0758165	
0.125	0.002799636	-0.2	-0.07703651	
0.126	0.002892157	-0.2	-0.07826614	
0.127	0.002986941	-0.2	-0.0795054	
0.128	0.003084021	-0.2	-0.08075426	
0.129	0.003183435	-0.2	-0.08201272	
0.13	0.003285218	-0.2	-0.08328079	
0.131	0.003389408	-0.2	-0.08455844	
0.132	0.00349604	-0.2	-0.08584569	
0.133	0.003605152	-0.2	-0.08714251	
0.134	0.003716782	-0.2	-0.0884489	
0.135	0.00383097	-0.2	-0.08976487	
0.136	0.003947755	-0.2	-0.0910904	
0.137	0.004067173	-0.2	-0.09242547	
0.138	0.004189265	-0.2	-0.09377009	
0.139	0.004314068	-0.2	-0.09512425	
0.14	0.004441623	-0.2	-0.09648794	
0.141	0.004571968	-0.2	-0.09786116	
0.142	0.004705145	-0.2	-0.09924388	
0.143	0.004841192	-0.2	-0.1006361	
0.144	0.00498015	-0.2	-0.1020378	
0.145	0.005122059	-0.2	-0.1034491	
0.146	0.00526696	-0.2	-0.1048698	
0.147	0.005414894	-0.2	-0.1063	
0.148	0.005565902	-0.2	-0.1077396	
0.149	0.005720024	-0.2	-0.1091887	
0.15	0.005877302	-0.2	-0.1106473	
0.151	0.006037779	-0.2	-0.1121153	
0.152	0.006201498	-0.2	-0.1135927	
0.153	0.006368503	-0.2	-0.1150795	
0.154	0.006538835	-0.2	-0.1165758	
0.155	0.006712541	-0.2	-0.1180814	
0.156	0.006889661	-0.2	-0.1195964	
0.157	0.007070239	-0.2	-0.1211208	
0.158	0.007254318	-0.2	-0.1226546	
0.159	0.007441943	-0.2	-0.1241977	
