Time	Body_3X	Body_3Z	Body_3Y	Body_4X	Body_4Y	Body_4Z	
0	-2.79904	0	1.75	-4.09808	2.5	0	
0.001	-2.799043	0	1.749993	-4.098083	2.499992	0	
0.002	-2.799051	0	1.749979	-4.098093	2.499975	0	
0.003	-2.799062	0	1.749958	-4.098107	2.499949	0	
0.004	-2.799078	0	1.749932	-4.098127	2.499914	0	
0.005	-2.799097	0	1.7499	-4.098152	2.499871	0	
0.006	-2.799119	0	1.749861	-4.098183	2.499818	0	
0.007	-2.799146	0	1.749817	-4.09822	2.499756	0	
0.008	-2.799176	0	1.749767	-4.098262	2.499685	0	
0.009000001	-2.799211	0	1.749711	-4.09831	2.499604	0	
0.01	-2.799248	0	1.749649	-4.098363	2.499515	0	
0.011	-2.79929	0	1.749581	-4.098423	2.499417	0	
0.012	-2.799336	0	1.749507	-4.098487	2.499309	0	
0.013	-2.799385	0	1.749426	-4.098557	2.499192	0	
0.014	-2.799438	0	1.74934	-4.098633	2.499067	0	
0.015	-2.799495	0	1.749248	-4.098714	2.498932	0	
0.016	-2.799556	0	1.74915	-4.098801	2.498789	0	
0.017	-2.799621	0	1.749045	-4.098893	2.498636	0	
0.018	-2.799689	0	1.748935	-4.09899	2.498475	0	
0.019	-2.799761	0	1.748818	-4.099093	2.498304	0	
0.02	-2.799837	0	1.748695	-4.099202	2.498125	0	
0.021	-2.799917	0	1.748567	-4.099317	2.497936	0	
0.022	-2.800001	0	1.748432	-4.099436	2.497739	0	
0.023	-2.800088	0	1.748291	-4.099561	2.497533	0	
0.024	-2.80018	0	1.748144	-4.099692	2.497318	0	
0.025	-2.800275	0	1.747991	-4.099828	2.497093	0	
0.026	-2.800374	0	1.747831	-4.099969	2.49686	0	
0.027	-2.800477	0	1.747666	-4.100116	2.496618	0	
0.028	-2.800584	0	1.747494	-4.100269	2.496367	0	
0.029	-2.800694	0	1.747316	-4.100427	2.496107	0	
0.03	-2.800809	0	1.747133	-4.10059	2.495837	0	
0.031	-2.800927	0	1.746943	-4.100759	2.495559	0	
0.032	-2.801049	0	1.746747	-4.100934	2.495272	0	
0.033	-2.801175	0	1.746544	-4.101113	2.494977	0	
0.034	-2.801305	0	1.746336	-4.101298	2.494672	0	
0.035	-2.801438	0	1.746122	-4.101489	2.494358	0	
0.036	-2.801576	0	1.745901	-4.101685	2.494035	0	
0.037	-2.801717	0	1.745674	-4.101887	2.493703	0	
0.038	-2.801862	0	1.745442	-4.102094	2.493362	0	
0.039	-2.80201	0	1.745203	-4.102306	2.493012	0	
0.04	-2.802162	0	1.744957	-4.102524	2.492653	0	
