Time	Hinge	Fy	Tz	
0	0	0	0	
0.001	0	-0.01850927	0	
0.002	0	0.0006986856	0	
0.003	0	0.0008466244	0	
0.004	0	0.0008081198	0	
0.005	0	0.000769496	0	
0.006	0	0.0007330179	0	
0.007	0	0.0006984472	0	
0.008	0	0.000664711	0	
0.009000001	0	0.0006332397	0	
0.01	0	0.0006029606	0	
0.011	0	0.0005742311	0	
0.012	0	0.0005469322	0	
0.013	0	0.0005208254	0	
0.014	0	0.0004959106	0	
0.015	0	0.0004726648	0	
0.016	0	0.0004496574	0	
0.017	0	0.0004284382	0	
0.018	0	0.0004080534	0	
0.019	0	0.0003889799	0	
0.02	0	0.0003699064	0	
0.021	0	0.0003525019	0	
0.022	0	0.0003354549	0	
0.023	0	0.0003200769	0	
0.024	0	0.0003043413	0	
0.025	0	0.000289917	0	
0.026	0	0.0002760887	0	
0.027	0	0.0002630949	0	
0.028	0	0.0002504587	0	
0.029	0	0.0002385378	0	
0.03	0	0.0002270937	0	
0.031	0	0.0002162457	0	
0.032	0	0.0002059937	0	
0.033	0	0.0001963377	0	
0.034	0	0.0001866817	0	
0.035	0	0.0001779795	0	
0.036	0	0.0001695156	0	
0.037	0	0.0001615286	0	
0.038	0	0.0001536608	0	
0.039	0	0.000146389	0	
0.04	0	0.0001393557	0	
0.041	0	0.0001327991	0	
0.042	0	0.0001264811	0	
0.043	0	0.0001205206	0	
0.044	0	0.0001145601	0	
0.045	0	0.0001093149	0	
0.046	0	0.0001039505	0	
0.047	0	9.906292E-05	0	
0.048	0	9.441376E-05	0	
0.049	0	8.97646E-05	0	
0.05	0	8.571148E-05	0	
0.051	0	8.141994E-05	0	
0.052	0	7.760525E-05	0	
0.053	0	7.402897E-05	0	
0.054	0	7.045269E-05	0	
0.055	0	6.699562E-05	0	
0.056	0	6.365776E-05	0	
0.057	0	6.091595E-05	0	
0.058	0	5.793571E-05	0	
0.059	0	5.51939E-05	0	
0.06	0	5.233288E-05	0	
0.061	0	5.00679E-05	0	
0.062	0	4.768372E-05	0	
0.063	0	4.541874E-05	0	
0.064	0	4.303455E-05	0	
0.06500001	0	4.136562E-05	0	
0.066	0	3.921986E-05	0	
0.067	0	3.707409E-05	0	
0.068	0	3.564358E-05	0	
0.06900001	0	3.397465E-05	0	
0.07	0	3.218651E-05	0	
0.071	0	3.0756E-05	0	
0.072	0	2.920628E-05	0	
0.07300001	0	2.753735E-05	0	
0.074	0	2.670288E-05	0	
0.075	0	2.527237E-05	0	
0.07600001	0	2.419949E-05	0	
0.07700001	0	2.264977E-05	0	
0.078	0	2.205372E-05	0	
0.079	0	2.074242E-05	0	
0.08000001	0	1.966953E-05	0	
0.081	0	1.883507E-05	0	
0.082	0	1.80006E-05	0	
0.083	0	1.716614E-05	0	
0.08400001	0	1.609325E-05	0	
0.085	0	1.549721E-05	0	
0.086	0	1.478195E-05	0	
0.087	0	1.394749E-05	0	
0.08800001	0	1.358986E-05	0	
0.089	0	1.263618E-05	0	
0.09	0	1.204014E-05	0	
0.09100001	0	1.180172E-05	0	
0.09200001	0	1.096725E-05	0	
0.093	0	1.037121E-05	0	
0.094	0	1.013279E-05	0	
0.09500001	0	9.536743E-06	0	
0.096	0	8.821487E-06	0	
0.097	0	8.821487E-06	0	
0.098	0	8.225441E-06	0	
0.09900001	0	7.867813E-06	0	
0.1	0	7.390976E-06	0	
0.101	0	6.914139E-06	0	
0.102	0	6.914139E-06	0	
0.103	0	6.556511E-06	0	
0.104	0	6.079674E-06	0	
0.105	0	5.960464E-06	0	
0.106	0	5.245209E-06	0	
0.107	0	5.483627E-06	0	
0.108	0	5.00679E-06	0	
0.109	0	4.887581E-06	0	
0.11	0	4.649162E-06	0	
0.111	0	4.172325E-06	0	
0.112	0	4.172325E-06	0	
0.113	0	4.053116E-06	0	
0.114	0	3.576279E-06	0	
0.115	0	3.576279E-06	0	
0.116	0	3.576279E-06	0	
0.117	0	3.33786E-06	0	
0.118	0	2.980232E-06	0	
0.119	0	2.980232E-06	0	
0.12	0	2.741814E-06	0	
0.121	0	2.741814E-06	0	
0.122	0	2.503395E-06	0	
0.123	0	2.503395E-06	0	
0.124	0	2.264977E-06	0	
0.125	0	2.026558E-06	0	
0.126	0	2.264977E-06	0	
0.127	0	1.907349E-06	0	
