Time	Hinge	Srt	Mrt	Mlt	Slt	Srl	Mrl	Mll	Sll	Left	Right	
0	0	0	8.350702E-07	0.01605551	0	0	2	3.605551	0	0	0	
0.001	0	0	0.00237212	0.03193441	0	0	2	3.605551	0	0.02	0.02	
0.002	-3.104066E-08	0	0.004717321	0.04763865	0	0	2	3.605551	0	0.02	0.02	
0.003	-1.342552E-07	0	0.007529251	0.06317014	0	0	2	3.605551	0	0.0396	0.0396	
0.004	-3.493987E-07	0	0.01030786	0.07852601	0	0	1.999999	3.605551	0	0.0396	0.0396	
0.005	-7.175466E-07	0	0.01363019	0.09371534	0	0	1.999998	3.605551	0	0.05880801	0.05880801	
0.006	-1.279303E-06	0	0.01691357	0.1087328	0	0	1.999997	3.60555	0	0.05880801	0.05880801	
0.007	-2.076892E-06	0	0.02082539	0.1235827	0	0	1.999996	3.605549	0	0.07763185	0.07763185	
0.008	-3.152057E-06	0	0.0246894	0.1382692	0	0	1.999994	3.605548	0	0.07763185	0.07763185	
0.009000001	-4.548465E-06	0	0.0292737	0.1527894	0	0	1.999991	3.605546	0	0.09607922	0.09607922	
0.01	-6.309286E-06	0	0.03380158	0.1671451	0	0	1.999988	3.605545	0	0.09607922	0.09607922	
0.011	-8.479947E-06	0	0.03914883	0.1813429	0	0	1.999984	3.605543	0	0.1141576	0.1141576	
0.012	-1.110534E-05	0	0.04442886	0.1953749	0	0	1.999979	3.60554	0	0.1141576	0.1141576	
0.013	-1.423301E-05	0	0.05062939	0.2092525	0	0	1.999974	3.605537	0	0.1318745	0.1318745	
0.014	-1.790989E-05	0	0.05675331	0.2229703	0	0	1.999968	3.605533	0	0.1318745	0.1318745	
0.015	-2.218594E-05	0	0.06390118	0.2365324	0	0	1.99996	3.605529	0	0.149237	0.149237	
0.016	-2.711054E-05	0	0.07095961	0.2499381	0	0	1.999952	3.605525	0	0.149237	0.149237	
0.017	-3.27364E-05	0	0.07914882	0.2631916	0	0	1.999942	3.605519	0	0.1662522	0.1662522	
0.018	-3.911564E-05	0	0.08723353	0.276292	0	0	1.999932	3.605513	0	0.1662522	0.1662522	
0.019	-4.630411E-05	0	0.09654901	0.2892411	0	0	1.99992	3.605507	0	0.1829272	0.1829272	
0.02	-5.435701E-05	0	0.1057488	0.3020405	0	0	1.999906	3.605499	0	0.1829272	0.1829272	
0.021	-6.333362E-05	0	0.1162704	0.3146895	0	0	1.999891	3.605491	0	0.1992686	0.1992686	
0.022	-7.329254E-05	0	0.1266619	0.3271898	0	0	1.999875	3.605482	0	0.1992686	0.1992686	
0.023	-8.429682E-05	0	0.1384612	0.3395453	0	0	1.999857	3.605472	0	0.2152833	0.2152833	
0.024	-9.640874E-05	0	0.1501127	0.3517552	0	0	1.999837	3.605461	0	0.2152833	0.2152833	
0.025	-0.0001096954	0	0.1632429	0.3638212	0	0	1.999815	3.605449	0	0.2309776	0.2309776	
0.026	-0.0001242229	0	0.1762092	0.37574	0	0	1.999791	3.605435	0	0.2309776	0.2309776	
0.027	-0.0001400626	0	0.1907103	0.387518	0	0	1.999765	3.605421	0	0.2463581	0.2463581	
0.028	-0.0001572849	0	0.2050288	0.3991544	0	0	1.999737	3.605406	0	0.2463581	0.2463581	
0.029	-0.0001759654	0	0.2209177	0.4106483	0	0	1.999707	3.605389	0	0.2614309	0.2614309	
0.03	-0.0001961787	0	0.2366087	0.4220037	0	0	1.999674	3.605371	0	0.2614309	0.2614309	
0.031	-0.000218005	0	0.2538873	0.4332197	0	0	1.999639	3.605351	0	0.2762023	0.2762023	
0.032	-0.0002415232	0	0.2709492	0.4442978	0	0	1.999601	3.60533	0	0.2762023	0.2762023	
0.033	-0.0002668179	0	0.2895959	0.4552371	0	0	1.99956	3.605307	0	0.2906783	0.2906783	
0.034	-0.0002939725	0	0.3080084	0.4660391	0	0	1.999517	3.605283	0	0.2906783	0.2906783	
0.035	-0.0003230759	0	0.3279833	0.476703	0	0	1.99947	3.605257	0	0.3048647	0.3048647	
0.036	-0.0003542158	0	0.347707	0.487235	0	0	1.99942	3.605229	0	0.3048647	0.3048647	
0.037	-0.0003874852	0	0.368951	0.4976341	0	0	1.999367	3.6052	0	0.3187674	0.3187674	
0.038	-0.0004229762	0	0.3899261	0.5078971	0	0	1.99931	3.605168	0	0.3187674	0.3187674	
0.039	-0.0004607859	0	0.4123653	0.5180254	0	0	1.99925	3.605135	0	0.332392	0.332392	
0.04	-0.0005010101	0	0.4345188	0.5280229	0	0	1.999186	3.605099	0	0.332392	0.332392	
0.041	-0.0005437498	0	0.4580646	0.5378885	0	0	1.999118	3.605062	0	0.3457442	0.3457442	
0.042	-0.0005891044	0	0.4813091	0.5476214	0	0	1.999046	3.605021	0	0.3457442	0.3457442	
0.043	-0.0006371787	0	0.5058605	0.557223	0	0	1.998969	3.604979	0	0.3588293	0.3588293	
0.044	-0.0006880753	0	0.5300981	0.5666971	0	0	1.998888	3.604934	0	0.3588293	0.3588293	
0.045	-0.0007419017	0	0.5555501	0.5760378	0	0	1.998803	3.604887	0	0.3716527	0.3716527	
0.046	-0.0007987642	0	0.5806746	0.5852515	0	0	1.998713	3.604837	0	0.3716527	0.3716527	
0.047	-0.0008587727	0	0.6069164	0.5943347	0	0	1.998618	3.604784	0	0.3842196	0.3842196	
0.048	-0.0009220362	0	0.6328173	0.6032888	0	0	1.998518	3.604729	0	0.3842196	0.3842196	
0.049	-0.0009886671	0	0.6597351	0.6121151	0	0	1.998413	3.604671	0	0.3965353	0.3965353	
0.05	-0.001058777	0	0.6863021	0.6208152	0	0	1.998303	3.604609	0	0.3965353	0.3965353	
0.051	-0.001132479	0	0.7137817	0.6293856	0	0	1.998186	3.604545	0	0.4086046	0.4086046	
0.052	-0.001209887	0	0.7409016	0.6378324	0	0	1.998065	3.604477	0	0.4086046	0.4086046	
0.053	-0.001291117	0	0.7688345	0.6461522	0	0	1.997937	3.604406	0	0.4204325	0.4204325	
0.054	-0.001376283	0	0.7963991	0.6543416	0	0	1.997803	3.604332	0	0.4204325	0.4204325	
0.055	-0.001465503	0	0.8246775	0.6624115	0	0	1.997663	3.604254	0	0.4320239	0.4320239	
0.056	-0.001558891	0	0.8525802	0.6703489	0	0	1.997516	3.604172	0	0.4320239	0.4320239	
0.057	-0.001656567	0	0.8811051	0.6781648	0	0	1.997363	3.604087	0	0.4433834	0.4433834	
0.058	-0.001758645	0	0.9092454	0.6858581	0	0	1.997203	3.603999	0	0.4433834	0.4433834	
0.059	-0.001865245	0	0.9379191	0.6934252	0	0	1.997036	3.603906	0	0.4545157	0.4545157	
0.06	-0.001976483	0	0.9662039	0.7008653	0	0	1.996862	3.603809	0	0.4545157	0.4545157	
0.061	-0.002092476	0	0.9949387	0.7081843	0	0	1.996681	3.603708	0	0.4654254	0.4654254	
0.062	-0.002213343	0	1.023281	0.7153813	0	0	1.996492	3.603603	0	0.4654254	0.4654254	
0.063	-0.002339202	0	1.051994	0.7224575	0	0	1.996296	3.603494	0	0.4761169	0.4761169	
0.064	-0.002470167	0	1.080313	0.7294094	0	0	1.996091	3.603381	0	0.4761169	0.4761169	
0.06500001	-0.002606357	0	1.108931	0.736236	0	0	1.995879	3.603262	0	0.4865946	0.4865946	
0.066	-0.002747889	0	1.137149	0.7429433	0	0	1.995659	3.60314	0	0.4865946	0.4865946	
0.067	-0.002894877	0	1.165603	0.7495255	0	0	1.99543	3.603012	0	0.4968627	0.4968627	
0.068	-0.003047439	0	1.193655	0.7559887	0	0	1.995192	3.60288	0	0.4968627	0.4968627	
0.06900001	-0.003205689	0	1.221884	0.7623317	0	0	1.994946	3.602743	0	0.5069255	0.5069255	
0.07	-0.003369741	0	1.24971	0.7685534	0	0	1.994691	3.602602	0	0.5069255	0.5069255	
0.071	-0.003539709	0	1.277657	0.7746528	0	0	1.994427	3.602454	0	0.5167869	0.5167869	
0.072	-0.003715707	0	1.305202	0.7806336	0	0	1.994154	3.602302	0	0.5167869	0.5167869	
0.07300001	-0.003897848	0	1.33282	0.7864945	0	0	1.993871	3.602145	0	0.5264512	0.5264512	
0.074	-0.004086241	0	1.360034	0.7922369	0	0	1.993579	3.601982	0	0.5264512	0.5264512	
0.075	-0.004281	0	1.387276	0.7978572	0	0	1.993277	3.601814	0	0.5359222	0.5359222	
0.07600001	-0.004482232	0	1.414117	0.8033615	0	0	1.992966	3.60164	0	0.5359222	0.5359222	
0.07700001	-0.004690049	0	1.440947	0.8087438	0	0	1.992644	3.601461	0	0.5452037	0.5452037	
0.078	-0.004904557	0	1.467375	0.8140103	0	0	1.992312	3.601276	0	0.5452037	0.5452037	
0.079	-0.005125865	0	1.493757	0.8191572	0	0	1.991969	3.601085	0	0.5542997	0.5542997	
0.08000001	-0.005354078	0	1.51974	0.8241885	0	0	1.991617	3.600888	0	0.5542997	0.5542997	
0.081	-0.005589302	0	1.545646	0.8291027	0	0	1.991253	3.600686	0	0.5632137	0.5632137	
0.082	-0.00583164	0	1.571154	0.8338988	0	0	1.990879	3.600477	0	0.5632137	0.5632137	
0.083	-0.006081195	0	1.596556	0.838578	0	0	1.990493	3.600262	0	0.5719494	0.5719494	
0.08400001	-0.00633807	0	1.621562	0.8431391	0	0	1.990097	3.60004	0	0.5719494	0.5719494	
0.085	-0.006602366	0	1.646439	0.8475882	0	0	1.989689	3.599813	0	0.5805104	0.5805104	
0.086	-0.006874183	0	1.670923	0.8519192	0	0	1.98927	3.599579	0	0.5805104	0.5805104	
0.087	-0.007153617	0	1.695254	0.8561335	0	0	1.988839	3.599338	0	0.5889002	0.5889002	
0.08800001	-0.007440767	0	1.719196	0.8602345	0	0	1.988397	3.599091	0	0.5889002	0.5889002	
0.089	-0.00773573	0	1.742967	0.8642212	0	0	1.987943	3.598837	0	0.5971223	0.5971223	
0.09	-0.0080386	0	1.766351	0.8680946	0	0	1.987476	3.598576	0	0.5971223	0.5971223	
0.09100001	-0.00834947	0	1.789546	0.8718511	0	0	1.986998	3.598308	0	0.6051798	0.6051798	
0.09200001	-0.008668434	0	1.812358	0.8754945	0	0	1.986507	3.598034	0	0.6051798	0.6051798	
0.093	-0.008995584	0	1.834968	0.8790259	0	0	1.986004	3.597752	0	0.6130762	0.6130762	
0.094	-0.009331008	0	1.857196	0.8824463	0	0	1.985488	3.597464	0	0.6130762	0.6130762	
0.09500001	-0.009674796	0	1.87921	0.8857523	0	0	1.98496	3.597168	0	0.6208146	0.6208146	
0.096	-0.01002703	0	1.900846	0.888945	0	0	1.984419	3.596864	0	0.6208146	0.6208146	
0.097	-0.01038781	0	1.922257	0.8920279	0	0	1.983865	3.596554	0	0.6283984	0.6283984	
0.098	-0.01075721	0	1.943294	0.8949975	0	0	1.983297	3.596236	0	0.6283984	0.6283984	
0.09900001	-0.01113531	0	1.964095	0.8978596	0	0	1.982717	3.595911	0	0.6358304	0.6358304	
0.1	-0.0115222	0	1.984526	0.9006082	0	0	1.982123	3.595578	0	0.6358304	0.6358304	
0.101	-0.01191796	0	2.004714	0.9032469	0	0	1.981516	3.595237	0	0.6431138	0.6431138	
0.102	-0.01232267	0	2.024535	0.9057767	0	0	1.980896	3.594889	0	0.6431138	0.6431138	
0.103	-0.01273641	0	2.044105	0.9081942	0	0	1.980262	3.594532	0	0.6502515	0.6502515	
0.104	-0.01315925	0	2.063314	0.9105051	0	0	1.979614	3.594168	0	0.6502515	0.6502515	
0.105	-0.01359127	0	2.082266	0.9127082	0	0	1.978952	3.593796	0	0.6572465	0.6572465	
0.106	-0.01403255	0	2.10086	0.9147974	0	0	1.978276	3.593416	0	0.6572465	0.6572465	
0.107	-0.01448316	0	2.119193	0.9167834	0	0	1.977586	3.593028	0	0.6641015	0.6641015	
0.108	-0.01494316	0	2.137171	0.9186625	0	0	1.976882	3.592631	0	0.6641015	0.6641015	
0.109	-0.01541264	0	2.154884	0.9204336	0	0	1.976163	3.592227	0	0.6708195	0.6708195	
0.11	-0.01589165	0	2.172248	0.9220976	0	0	1.97543	3.591814	0	0.6708195	0.6708195	
0.111	-0.01638027	0	2.189342	0.9236508	0	0	1.974683	3.591392	0	0.6774032	0.6774032	
0.112	-0.01687857	0	2.206089	0.925104	0	0	1.973921	3.590962	0	0.6774032	0.6774032	
0.113	-0.01738661	0	2.222567	0.9264485	0	0	1.973144	3.590524	0	0.6838551	0.6838551	
0.114	-0.01790445	0	2.238702	0.9276856	0	0	1.972353	3.590077	0	0.6838551	0.6838551	
0.115	-0.01843216	0	2.254565	0.9288235	0	0	1.971547	3.589621	0	0.690178	0.690178	
0.116	-0.01896979	0	2.270088	0.9298536	0	0	1.970725	3.589157	0	0.690178	0.690178	
0.117	-0.01951741	0	2.28534	0.9307818	0	0	1.969889	3.588684	0	0.6963744	0.6963744	
0.118	-0.02007508	0	2.300256	0.9316068	0	0	1.969038	3.588202	0	0.6963744	0.6963744	
0.119	-0.02064286	0	2.314897	0.9323272	0	0	1.968171	3.587711	0	0.7024469	0.7024469	
0.12	-0.0212208	0	2.329208	0.9329488	0	0	1.967289	3.587212	0	0.7024469	0.7024469	
0.121	-0.02180895	0	2.343246	0.9334655	0	0	1.966391	3.586703	0	0.708398	0.708398	
0.122	-0.02240737	0	2.356955	0.9338808	0	0	1.965479	3.586185	0	0.708398	0.708398	
0.123	-0.02301611	0	2.370388	0.9341956	0	0	1.96455	3.585658	0	0.71423	0.71423	
0.124	-0.02363523	0	2.383501	0.9344087	0	0	1.963606	3.585122	0	0.71423	0.71423	
0.125	-0.02426476	0	2.396338	0.9345233	0	0	1.962646	3.584577	0	0.7199454	0.7199454	
0.126	-0.02490477	0	2.408858	0.9345357	0	0	1.961671	3.584022	0	0.7199454	0.7199454	
0.127	-0.0255553	0	2.421104	0.9344518	0	0	1.960679	3.583458	0	0.7255465	0.7255465	
0.128	-0.0262164	0	2.433034	0.9342677	0	0	1.959672	3.582885	0	0.7255465	0.7255465	
0.129	-0.0268881	0	2.444693	0.9339868	0	0	1.958649	3.582302	0	0.7310356	0.7310356	
0.13	-0.02757046	0	2.45604	0.9336054	0	0	1.95761	3.581709	0	0.7310356	0.7310356	
0.131	-0.02826351	0	2.467115	0.9331267	0	0	1.956555	3.581107	0	0.7364149	0.7364149	
0.132	-0.02896729	0	2.477884	0.9325518	0	0	1.955483	3.580496	0	0.7364149	0.7364149	
0.133	-0.02968186	0	2.488381	0.9318793	0	0	1.954396	3.579875	0	0.7416867	0.7416867	
0.134	-0.03040724	0	2.498577	0.9311149	0	0	1.953292	3.579244	0	0.7416867	0.7416867	
0.135	-0.03114348	0	2.508502	0.9302499	0	0	1.952172	3.578603	0	0.7468529	0.7468529	
0.136	-0.0318906	0	2.518129	0.9292902	0	0	1.951035	3.577952	0	0.7468529	0.7468529	
0.137	-0.03264864	0	2.527487	0.9282368	0	0	1.949882	3.577292	0	0.7519159	0.7519159	
0.138	-0.03341765	0	2.536551	0.9270881	0	0	1.948713	3.576622	0	0.7519159	0.7519159	
0.139	-0.03419764	0	2.54535	0.9258499	0	0	1.947527	3.575942	0	0.7568776	0.7568776	
0.14	-0.03498865	0	2.553856	0.924511	0	0	1.946325	3.575251	0	0.7568776	0.7568776	
0.141	-0.03579072	0	2.562097	0.9230846	0	0	1.945106	3.574551	0	0.7617401	0.7617401	
0.142	-0.03660386	0	2.570051	0.9215642	0	0	1.94387	3.57384	0	0.7617401	0.7617401	
0.143	-0.03742811	0	2.577744	0.9199508	0	0	1.942618	3.573119	0	0.7665052	0.7665052	
0.144	-0.03826351	0	2.58515	0.9182453	0	0	1.941349	3.572388	0	0.7665052	0.7665052	
0.145	-0.03911006	0	2.592298	0.9164487	0	0	1.940064	3.571647	0	0.7711751	0.7711751	
0.146	-0.0399678	0	2.599165	0.9145617	0	0	1.938761	3.570896	0	0.7711751	0.7711751	
0.147	-0.04083675	0	2.605773	0.9125831	0	0	1.937442	3.570134	0	0.7757516	0.7757516	
0.148	-0.04171692	0	2.612104	0.9105135	0	0	1.936106	3.569361	0	0.7757516	0.7757516	
0.149	-0.04260835	0	2.618178	0.9083587	0	0	1.934754	3.568579	0	0.7802366	0.7802366	
0.15	-0.04351104	0	2.62398	0.9061148	0	0	1.933384	3.567786	0	0.7802366	0.7802366	
0.151	-0.04442503	0	2.629526	0.9037803	0	0	1.931997	3.566982	0	0.7846318	0.7846318	
0.152	-0.04535033	0	2.634804	0.9013608	0	0	1.930594	3.566168	0	0.7846318	0.7846318	
