Time	Hinge	Srt	Mrt	Mlt	Slt	Srl	Mrl	Mll	Sll	Left	Right	
0	0	0	0	0	0	2	2	2	3.605551	0	0	
0.001	0	43.74747	0	0	177.04	1.999228	2	2	3.605117	0	0	
0.002	-0.0005102085	37.81306	0	0	173.7469	1.997733	2	2	3.604282	0	0	
0.003	-0.001502904	32.12746	0	0	170.5844	1.995555	2	2	3.603065	0	0	
0.004	-0.002951674	26.67922	0	0	167.542	1.99273	2	2	3.601488	0	0	
0.005	-0.004831335	21.45809	0	0	164.6109	1.989296	2	2	3.599568	0	0	
0.006	-0.007117863	16.4545	0	0	161.7835	1.985287	2	2	3.597322	0	0	
0.007	-0.009788333	11.6595	0	0	159.0528	1.980736	2	2	3.594764	0	0	
0.008	-0.01282085	7.064647	0	0	156.4127	1.975673	2	2	3.591913	0	0	
0.009000001	-0.01619452	2.662013	0	0	153.8576	1.970129	2	2	3.588779	0	0	
0.01	-0.01988937	1.555864	0	0	151.3826	1.964133	2	2	3.585378	0	0	
0.011	-0.0238863	5.596036	0	0	148.9834	1.957713	2	2	3.581722	0	0	
0.012	-0.0281671	9.465191	0	0	146.6559	1.950894	2	2	3.577823	0	0	
0.013	-0.03271431	13.16968	0	0	144.3966	1.943702	2	2	3.573692	0	0	
0.014	-0.03751129	16.71546	0	0	142.2023	1.936161	2	2	3.569341	0	0	
0.015	-0.04254211	20.10831	0	0	140.0701	1.928295	2	2	3.564778	0	0	
0.016	-0.04779157	23.35372	0	0	137.9975	1.920125	2	2	3.560016	0	0	
0.017	-0.0532451	26.45695	0	0	135.982	1.911674	2	2	3.555062	0	0	
0.018	-0.05888882	29.42301	0	0	134.0216	1.902961	2	2	3.549927	0	0	
0.019	-0.06470946	32.25677	0	0	132.1142	1.894005	2	2	3.54462	0	0	
0.02	-0.07069436	34.96288	0	0	130.2581	1.884827	2	2	3.539147	0	0	
0.021	-0.07683142	37.54585	0	0	128.4516	1.875443	2	2	3.533519	0	0	
0.022	-0.0831091	40.01001	0	0	126.6931	1.865872	2	2	3.527742	0	0	
0.023	-0.08951638	42.35967	0	0	124.9812	1.856128	2	2	3.521825	0	0	
0.024	-0.0960428	44.59886	0	0	123.3145	1.846229	2	2	3.515774	0	0	
0.025	-0.1026784	46.73158	0	0	121.6917	1.83619	2	2	3.509598	0	0	
0.026	-0.1094135	48.76169	0	0	120.1117	1.826024	2	2	3.503302	0	0	
0.027	-0.1162393	50.69296	0	0	118.5731	1.815745	2	2	3.496894	0	0	
0.028	-0.123147	52.52916	0	0	117.0749	1.805367	2	2	3.490379	0	0	
0.029	-0.1301285	54.27372	0	0	115.6159	1.794903	2	2	3.483764	0	0	
0.03	-0.137176	55.93021	0	0	114.195	1.784363	2	2	3.477056	0	0	
0.031	-0.1442822	57.50204	0	0	112.8113	1.77376	2	2	3.470259	0	0	
0.032	-0.1514401	58.99247	0	0	111.4635	1.763105	2	2	3.463379	0	0	
0.033	-0.1586431	60.40469	0	0	110.1508	1.752407	2	2	3.456422	0	0	
0.034	-0.1658849	61.74192	0	0	108.8721	1.741677	2	2	3.449393	0	0	
0.035	-0.1731596	63.00713	0	0	107.6264	1.730923	2	2	3.442297	0	0	
0.036	-0.1804617	64.2034	0	0	106.4127	1.720155	2	2	3.435139	0	0	
0.037	-0.1877859	65.33353	0	0	105.2301	1.709381	2	2	3.427922	0	0	
0.038	-0.1951273	66.40031	0	0	104.0775	1.698609	2	2	3.420653	0	0	
0.039	-0.2024812	67.40669	0	0	102.9539	1.687846	2	2	3.413335	0	0	
0.04	-0.2098433	68.35523	0	0	101.8584	1.677099	2	2	3.405972	0	0	
0.041	-0.2172094	69.24866	0	0	100.7899	1.666375	2	2	3.398569	0	0	
0.042	-0.2245758	70.08903	0	0	99.74778	1.655681	2	2	3.391127	0	0	
0.043	-0.2319388	70.87908	0	0	98.73077	1.645021	2	2	3.383653	0	0	
0.044	-0.2392952	71.62104	0	0	97.73814	1.634402	2	2	3.376148	0	0	
0.045	-0.2466417	72.31746	0	0	96.76867	1.623828	2	2	3.368616	0	0	
0.046	-0.2539756	72.97024	0	0	95.8217	1.613305	2	2	3.361061	0	0	
0.047	-0.2612942	73.58168	0	0	94.89616	1.602837	2	2	3.353484	0	0	
0.048	-0.2685949	74.15405	0	0	93.99096	1.592428	2	2	3.34589	0	0	
0.049	-0.2758755	74.68869	0	0	93.10574	1.582082	2	2	3.33828	0	0	
0.05	-0.283134	75.18774	0	0	92.23926	1.571802	2	2	3.330658	0	0	
0.051	-0.2903683	75.65333	0	0	91.39069	1.561593	2	2	3.323025	0	0	
0.052	-0.2975767	76.08685	0	0	90.55913	1.551456	2	2	3.315384	0	0	
0.053	-0.3047577	76.49031	0	0	89.74367	1.541395	2	2	3.307736	0	0	
0.054	-0.3119098	76.86481	0	0	88.94388	1.531413	2	2	3.300085	0	0	
0.055	-0.3190317	77.21236	0	0	88.15849	1.521511	2	2	3.292431	0	0	
0.056	-0.3261222	77.53441	0	0	87.38679	1.511692	2	2	3.284777	0	0	
0.057	-0.3331803	77.83173	0	0	86.62846	1.501959	2	2	3.277124	0	0	
0.058	-0.3402051	78.10609	0	0	85.88241	1.492311	2	2	3.269473	0	0	
0.059	-0.3471957	78.3591	0	0	85.14762	1.482753	2	2	3.261827	0	0	
0.06	-0.3541516	78.59176	0	0	84.42349	1.473284	2	2	3.254185	0	0	
0.061	-0.3610721	78.80508	0	0	83.70956	1.463906	2	2	3.246551	0	0	
0.062	-0.3679567	79.00027	0	0	83.00487	1.45462	2	2	3.238923	0	0	
0.063	-0.3748051	79.17804	0	0	82.30911	1.445426	2	2	3.231304	0	0	
0.064	-0.3816169	79.34008	0	0	81.62097	1.436327	2	2	3.223695	0	0	
0.06500001	-0.388392	79.48666	0	0	80.94031	1.427323	2	2	3.216095	0	0	
0.066	-0.3951303	79.61897	0	0	80.26637	1.418414	2	2	3.208507	0	0	
0.067	-0.4018316	79.73786	0	0	79.59842	1.4096	2	2	3.20093	0	0	
0.068	-0.408496	79.8434	0	0	78.93649	1.400883	2	2	3.193365	0	0	
0.06900001	-0.4151234	79.93699	0	0	78.27945	1.392262	2	2	3.185812	0	0	
0.07	-0.4217142	80.01944	0	0	77.62659	1.383738	2	2	3.178273	0	0	
0.071	-0.4282684	80.09124	0	0	76.97752	1.37531	2	2	3.170746	0	0	
0.072	-0.4347863	80.15276	0	0	76.33183	1.36698	2	2	3.163233	0	0	
0.07300001	-0.4412684	80.20464	0	0	75.68895	1.358746	2	2	3.155734	0	0	
0.074	-0.4477147	80.24743	0	0	75.04846	1.350609	2	2	3.148248	0	0	
0.075	-0.4541258	80.28106	0	0	74.41027	1.342568	2	2	3.140776	0	0	
0.07600001	-0.460502	80.30686	0	0	73.77312	1.334624	2	2	3.133318	0	0	
0.07700001	-0.466844	80.32472	0	0	73.13696	1.326776	2	2	3.125873	0	0	
0.078	-0.473152	80.33549	0	0	72.50095	1.319024	2	2	3.118442	0	0	
0.079	-0.4794268	80.3394	0	0	71.86469	1.311368	2	2	3.111025	0	0	
0.08000001	-0.4856689	80.33626	0	0	71.22826	1.303807	2	2	3.10362	0	0	
0.081	-0.4918789	80.32632	0	0	70.59129	1.29634	2	2	3.096229	0	0	
0.082	-0.4980574	80.30991	0	0	69.95325	1.288969	2	2	3.08885	0	0	
0.083	-0.5042052	80.28759	0	0	69.31345	1.281691	2	2	3.081484	0	0	
0.08400001	-0.5103227	80.25916	0	0	68.67184	1.274507	2	2	3.074129	0	0	
0.085	-0.5164108	80.22489	0	0	68.02805	1.267417	2	2	3.066786	0	0	
0.086	-0.5224702	80.18527	0	0	67.38122	1.260419	2	2	3.059454	0	0	
0.087	-0.5285016	80.14063	0	0	66.73081	1.253513	2	2	3.052133	0	0	
0.08800001	-0.5345058	80.09031	0	0	66.07729	1.246699	2	2	3.044821	0	0	
0.089	-0.5404838	80.03431	0	0	65.4202	1.239977	2	2	3.037519	0	0	
0.09	-0.5464361	79.97308	0	0	64.7589	1.233345	2	2	3.030225	0	0	
0.09100001	-0.5523637	79.90665	0	0	64.09308	1.226804	2	2	3.022939	0	0	
0.09200001	-0.5582674	79.8345	0	0	63.42284	1.220353	2	2	3.01566	0	0	
0.093	-0.5641479	79.75726	0	0	62.74722	1.213992	2	2	3.008388	0	0	
0.094	-0.5700063	79.67447	0	0	62.06633	1.20772	2	2	3.001122	0	0	
0.09500001	-0.5758433	79.58642	0	0	61.37957	1.201536	2	2	2.993861	0	0	
0.096	-0.5816599	79.49212	0	0	60.68749	1.195441	2	2	2.986604	0	0	
0.097	-0.5874569	79.39225	0	0	59.98893	1.189434	2	2	2.979351	0	0	
0.098	-0.593235	79.2865	0	0	59.28395	1.183514	2	2	2.9721	0	0	
0.09900001	-0.5989954	79.17444	0	0	58.5724	1.177682	2	2	2.964851	0	0	
0.1	-0.6047389	79.05618	0	0	57.85388	1.171937	2	2	2.957603	0	0	
0.101	-0.6104664	78.93169	0	0	57.12773	1.166278	2	2	2.950355	0	0	
0.102	-0.6161789	78.80036	0	0	56.39423	1.160706	2	2	2.943106	0	0	
0.103	-0.6218772	78.66184	0	0	55.65336	1.155221	2	2	2.935855	0	0	
0.104	-0.6275622	78.51595	0	0	54.90469	1.149821	2	2	2.928601	0	0	
0.105	-0.633235	78.36295	0	0	54.1474	1.144508	2	2	2.921343	0	0	
0.106	-0.6388963	78.20222	0	0	53.38156	1.13928	2	2	2.914081	0	0	
0.107	-0.6445473	78.03333	0	0	52.60713	1.134139	2	2	2.906812	0	0	
0.108	-0.6501889	77.85619	0	0	51.82358	1.129083	2	2	2.899537	0	0	
0.109	-0.6558217	77.67019	0	0	51.03111	1.124113	2	2	2.892254	0	0	
0.11	-0.661447	77.47485	0	0	50.22969	1.119229	2	2	2.884962	0	0	
0.111	-0.6670657	77.26978	0	0	49.41907	1.114431	2	2	2.87766	0	0	
