Time	Ax	Fx	Px	Vx	
0	0	0	0	0	
0.0005	9.090909	1	2.272727E-06	0.004545455	
0.001	9.018999	1	6.800205E-06	0.009054955	
0.0015	9.019	1	1.358243E-05	0.01356446	
0.002	9.019	1	2.261941E-05	0.01807396	
0.0025	9.019	1	3.391114E-05	0.02258345	
0.003	9.019	1	4.745762E-05	0.02709296	
0.0035	9.019	1	6.325885E-05	0.03160245	
0.004	9.019	1	8.131482E-05	0.03611195	
0.0045	9.019	1	0.0001016256	0.04062146	
0.005	9.019	1	0.000124191	0.04513096	
0.0055	9.019	1	0.0001490113	0.04964045	
0.006	9.019	1	0.0001760862	0.05414996	
0.0065	9.019	1	0.000205416	0.05865946	
0.007	9.019	1	0.0002370005	0.06316896	
0.0075	9.019	1	0.0002708397	0.06767846	
0.008	9.019	1	0.0003069337	0.07218795	
0.0085	9.019	1	0.0003452824	0.07669745	
0.009000001	9.019	1	0.0003858859	0.08120696	
0.009500001	9.019	1	0.0004287441	0.08571646	
0.01	9.019	1	0.0004738571	0.09022596	
0.0105	9.019	1	0.0005212248	0.09473546	
0.011	9.019	1	0.0005708473	0.09924496	
0.0115	9.019	1	0.0006227245	0.1037545	
0.012	9.019	1	0.0006768565	0.108264	
0.0125	9.019	1	0.0007332432	0.1127735	
0.013	9.019	1	0.0007918847	0.117283	
0.0135	9.019	1	0.0008527809	0.1217925	
0.014	9.019	1	0.0009159319	0.126302	
0.0145	9.019	1	0.0009813376	0.1308115	
0.015	9.019	1	0.001048998	0.135321	
0.0155	9.019	1	0.001118913	0.1398305	
0.016	9.019	1	0.001191083	0.14434	
0.0165	9.019	1	0.001265508	0.1488495	
0.017	9.019	1	0.001342188	0.153359	
0.0175	9.019	1	0.001421122	0.1578685	
0.018	9.019	1	0.001502311	0.162378	
0.0185	9.019	1	0.001585755	0.1668875	
0.019	9.019	1	0.001671453	0.171397	
0.0195	9.019	1	0.001759406	0.1759065	
0.02	9.019	1	0.001849614	0.180416	
0.0205	9.019	1	0.001942077	0.1849255	
0.021	9.019	1	0.002036795	0.189435	
0.0215	9.019	1	0.002133767	0.1939445	
0.022	9.019	1	0.002232994	0.198454	
0.0225	9.019	1	0.002334475	0.2029635	
0.023	9.019	1	0.002438212	0.207473	
0.0235	9.019	1	0.002544203	0.2119825	
0.024	9.019	1	0.002652449	0.216492	
0.0245	9.019	1	0.00276295	0.2210015	
0.025	9.019	1	0.002875705	0.225511	
0.0255	9.019	1	0.002990715	0.2300205	
0.026	9.019	1	0.003107981	0.23453	
0.0265	9.019	1	0.0032275	0.2390395	
0.027	9.019	1	0.003349275	0.243549	
0.0275	9.019	1	0.003473304	0.2480585	
0.028	9.019	1	0.003599588	0.2525679	
0.0285	9.019	1	0.003728127	0.2570775	
0.029	9.019	1	0.00385892	0.261587	
0.0295	9.019	1	0.003991968	0.2660965	
0.03	9.019	1	0.004127271	0.270606	
0.0305	9.019	1	0.004264829	0.2751155	
0.031	9.019	1	0.004404642	0.279625	
0.0315	9.019	1	0.004546709	0.2841344	
0.032	9.019	1	0.004691031	0.288644	
0.0325	9.019	1	0.004837607	0.2931535	
0.033	9.019	1	0.004986439	0.297663	
0.0335	9.019	1	0.005137525	0.3021725	
0.034	9.019	1	0.005290866	0.306682	
0.0345	9.019	1	0.005446462	0.3111915	
0.035	9.019	1	0.005604313	0.3157009	
0.0355	9.019	1	0.005764418	0.3202105	
0.036	9.019	1	0.005926778	0.32472	
0.0365	9.019	1	0.006091393	0.3292295	
0.037	9.019	1	0.006258262	0.333739	
0.0375	9.019	1	0.006427386	0.3382485	
0.038	9.019	1	0.006598765	0.342758	
0.0385	9.019	1	0.006772399	0.3472674	
0.039	9.019	1	0.006948288	0.351777	
0.0395	9.019	1	0.007126431	0.3562865	
0.04	9.019	1	0.007306829	0.360796	
0.0405	9.019	1	0.007489481	0.3653055	
0.041	9.019	1	0.007674389	0.369815	
0.0415	9.019	1	0.007861551	0.3743245	
0.042	9.019	1	0.008050968	0.3788339	
0.0425	9.019	1	0.00824264	0.3833435	
0.043	9.019	1	0.008436566	0.387853	
0.0435	9.019	1	0.008632747	0.3923625	
0.044	9.019	1	0.008831183	0.396872	
0.0445	9.019	1	0.009031874	0.4013815	
0.045	9.019	1	0.00923482	0.405891	
0.0455	9.019	1	0.00944002	0.4104005	
0.046	9.019	1	0.009647476	0.41491	
0.0465	9.019	1	0.009857185	0.4194195	
0.047	9.019	1	0.01006915	0.423929	
0.0475	9.019	1	0.01028337	0.4284385	
0.048	9.019	1	0.01049984	0.432948	
0.0485	9.019	1	0.01071857	0.4374575	
0.049	9.019	1	0.01093956	0.441967	
0.0495	9.019	1	0.01116279	0.4464765	
0.05	9.019	1	0.01138829	0.450986	
0.0505	9.019	1	0.01161603	0.4554955	
0.051	9.019	1	0.01184604	0.460005	
0.0515	9.019	1	0.01207829	0.4645145	
0.052	9.019	1	0.01231281	0.469024	
0.0525	9.019	1	0.01254957	0.4735335	
0.053	9.019	1	0.01278859	0.478043	
0.0535	9.019	1	0.01302987	0.4825525	
0.054	9.019	1	0.0132734	0.487062	
0.0545	9.019	1	0.01351919	0.4915715	
0.055	9.019	1	0.01376723	0.496081	
0.0555	9.019	1	0.01401752	0.5005904	
0.056	9.019	1	0.01427007	0.5051	
0.0565	9.019	1	0.01452488	0.5096095	
0.057	9.019	1	0.01478194	0.514119	
0.0575	9.019	1	0.01504125	0.5186285	
0.058	9.019	1	0.01530282	0.523138	
0.0585	9.019	1	0.01556664	0.5276475	
0.059	9.019	1	0.01583272	0.5321569	
0.0595	9.019	1	0.01610105	0.5366665	
0.06	9.019	1	0.01637164	0.541176	
0.0605	9.019	1	0.01664449	0.5456855	
0.061	9.019	1	0.01691958	0.550195	
0.0615	9.019	1	0.01719694	0.5547045	
0.062	9.019	1	0.01747654	0.559214	
0.0625	9.019	1	0.0177584	0.5637234	
0.063	9.019	1	0.01804252	0.568233	
0.0635	9.019	1	0.01832889	0.5727425	
0.064	9.019	1	0.01861752	0.577252	
0.0645	9.019	1	0.0189084	0.5817615	
0.06500001	9.019	1	0.01920153	0.586271	
0.06550001	9.019	1	0.01949693	0.5907805	
0.066	9.019	1	0.01979457	0.5952899	
0.0665	9.019	1	0.02009447	0.5997995	
0.067	9.019	1	0.02039662	0.604309	
0.0675	9.019	1	0.02070103	0.6088185	
0.068	9.019	1	0.0210077	0.613328	
0.0685	9.019	1	0.02131662	0.6178375	
0.06900001	9.019	1	0.02162779	0.622347	
0.06950001	9.019	1	0.02194122	0.6268564	
0.07	9.019	1	0.0222569	0.631366	
0.0705	9.019	1	0.02257484	0.6358755	
0.071	9.019	1	0.02289503	0.640385	
0.0715	9.019	1	0.02321748	0.6448945	
0.072	9.019	1	0.02354218	0.649404	
0.07250001	9.019	1	0.02386914	0.6539135	
0.07300001	9.019	1	0.02419835	0.6584229	
0.0735	9.019	1	0.02452981	0.6629325	
0.074	9.019	1	0.02486354	0.667442	
0.0745	9.019	1	0.02519951	0.6719515	
0.075	9.019	1	0.02553774	0.676461	
0.0755	9.019	1	0.02587823	0.6809705	
0.07600001	9.019	1	0.02622097	0.68548	
0.07650001	9.019	1	0.02656596	0.6899894	
0.07700001	9.019	1	0.02691321	0.694499	
0.0775	9.019	1	0.02726272	0.6990085	
0.078	9.019	1	0.02761447	0.703518	
0.0785	9.019	1	0.02796849	0.7080275	
0.079	9.019	1	0.02832476	0.712537	
0.0795	9.019	1	0.02868328	0.7170465	
0.08000001	9.019	1	0.02904406	0.7215559	
0.08050001	9.019	1	0.02940709	0.7260655	
0.081	9.019	1	0.02977238	0.730575	
0.0815	9.019	1	0.03013992	0.7350845	
0.082	9.019	1	0.03050972	0.739594	
0.0825	9.019	1	0.03088177	0.7441035	
0.083	9.019	1	0.03125608	0.748613	
0.08350001	9.019	1	0.03163264	0.7531224	
0.08400001	9.019	1	0.03201145	0.757632	
0.08450001	9.019	1	0.03239252	0.7621415	
0.085	9.019	1	0.03277585	0.766651	
0.0855	9.019	1	0.03316143	0.7711605	
0.086	9.019	1	0.03354926	0.77567	
0.0865	9.019	1	0.03393935	0.7801795	
0.087	9.019	1	0.0343317	0.7846889	
0.08750001	9.019	1	0.0347263	0.7891985	
