Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0	0	0	0	0	0	0	0	0	1.5	
0.001	-0.9810001	0	0	0	0	-0.0008918182	0	0	1.499999	
0.002	-0.9809923	0	0	0	0	-0.001783629	0	0	1.499997	
0.003	-0.980968	0	0	0	0	-0.002675419	0	0	1.499995	
0.004	-0.9809282	0	0	0	0	-0.003567172	0	0	1.499991	
0.005	-0.9808728	0	0	0	0	-0.004458874	0	0	1.499987	
0.006	-0.9808016	0	0	0	0	-0.005350512	0	0	1.499981	
0.007	-0.9807141	0	0	0	0	-0.00624207	0	0	1.499975	
0.008	-0.9806102	0	0	0	0	-0.007133535	0	0	1.499968	
0.009000001	-0.9804915	0	0	0	0	-0.008024891	0	0	1.49996	
0.01	-0.9803563	0	0	0	0	-0.008916124	0	0	1.499951	
0.011	-0.9802048	0	0	0	0	-0.00980722	0	0	1.499941	
0.012	-0.9800383	0	0	0	0	-0.01069816	0	0	1.499931	
0.013	-0.9798555	0	0	0	0	-0.01158894	0	0	1.499919	
0.014	-0.9796571	0	0	0	0	-0.01247954	0	0	1.499906	
0.015	-0.979443	0	0	0	0	-0.01336994	0	0	1.499893	
0.016	-0.9792126	0	0	0	0	-0.01426014	0	0	1.499879	
0.017	-0.9789665	0	0	0	0	-0.01515011	0	0	1.499864	
0.018	-0.9787048	0	0	0	0	-0.01603984	0	0	1.499848	
0.019	-0.9784274	0	0	0	0	-0.01692932	0	0	1.499831	
0.02	-0.9781337	0	0	0	0	-0.01781853	0	0	1.499813	
0.021	-0.977825	0	0	0	0	-0.01870746	0	0	1.499794	
0.022	-0.9775	0	0	0	0	-0.0195961	0	0	1.499775	
0.023	-0.9771602	0	0	0	0	-0.02048443	0	0	1.499754	
0.024	-0.976804	0	0	0	0	-0.02137243	0	0	1.499733	
0.025	-0.9764321	0	0	0	0	-0.02226009	0	0	1.49971	
0.026	-0.9760446	0	0	0	0	-0.02314741	0	0	1.499687	
0.027	-0.9756423	0	0	0	0	-0.02403435	0	0	1.499663	
0.028	-0.9752235	0	0	0	0	-0.02492092	0	0	1.499638	
0.029	-0.9747899	0	0	0	0	-0.0258071	0	0	1.499613	
0.03	-0.9743399	0	0	0	0	-0.02669286	0	0	1.499586	
0.031	-0.973875	0	0	0	0	-0.0275782	0	0	1.499558	
0.032	-0.9733946	0	0	0	0	-0.0284631	0	0	1.49953	
0.033	-0.9728985	0	0	0	0	-0.02934756	0	0	1.499501	
0.034	-0.9723876	0	0	0	0	-0.03023154	0	0	1.49947	
0.035	-0.9718602	0	0	0	0	-0.03111506	0	0	1.499439	
0.036	-0.9713188	0	0	0	0	-0.03199807	0	0	1.499407	
