Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0	0	0	0	0	0	0	0	0	0.1	
0.001	0.1962	0	0	0	0	0.0002002041	0	0	0.1000002	
0.002	0.1962	0	0	0	0	0.0004004081	0	0	0.1000006	
0.003	0.1961992	0	0	0	0	0.0006006114	0	0	0.1000012	
0.004	0.1961984	0	0	0	0	0.000800814	0	0	0.100002	
0.005	0.1961969	0	0	0	0	0.001001015	0	0	0.100003	
0.006	0.1961953	0	0	0	0	0.001201214	0	0	0.1000042	
0.007	0.196193	0	0	0	0	0.001401411	0	0	0.1000056	
0.008	0.1961899	0	0	0	0	0.001601605	0	0	0.1000072	
0.009000001	0.1961875	0	0	0	0	0.001801796	0	0	0.100009	
0.01	0.1961836	0	0	0	0	0.002001984	0	0	0.100011	
0.011	0.1961797	0	0	0	0	0.002202167	0	0	0.1000132	
0.012	0.1961758	0	0	0	0	0.002402346	0	0	0.1000156	
0.013	0.1961711	0	0	0	0	0.002602521	0	0	0.1000182	
0.014	0.1961664	0	0	0	0	0.002802691	0	0	0.100021	
0.015	0.1961609	0	0	0	0	0.003002855	0	0	0.100024	
0.016	0.1961547	0	0	0	0	0.003203013	0	0	0.1000272	
0.017	0.1961484	0	0	0	0	0.003403164	0	0	0.1000306	
0.018	0.1961422	0	0	0	0	0.003603309	0	0	0.1000342	
0.019	0.1961352	0	0	0	0	0.003803447	0	0	0.100038	
0.02	0.1961274	0	0	0	0	0.004003577	0	0	0.100042	
0.021	0.1961195	0	0	0	0	0.0042037	0	0	0.1000463	
0.022	0.1961117	0	0	0	0	0.004403814	0	0	0.1000507	
0.023	0.1961031	0	0	0	0	0.004603919	0	0	0.1000553	
0.024	0.1960938	0	0	0	0	0.004804015	0	0	0.1000601	
0.025	0.1960844	0	0	0	0	0.005004101	0	0	0.1000651	
0.026	0.196075	0	0	0	0	0.005204177	0	0	0.1000703	
0.027	0.1960649	0	0	0	0	0.005404244	0	0	0.1000757	
0.028	0.1960539	0	0	0	0	0.005604299	0	0	0.1000813	
0.029	0.196043	0	0	0	0	0.005804343	0	0	0.1000871	
0.03	0.1960313	0	0	0	0	0.006004375	0	0	0.1000931	
0.031	0.1960195	0	0	0	0	0.006204395	0	0	0.1000993	
0.032	0.1960078	0	0	0	0	0.006404403	0	0	0.1001057	
0.033	0.1959945	0	0	0	0	0.006604397	0	0	0.1001123	
0.034	0.1959821	0	0	0	0	0.006804379	0	0	0.1001191	
0.035	0.1959688	0	0	0	0	0.007004348	0	0	0.1001261	
0.036	0.1959547	0	0	0	0	0.007204302	0	0	0.1001333	
0.037	0.1959406	0	0	0	0	0.007404241	0	0	0.1001407	
0.038	0.1959258	0	0	0	0	0.007604166	0	0	0.1001483	
0.039	0.1959109	0	0	0	0	0.007804077	0	0	0.1001561	
0.04	0.1958953	0	0	0	0	0.00800397	0	0	0.1001641	
0.041	0.1958797	0	0	0	0	0.008203847	0	0	0.1001723	
0.042	0.1958633	0	0	0	0	0.008403707	0	0	0.1001807	
0.043	0.1958469	0	0	0	0	0.008603551	0	0	0.1001893	
0.044	0.1958297	0	0	0	0	0.008803378	0	0	0.1001981	
0.045	0.1958125	0	0	0	0	0.009003187	0	0	0.1002071	
0.046	0.1957946	0	0	0	0	0.009202977	0	0	0.1002163	
0.047	0.1957766	0	0	0	0	0.009402749	0	0	0.1002257	
0.048	0.1957578	0	0	0	0	0.009602502	0	0	0.1002354	
0.049	0.1957391	0	0	0	0	0.009802236	0	0	0.1002452	
0.05	0.1957195	0	0	0	0	0.01000195	0	0	0.1002552	
0.051	0.1957	0	0	0	0	0.01020164	0	0	0.1002654	
0.052	0.1956797	0	0	0	0	0.01040132	0	0	0.1002758	
0.053	0.1956594	0	0	0	0	0.01060097	0	0	0.1002864	
0.054	0.1956383	0	0	0	0	0.0108006	0	0	0.1002972	
0.055	0.1956164	0	0	0	0	0.01100021	0	0	0.1003082	
0.056	0.1955953	0	0	0	0	0.0111998	0	0	0.1003194	
0.057	0.1955727	0	0	0	0	0.01139936	0	0	0.1003308	
0.058	0.19555	0	0	0	0	0.0115989	0	0	0.1003424	
0.059	0.1955274	0	0	0	0	0.01179842	0	0	0.1003542	
0.06	0.1955039	0	0	0	0	0.01199791	0	0	0.1003662	
0.061	0.1954805	0	0	0	0	0.01219738	0	0	0.1003784	
0.062	0.1954563	0	0	0	0	0.01239683	0	0	0.1003908	
0.063	0.1954313	0	0	0	0	0.01259625	0	0	0.1004034	
0.064	0.195407	0	0	0	0	0.01279564	0	0	0.1004161	
0.06500001	0.1953813	0	0	0	0	0.01299501	0	0	0.1004291	
0.066	0.1953555	0	0	0	0	0.01319435	0	0	0.1004423	
0.067	0.1953297	0	0	0	0	0.01339367	0	0	0.1004557	
0.068	0.1953031	0	0	0	0	0.01359296	0	0	0.1004693	
0.06900001	0.1952758	0	0	0	0	0.01379222	0	0	0.1004831	
0.07	0.1952492	0	0	0	0	0.01399146	0	0	0.1004971	
0.071	0.1952211	0	0	0	0	0.01419066	0	0	0.1005113	
0.072	0.195193	0	0	0	0	0.01438984	0	0	0.1005257	
0.07300001	0.1951648	0	0	0	0	0.01458899	0	0	0.1005403	
0.074	0.195136	0	0	0	0	0.01478811	0	0	0.1005551	
0.075	0.1951063	0	0	0	0	0.01498719	0	0	0.1005701	
0.07600001	0.1950766	0	0	0	0	0.01518625	0	0	0.1005852	
0.07700001	0.1950469	0	0	0	0	0.01538528	0	0	0.1006006	
0.078	0.1950164	0	0	0	0	0.01558427	0	0	0.1006162	
0.079	0.194986	0	0	0	0	0.01578324	0	0	0.100632	
0.08000001	0.1949547	0	0	0	0	0.01598217	0	0	0.100648	
0.081	0.1949227	0	0	0	0	0.01618107	0	0	0.1006642	
0.082	0.1948906	0	0	0	0	0.01637994	0	0	0.1006805	
0.083	0.1948586	0	0	0	0	0.01657878	0	0	0.1006971	
0.08400001	0.1948258	0	0	0	0	0.01677758	0	0	0.1007139	
0.085	0.1947922	0	0	0	0	0.01697635	0	0	0.1007309	
0.086	0.1947594	0	0	0	0	0.01717508	0	0	0.1007481	
0.087	0.194725	0	0	0	0	0.01737378	0	0	0.1007654	
0.08800001	0.1946906	0	0	0	0	0.01757245	0	0	0.100783	
0.089	0.1946563	0	0	0	0	0.01777108	0	0	0.1008008	
0.09	0.1946211	0	0	0	0	0.01796967	0	0	0.1008187	
0.09100001	0.1945852	0	0	0	0	0.01816822	0	0	0.1008369	
0.09200001	0.1945492	0	0	0	0	0.01836674	0	0	0.1008553	
0.093	0.1945133	0	0	0	0	0.01856523	0	0	0.1008738	
0.094	0.1944766	0	0	0	0	0.01876367	0	0	0.1008926	
0.09500001	0.1944399	0	0	0	0	0.01896208	0	0	0.1009116	
0.096	0.1944024	0	0	0	0	0.01916045	0	0	0.1009307	
0.097	0.1943641	0	0	0	0	0.01935878	0	0	0.1009501	
0.098	0.1943266	0	0	0	0	0.01955707	0	0	0.1009696	
0.09900001	0.1942875	0	0	0	0	0.01975533	0	0	0.1009894	
0.1	0.1942485	0	0	0	0	0.01995354	0	0	0.1010093	
0.101	0.1942094	0	0	0	0	0.02015171	0	0	0.1010295	
0.102	0.1941696	0	0	0	0	0.02034985	0	0	0.1010498	
0.103	0.1941297	0	0	0	0	0.02054794	0	0	0.1010704	
0.104	0.1940891	0	0	0	0	0.02074599	0	0	0.1010911	
0.105	0.1940477	0	0	0	0	0.020944	0	0	0.1011121	
0.106	0.194007	0	0	0	0	0.02114196	0	0	0.1011332	
0.107	0.1939649	0	0	0	0	0.02133989	0	0	0.1011546	
0.108	0.1939227	0	0	0	0	0.02153777	0	0	0.1011761	
0.109	0.1938805	0	0	0	0	0.0217356	0	0	0.1011978	
0.11	0.1938375	0	0	0	0	0.0219334	0	0	0.1012198	
