Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	-0.0003530691	-0.2000012	2.395362E-07	
0.002	-0.0007495195	-0.2000016	5.193055E-07	
0.003	-0.001151218	-0.2000013	8.188188E-07	
0.004	-0.001553461	-0.2000002	1.120195E-06	
0.005	-0.001955669	-0.199998	1.406297E-06	
0.006	-0.002357773	-0.1999951	1.667813E-06	
0.007	-0.002759767	-0.1999912	1.899153E-06	
0.008	-0.003161654	-0.1999865	2.099201E-06	
0.009000001	-0.003563437	-0.199981	2.267212E-06	
0.01	-0.003965118	-0.1999746	2.40691E-06	
0.011	-0.004366699	-0.1999673	2.517924E-06	
0.012	-0.004768184	-0.1999592	2.605841E-06	
0.013	-0.005169575	-0.1999502	2.673268E-06	
0.014	-0.005570873	-0.1999404	2.723187E-06	
0.015	-0.005972081	-0.1999297	2.75895E-06	
0.016	-0.006373199	-0.1999181	2.783537E-06	
0.017	-0.00677423	-0.1999058	2.800301E-06	
0.018	-0.007175175	-0.1998926	2.809986E-06	
0.019	-0.007576035	-0.1998786	2.814457E-06	
0.02	-0.007976811	-0.1998637	2.815202E-06	
0.021	-0.008377505	-0.199848	2.813712E-06	
0.022	-0.008778118	-0.1998315	2.811104E-06	
0.023	-0.009178648	-0.1998141	2.807006E-06	
0.024	-0.009579097	-0.1997959	2.802536E-06	
0.025	-0.009979467	-0.1997769	2.798438E-06	
0.026	-0.01037976	-0.199757	2.79434E-06	
0.027	-0.01077997	-0.1997364	2.790988E-06	
0.028	-0.0111801	-0.1997149	2.787262E-06	
0.029	-0.01158015	-0.1996925	2.784282E-06	
0.03	-0.01198013	-0.1996694	2.782047E-06	
0.031	-0.01238002	-0.1996454	2.780557E-06	
0.032	-0.01277984	-0.1996207	2.778321E-06	
0.033	-0.01317957	-0.1995951	2.776459E-06	
0.034	-0.01357923	-0.1995687	2.774969E-06	
0.035	-0.0139788	-0.1995414	2.773851E-06	
0.036	-0.0143783	-0.1995134	2.772734E-06	
0.037	-0.01477771	-0.1994846	2.772361E-06	
0.038	-0.01517705	-0.1994549	2.771244E-06	
0.039	-0.0155763	-0.1994244	2.770871E-06	
0.04	-0.01597547	-0.1993931	2.770126E-06	
0.041	-0.01637456	-0.199361	2.769381E-06	
0.042	-0.01677357	-0.1993281	2.768636E-06	
0.043	-0.01717249	-0.1992944	2.768636E-06	
0.044	-0.01757132	-0.1992599	2.768263E-06	
0.045	-0.01797007	-0.1992245	2.767518E-06	
0.046	-0.01836873	-0.1991884	2.766773E-06	
0.047	-0.01876731	-0.1991514	2.766773E-06	
0.048	-0.01916579	-0.1991137	2.766028E-06	
0.049	-0.01956419	-0.1990751	2.765656E-06	
0.05	-0.01996249	-0.1990357	2.764538E-06	
0.051	-0.02036071	-0.1989956	2.76342E-06	
0.052	-0.02075883	-0.1989546	2.763048E-06	
0.053	-0.02115686	-0.1989128	2.76193E-06	
0.054	-0.02155479	-0.1988703	2.760813E-06	
0.055	-0.02195263	-0.1988269	2.759695E-06	
0.056	-0.02235037	-0.1987827	2.75895E-06	
0.057	-0.02274801	-0.1987377	2.757832E-06	
0.058	-0.02314555	-0.1986919	2.756715E-06	
0.059	-0.023543	-0.1986454	2.755597E-06	
0.06	-0.02394034	-0.198598	2.755597E-06	
0.061	-0.02433758	-0.1985498	2.754852E-06	
0.062	-0.02473471	-0.1985008	2.754107E-06	
0.063	-0.02513174	-0.1984511	2.753362E-06	
0.064	-0.02552866	-0.1984005	2.75299E-06	
0.06500001	-0.02592548	-0.1983491	2.751872E-06	
0.066	-0.02632218	-0.1982969	2.750754E-06	
0.067	-0.02671877	-0.198244	2.750382E-06	
0.068	-0.02711526	-0.1981902	2.749637E-06	
0.06900001	-0.02751163	-0.1981357	2.748519E-06	
0.07	-0.02790789	-0.1980803	2.747402E-06	
0.071	-0.02830402	-0.1980241	2.747029E-06	
0.072	-0.02870005	-0.1979672	2.746284E-06	
0.07300001	-0.02909595	-0.1979095	2.745539E-06	
0.074	-0.02949173	-0.197851	2.744421E-06	
0.075	-0.02988739	-0.1977916	2.743304E-06	
0.07600001	-0.03028293	-0.1977315	2.742931E-06	
0.07700001	-0.03067834	-0.1976706	2.741814E-06	
0.078	-0.03107363	-0.1976089	2.740696E-06	
0.079	-0.03146879	-0.1975464	2.739951E-06	
