Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	-0.0001798028	-0.2000051	-1.966953E-07	
0.002	-0.0004654837	-0.2000125	-7.301569E-07	
0.003	-0.0008091416	-0.2000205	-1.679361E-06	
0.004	-0.001185897	-0.2000283	-3.096461E-06	
0.005	-0.001581709	-0.2000353	-5.00381E-06	
0.006	-0.001988357	-0.2000413	-7.392466E-06	
0.007	-0.002400967	-0.2000463	-1.024008E-05	
0.008	-0.002816644	-0.2000499	-1.351386E-05	
0.009000001	-0.003233682	-0.2000524	-1.717657E-05	
0.01	-0.003651084	-0.2000536	-2.1182E-05	
0.011	-0.004068282	-0.2000536	-2.548248E-05	
0.012	-0.004484962	-0.2000524	-3.00318E-05	
0.013	-0.004900962	-0.20005	-3.477931E-05	
0.014	-0.005316207	-0.2000464	-3.968477E-05	
0.015	-0.005730676	-0.2000417	-4.469752E-05	
0.016	-0.006144373	-0.2000358	-4.977435E-05	
0.017	-0.006557322	-0.2000287	-5.487055E-05	
0.018	-0.006969552	-0.2000206	-5.994439E-05	
0.019	-0.007381096	-0.2000114	-6.495714E-05	
0.02	-0.007791986	-0.2000011	-6.987154E-05	
0.021	-0.008202258	-0.1999898	-7.465333E-05	
0.022	-0.008611939	-0.1999773	-7.927418E-05	
0.023	-0.009021061	-0.1999639	-8.370876E-05	
0.024	-0.009429651	-0.1999494	-8.79243E-05	
0.025	-0.009837738	-0.1999339	-9.189994E-05	
0.026	-0.01024534	-0.1999174	-9.562075E-05	
0.027	-0.01065249	-0.1998999	-9.906888E-05	
0.028	-0.0110592	-0.1998815	-0.0001022309	
0.029	-0.01146549	-0.199862	-0.0001050934	
0.03	-0.01187138	-0.1998416	-0.000107649	
0.031	-0.01227689	-0.1998202	-0.000109902	
0.032	-0.01268204	-0.1997979	-0.0001118407	
0.033	-0.01308683	-0.1997746	-0.0001134679	
0.034	-0.01349129	-0.1997504	-0.0001147896	
0.035	-0.01389541	-0.1997253	-0.0001158074	
0.036	-0.01429924	-0.1996992	-0.0001165316	
0.037	-0.01470276	-0.1996723	-0.0001169711	
0.038	-0.01510599	-0.1996444	-0.0001171321	
0.039	-0.01550894	-0.1996156	-0.0001170307	
