Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	-0.0003983148	-0.2	1.341105E-07	
0.002	-0.0007983861	-0.1999993	2.652407E-07	
0.003	-0.001198466	-0.1999977	3.695488E-07	
0.004	-0.001598539	-0.1999953	4.589558E-07	
0.005	-0.001998602	-0.199992	5.39422E-07	
0.006	-0.002398654	-0.199988	6.020069E-07	
0.007	-0.002798693	-0.1999831	6.556511E-07	
0.008	-0.003198719	-0.1999774	7.063151E-07	
0.009000001	-0.003598729	-0.1999709	7.510185E-07	
0.01	-0.003998723	-0.1999636	7.838011E-07	
0.011	-0.004398698	-0.1999555	8.106232E-07	
0.012	-0.004798653	-0.1999466	8.314848E-07	
0.013	-0.005198586	-0.1999369	8.523464E-07	
0.014	-0.005598498	-0.1999263	8.672476E-07	
0.015	-0.005998384	-0.1999149	8.791685E-07	
0.016	-0.006398245	-0.1999028	8.910894E-07	
0.017	-0.006798079	-0.1998898	9.059906E-07	
0.018	-0.007197883	-0.199876	9.179116E-07	
0.019	-0.007597658	-0.1998614	9.298325E-07	
0.02	-0.007997401	-0.199846	9.357929E-07	
0.021	-0.008397111	-0.1998297	9.328127E-07	
0.022	-0.008796784	-0.1998127	9.417534E-07	
0.023	-0.009196422	-0.1997949	9.447336E-07	
0.024	-0.009596023	-0.1997762	9.536743E-07	
0.025	-0.009995583	-0.1997568	9.536743E-07	
0.026	-0.0103951	-0.1997365	9.596348E-07	
0.027	-0.01079458	-0.1997155	9.596348E-07	
0.028	-0.01119401	-0.1996936	9.655953E-07	
0.029	-0.0115934	-0.1996709	9.655953E-07	
0.03	-0.01199274	-0.1996475	9.655953E-07	
0.031	-0.01239203	-0.1996232	9.715558E-07	
0.032	-0.01279127	-0.1995981	9.715558E-07	
0.033	-0.01319046	-0.1995722	9.74536E-07	
0.034	-0.01358959	-0.1995455	9.74536E-07	
0.035	-0.01398867	-0.1995181	9.715558E-07	
0.036	-0.01438769	-0.1994898	9.775162E-07	
0.037	-0.01478666	-0.1994607	9.74536E-07	
0.038	-0.01518556	-0.1994308	9.715558E-07	
0.039	-0.01558441	-0.1994001	9.74536E-07	
0.04	-0.01598319	-0.1993686	9.715558E-07	
0.041	-0.0163819	-0.1993363	9.74536E-07	
0.042	-0.01678056	-0.1993032	9.715558E-07	
0.043	-0.01717914	-0.1992693	9.685755E-07	
0.044	-0.01757765	-0.1992346	9.715558E-07	
0.045	-0.01797609	-0.1991991	9.685755E-07	
0.046	-0.01837447	-0.1991628	9.715558E-07	
0.047	-0.01877276	-0.1991258	9.685755E-07	
0.048	-0.01917098	-0.1990878	9.715558E-07	
0.049	-0.01956913	-0.1990492	9.685755E-07	
0.05	-0.01996719	-0.1990097	9.655953E-07	
0.051	-0.02036518	-0.1989694	9.62615E-07	
0.052	-0.02076308	-0.1989283	9.685755E-07	
0.053	-0.0211609	-0.1988864	9.655953E-07	
0.054	-0.02155864	-0.1988438	9.685755E-07	
0.055	-0.02195629	-0.1988003	9.596348E-07	
0.056	-0.02235385	-0.198756	9.655953E-07	
0.057	-0.02275132	-0.1987109	9.62615E-07	
0.058	-0.0231487	-0.1986651	9.596348E-07	
0.059	-0.02354598	-0.1986184	9.62615E-07	
0.06	-0.02394318	-0.198571	9.596348E-07	
