Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0	0	0	-0.05	0.05	-0.35	-0.35	-0.07	-0.07	
0.0004	0	0	-0.05	0.05	-0.3500015	-0.3500015	-0.07	-0.07	
0.0008	0	0	-0.04999934	0.05000066	-0.350004	-0.3500044	-0.07	-0.07	
0.0012	0	0	-0.04999796	0.05000204	-0.3500077	-0.3500089	-0.07	-0.07	
0.0016	0	0	-0.04999581	0.05000418	-0.3500122	-0.3500146	-0.07	-0.07	
0.002	0	0	-0.04999284	0.05000716	-0.3500176	-0.3500216	-0.07	-0.07	
0.0024	0	0	-0.04998901	0.050011	-0.3500238	-0.3500298	-0.07	-0.07	
0.0028	0	0	-0.04998425	0.05001575	-0.3500306	-0.350039	-0.07	-0.07	
0.0032	0	0	-0.04997855	0.05002146	-0.350038	-0.3500492	-0.07	-0.07	
0.0036	0	0	-0.04997185	0.05002816	-0.350046	-0.3500604	-0.07	-0.07	
0.004	0	0	-0.04996411	0.05003589	-0.3500544	-0.3500724	-0.07	-0.07	
0.0044	0	0	-0.0499553	0.0500447	-0.3500632	-0.3500851	-0.07	-0.07	
0.0048	0	0	-0.0499454	0.0500546	-0.3500722	-0.3500987	-0.07	-0.07	
0.0052	0	0	-0.04993437	0.05006563	-0.3500817	-0.3501128	-0.07	-0.07	
0.0056	0	0	-0.04992217	0.05007782	-0.3500912	-0.3501276	-0.07	-0.07	
0.006	0	0	-0.04990879	0.0500912	-0.350101	-0.350143	-0.07	-0.07	
0.0064	0	0	-0.0498942	0.05010579	-0.3501109	-0.3501589	-0.07	-0.07	
0.0068	0	0	-0.04987837	0.05012162	-0.3501208	-0.3501752	-0.07	-0.07	
0.0072	0	0	-0.04986129	0.0501387	-0.3501309	-0.350192	-0.07	-0.07	
0.0076	0	0	-0.04984293	0.05015707	-0.3501409	-0.3502092	-0.07	-0.07	
0.007999999	0	0	-0.04982327	0.05017672	-0.3501508	-0.3502268	-0.07	-0.07	
0.0084	0	0	-0.04980229	0.05019769	-0.3501607	-0.3502447	-0.07	-0.07	
0.0088	0	0	-0.04977998	0.05021999	-0.3501705	-0.3502629	-0.07	-0.07	
0.0092	0	0	-0.04975633	0.05024365	-0.3501802	-0.3502814	-0.07	-0.07	
0.0096	0	0	-0.04973131	0.05026866	-0.3501897	-0.3503001	-0.07	-0.07	
0.01	0	0	-0.04970492	0.05029504	-0.350199	-0.350319	-0.07	-0.07	
0.0104	0	0	-0.04967713	0.05032281	-0.3502081	-0.3503381	-0.07	-0.07	
0.0108	0	0	-0.04964795	0.05035198	-0.350217	-0.3503574	-0.07	-0.07	
0.0112	0	0	-0.04961735	0.05038255	-0.3502257	-0.3503768	-0.07	-0.07	
0.0116	0	0	-0.04958534	0.05041454	-0.3502341	-0.3503965	-0.07	-0.07	
0.012	0	0	-0.0495519	0.05044797	-0.3502422	-0.3504162	-0.07	-0.07	
0.0124	0	0	-0.04951702	0.05048282	-0.35025	-0.3504359	-0.07	-0.07	
0.0128	0	0	-0.0494807	0.05051913	-0.3502576	-0.3504559	-0.07	-0.07	
0.0132	0	0	-0.04944292	0.05055687	-0.3502648	-0.3504759	-0.07	-0.07	
0.0136	0	0	-0.04940369	0.05059608	-0.3502716	-0.3504959	-0.07	-0.07	
0.014	0	0	-0.04936299	0.05063675	-0.3502781	-0.3505161	-0.07	-0.07	
0.0144	0	0	-0.04932083	0.05067888	-0.3502843	-0.3505362	-0.07	-0.07	
0.0148	0	0	-0.04927719	0.05072248	-0.3502901	-0.3505563	-0.07	-0.07	
0.0152	0	0	-0.04923207	0.05076755	-0.3502955	-0.3505765	-0.07	-0.07	
0.0156	0	0	-0.04918547	0.05081411	-0.3503006	-0.3505968	-0.07	-0.07	
0.016	0	0	-0.04913738	0.05086214	-0.3503052	-0.350617	-0.07	-0.07	
0.0164	0	0	-0.04908781	0.05091166	-0.3503095	-0.3506373	-0.07	-0.07	
0.0168	0	0	-0.04903675	0.05096268	-0.3503134	-0.3506576	-0.07	-0.07	
